frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.95,-0.85,1.95,-0.85,0.84,0.10,2.80,2.80,2.80
20.20,1.92,-0.85,1.93,-0.84,0.84,0.10,2.77,2.77,2.77
20.40,1.90,-0.84,1.90,-0.84,0.84,0.11,2.74,2.74,2.74
20.61,1.87,-0.84,1.87,-0.84,0.84,0.11,2.72,2.71,2.71
20.81,1.84,-0.84,1.84,-0.84,0.84,0.11,2.68,2.69,2.68
21.02,1.81,-0.84,1.81,-0.84,0.84,0.11,2.65,2.65,2.65
21.23,1.78,-0.84,1.78,-0.84,0.84,0.12,2.62,2.62,2.62
21.44,1.75,-0.84,1.75,-0.84,0.84,0.12,2.59,2.59,2.60
21.66,1.72,-0.84,1.72,-0.84,0.84,0.12,2.57,2.56,2.57
21.87,1.69,-0.84,1.69,-0.84,0.84,0.13,2.53,2.54,2.54
22.09,1.66,-0.84,1.66,-0.84,0.84,0.13,2.51,2.51,2.50
22.31,1.63,-0.84,1.63,-0.84,0.84,0.13,2.47,2.47,2.47
22.54,1.60,-0.84,1.60,-0.84,0.84,0.14,2.45,2.44,2.44
22.76,1.56,-0.85,1.57,-0.84,0.84,0.14,2.40,2.41,2.41
22.99,1.53,-0.84,1.53,-0.84,0.84,0.14,2.38,2.38,2.38
23.22,1.50,-0.84,1.50,-0.84,0.84,0.15,2.35,2.35,2.35
23.45,1.47,-0.84,1.47,-0.84,0.84,0.15,2.32,2.32,2.31
23.69,1.44,-0.84,1.44,-0.84,0.84,0.15,2.29,2.28,2.28
23.92,1.40,-0.85,1.41,-0.84,0.84,0.16,2.25,2.25,2.25
24.16,1.37,-0.85,1.37,-0.85,0.84,0.16,2.22,2.22,2.22
24.40,1.34,-0.84,1.34,-0.85,0.84,0.16,2.19,2.18,2.19
24.65,1.31,-0.84,1.31,-0.84,0.84,0.17,2.16,2.16,2.16
24.89,1.28,-0.84,1.28,-0.84,0.84,0.17,2.12,2.12,2.12
25.14,1.25,-0.84,1.25,-0.84,0.84,0.18,2.09,2.10,2.09
25.39,1.22,-0.84,1.22,-0.84,0.84,0.18,2.06,2.06,2.06
25.65,1.19,-0.84,1.19,-0.84,0.84,0.18,2.03,2.03,2.03
25.91,1.15,-0.84,1.16,-0.84,0.84,0.19,2.00,2.00,2.00
26.16,1.12,-0.84,1.12,-0.84,0.84,0.19,1.96,1.96,1.96
26.43,1.08,-0.84,1.09,-0.84,0.84,0.20,1.93,1.93,1.93
26.69,1.05,-0.84,1.05,-0.84,0.84,0.20,1.90,1.89,1.89
26.96,1.01,-0.84,1.02,-0.84,0.84,0.21,1.86,1.86,1.86
27.23,0.98,-0.84,0.98,-0.84,0.84,0.21,1.83,1.82,1.82
27.50,0.94,-0.84,0.95,-0.84,0.84,0.22,1.79,1.79,1.79
27.77,0.91,-0.84,0.91,-0.84,0.84,0.22,1.75,1.75,1.75
28.05,0.87,-0.84,0.87,-0.84,0.84,0.23,1.71,1.71,1.71
28.33,0.83,-0.84,0.83,-0.84,0.84,0.24,1.67,1.67,1.67
28.62,0.79,-0.84,0.79,-0.84,0.84,0.24,1.63,1.63,1.63
28.90,0.75,-0.84,0.75,-0.84,0.84,0.25,1.59,1.59,1.59
29.19,0.71,-0.84,0.71,-0.84,0.84,0.25,1.55,1.55,1.55
29.48,0.67,-0.84,0.67,-0.84,0.84,0.26,1.51,1.51,1.51
29.78,0.63,-0.83,0.63,-0.84,0.84,0.27,1.47,1.47,1.47
30.08,0.59,-0.84,0.59,-0.84,0.84,0.27,1.43,1.43,1.43
30.38,0.55,-0.84,0.55,-0.84,0.84,0.28,1.39,1.39,1.39
30.68,0.51,-0.84,0.51,-0.84,0.84,0.29,1.35,1.35,1.35
30.99,0.47,-0.84,0.47,-0.84,0.84,0.29,1.31,1.31,1.32
31.30,0.43,-0.84,0.44,-0.84,0.84,0.30,1.27,1.28,1.28
31.61,0.40,-0.84,0.40,-0.84,0.84,0.31,1.24,1.24,1.24
31.93,0.36,-0.84,0.37,-0.84,0.84,0.32,1.20,1.21,1.20
32.24,0.33,-0.84,0.34,-0.84,0.84,0.33,1.17,1.18,1.18
32.57,0.31,-0.84,0.31,-0.84,0.84,0.33,1.15,1.15,1.15
32.89,0.28,-0.84,0.28,-0.84,0.84,0.34,1.12,1.13,1.13
