frequency,raw
20,6.72
20.2,6.72
20.4,6.72
20.61,6.71
20.81,6.71
21.02,6.71
21.23,6.71
21.44,6.7
21.66,6.7
21.87,6.71
22.09,6.71
22.31,6.7
22.54,6.71
22.76,6.71
22.99,6.71
23.22,6.7
23.45,6.7
23.69,6.7
23.92,6.7
24.16,6.7
24.4,6.69
24.65,6.69
24.89,6.69
25.14,6.68
25.39,6.68
25.65,6.67
25.91,6.67
26.16,6.66
26.43,6.66
26.69,6.65
26.96,6.64
27.23,6.65
27.5,6.64
27.77,6.64
28.05,6.64
28.33,6.63
28.62,6.62
28.9,6.62
29.19,6.61
29.48,6.6
29.78,6.59
30.08,6.58
30.38,6.58
30.68,6.58
30.99,6.57
31.3,6.57
31.61,6.56
31.93,6.55
32.24,6.54
32.57,6.53
32.89,6.52
33.22,6.5
33.55,6.49
33.89,6.48
34.23,6.46
34.57,6.45
34.92,6.44
35.27,6.43
35.62,6.42
35.97,6.4
36.33,6.39
36.7,6.37
37.06,6.35
37.43,6.33
37.81,6.31
38.19,6.29
38.57,6.27
38.95,6.25
39.34,6.23
39.74,6.21
40.14,6.19
40.54,6.16
40.94,6.14
41.35,6.11
41.76,6.08
42.18,6.05
42.6,6.02
43.03,6
43.46,5.97
43.9,5.94
44.33,5.9
44.78,5.87
45.23,5.83
45.68,5.8
46.13,5.76
46.6,5.73
47.06,5.68
47.53,5.65
48.01,5.61
48.49,5.58
48.97,5.53
49.46,5.48
49.96,5.44
50.46,5.39
50.96,5.34
51.47,5.3
51.99,5.24
52.51,5.2
53.03,5.14
53.56,5.1
54.1,5.04
54.64,4.98
55.18,4.92
55.74,4.86
56.29,4.81
56.86,4.74
57.42,4.68
58,4.62
58.58,4.55
59.16,4.48
59.76,4.41
60.35,4.34
60.96,4.28
61.57,4.21
62.18,4.13
62.8,4.07
63.43,3.99
64.07,3.91
64.71,3.83
65.35,3.75
66.01,3.68
66.67,3.61
67.33,3.53
68.01,3.45
68.69,3.36
69.37,3.28
70.07,3.19
70.77,3.1
71.48,3.03
72.19,2.94
72.91,2.86
73.64,2.78
74.38,2.68
75.12,2.59
75.87,2.5
76.63,2.41
77.4,2.33
78.17,2.24
78.95,2.16
79.74,2.07
80.54,1.98
81.35,1.89
82.16,1.8
82.98,1.71
83.81,1.63
84.65,1.54
85.5,1.46
86.35,1.37
87.22,1.29
88.09,1.2
88.97,1.13
89.86,1.04
90.76,0.95
91.66,0.88
92.58,0.79
93.51,0.71
94.44,0.63
95.39,0.55
96.34,0.48
97.3,0.4
98.28,0.32
99.26,0.24
100.25,0.18
101.25,0.1
102.27,0.02
103.29,-0.05
104.32,-0.13
105.37,-0.2
106.42,-0.26
107.48,-0.32
108.56,-0.39
109.64,-0.45
110.74,-0.51
111.85,-0.58
112.97,-0.64
114.1,-0.71
115.24,-0.76
116.39,-0.81
117.55,-0.87
118.73,-0.92
119.92,-0.97
121.12,-1.02
122.33,-1.08
123.55,-1.13
124.79,-1.17
126.03,-1.23
127.29,-1.27
128.57,-1.3
129.85,-1.34
131.15,-1.39
132.46,-1.43
133.79,-1.48
135.12,-1.51
136.48,-1.55
137.84,-1.58
139.22,-1.61
140.61,-1.64
142.02,-1.68
143.44,-1.71
144.87,-1.74
146.32,-1.76
147.78,-1.8
149.26,-1.82
150.75,-1.84
152.26,-1.86
153.78,-1.89
155.32,-1.92
156.88,-1.95
158.44,-1.96
160.03,-1.98
161.63,-2
163.24,-2.01
164.88,-2.02
166.53,-2.04
168.19,-2.06
169.87,-2.07
171.57,-2.08
173.29,-2.09
175.02,-2.1
176.77,-2.11
178.54,-2.12
180.32,-2.13
182.13,-2.13
183.95,-2.14
185.79,-2.15
187.65,-2.15
189.52,-2.17
191.42,-2.17
193.33,-2.17
195.27,-2.18
197.22,-2.18
199.19,-2.18
201.18,-2.19
203.19,-2.19
205.23,-2.19
207.28,-2.19
209.35,-2.19
211.44,-2.19
213.56,-2.19
215.69,-2.19
217.85,-2.18
220.03,-2.18
222.23,-2.18
224.45,-2.18
226.7,-2.18
228.96,-2.18
231.25,-2.17
233.57,-2.18
235.9,-2.17
238.26,-2.17
240.64,-2.16
243.05,-2.16
245.48,-2.15
247.93,-2.14
250.41,-2.14
252.92,-2.14
255.45,-2.12
258,-2.12
260.58,-2.11
263.19,-2.1
265.82,-2.1
268.48,-2.08
271.16,-2.08
273.87,-2.06
276.61,-2.06
279.38,-2.04
282.17,-2.04
284.99,-2.02
287.84,-2.02
290.72,-2
293.63,-2
296.57,-1.98
299.53,-1.98
302.53,-1.96
305.55,-1.94
308.61,-1.93
311.69,-1.92
314.81,-1.91
317.96,-1.9
321.14,-1.9
324.35,-1.89
327.59,-1.87
330.87,-1.86
334.18,-1.84
337.52,-1.83
340.9,-1.81
344.3,-1.8
347.75,-1.79
351.23,-1.78
