frequency,raw
20.00,-3.35
20.20,-3.35
20.40,-3.35
20.61,-3.36
20.81,-3.36
21.02,-3.36
21.23,-3.37
21.44,-3.37
21.66,-3.37
21.87,-3.37
22.09,-3.37
22.31,-3.37
22.54,-3.37
22.76,-3.37
22.99,-3.37
23.22,-3.37
23.45,-3.37
23.69,-3.37
23.92,-3.37
24.16,-3.37
24.40,-3.37
24.65,-3.37
24.89,-3.37
25.14,-3.37
25.39,-3.37
25.65,-3.37
25.91,-3.37
26.16,-3.37
26.43,-3.37
26.69,-3.37
26.96,-3.37
27.23,-3.37
27.50,-3.37
27.77,-3.36
28.05,-3.36
28.33,-3.35
28.62,-3.34
28.90,-3.33
29.19,-3.32
29.48,-3.32
29.78,-3.32
30.08,-3.31
30.38,-3.31
30.68,-3.30
30.99,-3.30
31.30,-3.32
31.61,-3.33
31.93,-3.34
32.24,-3.35
32.57,-3.36
32.89,-3.37
33.22,-3.37
33.55,-3.37
33.89,-3.37
34.23,-3.37
34.57,-3.37
34.92,-3.37
35.27,-3.37
35.62,-3.37
35.97,-3.37
36.33,-3.37
36.70,-3.37
37.06,-3.37
37.43,-3.36
37.81,-3.34
38.19,-3.33
38.57,-3.32
38.95,-3.30
39.34,-3.29
39.74,-3.31
40.14,-3.32
40.54,-3.33
40.94,-3.35
41.35,-3.36
41.76,-3.37
42.18,-3.37
42.60,-3.37
43.03,-3.37
43.46,-3.37
43.90,-3.37
44.33,-3.37
44.78,-3.37
45.23,-3.37
45.68,-3.37
46.13,-3.37
46.60,-3.37
47.06,-3.37
47.53,-3.36
48.01,-3.35
48.49,-3.34
48.97,-3.33
49.46,-3.32
49.96,-3.32
50.46,-3.33
50.96,-3.34
51.47,-3.35
51.99,-3.36
52.51,-3.37
53.03,-3.37
53.56,-3.37
54.10,-3.37
54.64,-3.37
55.18,-3.37
55.74,-3.37
56.29,-3.37
56.86,-3.37
57.42,-3.37
58.00,-3.37
58.58,-3.37
59.16,-3.37
59.76,-3.37
60.35,-3.37
60.96,-3.37
61.57,-3.37
62.18,-3.37
62.80,-3.37
63.43,-3.37
64.07,-3.37
64.71,-3.36
65.35,-3.36
66.01,-3.36
66.67,-3.35
67.33,-3.35
68.01,-3.36
68.69,-3.36
69.37,-3.36
70.07,-3.37
70.77,-3.37
71.48,-3.37
72.19,-3.37
72.91,-3.37
73.64,-3.37
74.38,-3.37
75.12,-3.37
75.87,-3.37
76.63,-3.38
77.40,-3.38
78.17,-3.38
78.95,-3.38
79.74,-3.38
80.54,-3.38
81.35,-3.38
82.16,-3.38
82.98,-3.38
83.81,-3.37
84.65,-3.37
85.50,-3.37
86.35,-3.37
87.22,-3.37
88.09,-3.37
88.97,-3.37
89.86,-3.37
90.76,-3.37
91.66,-3.37
92.58,-3.37
93.51,-3.37
94.44,-3.37
95.39,-3.37
96.34,-3.37
97.30,-3.36
98.28,-3.36
99.26,-3.36
100.25,-3.35
101.25,-3.35
102.27,-3.36
103.29,-3.36
104.32,-3.36
105.37,-3.37
106.42,-3.37
107.48,-3.37
108.56,-3.37
109.64,-3.37
110.74,-3.37
111.85,-3.37
112.97,-3.37
114.10,-3.37
