frequency,raw
20,3.63
20.2,3.63
20.4,3.63
20.61,3.62
20.81,3.62
21.02,3.62
21.23,3.61
21.44,3.61
21.66,3.6
21.87,3.6
22.09,3.6
22.31,3.6
22.54,3.6
22.76,3.6
22.99,3.6
23.22,3.6
23.45,3.6
23.69,3.6
23.92,3.6
24.16,3.6
24.4,3.59
24.65,3.59
24.89,3.59
25.14,3.59
25.39,3.59
25.65,3.59
25.91,3.59
26.16,3.59
26.43,3.58
26.69,3.58
26.96,3.58
27.23,3.58
27.5,3.58
27.77,3.59
28.05,3.59
28.33,3.59
28.62,3.6
28.9,3.61
29.19,3.62
29.48,3.62
29.78,3.61
30.08,3.62
30.38,3.62
30.68,3.63
30.99,3.62
31.3,3.6
31.61,3.59
31.93,3.58
32.24,3.56
32.57,3.55
32.89,3.54
33.22,3.53
33.55,3.53
33.89,3.53
34.23,3.52
34.57,3.52
34.92,3.52
35.27,3.51
35.62,3.51
35.97,3.5
36.33,3.5
36.7,3.49
37.06,3.49
37.43,3.49
37.81,3.51
38.19,3.51
38.57,3.52
38.95,3.53
39.34,3.54
39.74,3.51
40.14,3.49
40.54,3.48
40.94,3.45
41.35,3.43
41.76,3.42
42.18,3.41
42.6,3.4
43.03,3.39
43.46,3.38
43.9,3.37
44.33,3.36
44.78,3.35
45.23,3.34
45.68,3.33
46.13,3.32
46.6,3.31
47.06,3.3
47.53,3.3
48.01,3.3
48.49,3.29
48.97,3.29
49.46,3.29
49.96,3.27
50.46,3.25
50.96,3.22
51.47,3.2
51.99,3.17
52.51,3.15
53.03,3.13
53.56,3.11
54.1,3.09
54.64,3.07
55.18,3.05
55.74,3.03
56.29,3.01
56.86,2.99
57.42,2.97
58,2.95
58.58,2.92
59.16,2.9
59.76,2.88
60.35,2.85
60.96,2.82
61.57,2.8
62.18,2.77
62.8,2.74
63.43,2.71
64.07,2.68
64.71,2.66
65.35,2.63
66.01,2.59
66.67,2.57
67.33,2.53
68.01,2.49
68.69,2.45
69.37,2.41
70.07,2.37
70.77,2.33
71.48,2.29
72.19,2.24
72.91,2.2
73.64,2.16
74.38,2.11
75.12,2.07
75.87,2.02
76.63,1.97
77.4,1.92
78.17,1.87
78.95,1.82
79.74,1.77
80.54,1.72
81.35,1.67
82.16,1.62
82.98,1.56
83.81,1.52
84.65,1.46
85.5,1.41
86.35,1.35
87.22,1.29
88.09,1.23
88.97,1.17
89.86,1.11
90.76,1.05
91.66,0.99
92.58,0.93
93.51,0.87
94.44,0.81
95.39,0.74
96.34,0.68
97.3,0.63
98.28,0.56
99.26,0.5
100.25,0.45
101.25,0.38
102.27,0.31
103.29,0.24
104.32,0.18
105.37,0.1
106.42,0.04
107.48,-0.03
108.56,-0.09
109.64,-0.16
110.74,-0.22
111.85,-0.29
112.97,-0.35
114.1,-0.41
115.24,-0.48
116.39,-0.54
117.55,-0.6
118.73,-0.66
119.92,-0.72
121.12,-0.79
122.33,-0.85
123.55,-0.91
124.79,-0.97
126.03,-1.02
127.29,-1.08
128.57,-1.14
129.85,-1.19
131.15,-1.25
132.46,-1.31
133.79,-1.36
135.12,-1.41
136.48,-1.47
137.84,-1.52
139.22,-1.57
140.61,-1.62
142.02,-1.67
143.44,-1.71
144.87,-1.77
146.32,-1.82
147.78,-1.87
149.26,-1.93
150.75,-1.97
152.26,-2.02
153.78,-2.06
155.32,-2.09
156.88,-2.12
158.44,-2.15
160.03,-2.18
161.63,-2.21
163.24,-2.24
164.88,-2.27
166.53,-2.29
168.19,-2.32
169.87,-2.34
171.57,-2.36
173.29,-2.39
175.02,-2.42
176.77,-2.45
178.54,-2.48
180.32,-2.51
182.13,-2.53
183.95,-2.56
185.79,-2.58
187.65,-2.6
189.52,-2.62
191.42,-2.64
193.33,-2.66
195.27,-2.69
197.22,-2.72
199.19,-2.75
201.18,-2.78
203.19,-2.81
205.23,-2.83
207.28,-2.82
209.35,-2.82
211.44,-2.81
213.56,-2.8
215.69,-2.8
217.85,-2.79
220.03,-2.8
222.23,-2.81
224.45,-2.83
226.7,-2.84
228.96,-2.85
231.25,-2.87
233.57,-2.87
235.9,-2.87
238.26,-2.88
240.64,-2.88
243.05,-2.88
245.48,-2.88
247.93,-2.88
250.41,-2.88
252.92,-2.89
255.45,-2.89
258,-2.89
260.58,-2.89
263.19,-2.89
