frequency,raw
20,3.4
20.2,3.4
20.4,3.4
20.61,3.39
20.81,3.39
21.02,3.39
21.23,3.38
21.44,3.38
21.66,3.38
21.87,3.38
22.09,3.38
22.31,3.38
22.54,3.38
22.76,3.37
22.99,3.37
23.22,3.37
23.45,3.37
23.69,3.37
23.92,3.37
24.16,3.37
24.4,3.37
24.65,3.37
24.89,3.37
25.14,3.37
25.39,3.37
25.65,3.37
25.91,3.37
26.16,3.36
26.43,3.36
26.69,3.36
26.96,3.36
27.23,3.36
27.5,3.36
27.77,3.37
28.05,3.37
28.33,3.38
28.62,3.38
28.9,3.39
29.19,3.4
29.48,3.4
29.78,3.4
30.08,3.41
30.38,3.41
30.68,3.41
30.99,3.41
31.3,3.39
31.61,3.38
31.93,3.37
32.24,3.35
32.57,3.34
32.89,3.33
33.22,3.33
33.55,3.32
33.89,3.32
34.23,3.32
34.57,3.32
34.92,3.31
35.27,3.31
35.62,3.31
35.97,3.3
36.33,3.3
36.7,3.3
37.06,3.29
37.43,3.3
37.81,3.32
38.19,3.32
38.57,3.33
38.95,3.34
39.34,3.35
39.74,3.32
40.14,3.31
40.54,3.29
40.94,3.27
41.35,3.25
41.76,3.24
42.18,3.23
42.6,3.22
43.03,3.22
43.46,3.21
43.9,3.2
44.33,3.2
44.78,3.19
45.23,3.18
45.68,3.17
46.13,3.16
46.6,3.16
47.06,3.15
47.53,3.15
48.01,3.15
48.49,3.15
48.97,3.15
49.46,3.15
49.96,3.13
50.46,3.11
50.96,3.09
51.47,3.07
51.99,3.04
52.51,3.02
53.03,3.01
53.56,2.99
54.1,2.98
54.64,2.96
55.18,2.95
55.74,2.93
56.29,2.91
56.86,2.89
57.42,2.88
58,2.86
58.58,2.84
59.16,2.82
59.76,2.8
60.35,2.77
60.96,2.75
61.57,2.73
62.18,2.71
62.8,2.68
63.43,2.66
64.07,2.63
64.71,2.61
65.35,2.59
66.01,2.56
66.67,2.54
67.33,2.51
68.01,2.47
68.69,2.44
69.37,2.41
70.07,2.36
70.77,2.33
71.48,2.29
72.19,2.26
72.91,2.22
73.64,2.18
74.38,2.15
75.12,2.11
75.87,2.07
76.63,2.02
77.4,1.98
78.17,1.93
78.95,1.89
79.74,1.85
80.54,1.8
81.35,1.75
82.16,1.71
82.98,1.66
83.81,1.62
84.65,1.57
85.5,1.52
86.35,1.47
87.22,1.42
88.09,1.37
88.97,1.32
89.86,1.27
90.76,1.21
91.66,1.16
92.58,1.11
93.51,1.05
94.44,1
95.39,0.94
96.34,0.88
97.3,0.84
98.28,0.78
99.26,0.72
100.25,0.68
101.25,0.62
102.27,0.55
103.29,0.49
104.32,0.43
105.37,0.37
106.42,0.31
107.48,0.25
108.56,0.19
109.64,0.14
110.74,0.08
111.85,0.02
112.97,-0.04
114.1,-0.09
115.24,-0.15
116.39,-0.2
117.55,-0.26
118.73,-0.32
119.92,-0.37
121.12,-0.42
122.33,-0.48
123.55,-0.53
124.79,-0.58
126.03,-0.63
127.29,-0.69
128.57,-0.74
129.85,-0.79
131.15,-0.83
132.46,-0.88
133.79,-0.93
135.12,-0.98
136.48,-1.02
137.84,-1.07
139.22,-1.11
140.61,-1.16
142.02,-1.2
143.44,-1.24
144.87,-1.29
146.32,-1.33
147.78,-1.38
149.26,-1.43
