frequency,raw
20.00,7.64
20.20,7.63
20.40,7.63
20.61,7.62
20.81,7.62
21.02,7.62
21.23,7.61
21.44,7.61
21.66,7.61
21.87,7.61
22.09,7.61
22.31,7.61
22.54,7.61
22.76,7.60
22.99,7.60
23.22,7.60
23.45,7.60
23.69,7.60
23.92,7.60
24.16,7.60
24.40,7.59
24.65,7.59
24.89,7.59
25.14,7.59
25.39,7.59
25.65,7.59
25.91,7.58
26.16,7.58
26.43,7.58
26.69,7.58
26.96,7.58
27.23,7.57
27.50,7.57
27.77,7.58
28.05,7.58
28.33,7.58
28.62,7.59
28.90,7.60
29.19,7.60
29.48,7.60
29.78,7.60
30.08,7.60
30.38,7.60
30.68,7.61
30.99,7.60
31.30,7.58
31.61,7.56
31.93,7.55
32.24,7.54
32.57,7.52
32.89,7.51
33.22,7.50
33.55,7.50
33.89,7.49
34.23,7.48
34.57,7.48
34.92,7.47
35.27,7.46
35.62,7.46
35.97,7.45
36.33,7.44
36.70,7.44
37.06,7.43
37.43,7.43
37.81,7.44
38.19,7.44
38.57,7.44
38.95,7.45
39.34,7.45
39.74,7.42
40.14,7.40
40.54,7.38
40.94,7.35
41.35,7.33
41.76,7.31
42.18,7.29
42.60,7.28
43.03,7.27
43.46,7.25
43.90,7.24
44.33,7.22
44.78,7.20
45.23,7.19
45.68,7.17
46.13,7.15
46.60,7.13
47.06,7.11
47.53,7.10
48.01,7.09
48.49,7.08
48.97,7.07
49.46,7.06
49.96,7.03
50.46,7.00
50.96,6.97
51.47,6.93
51.99,6.89
52.51,6.85
53.03,6.83
53.56,6.80
54.10,6.77
54.64,6.73
55.18,6.70
55.74,6.67
56.29,6.63
56.86,6.60
57.42,6.56
58.00,6.52
58.58,6.48
59.16,6.44
59.76,6.40
60.35,6.36
60.96,6.32
61.57,6.27
62.18,6.23
62.80,6.18
63.43,6.13
64.07,6.08
64.71,6.04
65.35,5.99
66.01,5.93
66.67,5.89
67.33,5.83
68.01,5.76
68.69,5.70
69.37,5.64
70.07,5.57
70.77,5.51
71.48,5.44
72.19,5.38
72.91,5.31
73.64,5.24
74.38,5.17
75.12,5.10
75.87,5.03
76.63,4.95
77.40,4.87
78.17,4.80
78.95,4.72
79.74,4.64
80.54,4.56
81.35,4.48
