frequency,raw
20,-0.23
20.2,-0.23
20.4,-0.23
20.61,-0.23
20.81,-0.23
21.02,-0.23
21.23,-0.23
21.44,-0.23
21.66,-0.23
21.87,-0.23
22.09,-0.23
22.31,-0.23
22.54,-0.23
22.76,-0.23
22.99,-0.24
23.22,-0.24
23.45,-0.24
23.69,-0.24
23.92,-0.24
24.16,-0.24
24.4,-0.25
24.65,-0.25
24.89,-0.25
25.14,-0.26
25.39,-0.26
25.65,-0.27
25.91,-0.27
26.16,-0.28
26.43,-0.29
26.69,-0.3
26.96,-0.31
27.23,-0.32
27.5,-0.33
27.77,-0.34
28.05,-0.35
28.33,-0.36
28.62,-0.37
28.9,-0.38
29.19,-0.39
29.48,-0.41
29.78,-0.42
30.08,-0.43
30.38,-0.44
30.68,-0.45
30.99,-0.46
31.3,-0.47
31.61,-0.48
31.93,-0.49
32.24,-0.5
32.57,-0.51
32.89,-0.52
33.22,-0.53
33.55,-0.54
33.89,-0.55
34.23,-0.55
34.57,-0.56
34.92,-0.57
35.27,-0.58
35.62,-0.59
35.97,-0.59
36.33,-0.6
36.7,-0.61
37.06,-0.62
37.43,-0.63
37.81,-0.64
38.19,-0.65
38.57,-0.66
38.95,-0.67
39.34,-0.68
39.74,-0.69
40.14,-0.7
40.54,-0.71
40.94,-0.72
41.35,-0.73
41.76,-0.74
42.18,-0.75
42.6,-0.76
43.03,-0.77
43.46,-0.78
43.9,-0.79
44.33,-0.79
44.78,-0.8
45.23,-0.81
45.68,-0.82
46.13,-0.83
46.6,-0.84
47.06,-0.85
47.53,-0.86
48.01,-0.87
48.49,-0.88
48.97,-0.89
49.46,-0.9
49.96,-0.91
50.46,-0.92
50.96,-0.93
51.47,-0.94
51.99,-0.95
52.51,-0.96
53.03,-0.97
53.56,-0.98
54.1,-0.99
54.64,-1
55.18,-1.01
55.74,-1.02
56.29,-1.03
56.86,-1.04
57.42,-1.05
58,-1.06
58.58,-1.07
59.16,-1.08
59.76,-1.09
60.35,-1.1
60.96,-1.11
61.57,-1.12
62.18,-1.12
62.8,-1.13
63.43,-1.14
64.07,-1.15
64.71,-1.16
65.35,-1.17
66.01,-1.17
66.67,-1.18
67.33,-1.19
68.01,-1.2
68.69,-1.2
69.37,-1.21
70.07,-1.22
70.77,-1.23
71.48,-1.24
72.19,-1.25
72.91,-1.26
73.64,-1.26
74.38,-1.27
75.12,-1.28
75.87,-1.29
76.63,-1.29
77.4,-1.3
78.17,-1.31
78.95,-1.32
79.74,-1.32
80.54,-1.33
81.35,-1.34
82.16,-1.34
82.98,-1.35
83.81,-1.36
84.65,-1.36
85.5,-1.37
86.35,-1.37
87.22,-1.38
88.09,-1.39
88.97,-1.4
89.86,-1.41
90.76,-1.42
91.66,-1.43
92.58,-1.44
93.51,-1.45
94.44,-1.46
95.39,-1.47
96.34,-1.48
97.3,-1.49
98.28,-1.49
99.26,-1.5
100.25,-1.51
101.25,-1.52
102.27,-1.53
103.29,-1.54
104.32,-1.55
105.37,-1.55
106.42,-1.56
107.48,-1.57
108.56,-1.57
109.64,-1.58
110.74,-1.59
111.85,-1.59
112.97,-1.6
114.1,-1.6
115.24,-1.6
116.39,-1.61
117.55,-1.61
118.73,-1.62
119.92,-1.62
121.12,-1.63
122.33,-1.64
123.55,-1.65
124.79,-1.66
126.03,-1.67
127.29,-1.68
128.57,-1.69
129.85,-1.7
131.15,-1.7
132.46,-1.71
133.79,-1.71
135.12,-1.71
136.48,-1.72
137.84,-1.72
139.22,-1.72
140.61,-1.73
142.02,-1.73
143.44,-1.74
144.87,-1.74
146.32,-1.75
147.78,-1.76
149.26,-1.76
150.75,-1.77
152.26,-1.78
153.78,-1.78
155.32,-1.79
156.88,-1.79
158.44,-1.79
160.03,-1.8
161.63,-1.8
163.24,-1.8
164.88,-1.81
166.53,-1.81
168.19,-1.82
169.87,-1.82
171.57,-1.83
173.29,-1.84
175.02,-1.84
176.77,-1.85
178.54,-1.85
180.32,-1.86
182.13,-1.86
183.95,-1.86
185.79,-1.86
187.65,-1.86
189.52,-1.86
191.42,-1.86
193.33,-1.86
195.27,-1.86
197.22,-1.86
199.19,-1.86
201.18,-1.86
203.19,-1.86
205.23,-1.86
207.28,-1.86
209.35,-1.86
211.44,-1.86
213.56,-1.86
215.69,-1.86
217.85,-1.86
220.03,-1.86
222.23,-1.86
224.45,-1.86
226.7,-1.86
228.96,-1.86
231.25,-1.86
233.57,-1.86
235.9,-1.86
238.26,-1.86
240.64,-1.86
243.05,-1.86
245.48,-1.86
247.93,-1.86
250.41,-1.86
252.92,-1.86
255.45,-1.86
258,-1.86
260.58,-1.86
263.19,-1.86
265.82,-1.86
268.48,-1.86
271.16,-1.86
273.87,-1.86
276.61,-1.86
279.38,-1.86
282.17,-1.86
284.99,-1.86
287.84,-1.86
290.72,-1.86
293.63,-1.86
296.57,-1.85
299.53,-1.84
302.53,-1.83
305.55,-1.82
308.61,-1.81
311.69,-1.8
314.81,-1.79
317.96,-1.78
321.14,-1.78
324.35,-1.78
