frequency,raw
20,4.03
20.2,4.03
20.4,4.02
20.61,4.01
20.81,4
21.02,3.99
21.23,3.98
21.44,3.98
21.66,3.97
21.87,3.95
22.09,3.93
22.31,3.9
22.54,3.88
22.76,3.86
22.99,3.84
23.22,3.82
23.45,3.8
23.69,3.78
23.92,3.77
24.16,3.75
24.4,3.74
24.65,3.73
24.89,3.72
25.14,3.71
25.39,3.7
25.65,3.69
25.91,3.68
26.16,3.67
26.43,3.66
26.69,3.65
26.96,3.64
27.23,3.63
27.5,3.62
27.77,3.61
28.05,3.6
28.33,3.59
28.62,3.57
28.9,3.56
29.19,3.54
29.48,3.52
29.78,3.51
30.08,3.49
30.38,3.48
30.68,3.46
30.99,3.46
31.3,3.45
31.61,3.45
31.93,3.44
32.24,3.44
32.57,3.43
32.89,3.43
33.22,3.42
33.55,3.41
33.89,3.4
34.23,3.38
34.57,3.37
34.92,3.36
35.27,3.35
35.62,3.33
35.97,3.32
36.33,3.31
36.7,3.3
37.06,3.29
37.43,3.28
37.81,3.27
38.19,3.26
38.57,3.25
38.95,3.24
39.34,3.23
39.74,3.21
40.14,3.2
40.54,3.18
40.94,3.17
41.35,3.15
41.76,3.14
42.18,3.12
42.6,3.11
43.03,3.09
43.46,3.08
43.9,3.07
44.33,3.05
44.78,3.04
45.23,3.02
45.68,3.01
46.13,3
46.6,2.99
47.06,2.99
47.53,2.98
48.01,2.98
48.49,2.97
48.97,2.97
49.46,2.96
49.96,2.95
50.46,2.92
50.96,2.89
51.47,2.86
51.99,2.83
52.51,2.81
53.03,2.78
53.56,2.75
54.1,2.73
54.64,2.72
55.18,2.71
55.74,2.7
56.29,2.68
56.86,2.67
57.42,2.66
58,2.65
58.58,2.63
59.16,2.6
59.76,2.57
60.35,2.54
60.96,2.51
61.57,2.48
62.18,2.45
62.8,2.42
63.43,2.39
64.07,2.36
64.71,2.33
65.35,2.3
66.01,2.27
66.67,2.24
67.33,2.21
68.01,2.18
68.69,2.15
69.37,2.12
70.07,2.09
70.77,2.06
71.48,2.03
72.19,2
72.91,1.97
73.64,1.94
74.38,1.91
75.12,1.87
75.87,1.84
76.63,1.8
77.4,1.76
78.17,1.73
78.95,1.69
79.74,1.65
80.54,1.61
81.35,1.57
82.16,1.53
82.98,1.49
83.81,1.45
84.65,1.41
85.5,1.36
86.35,1.32
87.22,1.28
