frequency,raw
20,2.58
20.2,2.58
20.4,2.58
20.61,2.58
20.81,2.57
21.02,2.57
21.23,2.57
21.44,2.57
21.66,2.57
21.87,2.56
22.09,2.55
22.31,2.55
22.54,2.54
22.76,2.54
22.99,2.54
23.22,2.54
23.45,2.54
23.69,2.52
23.92,2.52
24.16,2.53
24.4,2.53
24.65,2.53
24.89,2.53
25.14,2.53
25.39,2.53
25.65,2.53
25.91,2.52
26.16,2.52
26.43,2.52
26.69,2.52
26.96,2.52
27.23,2.52
27.5,2.52
27.77,2.51
28.05,2.51
28.33,2.51
28.62,2.51
28.9,2.51
29.19,2.5
29.48,2.5
29.78,2.5
30.08,2.5
30.38,2.5
30.68,2.49
30.99,2.49
31.3,2.49
31.61,2.49
31.93,2.48
32.24,2.48
32.57,2.48
32.89,2.47
33.22,2.47
33.55,2.47
33.89,2.46
34.23,2.46
34.57,2.46
34.92,2.45
35.27,2.45
35.62,2.44
35.97,2.44
36.33,2.44
36.7,2.43
37.06,2.43
37.43,2.43
37.81,2.43
38.19,2.42
38.57,2.42
38.95,2.42
39.34,2.42
39.74,2.44
40.14,2.44
40.54,2.44
40.94,2.45
41.35,2.45
41.76,2.45
42.18,2.44
42.6,2.43
43.03,2.41
43.46,2.41
43.9,2.4
44.33,2.39
44.78,2.39
45.23,2.38
45.68,2.37
46.13,2.36
46.6,2.35
47.06,2.34
47.53,2.33
48.01,2.31
48.49,2.3
48.97,2.29
49.46,2.28
49.96,2.26
50.46,2.25
50.96,2.23
51.47,2.22
51.99,2.2
52.51,2.18
53.03,2.17
53.56,2.15
54.1,2.13
54.64,2.1
55.18,2.08
55.74,2.06
56.29,2.04
56.86,2.02
57.42,2
58,1.98
58.58,1.95
59.16,1.93
59.76,1.91
60.35,1.91
60.96,1.89
61.57,1.88
62.18,1.88
62.8,1.87
63.43,1.84
64.07,1.81
64.71,1.76
65.35,1.73
66.01,1.71
66.67,1.68
67.33,1.64
68.01,1.61
68.69,1.57
69.37,1.53
70.07,1.49
70.77,1.45
71.48,1.41
72.19,1.37
72.91,1.33
73.64,1.29
74.38,1.24
75.12,1.2
75.87,1.15
76.63,1.1
77.4,1.07
78.17,1.02
78.95,0.97
79.74,0.92
80.54,0.87
81.35,0.82
82.16,0.75
82.98,0.72
83.81,0.67
84.65,0.64
85.5,0.59
86.35,0.56
87.22,0.51
88.09,0.46
88.97,0.4
89.86,0.34
90.76,0.28
91.66,0.22
92.58,0.16
93.51,0.1
94.44,0.03
95.39,-0.03
96.34,-0.09
97.3,-0.15
98.28,-0.22
99.26,-0.28
100.25,-0.35
101.25,-0.41
102.27,-0.48
103.29,-0.54
104.32,-0.61
105.37,-0.66
106.42,-0.73
107.48,-0.78
108.56,-0.83
109.64,-0.89
110.74,-0.95
111.85,-1
112.97,-1.05
114.1,-1.11
115.24,-1.16
116.39,-1.22
117.55,-1.27
118.73,-1.34
119.92,-1.4
121.12,-1.46
122.33,-1.52
123.55,-1.58
124.79,-1.64
126.03,-1.7
127.29,-1.75
128.57,-1.81
129.85,-1.87
131.15,-1.92
132.46,-1.98
133.79,-2.02
135.12,-2.07
136.48,-2.1
137.84,-2.13
139.22,-2.16
140.61,-2.19
142.02,-2.25
143.44,-2.31
144.87,-2.36
146.32,-2.4
147.78,-2.44
149.26,-2.48
150.75,-2.51
152.26,-2.55
153.78,-2.6
155.32,-2.64
156.88,-2.68
158.44,-2.7
160.03,-2.71
161.63,-2.73
163.24,-2.76
164.88,-2.77
166.53,-2.8
168.19,-2.83
169.87,-2.86
171.57,-2.88
173.29,-2.9
175.02,-2.93
176.77,-2.95
178.54,-2.97
180.32,-2.99
182.13,-3
183.95,-3.02
185.79,-3.04
187.65,-3.06
189.52,-3.07
191.42,-3.1
193.33,-3.11
195.27,-3.13
197.22,-3.12
199.19,-3.11
201.18,-3.11
203.19,-3.13
205.23,-3.14
207.28,-3.16
209.35,-3.16
211.44,-3.18
213.56,-3.2
215.69,-3.21
217.85,-3.22
220.03,-3.21
222.23,-3.21
224.45,-3.21
226.7,-3.2
228.96,-3.21
231.25,-3.21
233.57,-3.22
235.9,-3.22
238.26,-3.21
240.64,-3.2
243.05,-3.2
245.48,-3.19
247.93,-3.18
250.41,-3.19
252.92,-3.2
255.45,-3.2
258,-3.19
260.58,-3.18
263.19,-3.18
265.82,-3.16
268.48,-3.15
271.16,-3.16
273.87,-3.17
276.61,-3.18
279.38,-3.17
282.17,-3.15
284.99,-3.13
287.84,-3.12
290.72,-3.1
293.63,-3.09
296.57,-3.07
299.53,-3.06
302.53,-3.05
305.55,-3.04
308.61,-3.03
311.69,-3.02
314.81,-3.01
317.96,-2.99
321.14,-2.97
324.35,-2.95
327.59,-2.93
330.87,-2.93
334.18,-2.91
337.52,-2.9
340.9,-2.89
344.3,-2.88
347.75,-2.88
351.23,-2.87
354.74,-2.86
358.28,-2.84
361.87,-2.82
365.49,-2.79
369.14,-2.78
372.83,-2.76
376.56,-2.73
380.33,-2.71
384.13,-2.69
387.97,-2.68
391.85,-2.66
395.77,-2.64
399.73,-2.62
403.72,-2.6
407.76,-2.58
411.84,-2.56
415.96,-2.54
420.12,-2.51
424.32,-2.49
428.56,-2.47
432.85,-2.44
437.18,-2.42
441.55,-2.41
445.96,-2.4
450.42,-2.38
454.93,-2.34
459.48,-2.31
464.07,-2.28
468.71,-2.24
473.4,-2.21
478.13,-2.18
482.91,-2.15
487.74,-2.11
492.62,-2.09
497.55,-2.06
502.52,-2.02
507.55,-1.99
512.62,-1.97
517.75,-1.95
522.93,-1.93
528.16,-1.9
533.44,-1.87
538.77,-1.84
544.16,-1.81
549.6,-1.77
555.1,-1.74
560.65,-1.7
566.25,-1.66
571.92,-1.63
577.64,-1.6
583.41,-1.57
589.25,-1.55
595.14,-1.52
601.09,-1.49
607.1,-1.47
613.17,-1.44
619.3,-1.41
625.5,-1.38
631.75,-1.35
638.07,-1.32
644.45,-1.29
650.89,-1.26
657.4,-1.23
663.98,-1.21
670.62,-1.18
677.32,-1.15
684.1,-1.12
690.94,-1.09
697.85,-1.06
704.83,-1.02
711.87,-0.99
718.99,-0.96
726.18,-0.93
733.44,-0.91
740.78,-0.88
748.19,-0.86
755.67,-0.83
763.23,-0.81
770.86,-0.78
778.57,-0.74
786.35,-0.72
794.22,-0.69
802.16,-0.67
810.18,-0.65
818.28,-0.63
826.46,-0.61
834.73,-0.57
843.08,-0.54
851.51,-0.51
860.02,-0.49
868.62,-0.47
877.31,-0.44
886.08,-0.42
894.94,-0.39
903.89,-0.37
912.93,-0.34
922.06,-0.31
931.28,-0.26
940.59,-0.22
950,-0.18
959.5,-0.13
969.09,-0.1
978.78,-0.08
988.57,-0.05
998.46,-0.01
1008.44,0.05
1018.53,0.1
1028.71,0.16
1039,0.21
1049.39,0.27
1059.88,0.31
1070.48,0.35
1081.19,0.4
1092,0.47
1102.92,0.53
1113.95,0.6
1125.09,0.66
1136.34,0.73
1147.7,0.79
1159.18,0.85
1170.77,0.91
1182.48,0.98
1194.3,1.04
1206.25,1.11
1218.31,1.18
1230.49,1.25
1242.8,1.32
1255.22,1.39
1267.78,1.47
1280.45,1.54
1293.26,1.62
1306.19,1.69
1319.25,1.77
1332.45,1.84
1345.77,1.92
1359.23,1.99
1372.82,2.06
1386.55,2.14
1400.41,2.22
1414.42,2.3
1428.56,2.38
1442.85,2.47
1457.28,2.55
1471.85,2.63
1486.57,2.72
1501.43,2.8
1516.45,2.89
1531.61,2.97
1546.93,3.06
1562.4,3.16
1578.02,3.26
1593.8,3.36
1609.74,3.47
1625.84,3.57
1642.1,3.67
1658.52,3.76
1675.1,3.85
1691.85,3.93
1708.77,4.03
1725.86,4.15
1743.12,4.27
1760.55,4.39
1778.15,4.51
1795.94,4.64
1813.9,4.77
1832.03,4.9
1850.36,5.04
1868.86,5.17
1887.55,5.29
1906.42,5.42
1925.49,5.56
1944.74,5.72
1964.19,5.89
1983.83,6.06
2003.67,6.22
2023.71,6.39
2043.94,6.56
2064.38,6.73
2085.03,6.91
2105.88,7.08
2126.94,7.24
2148.2,7.4
2169.69,7.55
2191.38,7.72
2213.3,7.9
2235.43,8.07
2257.78,8.25
2280.36,8.43
2303.17,8.59
2326.2,8.74
2349.46,8.89
2372.95,9.03
2396.68,9.18
2420.65,9.31
2444.86,9.45
2469.31,9.59
2494,9.71
2518.94,9.84
2544.13,9.96
2569.57,10.08
2595.27,10.2
2621.22,10.32
2647.43,10.42
2673.9,10.52
2700.64,10.63
2727.65,10.7
2754.93,10.76
2782.48,10.82
2810.3,10.88
2838.4,10.94
2866.79,10.97
2895.46,11.01
2924.41,11.05
2953.65,11.06
2983.19,11.08
3013.02,11.09
3043.15,11.1
3073.58,11.09
3104.32,11.06
3135.36,11.02
3166.72,10.98
3198.38,10.93
3230.37,10.89
3262.67,10.85
3295.3,10.8
3328.25,10.74
3361.53,10.67
3395.15,10.59
3429.1,10.51
3463.39,10.41
3498.03,10.31
3533.01,10.2
3568.34,10.1
3604.02,10
3640.06,9.91
3676.46,9.82
3713.22,9.72
3750.36,9.62
3787.86,9.52
3825.74,9.41
3864,9.3
3902.64,9.18
3941.66,9.06
3981.08,8.93
4020.89,8.81
4061.1,8.69
4101.71,8.57
4142.73,8.48
4184.15,8.38
4226,8.29
4268.26,8.18
4310.94,8.07
4354.05,7.96
4397.59,7.85
4441.56,7.74
4485.98,7.65
4530.84,7.55
4576.15,7.46
4621.91,7.37
4668.13,7.28
4714.81,7.19
4761.96,7.1
4809.58,7.02
4857.67,6.94
4906.25,6.87
4955.31,6.79
5004.87,6.72
5054.91,6.64
5105.46,6.56
5156.52,6.52
5208.08,6.48
5260.16,6.44
5312.77,6.38
5365.89,6.33
5419.55,6.27
5473.75,6.21
5528.49,6.16
5583.77,6.14
5639.61,6.12
5696,6.1
5752.96,6.07
5810.49,6.04
5868.6,6.02
5927.28,5.99
5986.56,5.96
6046.42,5.94
6106.89,5.91
6167.96,5.9
6229.64,5.9
6291.93,5.89
6354.85,5.89
6418.4,5.89
6482.58,5.88
6547.41,5.88
6612.88,5.88
6679.01,5.89
6745.8,5.91
6813.26,5.92
6881.39,5.94
6950.21,5.96
7019.71,5.98
7089.91,5.99
7160.81,6
7232.41,6.01
7304.74,6.03
7377.79,6.04
7451.56,6.05
7526.08,6.07
7601.34,6.08
7677.35,6.05
7754.13,6.01
7831.67,5.97
7909.98,5.91
7989.08,5.86
8068.98,5.8
8149.67,5.74
8231.16,5.68
8313.47,5.59
8396.61,5.5
8480.57,5.41
8565.38,5.31
8651.03,5.18
8737.54,5.05
8824.92,4.93
8913.17,4.8
9002.3,4.66
9092.32,4.52
9183.25,4.39
9275.08,4.25
9367.83,4.12
9461.51,3.99
9556.12,3.86
9651.68,3.71
9748.2,3.56
9845.68,3.41
9944.14,3.25
10043.58,3.1
10144.02,2.95
10245.46,2.81
10347.91,2.66
10451.39,2.51
10555.91,2.37
10661.46,2.23
10768.08,2.09
10875.76,1.95
10984.52,1.8
11094.36,1.64
11205.31,1.49
11317.36,1.33
11430.53,1.17
11544.84,1.03
11660.29,0.91
11776.89,0.8
11894.66,0.68
12013.6,0.56
12133.74,0.44
12255.08,0.33
12377.63,0.21
12501.41,0.1
12626.42,0
12752.68,-0.09
12880.21,-0.19
13009.01,-0.29
13139.1,-0.37
13270.49,-0.46
13403.2,-0.55
13537.23,-0.63
13672.6,-0.72
13809.33,-0.81
13947.42,-0.9
14086.9,-0.99
14227.77,-1.08
14370.04,-1.16
14513.74,-1.24
14658.88,-1.31
14805.47,-1.39
14953.52,-1.49
15103.06,-1.59
15254.09,-1.69
15406.63,-1.78
15560.7,-1.89
15716.3,-2
15873.47,-2.1
16032.2,-2.21
16192.52,-2.32
16354.45,-2.42
16517.99,-2.53
16683.17,-2.64
16850.01,-2.77
17018.51,-2.91
17188.69,-3.05
17360.58,-3.19
17534.18,-3.33
17709.53,-3.46
17886.62,-3.58
18065.49,-3.71
18246.14,-3.83
18428.6,-3.96
18612.89,-4.11
18799.02,-4.26
18987.01,-4.5
19176.88,-4.79
19368.65,-5.09
19562.33,-5.46
19757.96,-5.93
