frequency,raw
20,4.3
20.2,4.3
20.4,4.3
20.61,4.3
20.81,4.3
21.02,4.3
21.23,4.3
21.44,4.3
21.66,4.29
21.87,4.3
22.09,4.3
22.31,4.3
22.54,4.31
22.76,4.31
22.99,4.31
23.22,4.31
23.45,4.31
23.69,4.31
23.92,4.32
24.16,4.32
24.4,4.32
24.65,4.31
24.89,4.31
25.14,4.31
25.39,4.31
25.65,4.31
25.91,4.31
26.16,4.31
26.43,4.31
26.69,4.3
26.96,4.3
27.23,4.31
27.5,4.31
27.77,4.31
28.05,4.32
28.33,4.31
28.62,4.31
28.9,4.31
29.19,4.31
29.48,4.31
29.78,4.3
30.08,4.3
30.38,4.31
30.68,4.31
30.99,4.31
31.3,4.32
31.61,4.32
31.93,4.32
32.24,4.31
32.57,4.31
32.89,4.31
33.22,4.3
33.55,4.3
33.89,4.3
34.23,4.29
34.57,4.29
34.92,4.29
35.27,4.29
35.62,4.3
35.97,4.29
36.33,4.29
36.7,4.28
37.06,4.28
37.43,4.27
37.81,4.26
38.19,4.26
38.57,4.26
38.95,4.26
39.34,4.25
39.74,4.25
40.14,4.25
40.54,4.24
40.94,4.23
41.35,4.22
41.76,4.21
42.18,4.21
42.6,4.2
43.03,4.2
43.46,4.19
43.9,4.18
44.33,4.17
44.78,4.16
45.23,4.15
45.68,4.14
46.13,4.13
46.6,4.12
47.06,4.11
47.53,4.1
48.01,4.09
48.49,4.09
48.97,4.07
49.46,4.06
49.96,4.04
50.46,4.02
50.96,4.01
51.47,4
51.99,3.98
52.51,3.97
53.03,3.95
53.56,3.94
54.1,3.92
54.64,3.9
55.18,3.88
55.74,3.85
56.29,3.84
56.86,3.82
57.42,3.79
58,3.77
58.58,3.75
59.16,3.72
59.76,3.69
60.35,3.66
60.96,3.64
61.57,3.61
62.18,3.58
62.8,3.55
63.43,3.52
64.07,3.48
64.71,3.45
65.35,3.41
66.01,3.38
66.67,3.35
67.33,3.31
68.01,3.28
68.69,3.23
69.37,3.19
70.07,3.14
70.77,3.1
71.48,3.06
72.19,3.01
72.91,2.97
73.64,2.93
74.38,2.87
75.12,2.82
75.87,2.77
76.63,2.71
77.4,2.67
78.17,2.61
78.95,2.56
79.74,2.51
80.54,2.45
81.35,2.39
82.16,2.32
82.98,2.26
83.81,2.21
84.65,2.14
85.5,2.09
86.35,2.02
87.22,1.97
88.09,1.9
88.97,1.84
89.86,1.77
90.76,1.7
91.66,1.64
92.58,1.57
