frequency,raw
20,4.63
20.2,4.63
20.4,4.63
20.61,4.62
20.81,4.61
21.02,4.61
21.23,4.6
21.44,4.6
21.66,4.6
21.87,4.6
22.09,4.6
22.31,4.6
22.54,4.6
22.76,4.6
22.99,4.6
23.22,4.6
23.45,4.59
23.69,4.59
23.92,4.59
24.16,4.59
24.4,4.59
24.65,4.59
24.89,4.59
25.14,4.59
25.39,4.58
25.65,4.58
25.91,4.58
26.16,4.58
26.43,4.58
26.69,4.58
26.96,4.57
27.23,4.57
27.5,4.57
27.77,4.58
28.05,4.58
28.33,4.59
28.62,4.59
28.9,4.6
29.19,4.61
29.48,4.61
29.78,4.6
30.08,4.61
30.38,4.61
30.68,4.62
30.99,4.61
31.3,4.59
31.61,4.58
31.93,4.56
32.24,4.55
32.57,4.54
32.89,4.52
33.22,4.52
33.55,4.51
33.89,4.51
34.23,4.51
34.57,4.5
34.92,4.5
35.27,4.49
35.62,4.49
35.97,4.48
36.33,4.48
36.7,4.47
37.06,4.47
37.43,4.47
37.81,4.48
38.19,4.49
38.57,4.49
38.95,4.5
39.34,4.51
39.74,4.48
40.14,4.46
40.54,4.44
40.94,4.42
41.35,4.4
41.76,4.38
42.18,4.37
42.6,4.36
43.03,4.35
43.46,4.34
43.9,4.33
44.33,4.32
44.78,4.31
45.23,4.3
45.68,4.29
46.13,4.27
46.6,4.26
47.06,4.25
47.53,4.24
48.01,4.24
48.49,4.23
48.97,4.23
49.46,4.22
49.96,4.21
50.46,4.18
50.96,4.15
51.47,4.12
51.99,4.09
52.51,4.07
53.03,4.05
53.56,4.03
54.1,4
54.64,3.98
55.18,3.96
55.74,3.94
56.29,3.91
56.86,3.89
57.42,3.86
58,3.83
58.58,3.81
59.16,3.78
59.76,3.75
60.35,3.72
60.96,3.69
61.57,3.66
62.18,3.63
62.8,3.59
63.43,3.56
64.07,3.52
64.71,3.5
65.35,3.46
66.01,3.42
66.67,3.39
67.33,3.35
68.01,3.3
68.69,3.26
69.37,3.22
70.07,3.16
70.77,3.12
71.48,3.07
72.19,3.02
72.91,2.98
73.64,2.93
74.38,2.88
75.12,2.83
75.87,2.77
76.63,2.71
77.4,2.66
78.17,2.6
78.95,2.54
79.74,2.49
80.54,2.43
81.35,2.37
82.16,2.31
82.98,2.25
83.81,2.2
84.65,2.13
85.5,2.07
86.35,2.01
87.22,1.94
88.09,1.87
88.97,1.81
89.86,1.74
90.76,1.67
91.66,1.6
92.58,1.53
93.51,1.46
94.44,1.39
95.39,1.32
96.34,1.25
97.3,1.19
98.28,1.12
99.26,1.05
100.25,0.98
101.25,0.91
102.27,0.83
103.29,0.76
104.32,0.68
105.37,0.6
106.42,0.53
107.48,0.45
108.56,0.38
109.64,0.31
110.74,0.24
111.85,0.16
112.97,0.09
114.1,0.02
115.24,-0.05
116.39,-0.12
117.55,-0.19
118.73,-0.26
119.92,-0.33
121.12,-0.4
122.33,-0.47
123.55,-0.54
124.79,-0.6
126.03,-0.67
127.29,-0.74
128.57,-0.8
129.85,-0.86
131.15,-0.93
132.46,-0.99
133.79,-1.05
135.12,-1.11
136.48,-1.17
137.84,-1.23
139.22,-1.29
140.61,-1.34
142.02,-1.4
143.44,-1.45
144.87,-1.52
146.32,-1.57
147.78,-1.63
149.26,-1.69
150.75,-1.74
152.26,-1.8
153.78,-1.85
155.32,-1.88
156.88,-1.92
158.44,-1.95
160.03,-1.99
161.63,-2.02
163.24,-2.06
164.88,-2.09
166.53,-2.12
168.19,-2.15
169.87,-2.18
171.57,-2.2
173.29,-2.24
175.02,-2.27
176.77,-2.31
178.54,-2.34
180.32,-2.37
182.13,-2.4
183.95,-2.43
185.79,-2.46
187.65,-2.48
189.52,-2.51
191.42,-2.53
193.33,-2.55
195.27,-2.58
197.22,-2.62
199.19,-2.65
201.18,-2.68
203.19,-2.72
205.23,-2.74
207.28,-2.74
209.35,-2.74
211.44,-2.73
213.56,-2.73
215.69,-2.73
217.85,-2.71
220.03,-2.73
222.23,-2.75
224.45,-2.76
226.7,-2.78
228.96,-2.79
231.25,-2.81
233.57,-2.81
235.9,-2.82
238.26,-2.83
