frequency,raw
20,-8.05
20.2,-8.01
20.4,-7.98
20.61,-7.96
20.81,-7.92
21.02,-7.89
21.23,-7.88
21.44,-7.86
21.66,-7.85
21.87,-7.84
22.09,-7.83
22.31,-7.82
22.54,-7.82
22.76,-7.81
22.99,-7.82
23.22,-7.81
23.45,-7.81
23.69,-7.8
23.92,-7.79
24.16,-7.78
24.4,-7.77
24.65,-7.77
24.89,-7.76
25.14,-7.76
25.39,-7.75
25.65,-7.74
25.91,-7.74
26.16,-7.73
26.43,-7.73
26.69,-7.72
26.96,-7.71
27.23,-7.7
27.5,-7.69
27.77,-7.69
28.05,-7.67
28.33,-7.67
28.62,-7.66
28.9,-7.65
29.19,-7.65
29.48,-7.62
29.78,-7.62
30.08,-7.6
30.38,-7.6
30.68,-7.59
30.99,-7.58
31.3,-7.56
31.61,-7.55
31.93,-7.54
32.24,-7.53
32.57,-7.51
32.89,-7.5
33.22,-7.49
33.55,-7.47
33.89,-7.45
34.23,-7.43
34.57,-7.42
34.92,-7.41
35.27,-7.39
35.62,-7.37
35.97,-7.36
36.33,-7.33
36.7,-7.32
37.06,-7.3
37.43,-7.27
37.81,-7.25
38.19,-7.23
38.57,-7.2
38.95,-7.18
39.34,-7.16
39.74,-7.14
40.14,-7.11
40.54,-7.08
40.94,-7.05
41.35,-7.02
41.76,-6.99
42.18,-6.95
42.6,-6.92
43.03,-6.88
43.46,-6.85
43.9,-6.83
44.33,-6.8
44.78,-6.77
45.23,-6.74
45.68,-6.7
46.13,-6.67
46.6,-6.62
47.06,-6.59
47.53,-6.55
48.01,-6.5
48.49,-6.48
48.97,-6.45
49.46,-6.42
49.96,-6.39
50.46,-6.34
50.96,-6.3
51.47,-6.27
51.99,-6.22
52.51,-6.17
53.03,-6.13
53.56,-6.08
54.1,-6.04
54.64,-5.99
55.18,-5.95
55.74,-5.9
56.29,-5.85
56.86,-5.8
57.42,-5.76
58,-5.7
58.58,-5.65
59.16,-5.59
59.76,-5.53
60.35,-5.49
60.96,-5.43
61.57,-5.39
62.18,-5.35
62.8,-5.29
63.43,-5.25
64.07,-5.19
64.71,-5.13
65.35,-5.08
66.01,-5.02
66.67,-4.97
67.33,-4.92
68.01,-4.86
68.69,-4.81
69.37,-4.76
70.07,-4.7
70.77,-4.64
71.48,-4.59
72.19,-4.54
72.91,-4.49
73.64,-4.44
74.38,-4.38
75.12,-4.34
75.87,-4.28
76.63,-4.22
77.4,-4.17
78.17,-4.12
78.95,-4.06
79.74,-4
80.54,-3.95
81.35,-3.9
82.16,-3.85
82.98,-3.79
83.81,-3.75
84.65,-3.7
85.5,-3.64
86.35,-3.6
87.22,-3.55
88.09,-3.5
88.97,-3.45
89.86,-3.41
90.76,-3.37
91.66,-3.32
92.58,-3.29
93.51,-3.24
94.44,-3.2
95.39,-3.16
96.34,-3.13
97.3,-3.1
98.28,-3.06
99.26,-3.02
100.25,-2.99
101.25,-2.95
102.27,-2.92
103.29,-2.9
104.32,-2.85
105.37,-2.82
106.42,-2.79
107.48,-2.76
108.56,-2.74
109.64,-2.71
110.74,-2.68
111.85,-2.65
112.97,-2.65
114.1,-2.62
115.24,-2.6
116.39,-2.59
117.55,-2.57
118.73,-2.56
119.92,-2.53
121.12,-2.52
122.33,-2.5
123.55,-2.48
124.79,-2.47
126.03,-2.46
127.29,-2.44
128.57,-2.44
129.85,-2.43
131.15,-2.42
132.46,-2.41
133.79,-2.39
135.12,-2.39
136.48,-2.37
137.84,-2.36
139.22,-2.36
140.61,-2.36
142.02,-2.33
143.44,-2.32
144.87,-2.31
146.32,-2.31
147.78,-2.29
149.26,-2.28
150.75,-2.29
152.26,-2.28
153.78,-2.27
155.32,-2.28
156.88,-2.27
158.44,-2.28
160.03,-2.28
161.63,-2.29
163.24,-2.29
164.88,-2.29
166.53,-2.29
168.19,-2.3
169.87,-2.3
171.57,-2.31
173.29,-2.32
175.02,-2.32
176.77,-2.34
178.54,-2.35
180.32,-2.36
182.13,-2.37
183.95,-2.38
185.79,-2.39
187.65,-2.41
189.52,-2.42
191.42,-2.42
193.33,-2.43
195.27,-2.44
197.22,-2.45
199.19,-2.46
201.18,-2.46
203.19,-2.46
205.23,-2.47
207.28,-2.45
209.35,-2.46
211.44,-2.47
213.56,-2.46
215.69,-2.45
217.85,-2.45
220.03,-2.44
222.23,-2.44
224.45,-2.42
226.7,-2.41
228.96,-2.4
231.25,-2.38
233.57,-2.37
235.9,-2.35
238.26,-2.34
240.64,-2.32
243.05,-2.3
245.48,-2.28
247.93,-2.26
250.41,-2.25
252.92,-2.22
255.45,-2.19
258,-2.17
260.58,-2.14
263.19,-2.11
265.82,-2.09
268.48,-2.06
271.16,-2.03
273.87,-2.01
276.61,-1.98
279.38,-1.96
282.17,-1.94
284.99,-1.91
287.84,-1.89
290.72,-1.86
293.63,-1.84
296.57,-1.81
299.53,-1.78
302.53,-1.76
305.55,-1.72
308.61,-1.7
311.69,-1.67
314.81,-1.63
317.96,-1.61
321.14,-1.59
324.35,-1.57
327.59,-1.54
330.87,-1.52
334.18,-1.5
337.52,-1.48
340.9,-1.45
344.3,-1.43
347.75,-1.41
351.23,-1.39
354.74,-1.37
358.28,-1.35
361.87,-1.33
365.49,-1.31
369.14,-1.3
372.83,-1.28
376.56,-1.27
380.33,-1.24
384.13,-1.23
387.97,-1.22
391.85,-1.21
395.77,-1.19
399.73,-1.18
403.72,-1.17
407.76,-1.15
411.84,-1.13
415.96,-1.12
420.12,-1.11
424.32,-1.1
428.56,-1.09
432.85,-1.08
437.18,-1.07
441.55,-1.05
445.96,-1.04
450.42,-1.03
454.93,-1.01
459.48,-1
464.07,-0.98
468.71,-0.96
473.4,-0.95
478.13,-0.93
482.91,-0.92
487.74,-0.9
492.62,-0.88
497.55,-0.87
502.52,-0.85
507.55,-0.84
512.62,-0.82
517.75,-0.8
522.93,-0.78
528.16,-0.77
533.44,-0.75
538.77,-0.73
544.16,-0.71
549.6,-0.69
555.1,-0.68
560.65,-0.66
566.25,-0.64
571.92,-0.63
577.64,-0.62
583.41,-0.6
589.25,-0.58
595.14,-0.56
601.09,-0.55
607.1,-0.53
613.17,-0.51
619.3,-0.49
625.5,-0.47
631.75,-0.46
638.07,-0.44
644.45,-0.43
650.89,-0.41
657.4,-0.4
663.98,-0.38
670.62,-0.37
677.32,-0.36
684.1,-0.35
690.94,-0.33
697.85,-0.32
704.83,-0.31
711.87,-0.3
718.99,-0.29
726.18,-0.28
733.44,-0.27
740.78,-0.25
748.19,-0.24
755.67,-0.24
763.23,-0.23
770.86,-0.22
778.57,-0.21
786.35,-0.2
794.22,-0.2
802.16,-0.19
810.18,-0.18
818.28,-0.18
826.46,-0.17
834.73,-0.17
843.08,-0.16
851.51,-0.16
860.02,-0.14
868.62,-0.14
877.31,-0.13
886.08,-0.12
894.94,-0.11
903.89,-0.11
912.93,-0.1
922.06,-0.09
931.28,-0.09
940.59,-0.08
950,-0.07
959.5,-0.06
969.09,-0.04
978.78,-0.03
988.57,-0.02
998.46,0
1008.44,0.02
1018.53,0.04
1028.71,0.06
1039,0.08
1049.39,0.1
1059.88,0.12
1070.48,0.15
1081.19,0.18
1092,0.21
1102.92,0.24
1113.95,0.27
1125.09,0.31
1136.34,0.35
1147.7,0.41
1159.18,0.45
1170.77,0.49
1182.48,0.54
1194.3,0.59
1206.25,0.64
1218.31,0.7
1230.49,0.75
1242.8,0.8
1255.22,0.86
1267.78,0.92
1280.45,0.98
1293.26,1.05
1306.19,1.11
1319.25,1.19
1332.45,1.26
1345.77,1.33
1359.23,1.4
1372.82,1.48
1386.55,1.55
1400.41,1.62
1414.42,1.69
1428.56,1.77
1442.85,1.85
1457.28,1.92
1471.85,1.99
1486.57,2.06
1501.43,2.14
1516.45,2.23
1531.61,2.31
1546.93,2.41
1562.4,2.5
1578.02,2.59
1593.8,2.67
1609.74,2.77
1625.84,2.87
1642.1,2.98
1658.52,3.09
1675.1,3.19
1691.85,3.29
1708.77,3.41
1725.86,3.52
1743.12,3.64
1760.55,3.75
1778.15,3.88
1795.94,3.99
1813.9,4.11
1832.03,4.24
1850.36,4.37
1868.86,4.49
1887.55,4.62
1906.42,4.74
1925.49,4.87
1944.74,5.01
1964.19,5.14
