frequency,raw
20,-4.54
20.2,-4.54
20.4,-4.54
20.61,-4.54
20.81,-4.54
21.02,-4.54
21.23,-4.54
21.44,-4.54
21.66,-4.54
21.87,-4.53
22.09,-4.53
22.31,-4.53
22.54,-4.52
22.76,-4.52
22.99,-4.52
23.22,-4.52
23.45,-4.52
23.69,-4.52
23.92,-4.51
24.16,-4.51
24.4,-4.51
24.65,-4.51
24.89,-4.51
25.14,-4.51
25.39,-4.51
25.65,-4.51
25.91,-4.51
26.16,-4.51
26.43,-4.51
26.69,-4.51
26.96,-4.51
27.23,-4.5
27.5,-4.5
27.77,-4.5
28.05,-4.49
28.33,-4.49
28.62,-4.49
28.9,-4.49
29.19,-4.49
29.48,-4.49
29.78,-4.49
30.08,-4.49
30.38,-4.48
30.68,-4.48
30.99,-4.47
31.3,-4.46
31.61,-4.46
31.93,-4.46
32.24,-4.46
32.57,-4.46
32.89,-4.46
33.22,-4.46
33.55,-4.46
33.89,-4.46
34.23,-4.46
34.57,-4.46
34.92,-4.45
35.27,-4.45
35.62,-4.44
35.97,-4.44
36.33,-4.44
36.7,-4.44
37.06,-4.44
37.43,-4.44
37.81,-4.44
38.19,-4.44
38.57,-4.43
38.95,-4.43
39.34,-4.43
39.74,-4.42
40.14,-4.42
40.54,-4.42
40.94,-4.42
41.35,-4.42
41.76,-4.42
42.18,-4.42
42.6,-4.42
43.03,-4.41
43.46,-4.41
43.9,-4.41
44.33,-4.41
44.78,-4.41
45.23,-4.41
45.68,-4.4
46.13,-4.4
46.6,-4.4
47.06,-4.4
47.53,-4.39
48.01,-4.39
48.49,-4.38
48.97,-4.38
49.46,-4.38
49.96,-4.38
50.46,-4.38
50.96,-4.38
51.47,-4.37
51.99,-4.37
52.51,-4.36
53.03,-4.36
53.56,-4.35
54.1,-4.35
54.64,-4.35
55.18,-4.35
55.74,-4.35
56.29,-4.34
56.86,-4.34
57.42,-4.34
58,-4.33
58.58,-4.33
59.16,-4.33
59.76,-4.33
60.35,-4.33
60.96,-4.32
61.57,-4.32
62.18,-4.32
62.8,-4.31
63.43,-4.31
64.07,-4.31
64.71,-4.31
65.35,-4.31
66.01,-4.3
66.67,-4.29
67.33,-4.29
68.01,-4.28
68.69,-4.29
69.37,-4.29
70.07,-4.29
70.77,-4.29
71.48,-4.28
72.19,-4.28
72.91,-4.27
73.64,-4.26
74.38,-4.27
75.12,-4.27
75.87,-4.27
76.63,-4.27
77.4,-4.26
78.17,-4.26
78.95,-4.25
