frequency,raw
20,4.96
20.2,4.95
20.4,4.93
20.61,4.92
20.81,4.91
21.02,4.9
21.23,4.89
21.44,4.88
21.66,4.86
21.87,4.86
22.09,4.85
22.31,4.84
22.54,4.84
22.76,4.82
22.99,4.81
23.22,4.8
23.45,4.79
23.69,4.78
23.92,4.77
24.16,4.76
24.4,4.75
24.65,4.74
24.89,4.72
25.14,4.71
25.39,4.7
25.65,4.69
25.91,4.67
26.16,4.66
26.43,4.65
26.69,4.64
26.96,4.63
27.23,4.62
27.5,4.61
27.77,4.6
28.05,4.59
28.33,4.58
28.62,4.57
28.9,4.56
29.19,4.54
29.48,4.53
29.78,4.52
30.08,4.5
30.38,4.5
30.68,4.49
30.99,4.49
31.3,4.48
31.61,4.47
31.93,4.46
32.24,4.44
32.57,4.43
32.89,4.41
33.22,4.4
33.55,4.39
33.89,4.37
34.23,4.36
34.57,4.35
34.92,4.34
35.27,4.33
35.62,4.32
35.97,4.31
36.33,4.29
36.7,4.28
37.06,4.26
37.43,4.25
37.81,4.23
38.19,4.22
38.57,4.21
38.95,4.2
39.34,4.18
39.74,4.18
40.14,4.16
40.54,4.15
40.94,4.13
41.35,4.11
41.76,4.1
42.18,4.08
42.6,4.06
43.03,4.06
43.46,4.04
43.9,4.02
44.33,4
44.78,3.98
45.23,3.97
45.68,3.96
46.13,3.94
46.6,3.92
47.06,3.9
47.53,3.89
48.01,3.87
48.49,3.86
48.97,3.84
49.46,3.82
49.96,3.8
50.46,3.78
50.96,3.75
51.47,3.74
51.99,3.72
52.51,3.71
53.03,3.68
53.56,3.67
54.1,3.65
54.64,3.62
55.18,3.6
55.74,3.57
56.29,3.55
56.86,3.53
57.42,3.5
58,3.48
58.58,3.46
59.16,3.43
59.76,3.4
60.35,3.37
60.96,3.35
61.57,3.32
62.18,3.29
62.8,3.27
63.43,3.23
64.07,3.2
64.71,3.17
65.35,3.13
66.01,3.11
66.67,3.08
67.33,3.05
68.01,3.02
68.69,2.97
69.37,2.93
70.07,2.9
70.77,2.86
71.48,2.83
72.19,2.78
72.91,2.75
73.64,2.72
74.38,2.67
75.12,2.62
75.87,2.58
76.63,2.54
77.4,2.5
78.17,2.45
78.95,2.42
79.74,2.37
80.54,2.32
81.35,2.27
82.16,2.22
82.98,2.17
83.81,2.13
84.65,2.08
85.5,2.04
86.35,1.98
87.22,1.94
88.09,1.89
88.97,1.84
89.86,1.79
90.76,1.73
91.66,1.69
92.58,1.63
93.51,1.57
94.44,1.53
95.39,1.47
96.34,1.42
97.3,1.36
98.28,1.32
99.26,1.26
100.25,1.21
101.25,1.15
102.27,1.09
103.29,1.03
104.32,0.97
105.37,0.91
106.42,0.87
107.48,0.82
108.56,0.76
109.64,0.71
110.74,0.66
111.85,0.6
112.97,0.54
114.1,0.49
115.24,0.44
116.39,0.39
117.55,0.33
118.73,0.29
119.92,0.24
121.12,0.19
122.33,0.13
123.55,0.07
124.79,0.03
126.03,-0.02
127.29,-0.07
128.57,-0.11
129.85,-0.15
131.15,-0.2
132.46,-0.26
133.79,-0.31
135.12,-0.35
136.48,-0.39
137.84,-0.43
139.22,-0.47
140.61,-0.51
142.02,-0.56
143.44,-0.6
144.87,-0.64
146.32,-0.67
147.78,-0.71
149.26,-0.75
150.75,-0.78
152.26,-0.81
153.78,-0.85
155.32,-0.89
156.88,-0.93
158.44,-0.96
160.03,-0.99
161.63,-1.02
163.24,-1.04
164.88,-1.07
166.53,-1.1
168.19,-1.13
169.87,-1.16
171.57,-1.18
173.29,-1.2
175.02,-1.23
176.77,-1.25
178.54,-1.27
180.32,-1.29
182.13,-1.31
183.95,-1.33
185.79,-1.35
187.65,-1.37
189.52,-1.39
191.42,-1.41
193.33,-1.43
195.27,-1.45
197.22,-1.46
199.19,-1.48
201.18,-1.49
203.19,-1.51
205.23,-1.52
207.28,-1.54
209.35,-1.55
211.44,-1.56
213.56,-1.57
215.69,-1.59
217.85,-1.59
220.03,-1.6
222.23,-1.61
224.45,-1.62
226.7,-1.63
228.96,-1.64
231.25,-1.65
233.57,-1.67
235.9,-1.67
238.26,-1.68
240.64,-1.69
243.05,-1.7
245.48,-1.7
247.93,-1.71
250.41,-1.71
252.92,-1.72
255.45,-1.72
258,-1.73
260.58,-1.73
263.19,-1.73
265.82,-1.74
268.48,-1.73
271.16,-1.74
273.87,-1.74
276.61,-1.74
279.38,-1.74
282.17,-1.74
284.99,-1.74
287.84,-1.74
290.72,-1.74
293.63,-1.74
296.57,-1.74
299.53,-1.74
302.53,-1.74
305.55,-1.73
308.61,-1.73
311.69,-1.73
314.81,-1.73
317.96,-1.73
321.14,-1.73
324.35,-1.74
327.59,-1.73
330.87,-1.73
334.18,-1.72
337.52,-1.71
340.9,-1.71
344.3,-1.71
347.75,-1.7
351.23,-1.71
354.74,-1.7
358.28,-1.69
361.87,-1.69
365.49,-1.68
369.14,-1.66
372.83,-1.67
376.56,-1.67
380.33,-1.66
384.13,-1.64
387.97,-1.64
391.85,-1.63
395.77,-1.61
399.73,-1.61
403.72,-1.59
407.76,-1.58
411.84,-1.57
415.96,-1.56
420.12,-1.55
424.32,-1.53
428.56,-1.52
432.85,-1.51
437.18,-1.5
441.55,-1.49
445.96,-1.47
450.42,-1.46
454.93,-1.45
459.48,-1.43
464.07,-1.41
468.71,-1.4
473.4,-1.39
478.13,-1.37
482.91,-1.35
487.74,-1.33
492.62,-1.31
497.55,-1.29
502.52,-1.27
507.55,-1.25
512.62,-1.24
517.75,-1.23
522.93,-1.21
528.16,-1.2
533.44,-1.17
538.77,-1.15
544.16,-1.13
549.6,-1.1
555.1,-1.09
560.65,-1.07
566.25,-1.05
571.92,-1.03
577.64,-1.01
583.41,-0.99
589.25,-0.97
595.14,-0.95
601.09,-0.93
607.1,-0.92
613.17,-0.9
619.3,-0.88
625.5,-0.86
631.75,-0.84
638.07,-0.82
644.45,-0.79
650.89,-0.78
657.4,-0.77
663.98,-0.75
670.62,-0.73
677.32,-0.72
684.1,-0.7
690.94,-0.68
697.85,-0.67
704.83,-0.66
711.87,-0.64
718.99,-0.63
726.18,-0.61
733.44,-0.59
740.78,-0.59
748.19,-0.57
755.67,-0.55
763.23,-0.53
770.86,-0.52
778.57,-0.5
786.35,-0.48
794.22,-0.48
802.16,-0.46
810.18,-0.44
818.28,-0.43
826.46,-0.41
834.73,-0.4
843.08,-0.4
851.51,-0.38
860.02,-0.36
868.62,-0.34
877.31,-0.32
886.08,-0.3
894.94,-0.29
903.89,-0.27
912.93,-0.25
922.06,-0.22
931.28,-0.2
940.59,-0.17
950,-0.15
959.5,-0.13
969.09,-0.11
978.78,-0.08
988.57,-0.05
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.1
1039,0.14
1049.39,0.18
1059.88,0.22
1070.48,0.27
1081.19,0.32
1092,0.36
1102.92,0.41
1113.95,0.46
1125.09,0.5
1136.34,0.54
1147.7,0.59
1159.18,0.64
1170.77,0.7
1182.48,0.76
1194.3,0.82
1206.25,0.87
1218.31,0.92
1230.49,0.97
1242.8,1.03
1255.22,1.1
1267.78,1.16
1280.45,1.23
1293.26,1.3
1306.19,1.35
1319.25,1.4
1332.45,1.46
1345.77,1.53
1359.23,1.6
1372.82,1.68
1386.55,1.74
1400.41,1.8
1414.42,1.85
1428.56,1.92
1442.85,2
1457.28,2.09
1471.85,2.17
1486.57,2.25
1501.43,2.31
1516.45,2.35
1531.61,2.43
1546.93,2.52
1562.4,2.62
1578.02,2.71
1593.8,2.8
1609.74,2.86
1625.84,2.92
1642.1,3.01
1658.52,3.11
1675.1,3.22
1691.85,3.33
1708.77,3.42
1725.86,3.49
1743.12,3.56
1760.55,3.69
1778.15,3.82
1795.94,3.94
1813.9,4.06
1832.03,4.15
1850.36,4.23
1868.86,4.37
1887.55,4.52
1906.42,4.67
1925.49,4.82
1944.74,4.92
1964.19,5.02
1983.83,5.18
2003.67,5.36
2023.71,5.55
2043.94,5.68
2064.38,5.79
2085.03,5.93
2105.88,6.12
2126.94,6.31
2148.2,6.48
2169.69,6.59
2191.38,6.7
2213.3,6.89
2235.43,7.08
2257.78,7.26
2280.36,7.38
2303.17,7.48
2326.2,7.63
2349.46,7.8
2372.95,7.98
2396.68,8.13
2420.65,8.22
2444.86,8.33
2469.31,8.47
2494,8.6
2518.94,8.74
2544.13,8.86
2569.57,8.95
2595.27,9.04
2621.22,9.13
2647.43,9.22
2673.9,9.31
2700.64,9.4
2727.65,9.46
2754.93,9.51
2782.48,9.56
2810.3,9.61
2838.4,9.66
2866.79,9.7
2895.46,9.75
2924.41,9.78
2953.65,9.78
2983.19,9.79
3013.02,9.78
3043.15,9.75
3073.58,9.73
3104.32,9.71
3135.36,9.69
3166.72,9.65
3198.38,9.61
3230.37,9.56
3262.67,9.49
3295.3,9.41
3328.25,9.32
3361.53,9.23
3395.15,9.15
3429.1,9.07
3463.39,8.99
3498.03,8.89
3533.01,8.77
3568.34,8.66
3604.02,8.53
3640.06,8.41
3676.46,8.31
3713.22,8.22
3750.36,8.09
3787.86,7.95
3825.74,7.82
3864,7.67
3902.64,7.56
3941.66,7.47
3981.08,7.36
4020.89,7.23
4061.1,7.09
4101.71,6.95
4142.73,6.81
4184.15,6.71
4226,6.61
4268.26,6.49
4310.94,6.36
4354.05,6.24
4397.59,6.1
4441.56,5.99
4485.98,5.91
4530.84,5.81
4576.15,5.7
4621.91,5.59
4668.13,5.48
4714.81,5.36
4761.96,5.27
