frequency,raw
20,5.4
20.2,5.4
20.4,5.4
20.61,5.4
20.81,5.39
21.02,5.39
21.23,5.39
21.44,5.39
21.66,5.4
21.87,5.42
22.09,5.44
22.31,5.45
22.54,5.47
22.76,5.49
22.99,5.48
23.22,5.47
23.45,5.45
23.69,5.43
23.92,5.42
24.16,5.42
24.4,5.42
24.65,5.42
24.89,5.41
25.14,5.41
25.39,5.41
25.65,5.41
25.91,5.41
26.16,5.41
26.43,5.41
26.69,5.41
26.96,5.41
27.23,5.41
27.5,5.41
27.77,5.41
28.05,5.41
28.33,5.41
28.62,5.41
28.9,5.41
29.19,5.4
29.48,5.39
29.78,5.38
30.08,5.37
30.38,5.36
30.68,5.36
30.99,5.36
31.3,5.36
31.61,5.36
31.93,5.36
32.24,5.36
32.57,5.36
32.89,5.36
33.22,5.36
33.55,5.36
33.89,5.36
34.23,5.36
34.57,5.36
34.92,5.36
35.27,5.36
35.62,5.36
35.97,5.36
36.33,5.36
36.7,5.36
37.06,5.36
37.43,5.35
37.81,5.35
38.19,5.35
38.57,5.35
38.95,5.35
39.34,5.35
39.74,5.35
40.14,5.34
40.54,5.33
40.94,5.32
41.35,5.31
41.76,5.3
42.18,5.29
42.6,5.28
43.03,5.27
43.46,5.26
43.9,5.26
44.33,5.25
44.78,5.25
45.23,5.24
45.68,5.23
46.13,5.23
46.6,5.22
47.06,5.21
47.53,5.2
48.01,5.18
48.49,5.17
48.97,5.16
49.46,5.15
49.96,5.14
50.46,5.12
50.96,5.11
51.47,5.09
51.99,5.07
52.51,5.05
53.03,5.03
53.56,5.02
54.1,4.99
54.64,4.96
55.18,4.94
55.74,4.92
56.29,4.89
56.86,4.87
57.42,4.85
58,4.82
58.58,4.79
59.16,4.76
59.76,4.74
60.35,4.71
60.96,4.69
61.57,4.66
62.18,4.64
62.8,4.61
63.43,4.59
64.07,4.56
64.71,4.53
65.35,4.49
66.01,4.45
66.67,4.41
67.33,4.37
68.01,4.33
68.69,4.29
69.37,4.26
70.07,4.22
70.77,4.18
71.48,4.13
72.19,4.08
72.91,4.04
73.64,3.99
74.38,3.96
75.12,3.92
75.87,3.88
76.63,3.82
77.4,3.75
78.17,3.69
78.95,3.61
79.74,3.56
80.54,3.5
81.35,3.44
82.16,3.37
82.98,3.31
83.81,3.26
84.65,3.21
85.5,3.16
86.35,3.1
87.22,3.03
88.09,2.96
88.97,2.89
89.86,2.83
90.76,2.76
91.66,2.69
92.58,2.63
93.51,2.56
94.44,2.49
95.39,2.43
96.34,2.36
97.3,2.3
98.28,2.23
99.26,2.16
100.25,2.09
101.25,2.02
102.27,1.95
103.29,1.87
104.32,1.8
105.37,1.72
106.42,1.65
107.48,1.58
108.56,1.52
109.64,1.45
110.74,1.38
111.85,1.31
112.97,1.24
114.1,1.17
115.24,1.1
116.39,1.04
117.55,0.97
118.73,0.91
119.92,0.84
121.12,0.78
122.33,0.71
123.55,0.65
124.79,0.59
126.03,0.52
127.29,0.47
128.57,0.42
129.85,0.37
131.15,0.3
132.46,0.24
133.79,0.18
135.12,0.11
136.48,0.05
137.84,0.02
139.22,-0.02
140.61,-0.06
142.02,-0.11
143.44,-0.17
144.87,-0.22
146.32,-0.28
147.78,-0.33
