frequency,raw
20.00,-285.02
20.20,-283.53
20.40,-281.96
20.61,-280.67
20.81,-278.96
21.02,-277.57
21.23,-276.07
21.44,-274.48
21.66,-273.19
21.87,-271.45
22.09,-270.01
22.31,-268.52
22.54,-267.22
22.76,-265.58
22.99,-264.14
23.22,-262.65
23.45,-261.11
23.69,-259.77
23.92,-258.08
24.16,-256.58
24.40,-255.09
24.65,-253.75
24.89,-252.06
25.14,-250.62
25.39,-249.08
25.65,-247.78
25.91,-246.37
26.16,-244.64
26.43,-243.36
26.69,-241.77
26.96,-240.33
27.23,-238.88
27.50,-237.29
27.77,-235.70
28.05,-234.26
28.33,-232.77
28.62,-231.43
28.90,-229.78
29.19,-228.34
29.48,-226.80
29.78,-225.41
30.08,-223.97
30.38,-222.48
30.68,-220.89
30.99,-219.47
31.30,-218.00
31.61,-216.41
31.93,-215.02
32.24,-213.33
32.57,-211.99
32.89,-210.39
33.22,-208.90
33.55,-207.36
33.89,-205.97
34.23,-204.53
34.57,-202.99
34.92,-201.54
35.27,-200.10
35.62,-198.56
35.97,-196.92
36.33,-195.43
36.70,-194.09
37.06,-192.45
37.43,-190.95
37.81,-189.56
38.19,-188.12
38.57,-186.58
38.95,-184.99
39.34,-183.50
39.74,-182.15
40.14,-180.71
40.54,-179.17
40.94,-177.58
41.35,-176.09
41.76,-174.55
42.18,-173.10
42.60,-171.56
43.03,-170.17
43.46,-168.68
43.90,-167.24
44.33,-165.60
44.78,-164.25
45.23,-162.76
45.68,-161.27
46.13,-159.63
46.60,-158.29
47.06,-156.70
47.53,-155.21
48.01,-153.79
48.49,-152.28
48.97,-150.73
49.46,-149.24
49.96,-147.85
50.46,-146.36
50.96,-144.76
51.47,-143.32
51.99,-141.88
52.51,-140.39
53.03,-138.85
53.56,-137.36
54.10,-135.91
54.64,-134.42
55.18,-132.83
55.74,-131.44
56.29,-129.85
56.86,-128.46
57.42,-126.87
58.00,-125.42
58.58,-123.93
59.16,-122.39
59.76,-121.00
60.35,-119.41
60.96,-118.00
61.57,-116.52
62.18,-114.93
62.80,-113.44
63.43,-111.95
64.07,-110.56
64.71,-109.02
65.35,-107.47
66.01,-106.03
66.67,-104.54
67.33,-103.00
68.01,-101.56
68.69,-100.07
69.37,-98.53
70.07,-97.08
70.77,-95.59
71.48,-94.10
72.19,-92.56
72.91,-91.07
