frequency,raw
20.00,-46.85
20.20,-46.71
20.40,-46.57
20.61,-46.43
20.81,-46.29
21.02,-46.15
21.23,-46.01
21.44,-45.87
21.66,-45.73
21.87,-45.59
22.09,-45.45
22.31,-45.31
22.54,-45.18
22.76,-45.05
22.99,-44.91
23.22,-44.78
23.45,-44.64
23.69,-44.52
23.92,-44.39
24.16,-44.26
24.40,-44.13
24.65,-44.01
24.89,-43.88
25.14,-43.75
25.39,-43.61
25.65,-43.48
25.91,-43.34
26.16,-43.21
26.43,-43.07
26.69,-42.93
26.96,-42.80
27.23,-42.67
27.50,-42.54
27.77,-42.40
28.05,-42.27
28.33,-42.14
28.62,-42.00
28.90,-41.87
29.19,-41.73
29.48,-41.59
29.78,-41.45
30.08,-41.32
30.38,-41.18
30.68,-41.04
30.99,-40.91
31.30,-40.78
31.61,-40.65
31.93,-40.52
32.24,-40.38
32.57,-40.25
32.89,-40.12
33.22,-39.98
33.55,-39.85
33.89,-39.72
34.23,-39.58
34.57,-39.45
34.92,-39.32
35.27,-39.18
35.62,-39.04
35.97,-38.91
36.33,-38.77
36.70,-38.63
37.06,-38.50
37.43,-38.36
37.81,-38.23
38.19,-38.10
38.57,-37.97
38.95,-37.83
39.34,-37.70
39.74,-37.57
40.14,-37.44
40.54,-37.31
40.94,-37.18
41.35,-37.05
41.76,-36.92
42.18,-36.79
42.60,-36.66
43.03,-36.52
43.46,-36.38
43.90,-36.24
44.33,-36.10
44.78,-35.96
45.23,-35.82
45.68,-35.69
46.13,-35.56
46.60,-35.44
47.06,-35.31
47.53,-35.19
48.01,-35.06
48.49,-34.94
48.97,-34.81
49.46,-34.67
49.96,-34.53
50.46,-34.39
50.96,-34.26
51.47,-34.12
51.99,-33.98
52.51,-33.85
53.03,-33.72
53.56,-33.59
54.10,-33.46
54.64,-33.33
55.18,-33.20
55.74,-33.06
56.29,-32.93
56.86,-32.79
57.42,-32.65
58.00,-32.51
58.58,-32.37
59.16,-32.24
59.76,-32.10
60.35,-31.97
60.96,-31.83
61.57,-31.70
62.18,-31.57
62.80,-31.43
63.43,-31.30
64.07,-31.17
64.71,-31.03
65.35,-30.90
66.01,-30.76
66.67,-30.63
67.33,-30.49
68.01,-30.36
68.69,-30.22
69.37,-30.09
70.07,-29.95
70.77,-29.82
71.48,-29.68
72.19,-29.55
72.91,-29.41
73.64,-29.28
74.38,-29.15
75.12,-29.02
75.87,-28.88
76.63,-28.75
77.40,-28.62
78.17,-28.49
78.95,-28.36
79.74,-28.23
80.54,-28.10
81.35,-27.98
82.16,-27.85
82.98,-27.72
83.81,-27.57
84.65,-27.43
85.50,-27.29
86.35,-27.15
87.22,-27.01
88.09,-26.87
88.97,-26.74
89.86,-26.61
90.76,-26.49
91.66,-26.36
92.58,-26.24
93.51,-26.11
94.44,-25.99
95.39,-25.85
96.34,-25.71
97.30,-25.57
98.28,-25.43
99.26,-25.29
100.25,-25.15
101.25,-25.01
102.27,-24.87
103.29,-24.74
104.32,-24.60
105.37,-24.47
106.42,-24.33
107.48,-24.20
108.56,-24.06
109.64,-23.93
110.74,-23.79
111.85,-23.66
112.97,-23.52
114.10,-23.39
115.24,-23.25
116.39,-23.12
117.55,-22.99
118.73,-22.86
119.92,-22.74
121.12,-22.61
122.33,-22.48
123.55,-22.35
124.79,-22.21
126.03,-22.07
127.29,-21.92
128.57,-21.78
129.85,-21.64
131.15,-21.50
132.46,-21.37
133.79,-21.24
135.12,-21.11
136.48,-20.98
137.84,-20.86
139.22,-20.73
140.61,-20.60
142.02,-20.47
143.44,-20.33
144.87,-20.19
146.32,-20.06
