frequency,raw
20.00,-27.23
20.20,-27.27
20.40,-27.30
20.61,-27.34
20.81,-27.38
21.02,-27.41
21.23,-27.45
21.44,-27.48
21.66,-27.52
21.87,-27.56
22.09,-27.59
22.31,-27.63
22.54,-27.67
22.76,-27.70
22.99,-27.74
23.22,-27.77
23.45,-27.81
23.69,-27.85
23.92,-27.88
24.16,-27.92
24.40,-27.96
24.65,-27.99
24.89,-28.05
25.14,-28.18
25.39,-28.32
25.65,-28.45
25.91,-28.59
26.16,-28.72
26.43,-28.86
26.69,-28.99
26.96,-29.13
27.23,-29.26
27.50,-29.40
27.77,-29.53
28.05,-29.67
28.33,-29.80
28.62,-29.94
28.90,-30.07
29.19,-30.21
29.48,-30.34
29.78,-30.47
30.08,-30.61
30.38,-30.74
30.68,-30.88
30.99,-31.01
31.30,-31.15
31.61,-31.12
31.93,-31.03
32.24,-30.95
32.57,-30.86
32.89,-30.78
33.22,-30.70
33.55,-30.61
33.89,-30.53
34.23,-30.44
34.57,-30.36
34.92,-30.28
35.27,-30.19
35.62,-30.11
35.97,-30.02
36.33,-29.94
36.70,-29.86
37.06,-29.77
37.43,-29.69
37.81,-29.60
38.19,-29.52
38.57,-29.43
38.95,-29.35
39.34,-29.27
39.74,-29.24
40.14,-29.33
40.54,-29.42
40.94,-29.51
41.35,-29.60
41.76,-29.69
42.18,-29.78
42.60,-29.87
43.03,-29.96
43.46,-30.05
43.90,-30.14
44.33,-30.23
44.78,-30.32
45.23,-30.41
45.68,-30.51
46.13,-30.60
46.60,-30.69
47.06,-30.78
47.53,-30.87
48.01,-30.96
48.49,-31.05
48.97,-31.14
49.46,-31.17
49.96,-31.15
50.46,-31.14
50.96,-31.12
51.47,-31.10
51.99,-31.09
52.51,-31.07
53.03,-31.05
53.56,-31.04
54.10,-31.02
54.64,-31.00
55.18,-30.99
55.74,-30.97
56.29,-30.95
56.86,-30.94
57.42,-30.92
58.00,-30.91
58.58,-30.89
59.16,-30.87
59.76,-30.86
60.35,-30.84
60.96,-30.82
61.57,-30.81
62.18,-30.80
62.80,-30.91
63.43,-31.02
64.07,-31.13
64.71,-31.24
65.35,-31.35
66.01,-31.46
66.67,-31.57
67.33,-31.68
68.01,-31.79
68.69,-31.90
69.37,-32.01
70.07,-32.12
70.77,-32.23
71.48,-32.34
72.19,-32.45
72.91,-32.56
73.64,-32.67
74.38,-32.78
75.12,-32.89
75.87,-33.00
76.63,-33.11
77.40,-33.22
78.17,-33.33
78.95,-33.44
79.74,-33.55
80.54,-33.60
81.35,-33.66
82.16,-33.71
82.98,-33.76
83.81,-33.82
84.65,-33.87
85.50,-33.93
86.35,-33.98
87.22,-34.04
88.09,-34.09
88.97,-34.14
89.86,-34.20
90.76,-34.25
91.66,-34.31
92.58,-34.36
93.51,-34.41
94.44,-34.47
95.39,-34.52
96.34,-34.58
97.30,-34.63
98.28,-34.69
99.26,-34.72
100.25,-34.69
101.25,-34.65
102.27,-34.62
103.29,-34.58
104.32,-34.54
105.37,-34.51
106.42,-34.47
107.48,-34.44
108.56,-34.40
109.64,-34.37
110.74,-34.33
111.85,-34.29
112.97,-34.26
114.10,-34.22
115.24,-34.19
116.39,-34.15
117.55,-34.12
118.73,-34.08
119.92,-34.04
121.12,-34.01
122.33,-33.97
123.55,-33.79
124.79,-33.38
126.03,-32.97
127.29,-32.56
128.57,-32.16
129.85,-31.75
131.15,-31.34
132.46,-30.93
133.79,-30.52
135.12,-30.11
136.48,-29.70
137.84,-29.29
139.22,-28.89
140.61,-28.48
142.02,-28.07
143.44,-27.66
144.87,-27.25
146.32,-26.84
147.78,-26.43
149.26,-26.02
150.75,-25.62
152.26,-25.21
153.78,-24.80
155.32,-24.39
156.88,-23.98
158.44,-23.63
160.03,-23.43
161.63,-23.23
163.24,-23.03
164.88,-22.83
166.53,-22.63
168.19,-22.43
169.87,-22.23
171.57,-22.03
173.29,-21.83
175.02,-21.63
176.77,-21.44
178.54,-21.24
180.32,-21.04
182.13,-20.84
183.95,-20.64
185.79,-20.44
187.65,-20.24
189.52,-20.04
191.42,-19.84
193.33,-19.64
195.27,-19.44
197.22,-19.23
199.19,-19.01
201.18,-18.79
203.19,-18.57
205.23,-18.35
207.28,-18.13
209.35,-17.91
211.44,-17.69
213.56,-17.47
215.69,-17.25
217.85,-17.03
220.03,-16.81
222.23,-16.59
224.45,-16.37
226.70,-16.15
228.96,-15.93
231.25,-15.71
233.57,-15.49
235.90,-15.27
238.26,-15.05
240.64,-14.83
243.05,-14.61
245.48,-14.39
247.93,-14.17
250.41,-13.95
252.92,-13.77
255.45,-13.65
258.00,-13.53
260.58,-13.42
263.19,-13.30
265.82,-13.18
268.48,-13.06
271.16,-12.94
273.87,-12.83
276.61,-12.71
279.38,-12.59
282.17,-12.47
284.99,-12.36
287.84,-12.24
290.72,-12.12
293.63,-12.00
296.57,-11.89
299.53,-11.77
302.53,-11.65
305.55,-11.53
308.61,-11.41
311.69,-11.30
314.81,-11.18
317.96,-11.06
321.14,-11.03
324.35,-11.01
327.59,-10.99
330.87,-10.97
334.18,-10.95
337.52,-10.94
340.90,-10.92
344.30,-10.90
347.75,-10.88
351.23,-10.86
354.74,-10.84
358.28,-10.82
361.87,-10.80
365.49,-10.78
369.14,-10.76
372.83,-10.74
376.56,-10.72
380.33,-10.70
384.13,-10.68
387.97,-10.66
391.85,-10.64
395.77,-10.61
399.73,-10.58
403.72,-10.55
407.76,-10.52
411.84,-10.49
415.96,-10.46
420.12,-10.43
424.32,-10.40
428.56,-10.37
432.85,-10.34
437.18,-10.31
441.55,-10.28
445.96,-10.25
450.42,-10.22
454.93,-10.19
459.48,-10.17
464.07,-10.14
468.71,-10.11
473.40,-10.08
478.13,-10.05
482.91,-10.02
487.74,-9.99
492.62,-9.96
497.55,-9.93
502.52,-9.90
507.55,-9.87
512.62,-9.65
517.75,-9.44
522.93,-9.22
528.16,-9.00
533.44,-8.78
538.77,-8.57
544.16,-8.35
549.60,-8.13
555.10,-7.91
560.65,-7.70
566.25,-7.48
571.92,-7.26
577.64,-7.04
583.41,-6.83
589.25,-6.61
595.14,-6.39
601.09,-6.17
607.10,-5.95
613.17,-5.74
619.30,-5.52
625.50,-5.30
631.75,-5.08
638.07,-4.86
644.45,-4.65
650.89,-4.43
657.40,-4.21
663.98,-3.99
670.62,-3.77
677.32,-3.55
684.10,-3.33
690.94,-3.12
697.85,-2.90
704.83,-2.68
711.87,-2.46
718.99,-2.24
726.18,-2.02
733.44,-1.80
740.78,-1.58
748.19,-1.37
755.67,-1.15
763.23,-0.93
770.86,-0.71
778.57,-0.49
786.35,-0.27
794.22,-0.05
802.16,-0.00
810.18,0.00
818.28,0.00
826.46,0.00
834.73,0.00
843.08,0.00
851.51,0.00
860.02,0.00
868.62,0.00
877.31,0.00
886.08,0.00
894.94,0.00
903.89,0.00
912.93,0.00
922.06,0.00
931.28,0.00
940.59,0.00
950.00,0.00
959.50,0.00
969.09,0.00
978.78,0.00
988.57,0.00
998.46,0.00
1008.44,0.00
1018.53,0.00
1028.71,-0.16
1039.00,-0.42
1049.39,-0.67
1059.88,-0.93
1070.48,-1.19
1081.19,-1.44
1092.00,-1.70
1102.92,-1.96
1113.95,-2.21
1125.09,-2.47
1136.34,-2.73
1147.70,-2.98
1159.18,-3.24
1170.77,-3.50
1182.48,-3.75
1194.30,-4.01
1206.25,-4.27
1218.31,-4.52
1230.49,-4.71
1242.80,-4.62
1255.22,-4.52
1267.78,-4.43
1280.45,-4.34
1293.26,-4.24
1306.19,-4.15
1319.25,-4.05
1332.45,-3.96
1345.77,-3.87
1359.23,-3.77
1372.82,-3.68
1386.55,-3.58
1400.41,-3.49
1414.42,-3.40
1428.56,-3.30
1442.85,-3.21
1457.28,-3.11
1471.85,-3.02
1486.57,-2.93
1501.43,-2.83
1516.45,-2.74
1531.61,-2.65
1546.93,-2.55
1562.40,-2.46
1578.02,-2.36
1593.80,-2.20
1609.74,-2.04
1625.84,-1.89
1642.10,-1.73
1658.52,-1.57
1675.10,-1.42
1691.85,-1.26
1708.77,-1.10
1725.86,-0.94
1743.12,-0.79
1760.55,-0.63
1778.15,-0.47
1795.94,-0.32
1813.90,-0.16
1832.03,0.00
1850.36,0.16
1868.86,0.31
1887.55,0.47
1906.42,0.63
1925.49,0.78
1944.74,0.94
1964.19,1.10
1983.83,1.26
2003.67,1.41
2023.71,1.57
2043.94,1.38
2064.38,1.16
2085.03,0.94
2105.88,0.72
2126.94,0.50
2148.20,0.29
2169.69,0.07
2191.38,-0.15
2213.30,-0.37
2235.43,-0.58
2257.78,-0.80
2280.36,-1.02
2303.17,-1.24
2326.20,-1.45
2349.46,-1.67
2372.95,-1.89
2396.68,-2.11
2420.65,-2.32
2444.86,-2.54
2469.31,-2.76
2494.00,-2.98
2518.94,-3.13
2544.13,-2.93
2569.57,-2.73
2595.27,-2.53
2621.22,-2.33
2647.43,-2.13
2673.90,-1.93
2700.64,-1.73
2727.65,-1.53
2754.93,-1.33
2782.48,-1.13
2810.30,-0.93
2838.40,-0.73
2866.79,-0.53
2895.46,-0.33
2924.41,-0.13
2953.65,0.07
2983.19,0.27
3013.02,0.47
3043.15,0.67
3073.58,0.87
3104.32,1.07
3135.36,1.25
3166.72,1.41
3198.38,1.56
3230.37,1.72
3262.67,1.88
3295.30,2.03
3328.25,2.19
3361.53,2.35
3395.15,2.50
3429.10,2.66
3463.39,2.82
3498.03,2.97
3533.01,3.13
3568.34,3.29
3604.02,3.44
3640.06,3.60
3676.46,3.76
3713.22,3.92
3750.36,4.07
3787.86,4.23
3825.74,4.39
3864.00,4.54
3902.64,4.70
3941.66,4.86
3981.08,5.01
4020.89,5.13
4061.10,5.11
4101.71,5.09
4142.73,5.07
4184.15,5.05
4226.00,5.04
4268.26,5.02
4310.94,5.00
4354.05,4.98
4397.59,4.96
4441.56,4.95
4485.98,4.93
4530.84,4.91
4576.15,4.89
4621.91,4.87
4668.13,4.86
4714.81,4.84
4761.96,4.82
4809.58,4.80
4857.67,4.79
4906.25,4.77
4955.31,4.75
5004.87,4.67
5054.91,4.53
5105.46,4.39
5156.52,4.25
5208.08,4.11
5260.16,3.97
5312.77,3.83
5365.89,3.68
5419.55,3.54
5473.75,3.40
5528.49,3.26
5583.77,3.12
5639.61,2.98
5696.00,2.84
5752.96,2.70
5810.49,2.55
5868.60,2.41
5927.28,2.27
5986.56,2.13
6046.42,1.99
6106.89,1.85
6167.96,1.71
6229.64,1.57
6291.93,1.42
6354.85,1.28
6418.40,1.10
6482.58,0.82
6547.41,0.55
6612.88,0.28
6679.01,0.01
6745.80,-0.26
6813.26,-0.53
6881.39,-0.81
6950.21,-1.08
7019.71,-1.35
7089.91,-1.62
7160.81,-1.89
7232.41,-2.17
7304.74,-2.44
7377.79,-2.71
7451.56,-2.98
7526.08,-3.25
7601.34,-3.52
7677.35,-3.80
7754.13,-4.07
7831.67,-4.34
7909.98,-4.61
7989.08,-4.75
8068.98,-4.79
8149.67,-4.82
8231.16,-4.86
8313.47,-4.90
8396.61,-4.93
8480.57,-4.97
8565.38,-5.00
8651.03,-5.04
8737.54,-5.08
8824.92,-5.11
8913.17,-5.15
9002.30,-5.19
9092.32,-5.22
9183.25,-5.26
9275.08,-5.29
9367.83,-5.33
9461.51,-5.37
9556.12,-5.40
9651.68,-5.44
9748.20,-5.48
9845.68,-5.51
9944.14,-5.80
10043.58,-6.15
10144.02,-6.50
10245.46,-6.86
10347.91,-7.21
10451.39,-7.57
10555.91,-7.92
10661.46,-8.27
10768.08,-8.63
10875.76,-8.98
10984.52,-9.33
11094.36,-9.69
11205.31,-10.04
11317.36,-10.39
11430.53,-10.75
11544.84,-11.10
11660.29,-11.45
11776.89,-11.81
11894.66,-12.16
12013.60,-12.51
12133.74,-12.87
12255.08,-13.22
12377.63,-13.57
12501.41,-13.75
12626.42,-13.56
12752.68,-13.37
