frequency,raw
20.00,-33.31
20.20,-33.22
20.40,-33.14
20.61,-33.05
20.81,-32.96
21.02,-32.87
21.23,-32.79
21.44,-32.70
21.66,-32.61
21.87,-32.52
22.09,-32.43
22.31,-32.35
22.54,-32.26
22.76,-32.17
22.99,-32.08
23.22,-31.99
23.45,-31.91
23.69,-31.82
23.92,-31.73
24.16,-31.64
24.40,-31.55
24.65,-31.47
24.89,-31.38
25.14,-31.29
25.39,-31.20
25.65,-31.11
25.91,-31.03
26.16,-30.94
26.43,-30.85
26.69,-30.76
26.96,-30.67
27.23,-30.59
27.50,-30.50
27.77,-30.41
28.05,-30.32
28.33,-30.23
28.62,-30.15
28.90,-30.06
29.19,-29.97
29.48,-29.88
29.78,-29.79
30.08,-29.71
30.38,-29.62
30.68,-29.53
30.99,-29.44
31.30,-29.35
31.61,-29.27
31.93,-29.18
32.24,-29.09
32.57,-29.00
32.89,-28.92
33.22,-28.83
33.55,-28.74
33.89,-28.65
34.23,-28.56
34.57,-28.48
34.92,-28.39
35.27,-28.30
35.62,-28.21
35.97,-28.12
36.33,-28.04
36.70,-27.95
37.06,-27.86
37.43,-27.77
37.81,-27.68
38.19,-27.60
38.57,-27.51
38.95,-27.42
39.34,-27.33
39.74,-27.24
40.14,-27.16
40.54,-27.07
40.94,-26.98
41.35,-26.89
41.76,-26.80
42.18,-26.72
42.60,-26.63
43.03,-26.54
43.46,-26.45
43.90,-26.36
44.33,-26.28
44.78,-26.19
45.23,-26.10
45.68,-26.01
46.13,-25.92
46.60,-25.84
47.06,-25.75
47.53,-25.66
48.01,-25.57
48.49,-25.49
48.97,-25.40
49.46,-25.31
49.96,-25.22
50.46,-25.13
50.96,-25.05
51.47,-24.96
51.99,-24.87
52.51,-24.78
53.03,-24.69
53.56,-24.61
54.10,-24.52
54.64,-24.43
55.18,-24.34
55.74,-24.25
56.29,-24.17
56.86,-24.08
57.42,-23.99
58.00,-23.90
58.58,-23.81
59.16,-23.73
59.76,-23.64
60.35,-23.55
60.96,-23.46
61.57,-23.37
62.18,-23.29
62.80,-23.20
63.43,-23.11
64.07,-23.02
64.71,-22.93
65.35,-22.85
66.01,-22.76
66.67,-22.67
67.33,-22.58
68.01,-22.49
68.69,-22.41
69.37,-22.32
70.07,-22.23
70.77,-22.14
71.48,-22.05
72.19,-21.97
72.91,-21.88
73.64,-21.79
74.38,-21.70
75.12,-21.62
75.87,-21.53
76.63,-21.44
77.40,-21.35
78.17,-21.26
78.95,-21.18
79.74,-21.09
80.54,-21.00
81.35,-20.91
82.16,-20.82
82.98,-20.74
83.81,-20.65
84.65,-20.56
85.50,-20.47
86.35,-20.38
87.22,-20.30
88.09,-20.21
88.97,-20.12
89.86,-20.03
90.76,-19.94
91.66,-19.86
92.58,-19.77
93.51,-19.68
94.44,-19.59
95.39,-19.50
96.34,-19.42
97.30,-19.33
98.28,-19.24
99.26,-19.15
100.25,-19.06
101.25,-18.98
102.27,-18.89
103.29,-18.80
104.32,-18.71
105.37,-18.62
106.42,-18.54
107.48,-18.45
108.56,-18.36
109.64,-18.27
110.74,-18.18
111.85,-18.10
112.97,-18.01
114.10,-17.92
115.24,-17.83
116.39,-17.75
117.55,-17.66
118.73,-17.57
119.92,-17.48
121.12,-17.39
122.33,-17.31
123.55,-17.22
124.79,-17.13
126.03,-17.04
127.29,-16.95
128.57,-16.87
129.85,-16.78
131.15,-16.69
132.46,-16.60
133.79,-16.51
135.12,-16.43
136.48,-16.34
137.84,-16.25
139.22,-16.16
140.61,-16.07
142.02,-15.99
143.44,-15.90
144.87,-15.81
146.32,-15.72
147.78,-15.63
149.26,-15.55
150.75,-15.46
152.26,-15.37
153.78,-15.28
155.32,-15.19
156.88,-15.11
158.44,-15.02
160.03,-14.93
161.63,-14.84
163.24,-14.75
164.88,-14.67
166.53,-14.58
168.19,-14.49
169.87,-14.40
171.57,-14.31
173.29,-14.23
175.02,-14.14
176.77,-14.05
178.54,-13.96
180.32,-13.88
182.13,-13.79
183.95,-13.70
185.79,-13.61
187.65,-13.52
189.52,-13.44
191.42,-13.35
193.33,-13.26
195.27,-13.17
197.22,-13.08
199.19,-13.00
201.18,-12.91
203.19,-12.82
205.23,-12.73
207.28,-12.64
209.35,-12.56
211.44,-12.47
213.56,-12.38
215.69,-12.29
217.85,-12.20
220.03,-12.12
222.23,-12.03
224.45,-11.94
226.70,-11.85
228.96,-11.76
231.25,-11.68
233.57,-11.59
235.90,-11.50
238.26,-11.41
240.64,-11.32
243.05,-11.24
245.48,-11.15
247.93,-11.06
250.41,-10.97
252.92,-10.88
255.45,-10.80
258.00,-10.71
260.58,-10.62
263.19,-10.53
265.82,-10.45
268.48,-10.37
271.16,-10.29
273.87,-10.21
276.61,-10.13
279.38,-10.05
282.17,-9.97
284.99,-9.90
287.84,-9.83
290.72,-9.77
293.63,-9.69
296.57,-9.62
299.53,-9.56
302.53,-9.50
305.55,-9.45
308.61,-9.40
311.69,-9.36
314.81,-9.32
317.96,-9.28
321.14,-9.24
324.35,-9.20
327.59,-9.17
330.87,-9.15
334.18,-9.13
337.52,-9.11
340.90,-9.08
344.30,-9.05
347.75,-9.03
351.23,-9.01
354.74,-9.00
358.28,-8.97
361.87,-8.95
365.49,-8.93
369.14,-8.91
372.83,-8.87
376.56,-8.84
380.33,-8.80
384.13,-8.76
387.97,-8.72
391.85,-8.67
395.77,-8.60
399.73,-8.52
403.72,-8.42
407.76,-8.33
411.84,-8.24
415.96,-8.15
420.12,-8.04
424.32,-7.93
428.56,-7.81
432.85,-7.70
437.18,-7.58
441.55,-7.46
445.96,-7.35
450.42,-7.24
454.93,-7.12
459.48,-7.01
464.07,-6.90
468.71,-6.79
473.40,-6.69
478.13,-6.61
482.91,-6.54
487.74,-6.46
492.62,-6.39
497.55,-6.32
502.52,-6.24
507.55,-6.18
512.62,-6.11
517.75,-6.05
522.93,-5.98
528.16,-5.90
533.44,-5.83
538.77,-5.75
544.16,-5.67
549.60,-5.58
555.10,-5.49
560.65,-5.37
566.25,-5.24
571.92,-5.11
577.64,-4.95
583.41,-4.76
589.25,-4.56
595.14,-4.34
601.09,-4.10
607.10,-3.86
613.17,-3.61
619.30,-3.35
625.50,-3.08
631.75,-2.81
638.07,-2.54
644.45,-2.27
650.89,-1.99
657.40,-1.73
663.98,-1.46
670.62,-1.19
677.32,-0.93
684.10,-0.66
690.94,-0.41
697.85,-0.16
704.83,0.08
711.87,0.29
718.99,0.51
726.18,0.68
733.44,0.84
740.78,1.00
748.19,1.13
755.67,1.21
763.23,1.30
770.86,1.39
778.57,1.45
786.35,1.48
794.22,1.50
802.16,1.53
810.18,1.53
818.28,1.52
826.46,1.50
834.73,1.48
843.08,1.44
851.51,1.39
860.02,1.34
868.62,1.27
877.31,1.19
886.08,1.11
894.94,1.01
903.89,0.90
912.93,0.79
922.06,0.67
931.28,0.56
940.59,0.44
950.00,0.34
959.50,0.26
969.09,0.17
978.78,0.12
988.57,0.08
998.46,0.02
1008.44,-0.10
1018.53,-0.22
1028.71,-0.36
1039.00,-0.51
1049.39,-0.66
1059.88,-0.79
1070.48,-0.89
1081.19,-0.97
1092.00,-0.99
1102.92,-0.96
1113.95,-0.84
1125.09,-0.64
1136.34,-0.26
1147.70,0.26
1159.18,0.94
1170.77,1.69
1182.48,2.50
1194.30,3.17
1206.25,3.62
1218.31,3.86
1230.49,3.93
1242.80,4.03
1255.22,4.17
1267.78,4.36
1280.45,4.51
1293.26,4.65
1306.19,4.70
1319.25,4.74
1332.45,4.75
1345.77,4.75
1359.23,4.75
1372.82,4.75
1386.55,4.75
1400.41,4.76
1414.42,4.78
1428.56,4.81
1442.85,4.88
1457.28,4.99
1471.85,5.09
1486.57,5.19
1501.43,5.29
1516.45,5.38
1531.61,5.47
1546.93,5.56
1562.40,5.65
1578.02,5.73
1593.80,5.82
1609.74,5.95
1625.84,6.08
1642.10,6.23
1658.52,6.42
1675.10,6.62
1691.85,6.78
1708.77,6.90
1725.86,7.02
1743.12,7.13
1760.55,7.20
1778.15,7.24
1795.94,7.28
1813.90,7.32
1832.03,7.36
1850.36,7.38
1868.86,7.41
1887.55,7.43
1906.42,7.46
1925.49,7.48
1944.74,7.50
1964.19,7.52
1983.83,7.54
2003.67,7.57
2023.71,7.59
2043.94,7.62
2064.38,7.64
2085.03,7.67
2105.88,7.70
2126.94,7.74
2148.20,7.76
2169.69,7.80
2191.38,7.85
2213.30,7.91
2235.43,7.97
2257.78,8.03
2280.36,8.08
2303.17,8.14
2326.20,8.20
2349.46,8.27
2372.95,8.34
2396.68,8.40
2420.65,8.46
2444.86,8.52
2469.31,8.59
2494.00,8.65
2518.94,8.72
2544.13,8.78
2569.57,8.83
2595.27,8.90
2621.22,8.95
2647.43,9.01
2673.90,9.06
2700.64,9.11
2727.65,9.16
2754.93,9.21
2782.48,9.25
2810.30,9.30
2838.40,9.34
2866.79,9.38
2895.46,9.41
2924.41,9.44
2953.65,9.47
2983.19,9.50
3013.02,9.52
3043.15,9.55
3073.58,9.58
3104.32,9.59
3135.36,9.59
3166.72,9.59
3198.38,9.60
3230.37,9.60
3262.67,9.61
3295.30,9.61
3328.25,9.62
3361.53,9.60
3395.15,9.58
3429.10,9.57
3463.39,9.55
3498.03,9.53
3533.01,9.51
3568.34,9.49
3604.02,9.47
3640.06,9.43
3676.46,9.39
3713.22,9.35
3750.36,9.31
3787.86,9.27
3825.74,9.23
3864.00,9.19
3902.64,9.15
3941.66,9.10
3981.08,9.04
4020.89,8.97
4061.10,8.92
4101.71,8.86
4142.73,8.79
4184.15,8.74
4226.00,8.68
4268.26,8.61
4310.94,8.54
4354.05,8.48
4397.59,8.41
4441.56,8.34
4485.98,8.27
4530.84,8.21
4576.15,8.14
4621.91,8.06
4668.13,7.99
4714.81,7.92
4761.96,7.85
4809.58,7.77
4857.67,7.70
4906.25,7.63
4955.31,7.57
5004.87,7.50
5054.91,7.43
5105.46,7.37
5156.52,7.30
5208.08,7.23
5260.16,7.17
5312.77,7.11
5365.89,7.05
5419.55,6.99
5473.75,6.93
5528.49,6.87
5583.77,6.81
5639.61,6.75
5696.00,6.69
5752.96,6.62
5810.49,6.56
5868.60,6.51
5927.28,6.45
5986.56,6.39
6046.42,6.33
6106.89,6.28
6167.96,6.22
6229.64,6.15
6291.93,6.09
6354.85,6.03
6418.40,5.96
6482.58,5.90
6547.41,5.83
6612.88,5.77
6679.01,5.70
6745.80,5.62
6813.26,5.55
6881.39,5.47
6950.21,5.39
7019.71,5.31
7089.91,5.21
7160.81,5.10
7232.41,4.99
7304.74,4.88
7377.79,4.77
7451.56,4.66
7526.08,4.54
7601.34,4.42
7677.35,4.28
7754.13,4.12
7831.67,3.96
7909.98,3.81
7989.08,3.66
8068.98,3.51
8149.67,3.36
8231.16,3.21
8313.47,3.05
8396.61,2.90
8480.57,2.74
8565.38,2.59
8651.03,2.44
8737.54,2.29
8824.92,2.14
8913.17,2.00
9002.30,1.86
9092.32,1.73
9183.25,1.59
9275.08,1.45
9367.83,1.32
9461.51,1.19
9556.12,1.06
9651.68,0.94
9748.20,0.81
9845.68,0.68
9944.14,0.55
10043.58,0.42
10144.02,0.26
10245.46,0.10
10347.91,-0.06
10451.39,-0.26
10555.91,-0.47
10661.46,-0.69
10768.08,-0.92
10875.76,-1.16
10984.52,-1.42
11094.36,-1.67
11205.31,-1.93
11317.36,-2.21
11430.53,-2.51
11544.84,-2.82
11660.29,-3.13
11776.89,-3.46
11894.66,-3.78
12013.60,-4.10
12133.74,-4.43
12255.08,-4.82
12377.63,-5.17
12501.41,-5.48
12626.42,-5.83
12752.68,-6.19
12880.21,-6.53
13009.01,-6.84
13139.10,-7.12
13270.49,-7.38
13403.20,-7.60
13537.23,-7.79
13672.60,-7.94
13809.33,-8.03
13947.42,-8.13
14086.90,-8.22
14227.77,-8.31
14370.04,-8.38
14513.74,-8.36
14658.88,-8.33
14805.47,-8.31
14953.52,-8.29
15103.06,-8.26
15254.09,-8.17
15406.63,-8.05
15560.70,-7.92
15716.30,-7.79
15873.47,-7.63
16032.20,-7.45
16192.52,-7.26
16354.45,-7.05
16517.99,-6.81
16683.17,-6.57
16850.01,-6.31
17018.51,-6.03
17188.69,-5.77
17360.58,-5.55
17534.18,-5.35
17709.53,-5.16
17886.62,-5.08
18065.49,-5.05
18246.14,-5.02
18428.60,-5.27
18612.89,-5.76
18799.02,-6.56
18987.01,-7.92
19176.88,-9.38
19368.65,-11.64
19562.33,-13.94
19757.96,-16.69
19955.54,-20.52
