frequency,raw
20.00,-48.08
20.20,-47.93
20.40,-47.79
20.61,-47.65
20.81,-47.50
21.02,-47.35
21.23,-47.21
21.44,-47.06
21.66,-46.92
21.87,-46.77
22.09,-46.63
22.31,-46.48
22.54,-46.33
22.76,-46.19
22.99,-46.04
23.22,-45.90
23.45,-45.75
23.69,-45.61
23.92,-45.46
24.16,-45.32
24.40,-45.17
24.65,-45.03
24.89,-44.88
25.14,-44.74
25.39,-44.59
25.65,-44.45
25.91,-44.31
26.16,-44.16
26.43,-44.01
26.69,-43.87
26.96,-43.72
27.23,-43.58
27.50,-43.43
27.77,-43.29
28.05,-43.14
28.33,-43.00
28.62,-42.85
28.90,-42.71
29.19,-42.56
29.48,-42.42
29.78,-42.27
30.08,-42.13
30.38,-41.98
30.68,-41.83
30.99,-41.69
31.30,-41.54
31.61,-41.40
31.93,-41.25
32.24,-41.11
32.57,-40.96
32.89,-40.82
33.22,-40.67
33.55,-40.53
33.89,-40.38
34.23,-40.24
34.57,-40.09
34.92,-39.95
35.27,-39.80
35.62,-39.66
35.97,-39.51
36.33,-39.37
36.70,-39.22
37.06,-39.08
37.43,-38.93
37.81,-38.79
38.19,-38.64
38.57,-38.50
38.95,-38.35
39.34,-38.21
39.74,-38.06
40.14,-37.92
40.54,-37.77
40.94,-37.62
41.35,-37.48
41.76,-37.33
42.18,-37.19
42.60,-37.04
43.03,-36.90
43.46,-36.75
43.90,-36.61
44.33,-36.46
44.78,-36.32
45.23,-36.17
45.68,-36.03
46.13,-35.88
46.60,-35.74
47.06,-35.59
47.53,-35.45
48.01,-35.30
48.49,-35.16
48.97,-35.01
49.46,-34.87
49.96,-34.72
50.46,-34.58
50.96,-34.43
51.47,-34.29
51.99,-34.14
52.51,-34.00
53.03,-33.85
53.56,-33.71
54.10,-33.56
54.64,-33.42
55.18,-33.27
55.74,-33.12
56.29,-32.98
56.86,-32.83
57.42,-32.69
58.00,-32.54
58.58,-32.40
59.16,-32.25
59.76,-32.11
60.35,-31.96
60.96,-31.82
61.57,-31.67
62.18,-31.53
62.80,-31.38
63.43,-31.24
64.07,-31.09
64.71,-30.95
65.35,-30.80
66.01,-30.66
66.67,-30.51
67.33,-30.37
68.01,-30.22
68.69,-30.08
69.37,-29.93
70.07,-29.79
70.77,-29.64
71.48,-29.50
72.19,-29.35
72.91,-29.21
73.64,-29.06
74.38,-28.92
75.12,-28.77
75.87,-28.62
76.63,-28.48
77.40,-28.33
78.17,-28.19
78.95,-28.04
79.74,-27.90
80.54,-27.75
81.35,-27.61
82.16,-27.46
82.98,-27.32
83.81,-27.17
84.65,-27.03
85.50,-26.88
86.35,-26.74
87.22,-26.59
88.09,-26.45
88.97,-26.30
89.86,-26.16
90.76,-26.01
91.66,-25.87
92.58,-25.72
93.51,-25.58
94.44,-25.43
95.39,-25.29
96.34,-25.14
97.30,-25.00
98.28,-24.85
99.26,-24.71
100.25,-24.56
101.25,-24.42
102.27,-24.27
103.29,-24.12
104.32,-23.98
105.37,-23.83
106.42,-23.69
107.48,-23.54
108.56,-23.40
109.64,-23.25
110.74,-23.11
111.85,-22.96
112.97,-22.82
114.10,-22.67
115.24,-22.53
116.39,-22.38
117.55,-22.24
118.73,-22.09
119.92,-21.95
121.12,-21.80
122.33,-21.66
123.55,-21.51
124.79,-21.37
126.03,-21.22
127.29,-21.08
128.57,-20.93
129.85,-20.79
131.15,-20.64
132.46,-20.50
133.79,-20.35
135.12,-20.21
136.48,-20.06
137.84,-19.92
139.22,-19.77
140.61,-19.62
142.02,-19.48
143.44,-19.33
144.87,-19.19
146.32,-19.04
147.78,-18.90
149.26,-18.75
150.75,-18.61
152.26,-18.46
153.78,-18.32
155.32,-18.17
156.88,-18.03
158.44,-17.88
160.03,-17.74
161.63,-17.59
163.24,-17.45
164.88,-17.30
166.53,-17.16
168.19,-17.01
169.87,-16.87
171.57,-16.72
173.29,-16.58
175.02,-16.43
176.77,-16.29
178.54,-16.14
180.32,-16.00
182.13,-15.85
183.95,-15.71
185.79,-15.56
187.65,-15.42
189.52,-15.27
191.42,-15.12
193.33,-14.98
195.27,-14.83
197.22,-14.69
199.19,-14.54
201.18,-14.40
203.19,-14.25
205.23,-14.11
207.28,-13.96
209.35,-13.82
211.44,-13.67
213.56,-13.53
215.69,-13.38
217.85,-13.24
220.03,-13.09
222.23,-12.95
224.45,-12.80
226.70,-12.66
228.96,-12.51
231.25,-12.37
233.57,-12.22
235.90,-12.08
238.26,-11.93
240.64,-11.79
243.05,-11.64
245.48,-11.50
247.93,-11.35
250.41,-11.21
252.92,-11.06
255.45,-10.92
258.00,-10.78
260.58,-10.65
263.19,-10.51
265.82,-10.39
268.48,-10.26
271.16,-10.14
273.87,-10.02
276.61,-9.91
279.38,-9.81
282.17,-9.70
284.99,-9.60
287.84,-9.52
290.72,-9.45
293.63,-9.39
296.57,-9.33
299.53,-9.27
302.53,-9.22
305.55,-9.19
308.61,-9.16
311.69,-9.13
314.81,-9.09
317.96,-9.06
321.14,-9.04
324.35,-9.01
327.59,-8.98
330.87,-8.96
334.18,-8.91
337.52,-8.86
340.90,-8.81
344.30,-8.76
347.75,-8.70
351.23,-8.60
354.74,-8.48
358.28,-8.37
361.87,-8.26
365.49,-8.14
369.14,-8.00
372.83,-7.86
376.56,-7.72
380.33,-7.58
384.13,-7.44
387.97,-7.31
391.85,-7.18
395.77,-7.05
399.73,-6.92
403.72,-6.79
407.76,-6.69
411.84,-6.61
415.96,-6.52
420.12,-6.44
424.32,-6.36
428.56,-6.28
432.85,-6.21
437.18,-6.14
441.55,-6.07
445.96,-6.00
450.42,-5.91
454.93,-5.83
459.48,-5.74
464.07,-5.66
468.71,-5.57
473.40,-5.45
478.13,-5.32
482.91,-5.20
487.74,-5.05
492.62,-4.86
497.55,-4.67
502.52,-4.45
507.55,-4.22
512.62,-3.99
517.75,-3.75
522.93,-3.50
528.16,-3.25
533.44,-2.99
538.77,-2.74
544.16,-2.49
549.60,-2.23
555.10,-1.98
560.65,-1.74
566.25,-1.49
571.92,-1.25
577.64,-1.00
583.41,-0.78
589.25,-0.55
595.14,-0.34
601.09,-0.12
607.10,0.08
613.17,0.26
619.30,0.45
625.50,0.60
631.75,0.73
638.07,0.86
644.45,0.99
650.89,1.09
657.40,1.16
663.98,1.23
670.62,1.30
677.32,1.37
684.10,1.41
690.94,1.43
697.85,1.45
704.83,1.47
711.87,1.49
718.99,1.49
726.18,1.48
733.44,1.47
740.78,1.46
748.19,1.45
755.67,1.42
763.23,1.39
770.86,1.36
778.57,1.32
786.35,1.29
794.22,1.23
802.16,1.18
810.18,1.12
818.28,1.07
826.46,1.01
834.73,0.94
843.08,0.87
851.51,0.80
860.02,0.73
868.62,0.66
877.31,0.59
886.08,0.52
894.94,0.45
903.89,0.38
912.93,0.32
922.06,0.27
931.28,0.23
940.59,0.18
950.00,0.13
959.50,0.10
969.09,0.07
978.78,0.05
988.57,0.03
998.46,0.01
1008.44,-0.04
1018.53,-0.10
1028.71,-0.16
1039.00,-0.22
1049.39,-0.28
1059.88,-0.34
1070.48,-0.41
1081.19,-0.48
1092.00,-0.55
1102.92,-0.62
1113.95,-0.68
1125.09,-0.74
1136.34,-0.79
1147.70,-0.85
1159.18,-0.90
1170.77,-0.93
1182.48,-0.96
1194.30,-0.99
1206.25,-1.02
1218.31,-1.04
1230.49,-1.03
1242.80,-1.02
1255.22,-1.02
1267.78,-1.01
1280.45,-0.99
1293.26,-0.94
1306.19,-0.89
1319.25,-0.85
1332.45,-0.80
1345.77,-0.73
1359.23,-0.62
1372.82,-0.51
1386.55,-0.40
1400.41,-0.29
1414.42,-0.15
1428.56,-0.01
1442.85,0.14
1457.28,0.29
1471.85,0.46
1486.57,0.64
1501.43,0.81
1516.45,0.99
1531.61,1.17
1546.93,1.34
1562.40,1.52
1578.02,1.70
1593.80,1.88
1609.74,2.07
1625.84,2.25
1642.10,2.44
1658.52,2.60
1675.10,2.76
1691.85,2.92
1708.77,3.05
1725.86,3.17
1743.12,3.30
1760.55,3.42
1778.15,3.51
1795.94,3.58
1813.90,3.66
1832.03,3.73
1850.36,3.80
1868.86,3.82
1887.55,3.84
1906.42,3.86
1925.49,3.87
1944.74,3.89
1964.19,3.92
1983.83,3.96
2003.67,3.99
2023.71,4.02
2043.94,4.06
2064.38,4.12
2085.03,4.19
2105.88,4.25
2126.94,4.32
2148.20,4.38
2169.69,4.43
2191.38,4.49
2213.30,4.54
2235.43,4.60
2257.78,4.64
2280.36,4.65
2303.17,4.67
2326.20,4.69
2349.46,4.70
2372.95,4.71
2396.68,4.71
2420.65,4.71
2444.86,4.71
2469.31,4.71
2494.00,4.71
2518.94,4.71
2544.13,4.71
2569.57,4.71
2595.27,4.71
2621.22,4.72
2647.43,4.73
2673.90,4.74
2700.64,4.76
2727.65,4.77
2754.93,4.83
2782.48,4.90
2810.30,4.97
2838.40,5.04
2866.79,5.11
2895.46,5.18
2924.41,5.25
2953.65,5.32
2983.19,5.38
3013.02,5.45
3043.15,5.52
3073.58,5.59
3104.32,5.65
3135.36,5.72
3166.72,5.80
3198.38,5.92
3230.37,6.03
3262.67,6.15
3295.30,6.31
3328.25,6.49
3361.53,6.67
3395.15,6.79
3429.10,6.90
3463.39,7.01
3498.03,7.12
3533.01,7.17
3568.34,7.21
3604.02,7.25
3640.06,7.29
3676.46,7.33
3713.22,7.35
3750.36,7.38
3787.86,7.40
3825.74,7.43
3864.00,7.45
3902.64,7.48
3941.66,7.50
3981.08,7.53
4020.89,7.56
4061.10,7.59
4101.71,7.62
4142.73,7.66
4184.15,7.70
4226.00,7.73
4268.26,7.78
4310.94,7.86
4354.05,7.94
4397.59,8.01
4441.56,8.09
4485.98,8.17
4530.84,8.26
4576.15,8.35
4621.91,8.43
4668.13,8.52
4714.81,8.61
4761.96,8.70
4809.58,8.78
4857.67,8.87
4906.25,8.95
4955.31,9.03
5004.87,9.10
5054.91,9.17
5105.46,9.24
5156.52,9.31
5208.08,9.36
5260.16,9.40
5312.77,9.45
5365.89,9.49
5419.55,9.54
5473.75,9.55
5528.49,9.55
5583.77,9.56
5639.61,9.57
5696.00,9.58
5752.96,9.55
5810.49,9.52
5868.60,9.49
5927.28,9.46
5986.56,9.42
6046.42,9.35
6106.89,9.28
6167.96,9.21
6229.64,9.14
6291.93,9.06
6354.85,8.95
6418.40,8.85
6482.58,8.74
6547.41,8.64
6612.88,8.52
6679.01,8.40
6745.80,8.28
6813.26,8.16
6881.39,8.03
6950.21,7.90
7019.71,7.77
7089.91,7.64
7160.81,7.52
7232.41,7.40
7304.74,7.28
7377.79,7.16
7451.56,7.05
7526.08,6.94
7601.34,6.83
7677.35,6.72
7754.13,6.61
7831.67,6.50
7909.98,6.40
7989.08,6.29
8068.98,6.19
8149.67,6.07
8231.16,5.96
8313.47,5.84
8396.61,5.73
8480.57,5.59
8565.38,5.46
8651.03,5.32
8737.54,5.15
8824.92,4.95
8913.17,4.75
9002.30,4.55
9092.32,4.34
9183.25,4.06
9275.08,3.79
9367.83,3.52
9461.51,3.26
9556.12,2.99
9651.68,2.72
9748.20,2.46
9845.68,2.20
9944.14,1.95
10043.58,1.72
10144.02,1.48
10245.46,1.26
10347.91,1.04
10451.39,0.83
10555.91,0.62
10661.46,0.40
10768.08,0.14
10875.76,-0.12
10984.52,-0.46
11094.36,-0.81
11205.31,-1.20
11317.36,-1.61
11430.53,-2.01
11544.84,-2.47
11660.29,-2.95
11776.89,-3.45
11894.66,-3.94
12013.60,-4.43
12133.74,-5.03
12255.08,-5.49
12377.63,-6.00
12501.41,-6.53
12626.42,-6.97
12752.68,-7.36
12880.21,-7.68
13009.01,-7.94
13139.10,-8.07
13270.49,-8.20
13403.20,-8.33
13537.23,-8.42
13672.60,-8.39
13809.33,-8.36
13947.42,-8.33
14086.90,-8.30
14227.77,-8.17
14370.04,-8.01
14513.74,-7.86
14658.88,-7.68
14805.47,-7.47
14953.52,-7.26
15103.06,-7.01
15254.09,-6.75
15406.63,-6.48
15560.70,-6.20
15716.30,-5.92
15873.47,-5.68
16032.20,-5.49
16192.52,-5.29
16354.45,-5.14
16517.99,-5.11
16683.17,-5.09
16850.01,-5.06
17018.51,-5.23
17188.69,-5.56
17360.58,-6.01
17534.18,-6.67
17709.53,-7.48
17886.62,-8.83
18065.49,-9.47
18246.14,-10.91
18428.60,-12.09
18612.89,-13.27
18799.02,-14.45
18987.01,-15.64
19176.88,-16.82
19368.65,-18.00
19562.33,-19.19
19757.96,-20.37
19955.54,-21.55
