frequency,raw
20.00,-30.94
20.20,-30.20
20.40,-29.32
20.61,-28.62
20.81,-27.94
21.02,-27.55
21.23,-26.39
21.44,-25.36
21.66,-24.90
21.87,-23.92
22.09,-23.02
22.31,-21.94
22.54,-21.31
22.76,-20.53
22.99,-19.24
23.22,-18.27
23.45,-17.71
23.69,-17.21
23.92,-16.72
24.16,-16.53
24.40,-16.24
24.65,-16.03
24.89,-15.94
25.14,-15.93
25.39,-16.00
25.65,-16.14
25.91,-16.27
26.16,-16.70
26.43,-17.09
26.69,-17.57
26.96,-18.04
27.23,-18.45
27.50,-18.79
27.77,-20.27
28.05,-21.28
28.33,-22.11
28.62,-22.90
28.90,-23.56
29.19,-24.14
29.48,-25.03
29.78,-26.66
30.08,-27.34
30.38,-27.78
30.68,-28.67
30.99,-28.91
31.30,-29.30
31.61,-29.67
31.93,-29.89
32.24,-29.75
32.57,-29.58
32.89,-29.23
33.22,-28.84
33.55,-28.30
33.89,-27.21
34.23,-26.48
34.57,-25.47
34.92,-24.73
35.27,-24.13
35.62,-23.30
35.97,-22.36
36.33,-21.42
36.70,-20.87
37.06,-20.15
37.43,-19.32
37.81,-18.51
38.19,-17.91
38.57,-16.71
38.95,-16.13
39.34,-15.42
39.74,-14.95
40.14,-14.57
40.54,-14.23
40.94,-14.01
41.35,-13.83
41.76,-13.69
42.18,-13.61
42.60,-13.52
43.03,-13.47
43.46,-13.35
43.90,-13.18
44.33,-12.96
44.78,-12.50
45.23,-12.14
45.68,-11.90
46.13,-11.49
46.60,-10.99
47.06,-10.22
47.53,-9.52
48.01,-9.06
48.49,-8.52
48.97,-7.89
49.46,-7.29
49.96,-6.77
50.46,-6.09
50.96,-5.55
51.47,-5.03
51.99,-4.72
52.51,-4.26
53.03,-3.76
53.56,-3.11
54.10,-2.73
54.64,-2.24
55.18,-1.78
55.74,-1.40
56.29,-0.99
56.86,-0.51
57.42,0.15
58.00,0.77
58.58,1.40
59.16,2.09
59.76,2.70
60.35,3.17
60.96,3.32
61.57,3.34
62.18,3.23
62.80,3.01
63.43,2.76
64.07,2.59
64.71,2.34
65.35,1.99
66.01,1.55
66.67,1.08
67.33,0.71
68.01,0.56
68.69,0.72
69.37,1.08
70.07,1.62
70.77,2.42
71.48,3.24
72.19,4.02
72.91,4.76
73.64,5.25
74.38,5.57
75.12,5.69
75.87,5.55
76.63,5.49
77.40,5.39
78.17,5.17
78.95,4.60
79.74,3.88
80.54,3.27
81.35,2.94
82.16,3.03
82.98,3.42
83.81,4.14
84.65,4.85
85.50,5.65
86.35,6.31
87.22,6.92
88.09,7.48
88.97,7.98
89.86,8.54
90.76,9.05
91.66,9.29
92.58,8.90
93.51,8.05
94.44,6.33
95.39,4.22
96.34,2.49
97.30,1.96
98.28,1.98
99.26,2.53
100.25,3.35
101.25,4.05
102.27,4.53
103.29,4.73
104.32,4.75
105.37,4.72
106.42,4.81
107.48,5.13
108.56,5.59
109.64,6.13
110.74,6.75
111.85,7.41
112.97,8.07
114.10,8.72
115.24,9.32
116.39,9.75
117.55,9.76
118.73,9.18
119.92,8.14
121.12,6.65
122.33,4.53
123.55,3.21
124.79,2.39
126.03,2.31
127.29,2.66
128.57,3.57
129.85,4.55
131.15,5.54
132.46,6.04
133.79,6.25
135.12,6.15
136.48,5.88
137.84,5.56
139.22,5.30
140.61,5.14
142.02,5.05
143.44,4.99
144.87,4.91
146.32,4.71
147.78,4.48
149.26,4.19
150.75,3.83
152.26,3.35
153.78,2.72
155.32,1.88
156.88,0.83
158.44,-0.09
160.03,-0.80
161.63,-1.20
163.24,-1.44
164.88,-1.30
166.53,-1.03
168.19,-0.38
169.87,0.48
171.57,1.67
173.29,3.03
175.02,4.37
176.77,5.48
178.54,6.19
180.32,6.49
182.13,6.56
183.95,6.46
185.79,6.35
187.65,6.28
189.52,6.32
191.42,6.44
193.33,6.64
195.27,6.83
197.22,6.95
199.19,7.06
201.18,7.06
203.19,7.03
