frequency,raw
20.00,-9.12
20.20,-9.13
20.40,-9.13
20.61,-9.14
20.81,-9.14
21.02,-9.15
21.23,-9.15
21.44,-9.16
21.66,-9.16
21.87,-9.17
22.09,-9.17
22.31,-9.26
22.54,-9.37
22.76,-9.47
22.99,-9.57
23.22,-9.67
23.45,-9.78
23.69,-9.88
23.92,-9.99
24.16,-10.26
24.40,-10.56
24.65,-10.81
24.89,-11.11
25.14,-11.38
25.39,-11.67
25.65,-11.96
25.91,-12.27
26.16,-12.59
26.43,-12.88
26.69,-13.29
26.96,-13.72
27.23,-14.15
27.50,-14.57
27.77,-14.93
28.05,-15.25
28.33,-15.59
28.62,-15.93
28.90,-16.28
29.19,-16.42
29.48,-16.53
29.78,-16.63
30.08,-16.74
30.38,-16.85
30.68,-16.78
30.99,-16.58
31.30,-16.37
31.61,-16.17
31.93,-15.97
32.24,-15.77
32.57,-15.56
32.89,-15.03
33.22,-14.49
33.55,-13.95
33.89,-13.40
34.23,-12.84
34.57,-12.29
34.92,-11.76
35.27,-11.20
35.62,-10.60
35.97,-9.99
36.33,-9.41
36.70,-8.86
37.06,-8.27
37.43,-7.70
37.81,-7.17
38.19,-6.65
38.57,-6.08
38.95,-5.64
39.34,-5.21
39.74,-4.78
40.14,-4.36
40.54,-3.85
40.94,-3.31
41.35,-2.71
41.76,-1.94
42.18,-1.21
42.60,-0.45
43.03,0.27
43.46,1.01
43.90,1.89
44.33,2.86
44.78,3.98
45.23,5.14
45.68,6.26
46.13,7.42
46.60,8.48
47.06,9.59
47.53,10.66
48.01,11.69
48.49,12.72
48.97,13.70
49.46,14.66
49.96,15.41
50.46,16.15
50.96,16.78
51.47,17.28
51.99,17.76
52.51,18.26
53.03,18.39
53.56,18.45
54.10,18.51
54.64,18.57
55.18,18.63
55.74,18.69
56.29,18.76
56.86,18.70
57.42,18.53
58.00,18.35
58.58,18.17
59.16,18.00
59.76,17.82
60.35,17.64
60.96,17.45
61.57,16.97
62.18,16.49
62.80,16.02
63.43,15.59
64.07,15.25
64.71,14.91
65.35,14.56
66.01,14.22
66.67,13.88
67.33,11.40
68.01,12.00
68.69,12.38
69.37,12.77
70.07,13.15
70.77,13.54
71.48,13.92
72.19,14.31
72.91,14.69
73.64,15.08
74.38,15.46
75.12,15.85
75.87,16.07
76.63,15.65
77.40,15.23
78.17,14.82
78.95,14.40
79.74,13.98
80.54,13.57
81.35,13.18
82.16,12.78
82.98,12.39
83.81,12.00
84.65,11.61
85.50,11.22
86.35,10.68
87.22,9.88
88.09,8.96
88.97,7.91
89.86,6.86
90.76,5.81
91.66,5.55
92.58,6.56
93.51,7.50
94.44,8.05
95.39,8.46
96.34,8.87
97.30,9.27
98.28,9.68
99.26,10.12
100.25,12.66
101.25,14.48
102.27,16.76
103.29,17.23
104.32,17.68
105.37,18.13
106.42,18.58
107.48,20.59
108.56,21.88
109.64,20.39
110.74,19.44
111.85,18.94
112.97,18.43
114.10,17.93
115.24,17.43
116.39,16.30
117.55,14.95
118.73,12.93
119.92,12.00
121.12,11.08
122.33,10.20
123.55,9.31
124.79,8.98
126.03,8.77
127.29,8.56
128.57,8.35
129.85,8.07
131.15,7.53
132.46,6.98
133.79,6.43
135.12,5.87
136.48,5.11
137.84,4.34
139.22,3.57
140.61,2.80
142.02,2.03
143.44,3.55
144.87,-0.82
146.32,-2.63
147.78,-0.53
149.26,1.56
150.75,3.67
152.26,8.18
153.78,11.63
155.32,14.37
156.88,15.74
158.44,17.12
160.03,18.49
161.63,18.67
163.24,17.31
164.88,16.22
166.53,15.81
168.19,15.40
169.87,14.99
171.57,14.58
173.29,14.18
175.02,13.90
176.77,13.63
178.54,13.35
