frequency,raw
20.00,-45.39
20.20,-44.59
20.40,-43.78
20.61,-43.03
20.81,-42.20
21.02,-41.42
21.23,-40.62
21.44,-39.82
21.66,-39.07
21.87,-38.22
22.09,-37.45
22.31,-36.64
22.54,-35.91
22.76,-35.08
22.99,-34.30
23.22,-33.51
23.45,-32.70
23.69,-31.95
23.92,-31.12
24.16,-30.33
24.40,-29.51
24.65,-28.76
24.89,-27.93
25.14,-27.16
25.39,-26.35
25.65,-25.59
25.91,-24.79
26.16,-23.91
26.43,-23.13
26.69,-22.26
26.96,-21.43
27.23,-20.58
27.50,-19.71
27.77,-18.74
28.05,-17.84
28.33,-16.97
28.62,-16.17
28.90,-15.29
29.19,-15.02
29.48,-14.74
29.78,-14.49
30.08,-14.23
30.38,-14.81
30.68,-15.75
30.99,-16.67
31.30,-22.01
31.61,-23.97
31.93,-25.03
32.24,-26.14
32.57,-26.48
32.89,-26.07
33.22,-25.67
33.55,-25.27
33.89,-24.89
34.23,-24.07
34.57,-23.21
34.92,-22.45
35.27,-21.72
35.62,-20.96
35.97,-20.22
36.33,-19.49
36.70,-18.76
37.06,-17.97
37.43,-17.19
37.81,-16.44
38.19,-15.66
38.57,-14.92
38.95,-14.21
39.34,-13.52
39.74,-12.96
40.14,-12.63
40.54,-12.30
40.94,-11.95
41.35,-11.62
41.76,-11.30
42.18,-11.05
42.60,-10.80
43.03,-10.57
43.46,-10.32
43.90,-10.06
44.33,-9.67
44.78,-9.17
45.23,-8.65
45.68,-8.13
46.13,-7.55
46.60,-6.98
47.06,-6.36
47.53,-5.77
48.01,-5.21
48.49,-4.64
48.97,-4.04
49.46,-3.50
49.96,-3.01
50.46,-2.49
50.96,-1.96
51.47,-1.48
51.99,-0.98
52.51,-0.48
53.03,0.02
53.56,0.51
54.10,0.99
54.64,1.47
55.18,1.96
55.74,2.53
56.29,3.20
56.86,3.84
57.42,4.40
58.00,4.62
58.58,4.86
59.16,5.11
59.76,5.33
60.35,5.34
60.96,5.11
61.57,4.85
62.18,4.57
62.80,4.32
63.43,4.06
64.07,3.93
64.71,3.84
65.35,3.75
66.01,3.67
66.67,3.58
67.33,3.94
68.01,4.51
68.69,5.10
69.37,5.71
70.07,6.18
70.77,6.62
71.48,7.05
72.19,7.51
72.91,7.84
73.64,7.75
74.38,7.67
75.12,7.59
75.87,7.51
76.63,7.43
77.40,7.19
78.17,6.90
78.95,6.60
79.74,6.31
80.54,6.02
81.35,5.97
82.16,6.39
82.98,6.82
83.81,7.24
84.65,7.63
85.50,8.12
86.35,8.70
87.22,9.23
88.09,9.78
88.97,10.09
89.86,10.38
90.76,10.67
91.66,10.97
92.58,11.24
93.51,10.75
94.44,10.02
95.39,9.33
96.34,8.59
97.30,7.83
98.28,7.09
99.26,6.32
100.25,5.60
101.25,5.15
102.27,5.44
103.29,5.76
104.32,6.09
105.37,6.40
106.42,6.71
107.48,7.05
108.56,7.34
109.64,7.66
110.74,7.94
111.85,8.24
112.97,8.54
114.10,8.97
115.24,9.67
116.39,10.38
117.55,11.08
118.73,11.08
119.92,9.75
121.12,9.04
122.33,8.49
123.55,7.92
124.79,7.39
126.03,6.82
127.29,5.68
128.57,5.35
129.85,5.77
131.15,6.21
132.46,6.65
133.79,7.09
135.12,7.55
136.48,7.97
137.84,7.80
139.22,7.61
140.61,7.42
142.02,7.22
143.44,7.03
144.87,6.83
146.32,6.55
147.78,6.10
149.26,5.65
150.75,5.20
152.26,4.75
153.78,3.87
155.32,2.89
156.88,2.40
158.44,2.57
160.03,2.76
161.63,2.96
163.24,3.15
164.88,3.34
166.53,3.54
168.19,5.33
169.87,6.61
171.57,7.17
173.29,7.75
175.02,8.33
176.77,8.55
178.54,8.59
180.32,8.62
182.13,8.66
183.95,8.69
185.79,8.73
187.65,8.75
189.52,8.46
191.42,8.17
193.33,7.87
195.27,7.58
197.22,7.29
199.19,7.00
201.18,7.38
203.19,7.75
205.23,8.13
207.28,8.50
209.35,8.88
211.44,8.17
213.56,7.33
215.69,6.49
217.85,5.93
220.03,5.58
222.23,5.22
224.45,4.87
226.70,4.76
228.96,5.10
231.25,5.44
233.57,5.78
235.90,6.12
238.26,6.46
240.64,6.80
243.05,6.83
245.48,6.74
247.93,6.65
250.41,6.57
252.92,6.48
255.45,6.40
258.00,6.31
260.58,6.21
263.19,6.11
265.82,6.01
268.48,5.90
271.16,5.80
273.87,5.70
276.61,5.57
279.38,5.41
282.17,5.24
284.99,5.08
287.84,4.92
290.72,4.76
293.63,4.59
296.57,4.86
299.53,5.21
302.53,5.55
305.55,5.89
308.61,6.23
311.69,6.57
314.81,6.89
317.96,7.15
