frequency,raw
20.00,-25.68
20.20,-24.43
20.40,-22.93
20.61,-22.28
20.81,-20.42
21.02,-19.41
21.23,-18.03
21.44,-16.34
21.66,-15.35
21.87,-13.29
22.09,-12.42
22.31,-11.54
22.54,-11.24
22.76,-10.80
22.99,-10.67
23.22,-10.67
23.45,-10.88
23.69,-11.06
23.92,-11.86
24.16,-12.42
24.40,-13.18
24.65,-13.56
24.89,-15.64
25.14,-16.64
25.39,-17.93
25.65,-18.59
25.91,-19.60
26.16,-22.01
26.43,-22.27
26.69,-23.38
26.96,-23.70
27.23,-24.26
27.50,-24.65
27.77,-24.48
28.05,-24.26
28.33,-23.72
28.62,-23.30
28.90,-21.89
29.19,-21.02
29.48,-19.66
29.78,-19.00
30.08,-18.10
30.38,-17.08
30.68,-15.98
30.99,-15.37
31.30,-14.50
31.61,-13.37
31.93,-12.72
32.24,-11.40
32.57,-10.85
32.89,-9.92
33.22,-9.54
33.55,-9.08
33.89,-8.81
34.23,-8.61
34.57,-8.44
34.92,-8.35
35.27,-8.26
35.62,-8.20
35.97,-8.08
36.33,-7.89
36.70,-7.65
37.06,-7.12
37.43,-6.80
37.81,-6.57
38.19,-6.08
38.57,-5.57
38.95,-4.70
39.34,-4.07
39.74,-3.68
40.14,-3.09
40.54,-2.46
40.94,-1.90
41.35,-1.42
41.76,-0.69
42.18,-0.25
42.60,0.24
43.03,0.53
43.46,0.96
43.90,1.37
44.33,2.06
44.78,2.37
45.23,2.81
45.68,3.25
46.13,3.64
46.60,3.95
47.06,4.33
47.53,4.76
48.01,5.34
48.49,5.88
48.97,6.41
49.46,6.96
49.96,7.59
50.46,8.06
50.96,8.43
51.47,8.57
51.99,8.63
52.51,8.56
53.03,8.46
53.56,8.24
54.10,8.03
54.64,7.91
55.18,7.75
55.74,7.50
56.29,7.21
56.86,6.86
57.42,6.50
58.00,6.12
58.58,5.91
59.16,5.82
59.76,5.93
60.35,6.11
60.96,6.49
61.57,6.90
62.18,7.46
62.80,8.21
63.43,8.67
64.07,9.29
64.71,9.85
65.35,10.32
66.01,10.58
66.67,10.81
67.33,11.01
68.01,10.91
68.69,10.81
69.37,10.76
70.07,10.73
70.77,10.62
71.48,10.49
72.19,10.10
72.91,9.69
73.64,9.15
74.38,8.66
75.12,8.37
75.87,8.18
76.63,8.24
77.40,8.42
78.17,8.77
78.95,9.31
79.74,9.78
80.54,10.31
81.35,10.88
82.16,11.35
82.98,11.79
83.81,12.21
84.65,12.62
85.50,12.97
86.35,13.32
87.22,13.73
88.09,14.12
88.97,14.44
89.86,14.56
90.76,14.34
91.66,13.90
92.58,13.15
93.51,11.83
94.44,10.14
95.39,8.67
96.34,7.59
97.30,7.27
98.28,7.04
99.26,7.43
100.25,7.86
101.25,8.52
102.27,9.13
103.29,9.55
104.32,9.87
105.37,9.99
106.42,10.03
107.48,9.97
108.56,10.00
109.64,10.09
110.74,10.36
111.85,10.71
112.97,11.13
114.10,11.58
115.24,12.10
116.39,12.64
117.55,13.18
118.73,13.71
119.92,14.25
121.12,14.73
122.33,15.04
123.55,15.07
124.79,14.66
126.03,13.94
127.29,12.85
128.57,11.32
129.85,9.42
131.15,8.48
132.46,7.67
133.79,7.57
135.12,7.57
136.48,8.29
137.84,9.00
139.22,10.00
140.61,10.88
142.02,11.29
143.44,11.53
144.87,11.47
146.32,11.28
147.78,10.97
149.26,10.71
150.75,10.49
152.26,10.38
153.78,10.31
155.32,10.25
156.88,10.19
158.44,10.01
160.03,9.81
161.63,9.56
163.24,9.27
164.88,8.86
166.53,8.38
168.19,7.71
169.87,6.87
171.57,5.83
173.29,5.02
175.02,4.39
176.77,4.04
178.54,3.82
180.32,3.95
182.13,4.16
183.95,4.76
185.79,5.51
187.65,6.60
189.52,7.89
191.42,9.24
193.33,10.43
195.27,11.32
197.22,11.69
199.19,11.86
201.18,11.77
203.19,11.66
205.23,11.53
207.28,11.56
209.35,11.65
211.44,11.85
213.56,12.07
215.69,12.20
217.85,12.32
220.03,12.32
222.23,12.29
224.45,12.06
226.70,11.76
228.96,11.25
231.25,10.71
233.57,10.11
235.90,9.72
238.26,9.49
240.64,9.66
243.05,10.04
245.48,10.66
247.93,11.35
250.41,11.99
252.92,12.62
255.45,12.62
258.00,12.59
260.58,12.29
263.19,11.57
265.82,10.69
268.48,9.59
271.16,8.64
273.87,7.89
276.61,7.32
279.38,7.17
282.17,7.30
284.99,7.68
287.84,8.15
290.72,8.62
293.63,9.10
296.57,9.42
299.53,9.73
302.53,9.91
305.55,10.10
308.61,10.25
311.69,10.40
314.81,10.53
317.96,10.59
321.14,10.56
324.35,10.45
327.59,10.29
330.87,10.09
334.18,9.88
337.52,9.63
340.90,9.37
344.30,9.18
347.75,8.99
351.23,8.99
354.74,9.03
358.28,9.29
361.87,9.47
365.49,9.47
369.14,9.26
372.83,8.72
376.56,8.15
380.33,7.55
384.13,7.29
387.97,7.23
391.85,7.52
395.77,7.93
399.73,8.51
403.72,9.11
407.76,9.50
411.84,9.85
415.96,9.97
420.12,10.10
424.32,10.26
428.56,10.45
432.85,10.71
437.18,11.01
441.55,11.35
445.96,11.68
450.42,12.00
454.93,12.13
459.48,12.19
464.07,12.15
468.71,12.09
473.40,11.84
478.13,11.57
482.91,11.07
487.74,10.57
492.62,10.13
497.55,9.70
502.52,9.28
507.55,8.93
512.62,8.65
517.75,8.42
522.93,8.22
528.16,8.21
533.44,8.27
538.77,8.51
544.16,8.80
549.60,8.96
555.10,9.10
560.65,8.89
566.25,8.60
571.92,7.92
577.64,7.22
583.41,6.34
589.25,5.37
595.14,4.77
601.09,4.32
607.10,4.00
613.17,3.96
619.30,4.09
625.50,4.22
631.75,4.35
638.07,4.12
644.45,3.83
650.89,3.28
657.40,2.63
663.98,2.04
670.62,2.01
677.32,2.13
684.10,2.64
690.94,3.28
697.85,4.10
704.83,4.87
711.87,5.59
718.99,6.24
726.18,6.84
733.44,7.25
740.78,7.60
748.19,7.77
755.67,7.92
763.23,7.92
770.86,7.92
778.57,7.92
786.35,7.94
794.22,8.00
802.16,8.09
810.18,8.22
818.28,8.35
826.46,8.47
834.73,8.56
843.08,8.63
851.51,8.64
860.02,8.64
868.62,8.64
877.31,8.35
886.08,8.02
894.94,7.43
903.89,6.69
912.93,5.86
922.06,5.11
931.28,4.38
940.59,3.72
950.00,3.05
959.50,2.39
969.09,1.76
978.78,1.16
988.57,0.60
998.46,0.06
1008.44,-0.34
1018.53,-0.72
1028.71,-0.75
1039.00,-0.72
1049.39,-0.15
1059.88,0.46
1070.48,1.28
1081.19,2.08
1092.00,2.85
1102.92,3.55
1113.95,4.19
1125.09,4.77
1136.34,5.31
1147.70,5.93
1159.18,6.59
1170.77,7.11
1182.48,7.58
1194.30,7.83
1206.25,8.04
1218.31,8.11
1230.49,8.16
1242.80,8.16
1255.22,8.13
1267.78,8.00
1280.45,7.89
1293.26,7.80
1306.19,7.64
1319.25,7.42
1332.45,7.16
1345.77,6.88
1359.23,6.62
1372.82,6.36
1386.55,6.31
1400.41,6.29
1414.42,6.28
1428.56,6.26
1442.85,6.26
1457.28,6.23
1471.85,6.07
1486.57,5.84
1501.43,5.46
1516.45,5.03
1531.61,4.52
1546.93,3.89
1562.40,3.16
1578.02,2.54
1593.80,1.97
1609.74,1.63
1625.84,1.35
1642.10,1.45
1658.52,1.60
1675.10,2.10
1691.85,2.64
1708.77,3.34
1725.86,3.99
1743.12,4.52
1760.55,4.89
1778.15,5.01
1795.94,4.97
1813.90,4.79
1832.03,4.52
1850.36,4.20
1868.86,3.96
1887.55,3.74
1906.42,3.71
1925.49,3.72
1944.74,4.09
1964.19,4.50
1983.83,5.10
2003.67,5.65
2023.71,6.06
2043.94,6.38
2064.38,6.54
2085.03,6.58
2105.88,6.48
2126.94,6.18
2148.20,5.73
2169.69,5.18
2191.38,4.58
2213.30,4.14
2235.43,3.73
2257.78,3.62
2280.36,3.55
2303.17,3.73
2326.20,3.95
