frequency,raw
20.00,-49.47
20.20,-49.34
20.40,-49.20
20.61,-49.07
20.81,-48.93
21.02,-48.80
21.23,-48.67
21.44,-48.53
21.66,-48.40
21.87,-48.26
22.09,-48.13
22.31,-48.00
22.54,-47.86
22.76,-47.73
22.99,-47.59
23.22,-47.46
23.45,-47.32
23.69,-47.19
23.92,-47.06
24.16,-46.92
24.40,-46.79
24.65,-46.65
24.89,-46.52
25.14,-46.39
25.39,-46.25
25.65,-46.12
25.91,-45.98
26.16,-45.85
26.43,-45.71
26.69,-45.58
26.96,-45.45
27.23,-45.31
27.50,-45.18
27.77,-45.04
28.05,-44.91
28.33,-44.78
28.62,-44.64
28.90,-44.51
29.19,-44.37
29.48,-44.24
29.78,-44.11
30.08,-43.97
30.38,-43.84
30.68,-43.70
30.99,-43.57
31.30,-43.43
31.61,-43.30
31.93,-43.17
32.24,-43.03
32.57,-42.90
32.89,-42.76
33.22,-42.63
33.55,-42.50
33.89,-42.36
34.23,-42.23
34.57,-42.09
34.92,-41.96
35.27,-41.82
35.62,-41.69
35.97,-41.56
36.33,-41.42
36.70,-41.29
37.06,-41.15
37.43,-41.02
37.81,-40.89
38.19,-40.75
38.57,-40.62
38.95,-40.48
39.34,-40.35
39.74,-40.21
40.14,-40.08
40.54,-39.95
40.94,-39.81
41.35,-39.68
41.76,-39.54
42.18,-39.41
42.60,-39.28
43.03,-39.14
43.46,-39.01
43.90,-38.87
44.33,-38.74
44.78,-38.61
45.23,-38.47
45.68,-38.34
46.13,-38.20
46.60,-38.07
47.06,-37.93
47.53,-37.80
48.01,-37.67
48.49,-37.53
48.97,-37.40
49.46,-37.26
49.96,-37.13
50.46,-37.00
50.96,-36.86
51.47,-36.73
51.99,-36.59
52.51,-36.46
53.03,-36.32
53.56,-36.19
54.10,-36.06
54.64,-35.92
55.18,-35.79
55.74,-35.65
56.29,-35.52
56.86,-35.39
57.42,-35.25
58.00,-35.12
58.58,-34.98
59.16,-34.85
59.76,-34.72
60.35,-34.58
60.96,-34.45
61.57,-34.31
62.18,-34.18
62.80,-34.04
63.43,-33.91
64.07,-33.78
64.71,-33.64
65.35,-33.51
66.01,-33.37
66.67,-33.24
67.33,-33.11
68.01,-32.97
68.69,-32.84
69.37,-32.70
70.07,-32.57
70.77,-32.43
71.48,-32.30
72.19,-32.17
72.91,-32.03
73.64,-31.90
74.38,-31.76
75.12,-31.63
75.87,-31.50
76.63,-31.36
77.40,-31.23
78.17,-31.09
78.95,-30.96
79.74,-30.82
80.54,-30.69
81.35,-30.56
82.16,-30.42
82.98,-30.29
83.81,-30.15
84.65,-30.02
85.50,-29.89
86.35,-29.75
87.22,-29.62
88.09,-29.48
88.97,-29.35
89.86,-29.22
90.76,-29.08
91.66,-28.95
92.58,-28.81
93.51,-28.68
94.44,-28.54
95.39,-28.41
96.34,-28.28
97.30,-28.14
98.28,-28.01
99.26,-27.87
100.25,-27.74
101.25,-27.61
102.27,-27.47
103.29,-27.34
104.32,-27.20
105.37,-27.07
106.42,-26.93
107.48,-26.80
108.56,-26.67
109.64,-26.53
110.74,-26.40
111.85,-26.26
112.97,-26.13
114.10,-26.00
115.24,-25.86
116.39,-25.73
117.55,-25.59
118.73,-25.46
119.92,-25.33
121.12,-25.19
122.33,-25.06
123.55,-24.92
124.79,-24.79
126.03,-24.65
127.29,-24.52
128.57,-24.39
129.85,-24.25
131.15,-24.12
132.46,-23.98
133.79,-23.85
135.12,-23.72
136.48,-23.58
137.84,-23.45
139.22,-23.31
140.61,-23.18
142.02,-23.04
143.44,-22.91
144.87,-22.78
146.32,-22.64
147.78,-22.51
149.26,-22.37
150.75,-22.24
152.26,-22.11
153.78,-21.97
155.32,-21.84
156.88,-21.70
158.44,-21.57
160.03,-21.44
161.63,-21.30
163.24,-21.17
164.88,-21.03
166.53,-20.90
168.19,-20.76
169.87,-20.63
171.57,-20.50
173.29,-20.36
175.02,-20.23
176.77,-20.09
178.54,-19.96
180.32,-19.83
182.13,-19.69
183.95,-19.56
185.79,-19.42
187.65,-19.29
189.52,-19.15
191.42,-19.02
193.33,-18.89
195.27,-18.75
197.22,-18.62
199.19,-18.48
201.18,-18.35
203.19,-18.22
205.23,-18.08
207.28,-17.95
209.35,-17.81
211.44,-17.68
213.56,-17.54
215.69,-17.41
217.85,-17.28
220.03,-17.14
222.23,-17.01
224.45,-16.87
226.70,-16.74
228.96,-16.61
231.25,-16.47
233.57,-16.34
235.90,-16.20
238.26,-16.07
240.64,-15.94
243.05,-15.80
245.48,-15.67
247.93,-15.54
250.41,-15.40
252.92,-15.27
255.45,-15.14
258.00,-15.01
260.58,-14.88
263.19,-14.76
265.82,-14.64
268.48,-14.51
271.16,-14.39
273.87,-14.26
276.61,-14.14
279.38,-14.00
282.17,-13.85
284.99,-13.71
287.84,-13.56
290.72,-13.41
293.63,-13.27
296.57,-13.12
299.53,-12.99
302.53,-12.90
305.55,-12.81
308.61,-12.73
311.69,-12.64
314.81,-12.55
317.96,-12.47
321.14,-12.38
324.35,-12.29
327.59,-12.23
330.87,-12.19
334.18,-12.15
337.52,-12.10
340.90,-12.06
344.30,-12.02
347.75,-11.98
351.23,-11.94
354.74,-11.89
358.28,-11.85
361.87,-11.81
365.49,-11.77
369.14,-11.73
372.83,-11.69
376.56,-11.64
380.33,-11.60
384.13,-11.56
387.97,-11.52
391.85,-11.47
395.77,-11.41
399.73,-11.34
403.72,-11.28
407.76,-11.21
411.84,-11.15
415.96,-11.08
420.12,-11.02
424.32,-10.95
428.56,-10.88
432.85,-10.75
437.18,-10.61
441.55,-10.48
445.96,-10.35
450.42,-10.22
454.93,-10.09
459.48,-9.96
464.07,-9.81
468.71,-9.65
473.40,-9.48
478.13,-9.31
482.91,-9.15
487.74,-8.98
492.62,-8.81
497.55,-8.64
502.52,-8.47
507.55,-8.30
512.62,-8.12
517.75,-7.95
522.93,-7.77
528.16,-7.58
533.44,-7.40
538.77,-7.21
544.16,-7.03
549.60,-6.85
555.10,-6.66
560.65,-6.47
566.25,-6.29
571.92,-6.10
577.64,-5.92
583.41,-5.73
589.25,-5.54
595.14,-5.35
601.09,-5.16
607.10,-4.98
613.17,-4.79
619.30,-4.61
625.50,-4.43
631.75,-4.24
638.07,-4.06
644.45,-3.88
650.89,-3.70
657.40,-3.52
663.98,-3.34
670.62,-3.17
677.32,-3.00
684.10,-2.83
690.94,-2.66
697.85,-2.49
704.83,-2.32
711.87,-2.17
718.99,-2.01
726.18,-1.85
733.44,-1.70
740.78,-1.54
748.19,-1.39
755.67,-1.25
763.23,-1.11
770.86,-0.97
778.57,-0.84
786.35,-0.70
794.22,-0.56
802.16,-0.43
810.18,-0.32
818.28,-0.22
826.46,-0.12
834.73,-0.02
843.08,0.07
851.51,0.17
860.02,0.27
868.62,0.37
877.31,0.39
886.08,0.39
894.94,0.38
903.89,0.37
912.93,0.36
922.06,0.35
931.28,0.35
940.59,0.34
950.00,0.33
959.50,0.27
969.09,0.21
978.78,0.14
988.57,0.08
998.46,0.01
1008.44,-0.06
1018.53,-0.12
1028.71,-0.19
1039.00,-0.25
1049.39,-0.29
1059.88,-0.33
1070.48,-0.36
1081.19,-0.40
1092.00,-0.44
1102.92,-0.47
1113.95,-0.51
1125.09,-0.54
1136.34,-0.58
1147.70,-0.54
1159.18,-0.49
1170.77,-0.44
1182.48,-0.39
1194.30,-0.35
1206.25,-0.30
1218.31,-0.25
1230.49,-0.21
1242.80,-0.16
1255.22,-0.12
1267.78,-0.07
1280.45,-0.03
1293.26,0.02
1306.19,0.06
1319.25,0.10
1332.45,0.15
1345.77,0.19
1359.23,0.23
1372.82,0.28
1386.55,0.32
1400.41,0.36
1414.42,0.41
1428.56,0.45
1442.85,0.50
1457.28,0.54
1471.85,0.58
1486.57,0.64
1501.43,0.74
1516.45,0.85
1531.61,0.96
1546.93,1.07
1562.40,1.17
1578.02,1.28
1593.80,1.39
1609.74,1.50
1625.84,1.62
1642.10,1.75
1658.52,1.88
1675.10,2.01
1691.85,2.14
1708.77,2.27
1725.86,2.40
1743.12,2.51
1760.55,2.61
1778.15,2.72
1795.94,2.82
1813.90,2.93
1832.03,3.03
1850.36,3.14
1868.86,3.24
1887.55,3.31
1906.42,3.36
1925.49,3.41
1944.74,3.46
1964.19,3.51
1983.83,3.56
2003.67,3.61
2023.71,3.66
2043.94,3.70
2064.38,3.73
2085.03,3.74
2105.88,3.76
2126.94,3.77
2148.20,3.79
2169.69,3.80
2191.38,3.82
2213.30,3.83
2235.43,3.85
2257.78,3.87
2280.36,3.89
2303.17,3.92
2326.20,3.94
2349.46,3.97
2372.95,3.99
2396.68,4.02
2420.65,4.04
2444.86,4.07
2469.31,4.11
2494.00,4.16
2518.94,4.21
2544.13,4.26
2569.57,4.31
2595.27,4.36
2621.22,4.41
2647.43,4.46
2673.90,4.51
2700.64,4.56
2727.65,4.60
2754.93,4.64
2782.48,4.69
2810.30,4.73
2838.40,4.77
2866.79,4.81
2895.46,4.86
2924.41,4.90
2953.65,4.91
2983.19,4.92
3013.02,4.93
3043.15,4.93
3073.58,4.94
3104.32,4.95
3135.36,4.96
3166.72,4.97
3198.38,4.98
3230.37,5.01
3262.67,5.04
3295.30,5.06
3328.25,5.09
3361.53,5.12
3395.15,5.15
3429.10,5.18
3463.39,5.20
3498.03,5.24
3533.01,5.29
3568.34,5.35
3604.02,5.40
3640.06,5.46
3676.46,5.51
3713.22,5.57
3750.36,5.62
3787.86,5.67
3825.74,5.73
3864.00,5.80
3902.64,5.88
3941.66,5.95
3981.08,6.02
4020.89,6.09
4061.10,6.16
4101.71,6.23
4142.73,6.31
4184.15,6.38
4226.00,6.47
4268.26,6.55
4310.94,6.63
4354.05,6.72
4397.59,6.80
4441.56,6.89
4485.98,6.97
4530.84,7.05
4576.15,7.12
4621.91,7.15
4668.13,7.18
4714.81,7.21
4761.96,7.24
4809.58,7.27
4857.67,7.30
4906.25,7.33
4955.31,7.36
5004.87,7.41
5054.91,7.50
5105.46,7.58
5156.52,7.66
5208.08,7.74
5260.16,7.83
5312.77,7.91
5365.89,7.99
5419.55,8.08
5473.75,8.17
5528.49,8.28
5583.77,8.38
5639.61,8.49
5696.00,8.60
5752.96,8.70
5810.49,8.81
5868.60,8.91
5927.28,9.02
5986.56,9.09
6046.42,9.13
6106.89,9.17
6167.96,9.22
6229.64,9.26
6291.93,9.30
6354.85,9.34
6418.40,9.38
6482.58,9.42
6547.41,9.41
6612.88,9.36
6679.01,9.31
6745.80,9.26
6813.26,9.22
6881.39,9.17
6950.21,9.12
7019.71,9.07
7089.91,9.02
7160.81,8.94
7232.41,8.84
7304.74,8.74
7377.79,8.64
7451.56,8.54
7526.08,8.43
7601.34,8.33
7677.35,8.23
7754.13,8.11
7831.67,7.97
7909.98,7.83
7989.08,7.69
8068.98,7.55
8149.67,7.41
8231.16,7.27
8313.47,7.09
8396.61,6.91
8480.57,6.73
8565.38,6.55
8651.03,6.37
8737.54,6.18
8824.92,5.98
8913.17,5.79
9002.30,5.60
9092.32,5.39
9183.25,5.16
9275.08,4.92
9367.83,4.69
9461.51,4.45
9556.12,4.22
9651.68,3.98
9748.20,3.74
9845.68,3.50
9944.14,3.25
10043.58,3.00
10144.02,2.74
10245.46,2.49
10347.91,2.21
10451.39,1.94
10555.91,1.67
10661.46,1.40
10768.08,1.13
10875.76,0.86
10984.52,0.60
11094.36,0.35
11205.31,0.10
11317.36,-0.14
11430.53,-0.39
11544.84,-0.64
11660.29,-0.90
11776.89,-1.16
11894.66,-1.41
12013.60,-1.71
12133.74,-2.02
12255.08,-2.33
12377.63,-2.65
12501.41,-2.99
12626.42,-3.34
12752.68,-3.69
12880.21,-4.06
13009.01,-4.43
13139.10,-4.81
13270.49,-5.20
13403.20,-5.58
13537.23,-5.96
13672.60,-6.34
13809.33,-6.76
13947.42,-7.19
14086.90,-7.61
14227.77,-8.05
14370.04,-8.48
14513.74,-8.91
14658.88,-9.35
14805.47,-9.69
14953.52,-9.98
15103.06,-10.27
15254.09,-10.56
15406.63,-10.76
15560.70,-10.96
15716.30,-11.16
15873.47,-11.36
16032.20,-11.58
16192.52,-11.80
16354.45,-12.03
16517.99,-12.26
16683.17,-12.49
16850.01,-12.77
17018.51,-13.65
17188.69,-14.44
17360.58,-15.13
17534.18,-15.74
17709.53,-16.44
17886.62,-17.15
18065.49,-17.69
18246.14,-18.23
18428.60,-18.77
18612.89,-19.32
18799.02,-19.86
18987.01,-20.40
19176.88,-20.94
19368.65,-21.48
19562.33,-22.03
19757.96,-22.57
19955.54,-23.11
