frequency,raw
20.00,-61.06
20.20,-60.90
20.40,-60.72
20.61,-60.58
20.81,-60.40
21.02,-60.26
21.23,-60.10
21.44,-59.92
21.66,-59.78
21.87,-59.60
22.09,-59.44
22.31,-59.28
22.54,-59.14
22.76,-58.96
22.99,-58.82
23.22,-58.66
23.45,-58.48
23.69,-58.34
23.92,-58.16
24.16,-58.00
24.40,-57.84
24.65,-57.70
24.89,-57.52
25.14,-57.36
25.39,-57.20
25.65,-57.06
25.91,-56.90
26.16,-56.72
26.43,-56.58
26.69,-56.42
26.96,-56.26
27.23,-56.10
27.50,-55.94
27.77,-55.76
28.05,-55.60
28.33,-55.44
28.62,-55.30
28.90,-55.12
29.19,-54.98
29.48,-54.80
29.78,-54.66
30.08,-54.50
30.38,-54.34
30.68,-54.18
30.99,-54.02
31.30,-53.86
31.61,-53.70
31.93,-53.54
32.24,-53.36
32.57,-53.22
32.89,-53.04
33.22,-52.88
33.55,-52.72
33.89,-52.58
34.23,-52.42
34.57,-52.26
34.92,-52.10
35.27,-51.94
35.62,-51.78
35.97,-51.60
36.33,-51.44
36.70,-51.30
37.06,-51.11
37.43,-50.95
37.81,-50.81
38.19,-50.65
38.57,-50.49
38.95,-50.31
39.34,-50.15
39.74,-50.01
40.14,-49.85
40.54,-49.69
40.94,-49.51
41.35,-49.35
41.76,-49.19
42.18,-49.03
42.60,-48.87
43.03,-48.73
43.46,-48.57
43.90,-48.41
44.33,-48.23
44.78,-48.09
45.23,-47.93
45.68,-47.77
46.13,-47.59
46.60,-47.45
47.06,-47.27
47.53,-47.11
48.01,-46.97
48.49,-46.81
48.97,-46.63
49.46,-46.47
49.96,-46.33
50.46,-46.17
50.96,-46.01
51.47,-45.85
51.99,-45.69
52.51,-45.53
53.03,-45.37
53.56,-45.21
54.10,-45.05
54.64,-44.89
55.18,-44.71
55.74,-44.57
56.29,-44.39
56.86,-44.25
57.42,-44.07
58.00,-43.93
58.58,-43.77
59.16,-43.59
59.76,-43.45
60.35,-43.27
60.96,-43.13
61.57,-42.97
62.18,-42.79
62.80,-42.63
63.43,-42.47
64.07,-42.33
64.71,-42.17
65.35,-41.99
66.01,-41.85
66.67,-41.69
67.33,-41.51
68.01,-41.37
68.69,-41.21
69.37,-41.03
70.07,-40.89
70.77,-40.73
71.48,-40.57
72.19,-40.41
72.91,-40.23
73.64,-40.07
74.38,-39.93
75.12,-39.75
75.87,-39.59
76.63,-39.43
77.40,-39.29
78.17,-39.11
78.95,-38.95
79.74,-38.79
80.54,-38.65
81.35,-38.49
82.16,-38.33
82.98,-38.17
83.81,-38.01
84.65,-37.85
85.50,-37.69
86.35,-37.53
87.22,-37.37
88.09,-37.21
88.97,-37.05
89.86,-36.89
90.76,-36.73
91.66,-36.55
92.58,-36.41
93.51,-36.25
94.44,-36.09
95.39,-35.93
96.34,-35.77
97.30,-35.59
98.28,-35.45
99.26,-35.29
100.25,-35.13
101.25,-34.95
102.27,-34.81
103.29,-34.65
104.32,-34.49
105.37,-34.33
106.42,-34.17
107.48,-33.99
108.56,-33.85
109.64,-33.67
110.74,-33.53
111.85,-33.37
112.97,-33.21
