frequency,raw
20.00,-234.70
20.20,-233.75
20.40,-232.79
20.61,-231.88
20.81,-230.90
21.02,-229.97
21.23,-229.00
21.44,-228.04
21.66,-227.15
21.87,-226.15
22.09,-225.22
22.31,-224.25
22.54,-223.37
22.76,-222.38
22.99,-221.46
23.22,-220.51
23.45,-219.55
23.69,-218.64
23.92,-217.63
24.16,-216.71
24.40,-215.74
24.65,-214.84
24.89,-213.85
25.14,-212.90
25.39,-211.96
25.65,-211.05
25.91,-210.13
26.16,-209.12
26.43,-208.24
26.69,-207.27
26.96,-206.34
27.23,-205.40
27.50,-204.43
27.77,-203.45
28.05,-202.52
28.33,-201.57
28.62,-200.67
28.90,-199.68
29.19,-198.74
29.48,-197.79
29.78,-196.86
30.08,-195.94
30.38,-194.99
30.68,-194.03
30.99,-193.10
31.30,-192.16
31.61,-191.19
31.93,-190.26
32.24,-189.26
32.57,-188.35
32.89,-187.39
33.22,-186.44
33.55,-185.49
33.89,-184.57
34.23,-183.62
34.57,-182.66
34.92,-181.75
35.27,-180.81
35.62,-179.84
35.97,-178.87
36.33,-177.93
36.70,-177.00
37.06,-176.04
37.43,-175.07
37.81,-174.16
38.19,-173.22
38.57,-172.27
38.95,-171.29
39.34,-170.36
39.74,-169.44
40.14,-168.51
40.54,-167.54
40.94,-166.58
41.35,-165.63
41.76,-164.69
42.18,-163.74
42.60,-162.79
43.03,-161.87
43.46,-160.90
43.90,-160.00
44.33,-159.01
44.78,-158.08
45.23,-157.16
45.68,-156.19
46.13,-155.23
46.60,-154.30
47.06,-153.34
47.53,-152.39
48.01,-151.46
48.49,-150.52
48.97,-149.55
49.46,-148.61
49.96,-147.68
50.46,-146.73
50.96,-145.77
51.47,-144.82
51.99,-143.90
52.51,-142.95
53.03,-142.01
53.56,-141.06
54.10,-140.11
54.64,-139.17
55.18,-138.20
55.74,-137.28
56.29,-136.31
56.86,-135.38
57.42,-134.42
58.00,-133.49
58.58,-132.55
59.16,-131.58
59.76,-130.66
60.35,-129.69
60.96,-128.76
61.57,-127.82
62.18,-126.85
62.80,-125.91
63.43,-124.96
64.07,-124.03
64.71,-123.09
65.35,-122.12
66.01,-121.20
66.67,-120.25
67.33,-119.28
68.01,-118.36
68.69,-117.41
69.37,-116.45
70.07,-115.52
70.77,-114.58
71.48,-113.63
72.19,-112.66
72.91,-111.72
73.64,-110.77
74.38,-109.85
75.12,-108.88
75.87,-107.93
76.63,-106.99
77.40,-106.06
78.17,-105.10
78.95,-104.15
79.74,-103.21
80.54,-102.26
81.35,-101.33
82.16,-100.39
82.98,-99.42
83.81,-98.48
84.65,-97.55
85.50,-96.60
86.35,-95.64
87.22,-94.71
88.09,-93.77
88.97,-92.82
89.86,-91.88
90.76,-90.93
91.66,-89.96
92.58,-89.04
93.51,-88.09
94.44,-87.13
95.39,-86.20
96.34,-85.25
97.30,-84.29
98.28,-83.36
99.26,-82.42
100.25,-81.45
101.25,-80.51
102.27,-79.58
103.29,-78.63
104.32,-77.67
105.37,-76.74
106.42,-75.80
107.48,-74.83
108.56,-73.90
109.64,-72.94
110.74,-72.01
111.85,-71.07
112.97,-70.12
114.10,-69.17
115.24,-68.23
116.39,-67.28
117.55,-66.32
118.73,-65.39
119.92,-64.45
121.12,-63.50
122.33,-62.55
123.55,-61.61
124.79,-60.66
126.03,-59.70
127.29,-58.75
128.57,-57.82
129.85,-56.86
131.15,-55.93
132.46,-54.97
133.79,-54.04
135.12,-53.08
136.48,-52.15
137.84,-51.20
139.22,-50.26
140.61,-49.31
142.02,-48.37
143.44,-47.42
144.87,-46.47
146.32,-45.53
147.78,-44.56
149.26,-43.64
150.75,-42.67
152.26,-41.75
