frequency,raw
20.00,-9.80
20.20,-9.74
20.40,-9.67
20.61,-9.61
20.81,-9.54
21.02,-9.47
21.23,-9.41
21.44,-9.34
21.66,-9.27
21.87,-9.21
22.09,-9.14
22.31,-9.08
22.54,-9.01
22.76,-8.95
22.99,-8.88
23.22,-8.82
23.45,-8.76
23.69,-8.69
23.92,-8.63
24.16,-8.57
24.40,-8.51
24.65,-8.45
24.89,-8.39
25.14,-8.32
25.39,-8.26
25.65,-8.20
25.91,-8.13
26.16,-8.07
26.43,-8.00
26.69,-7.92
26.96,-7.85
27.23,-7.78
27.50,-7.71
27.77,-7.63
28.05,-7.56
28.33,-7.48
28.62,-7.39
28.90,-7.31
29.19,-7.22
29.48,-7.13
29.78,-7.04
30.08,-6.95
30.38,-6.85
30.68,-6.75
30.99,-6.65
31.30,-6.54
31.61,-6.42
31.93,-6.31
32.24,-6.20
32.57,-6.08
32.89,-5.97
33.22,-5.85
33.55,-5.73
33.89,-5.61
34.23,-5.49
34.57,-5.37
34.92,-5.24
35.27,-5.12
35.62,-4.99
35.97,-4.86
36.33,-4.74
36.70,-4.62
37.06,-4.49
37.43,-4.37
37.81,-4.25
38.19,-4.13
38.57,-4.01
38.95,-3.89
39.34,-3.78
39.74,-3.67
40.14,-3.56
40.54,-3.45
40.94,-3.34
41.35,-3.23
41.76,-3.13
42.18,-3.03
42.60,-2.93
43.03,-2.83
43.46,-2.73
43.90,-2.64
44.33,-2.54
44.78,-2.44
45.23,-2.35
45.68,-2.25
46.13,-2.16
46.60,-2.07
47.06,-1.97
47.53,-1.88
48.01,-1.79
48.49,-1.70
48.97,-1.61
49.46,-1.53
49.96,-1.44
50.46,-1.36
50.96,-1.28
51.47,-1.20
51.99,-1.11
52.51,-1.04
53.03,-0.96
53.56,-0.88
54.10,-0.81
54.64,-0.74
55.18,-0.67
55.74,-0.60
56.29,-0.54
56.86,-0.47
57.42,-0.41
58.00,-0.35
58.58,-0.28
59.16,-0.22
59.76,-0.16
60.35,-0.10
60.96,-0.04
61.57,0.01
62.18,0.07
62.80,0.13
63.43,0.19
64.07,0.24
64.71,0.30
65.35,0.35
66.01,0.41
66.67,0.46
67.33,0.52
68.01,0.58
68.69,0.63
69.37,0.68
70.07,0.73
70.77,0.78
71.48,0.84
72.19,0.89
72.91,0.93
73.64,0.98
74.38,1.02
75.12,1.06
75.87,1.10
76.63,1.13
77.40,1.17
78.17,1.20
78.95,1.22
79.74,1.25
80.54,1.27
81.35,1.28
82.16,1.29
82.98,1.29
83.81,1.30
84.65,1.31
85.50,1.32
86.35,1.32
87.22,1.31
88.09,1.30
88.97,1.29
89.86,1.28
90.76,1.27
91.66,1.25
92.58,1.23
93.51,1.21
94.44,1.19
95.39,1.16
96.34,1.13
97.30,1.11
98.28,1.08
99.26,1.05
100.25,1.02
101.25,0.98
102.27,0.95
103.29,0.91
104.32,0.88
105.37,0.84
106.42,0.80
107.48,0.77
108.56,0.72
109.64,0.68
110.74,0.63
111.85,0.58
112.97,0.53
114.10,0.47
115.24,0.42
116.39,0.35
117.55,0.29
118.73,0.22
119.92,0.15
121.12,0.07
122.33,0.00
123.55,-0.09
124.79,-0.17
126.03,-0.26
127.29,-0.35
128.57,-0.45
129.85,-0.54
131.15,-0.64
132.46,-0.75
133.79,-0.85
135.12,-0.96
136.48,-1.06
137.84,-1.17
139.22,-1.27
140.61,-1.37
142.02,-1.47
143.44,-1.56
144.87,-1.66
146.32,-1.75
147.78,-1.83
149.26,-1.92
150.75,-1.99
152.26,-2.06
153.78,-2.13
155.32,-2.18
156.88,-2.23
158.44,-2.28
160.03,-2.32
161.63,-2.35
163.24,-2.38
164.88,-2.41
166.53,-2.41
168.19,-2.42
169.87,-2.43
171.57,-2.43
173.29,-2.42
175.02,-2.42
176.77,-2.41
178.54,-2.39
180.32,-2.36
182.13,-2.34
183.95,-2.31
185.79,-2.28
187.65,-2.25
189.52,-2.21
191.42,-2.17
193.33,-2.13
195.27,-2.09
197.22,-2.05
199.19,-2.01
201.18,-1.97
203.19,-1.92
205.23,-1.87
207.28,-1.82
209.35,-1.78
211.44,-1.74
213.56,-1.70
215.69,-1.66
217.85,-1.61
220.03,-1.57
222.23,-1.52
224.45,-1.49
226.70,-1.45
228.96,-1.41
231.25,-1.38
233.57,-1.35
235.90,-1.31
238.26,-1.28
240.64,-1.24
243.05,-1.21
245.48,-1.17
247.93,-1.13
250.41,-1.10
252.92,-1.06
255.45,-1.02
258.00,-0.97
260.58,-0.93
263.19,-0.87
265.82,-0.82
268.48,-0.77
271.16,-0.71
273.87,-0.64
276.61,-0.57
279.38,-0.51
282.17,-0.43
284.99,-0.34
287.84,-0.26
290.72,-0.17
293.63,-0.07
296.57,0.03
299.53,0.14
302.53,0.24
305.55,0.35
308.61,0.46
311.69,0.58
314.81,0.70
317.96,0.82
321.14,0.94
324.35,1.06
327.59,1.19
330.87,1.31
334.18,1.43
337.52,1.55
340.90,1.66
344.30,1.77
347.75,1.88
351.23,1.99
354.74,2.08
358.28,2.17
361.87,2.26
365.49,2.34
369.14,2.42
372.83,2.49
376.56,2.56
380.33,2.61
384.13,2.66
387.97,2.71
391.85,2.75
395.77,2.79
399.73,2.84
403.72,2.87
407.76,2.89
411.84,2.92
415.96,2.94
420.12,2.95
424.32,2.97
428.56,2.98
432.85,2.99
437.18,2.99
441.55,3.00
445.96,3.01
450.42,3.03
454.93,3.05
459.48,3.06
464.07,3.06
468.71,3.06
473.40,3.06
478.13,3.06
482.91,3.05
487.74,3.05
492.62,3.04
497.55,3.02
502.52,3.01
507.55,3.00
512.62,2.99
517.75,2.99
522.93,2.98
528.16,2.96
533.44,2.95
538.77,2.93
544.16,2.92
549.60,2.90
555.10,2.89
560.65,2.88
566.25,2.88
571.92,2.88
577.64,2.88
583.41,2.88
589.25,2.88
595.14,2.88
601.09,2.88
607.10,2.88
613.17,2.88
619.30,2.89
625.50,2.90
631.75,2.91
638.07,2.91
644.45,2.90
650.89,2.89
657.40,2.88
663.98,2.87
670.62,2.85
677.32,2.83
684.10,2.80
690.94,2.77
697.85,2.73
704.83,2.69
711.87,2.64
718.99,2.59
726.18,2.54
733.44,2.48
740.78,2.43
748.19,2.37
755.67,2.30
763.23,2.23
770.86,2.16
778.57,2.09
786.35,2.01
794.22,1.93
802.16,1.85
810.18,1.77
818.28,1.69
826.46,1.61
834.73,1.52
843.08,1.43
851.51,1.34
860.02,1.25
868.62,1.16
877.31,1.07
886.08,0.98
894.94,0.89
903.89,0.80
912.93,0.71
922.06,0.62
931.28,0.54
940.59,0.45
950.00,0.37
959.50,0.30
969.09,0.22
978.78,0.14
988.57,0.08
998.46,0.01
1008.44,-0.06
1018.53,-0.11
1028.71,-0.16
1039.00,-0.22
1049.39,-0.26
1059.88,-0.29
1070.48,-0.32
1081.19,-0.34
1092.00,-0.35
1102.92,-0.36
1113.95,-0.36
1125.09,-0.34
1136.34,-0.32
1147.70,-0.29
1159.18,-0.23
1170.77,-0.17
1182.48,-0.10
1194.30,-0.02
1206.25,0.07
1218.31,0.16
1230.49,0.25
1242.80,0.35
1255.22,0.46
1267.78,0.56
1280.45,0.66
1293.26,0.77
1306.19,0.87
1319.25,0.97
1332.45,1.06
1345.77,1.16
1359.23,1.26
1372.82,1.35
1386.55,1.44
1400.41,1.53
1414.42,1.62
1428.56,1.72
1442.85,1.82
1457.28,1.92
1471.85,2.02
1486.57,2.12
1501.43,2.22
1516.45,2.33
1531.61,2.43
1546.93,2.54
1562.40,2.64
1578.02,2.74
1593.80,2.84
1609.74,2.94
1625.84,3.04
1642.10,3.14
1658.52,3.26
1675.10,3.39
1691.85,3.51
1708.77,3.65
1725.86,3.81
1743.12,3.97
1760.55,4.13
1778.15,4.32
1795.94,4.51
1813.90,4.70
1832.03,4.90
1850.36,5.11
1868.86,5.32
1887.55,5.54
1906.42,5.75
1925.49,5.97
1944.74,6.20
1964.19,6.43
1983.83,6.65
2003.67,6.89
2023.71,7.13
2043.94,7.36
2064.38,7.60
2085.03,7.83
2105.88,8.07
2126.94,8.29
2148.20,8.52
2169.69,8.74
2191.38,8.95
2213.30,9.16
2235.43,9.37
2257.78,9.57
2280.36,9.78
2303.17,9.98
2326.20,10.17
2349.46,10.36
2372.95,10.54
2396.68,10.72
2420.65,10.89
2444.86,11.06
2469.31,11.22
2494.00,11.38
2518.94,11.53
2544.13,11.68
2569.57,11.81
2595.27,11.94
2621.22,12.07
2647.43,12.17
2673.90,12.27
2700.64,12.36
2727.65,12.44
2754.93,12.48
2782.48,12.53
2810.30,12.57
2838.40,12.56
2866.79,12.54
2895.46,12.53
2924.41,12.45
2953.65,12.35
2983.19,12.25
3013.02,12.12
3043.15,11.96
3073.58,11.81
3104.32,11.65
3135.36,11.51
3166.72,11.37
3198.38,11.22
3230.37,11.14
3262.67,11.06
3295.30,10.98
3328.25,10.90
3361.53,10.83
3395.15,10.75
3429.10,10.66
3463.39,10.53
3498.03,10.39
3533.01,10.26
3568.34,10.06
3604.02,9.85
3640.06,9.65
3676.46,9.41
3713.22,9.16
3750.36,8.92
3787.86,8.67
3825.74,8.43
3864.00,8.18
3902.64,7.93
3941.66,7.67
3981.08,7.36
4020.89,7.05
4061.10,6.72
4101.71,6.37
4142.73,6.05
4184.15,5.74
4226.00,5.44
4268.26,5.17
4310.94,4.90
4354.05,4.62
4397.59,4.34
4441.56,4.06
4485.98,3.79
4530.84,3.51
4576.15,3.24
4621.91,2.97
4668.13,2.72
4714.81,2.51
4761.96,2.30
4809.58,2.12
4857.67,2.00
4906.25,1.88
4955.31,1.76
5004.87,1.79
5054.91,1.82
5105.46,1.85
5156.52,1.99
5208.08,2.17
5260.16,2.36
5312.77,2.62
5365.89,2.92
5419.55,3.23
5473.75,3.55
5528.49,3.83
5583.77,4.05
5639.61,4.26
5696.00,4.46
5752.96,4.63
5810.49,4.80
5868.60,4.97
5927.28,5.18
5986.56,5.39
6046.42,5.60
6106.89,5.90
6167.96,6.22
6229.64,6.58
6291.93,6.94
6354.85,7.38
6418.40,7.73
6482.58,7.99
