frequency,raw
20.00,4.68
20.20,4.68
20.40,4.68
20.61,4.68
20.81,4.68
21.02,4.68
21.23,4.68
21.44,4.68
21.66,4.68
21.87,4.69
22.09,4.71
22.31,4.73
22.54,4.74
22.76,4.76
22.99,4.78
23.22,4.80
23.45,4.80
23.69,4.80
23.92,4.80
24.16,4.80
24.40,4.80
24.65,4.80
24.89,4.80
25.14,4.80
25.39,4.80
25.65,4.79
25.91,4.76
26.16,4.74
26.43,4.74
26.69,4.74
26.96,4.74
27.23,4.74
27.50,4.74
27.77,4.74
28.05,4.76
28.33,4.78
28.62,4.80
28.90,4.85
29.19,4.91
29.48,4.95
29.78,4.99
30.08,5.05
30.38,5.14
30.68,5.23
30.99,5.30
31.30,5.38
31.61,5.46
31.93,5.53
32.24,5.62
32.57,5.71
32.89,5.82
33.22,5.93
33.55,6.02
33.89,6.13
34.23,6.24
34.57,6.33
34.92,6.43
35.27,6.54
35.62,6.66
35.97,6.78
36.33,6.89
36.70,6.99
37.06,7.08
37.43,7.19
37.81,7.30
38.19,7.40
38.57,7.47
38.95,7.52
39.34,7.60
39.74,7.67
40.14,7.74
40.54,7.80
40.94,7.86
41.35,7.94
41.76,8.00
42.18,8.04
42.60,8.07
43.03,8.12
43.46,8.17
43.90,8.20
44.33,8.22
44.78,8.26
45.23,8.29
45.68,8.31
46.13,8.33
46.60,8.35
47.06,8.39
47.53,8.40
48.01,8.40
48.49,8.40
48.97,8.40
49.46,8.40
49.96,8.40
50.46,8.40
50.96,8.40
51.47,8.40
51.99,8.40
52.51,8.42
53.03,8.43
53.56,8.45
54.10,8.49
54.64,8.53
55.18,8.55
55.74,8.57
56.29,8.61
56.86,8.65
57.42,8.68
58.00,8.70
58.58,8.74
59.16,8.79
59.76,8.82
60.35,8.84
60.96,8.88
61.57,8.89
62.18,8.89
62.80,8.89
63.43,8.89
64.07,8.89
64.71,8.86
65.35,8.83
66.01,8.81
66.67,8.79
67.33,8.77
68.01,8.76
68.69,8.74
69.37,8.72
70.07,8.69
70.77,8.65
71.48,8.65
72.19,8.65
72.91,8.65
73.64,8.65
74.38,8.65
75.12,8.61
75.87,8.59
76.63,8.59
77.40,8.62
78.17,8.65
78.95,8.65
79.74,8.65
80.54,8.65
81.35,8.69
82.16,8.71
82.98,8.71
83.81,8.71
84.65,8.71
85.50,8.71
86.35,8.71
87.22,8.71
88.09,8.71
88.97,8.71
89.86,8.71
90.76,8.69
91.66,8.65
92.58,8.59
93.51,8.53
94.44,8.47
95.39,8.42
96.34,8.36
97.30,8.28
98.28,8.21
99.26,8.14
100.25,8.06
101.25,7.98
102.27,7.88
103.29,7.81
104.32,7.76
105.37,7.68
106.42,7.61
107.48,7.53
108.56,7.47
109.64,7.42
110.74,7.36
111.85,7.29
112.97,7.21
114.10,7.12
115.24,7.04
116.39,6.96
117.55,6.87
118.73,6.78
119.92,6.64
121.12,6.50
122.33,6.35
123.55,6.20
124.79,6.05
126.03,5.90
127.29,5.75
128.57,5.60
129.85,5.45
131.15,5.27
132.46,5.05
133.79,4.87
135.12,4.58
136.48,4.45
137.84,4.27
139.22,4.04
140.61,3.88
142.02,3.73
143.44,3.57
144.87,3.29
146.32,3.16
147.78,3.01
149.26,2.85
150.75,2.71
152.26,2.56
153.78,2.41
155.32,2.25
156.88,2.11
158.44,1.98
160.03,1.89
161.63,1.79
163.24,1.69
164.88,1.60
166.53,1.51
168.19,1.43
169.87,1.36
171.57,1.29
173.29,1.23
175.02,1.17
176.77,1.11
178.54,1.06
180.32,1.02
182.13,0.99
183.95,0.96
185.79,0.96
187.65,0.94
189.52,0.90
191.42,0.90
193.33,0.90
195.27,0.90
197.22,0.90
199.19,0.90
201.18,0.90
203.19,0.90
205.23,0.90
207.28,0.90
209.35,0.91
211.44,0.95
213.56,0.96
215.69,0.96
217.85,1.00
220.03,1.02
222.23,1.02
224.45,1.02
226.70,1.03
228.96,1.04
231.25,1.06
233.57,1.08
235.90,1.10
238.26,1.12
240.64,1.14
243.05,1.16
245.48,1.19
247.93,1.24
250.41,1.29
252.92,1.33
255.45,1.36
258.00,1.40
260.58,1.44
263.19,1.49
265.82,1.54
268.48,1.58
271.16,1.62
273.87,1.65
276.61,1.69
279.38,1.73
282.17,1.77
284.99,1.82
287.84,1.88
290.72,1.91
293.63,1.95
296.57,1.99
299.53,2.04
302.53,2.09
305.55,2.11
308.61,2.14
311.69,2.17
314.81,2.22
317.96,2.28
321.14,2.31
324.35,2.35
327.59,2.40
330.87,2.45
334.18,2.51
337.52,2.56
340.90,2.61
344.30,2.64
347.75,2.70
351.23,2.75
354.74,2.78
358.28,2.81
361.87,2.83
365.49,2.87
369.14,2.90
372.83,2.94
376.56,2.96
380.33,2.99
384.13,3.03
387.97,3.07
391.85,3.10
395.77,3.12
399.73,3.16
403.72,3.21
407.76,3.24
411.84,3.26
415.96,3.30
420.12,3.33
424.32,3.37
428.56,3.41
432.85,3.44
437.18,3.46
441.55,3.50
445.96,3.55
450.42,3.58
454.93,3.60
459.48,3.62
464.07,3.64
468.71,3.66
473.40,3.67
478.13,3.69
482.91,3.71
487.74,3.75
492.62,3.77
497.55,3.77
502.52,3.80
507.55,3.83
512.62,3.83
517.75,3.83
522.93,3.83
528.16,3.85
533.44,3.87
538.77,3.88
544.16,3.91
549.60,3.95
555.10,3.95
560.65,3.95
566.25,3.95
571.92,3.98
577.64,4.01
583.41,4.01
589.25,4.01
595.14,4.01
601.09,4.01
607.10,4.01
613.17,4.01
619.30,4.00
625.50,3.98
631.75,3.96
638.07,3.94
644.45,3.90
650.89,3.86
657.40,3.82
663.98,3.79
670.62,3.75
677.32,3.71
684.10,3.66
690.94,3.61
697.85,3.56
704.83,3.51
711.87,3.46
718.99,3.38
726.18,3.31
733.44,3.23
740.78,3.16
748.19,3.08
755.67,2.96
763.23,2.87
770.86,2.79
778.57,2.67
786.35,2.55
794.22,2.46
802.16,2.34
810.18,2.20
818.28,2.11
826.46,1.99
834.73,1.84
843.08,1.69
851.51,1.54
860.02,1.39
868.62,1.24
877.31,1.08
886.08,0.94
894.94,0.80
