frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,-1.80,5.10,-1.80,1.80,-0.01,6.90,6.90,6.90
20.20,5.12,-1.79,5.12,-1.79,1.79,-0.01,6.91,6.91,6.91
20.40,5.13,-1.79,5.14,-1.78,1.78,-0.01,6.91,6.92,6.92
20.61,5.16,-1.77,5.16,-1.77,1.77,-0.01,6.93,6.93,6.93
20.81,5.18,-1.75,5.17,-1.76,1.76,-0.01,6.94,6.93,6.93
21.02,5.19,-1.75,5.19,-1.75,1.75,-0.01,6.94,6.94,6.94
21.23,5.21,-1.74,5.21,-1.74,1.74,-0.01,6.95,6.95,6.95
21.44,5.23,-1.73,5.23,-1.73,1.72,-0.01,6.95,6.95,6.96
21.66,5.25,-1.71,5.25,-1.71,1.71,-0.01,6.96,6.96,6.96
21.87,5.27,-1.70,5.27,-1.70,1.70,-0.01,6.97,6.97,6.97
22.09,5.29,-1.68,5.29,-1.68,1.68,-0.01,6.97,6.97,6.97
22.31,5.31,-1.67,5.31,-1.67,1.67,-0.01,6.98,6.98,6.98
22.54,5.33,-1.65,5.32,-1.66,1.65,-0.01,6.98,6.98,6.98
22.76,5.34,-1.65,5.34,-1.64,1.64,-0.01,6.98,6.98,6.99
22.99,5.36,-1.63,5.36,-1.63,1.62,-0.01,6.98,6.99,6.99
23.22,5.39,-1.60,5.38,-1.61,1.61,-0.01,7.00,6.99,6.99
23.45,5.41,-1.59,5.41,-1.59,1.59,-0.01,7.00,7.00,7.00
23.69,5.42,-1.58,5.42,-1.57,1.58,-0.01,7.00,7.00,7.00
23.92,5.44,-1.56,5.44,-1.56,1.56,-0.01,7.00,7.00,7.00
24.16,5.45,-1.55,5.45,-1.55,1.55,-0.00,7.00,7.00,7.00
24.40,5.47,-1.54,5.47,-1.54,1.54,-0.00,7.01,7.00,7.01
24.65,5.48,-1.53,5.48,-1.53,1.52,-0.00,7.00,7.01,7.01
24.89,5.50,-1.51,5.50,-1.51,1.51,-0.00,7.01,7.01,7.01
25.14,5.52,-1.49,5.51,-1.49,1.50,-0.00,7.01,7.01,7.01
25.39,5.53,-1.48,5.53,-1.48,1.48,-0.00,7.01,7.01,7.01
25.65,5.54,-1.47,5.54,-1.47,1.47,-0.00,7.00,7.01,7.01
25.91,5.56,-1.45,5.56,-1.45,1.45,-0.00,7.01,7.01,7.01
26.16,5.57,-1.44,5.57,-1.44,1.44,-0.00,7.00,7.01,7.01
26.43,5.59,-1.42,5.59,-1.42,1.42,-0.00,7.01,7.01,7.01
26.69,5.61,-1.40,5.60,-1.40,1.41,-0.00,7.01,7.01,7.01
26.96,5.62,-1.39,5.62,-1.39,1.39,-0.00,7.01,7.01,7.01
27.23,5.63,-1.38,5.63,-1.38,1.38,-0.00,7.01,7.01,7.01
27.50,5.65,-1.36,5.64,-1.36,1.36,0.00,7.01,7.01,7.01
27.77,5.66,-1.35,5.66,-1.35,1.35,0.00,7.01,7.01,7.01
28.05,5.67,-1.34,5.67,-1.34,1.34,0.00,7.00,7.01,7.01
28.33,5.69,-1.32,5.69,-1.32,1.32,0.00,7.01,7.01,7.01
28.62,5.70,-1.31,5.70,-1.31,1.31,0.00,7.01,7.01,7.01
28.90,5.72,-1.29,5.72,-1.29,1.30,0.00,7.01,7.01,7.01
29.19,5.73,-1.28,5.73,-1.28,1.28,0.00,7.01,7.01,7.01
29.48,5.74,-1.27,5.74,-1.27,1.27,0.00,7.01,7.01,7.01
29.78,5.75,-1.26,5.75,-1.26,1.25,0.01,7.00,7.00,7.01
30.08,5.77,-1.24,5.77,-1.24,1.24,0.01,7.01,7.00,7.01
30.38,5.78,-1.22,5.78,-1.22,1.22,0.01,7.00,7.00,7.00
30.68,5.80,-1.20,5.80,-1.20,1.21,0.01,7.01,7.00,7.00
30.99,5.81,-1.19,5.81,-1.19,1.19,0.01,7.00,7.00,7.00
31.30,5.82,-1.17,5.82,-1.18,1.18,0.01,7.00,6.99,6.99
31.61,5.82,-1.17,5.82,-1.16,1.16,0.01,6.98,6.99,6.99
31.93,5.83,-1.15,5.83,-1.15,1.15,0.01,6.98,6.98,6.98
32.24,5.84,-1.14,5.84,-1.14,1.14,0.01,6.98,6.97,6.98
32.57,5.85,-1.12,5.85,-1.12,1.12,0.02,6.97,6.97,6.97
32.89,5.86,-1.11,5.86,-1.11,1.11,0.02,6.96,6.97,6.97
33.22,5.87,-1.09,5.87,-1.09,1.09,0.02,6.96,6.96,6.96
33.55,5.89,-1.07,5.88,-1.07,1.07,0.02,6.96,6.95,6.96
33.89,5.90,-1.05,5.90,-1.05,1.05,0.02,6.95,6.95,6.95
34.23,5.91,-1.03,5.91,-1.03,1.03,0.02,6.94,6.94,6.94
34.57,5.93,-1.00,5.93,-1.00,1.01,0.02,6.93,6.93,6.93
