frequency,raw
20.00,8.84
20.20,8.86
20.40,8.88
20.61,8.91
20.81,8.93
21.02,8.95
21.23,8.97
21.44,9.00
21.66,9.02
21.87,9.04
22.09,9.06
22.31,9.08
22.54,9.10
22.76,9.13
22.99,9.15
23.22,9.17
23.45,9.19
23.69,9.20
23.92,9.22
24.16,9.24
24.40,9.26
24.65,9.27
24.89,9.29
25.14,9.31
25.39,9.32
25.65,9.34
25.91,9.36
26.16,9.37
26.43,9.39
26.69,9.40
26.96,9.42
27.23,9.44
27.50,9.45
27.77,9.47
28.05,9.48
28.33,9.49
28.62,9.51
28.90,9.52
29.19,9.54
29.48,9.55
29.78,9.56
30.08,9.57
30.38,9.58
30.68,9.59
30.99,9.60
31.30,9.61
31.61,9.63
31.93,9.64
32.24,9.65
32.57,9.67
32.89,9.68
33.22,9.69
33.55,9.71
33.89,9.71
34.23,9.71
34.57,9.71
34.92,9.71
35.27,9.71
35.62,9.71
35.97,9.71
36.33,9.71
36.70,9.71
37.06,9.71
37.43,9.71
37.81,9.71
38.19,9.71
38.57,9.71
38.95,9.71
39.34,9.71
39.74,9.71
40.14,9.71
40.54,9.71
40.94,9.71
41.35,9.71
41.76,9.71
42.18,9.71
42.60,9.71
43.03,9.70
43.46,9.70
43.90,9.70
44.33,9.70
44.78,9.70
45.23,9.69
45.68,9.68
46.13,9.66
46.60,9.64
47.06,9.63
47.53,9.61
48.01,9.60
48.49,9.58
48.97,9.58
49.46,9.57
49.96,9.57
50.46,9.57
50.96,9.56
51.47,9.56
51.99,9.56
52.51,9.55
53.03,9.53
53.56,9.52
54.10,9.50
54.64,9.48
55.18,9.46
55.74,9.45
56.29,9.43
56.86,9.41
57.42,9.40
58.00,9.39
58.58,9.37
59.16,9.36
59.76,9.35
60.35,9.33
60.96,9.32
61.57,9.31
62.18,9.29
62.80,9.28
63.43,9.27
64.07,9.25
64.71,9.24
65.35,9.22
66.01,9.21
66.67,9.19
67.33,9.17
68.01,9.15
68.69,9.14
69.37,9.12
70.07,9.10
70.77,9.08
71.48,9.06
72.19,9.04
72.91,9.02
73.64,9.00
74.38,8.98
75.12,8.96
75.87,8.94
76.63,8.91
77.40,8.88
78.17,8.86
78.95,8.83
79.74,8.80
80.54,8.78
81.35,8.75
82.16,8.72
82.98,8.69
83.81,8.67
84.65,8.64
85.50,8.61
86.35,8.58
87.22,8.55
88.09,8.52
88.97,8.49
89.86,8.46
90.76,8.42
91.66,8.39
92.58,8.36
93.51,8.33
94.44,8.30
95.39,8.27
96.34,8.24
97.30,8.21
98.28,8.18
99.26,8.15
100.25,8.12
101.25,8.09
102.27,8.06
103.29,8.02
104.32,7.99
105.37,7.96
106.42,7.93
107.48,7.89
108.56,7.86
109.64,7.83
110.74,7.79
111.85,7.76
112.97,7.72
114.10,7.69
115.24,7.65
116.39,7.62
117.55,7.58
118.73,7.55
119.92,7.51
121.12,7.48
122.33,7.44
123.55,7.40
124.79,7.37
126.03,7.33
127.29,7.29
128.57,7.26
129.85,7.22
131.15,7.18
132.46,7.14
133.79,7.10
135.12,7.07
136.48,7.03
137.84,6.99
139.22,6.95
140.61,6.90
142.02,6.86
143.44,6.82
144.87,6.78
146.32,6.74
147.78,6.69
149.26,6.65
150.75,6.61
152.26,6.56
153.78,6.52
155.32,6.48
156.88,6.43
158.44,6.39
160.03,6.34
161.63,6.30
163.24,6.25
164.88,6.20
166.53,6.16
168.19,6.11
169.87,6.06
171.57,6.01
173.29,5.96
