frequency,raw
20,-29.19
20.2,-28.91
20.4,-28.58
20.61,-28.29
20.81,-27.95
21.02,-27.66
21.23,-27.25
21.44,-26.8
21.66,-26.42
21.87,-25.97
22.09,-25.54
22.31,-25.11
22.54,-24.72
22.76,-24.27
22.99,-23.88
23.22,-23.47
23.45,-23.04
23.69,-22.69
23.92,-22.31
24.16,-21.96
24.4,-21.6
24.65,-21.27
24.89,-20.89
25.14,-20.53
25.39,-20.17
25.65,-19.83
25.91,-19.48
26.16,-19.07
26.43,-18.71
26.69,-18.26
26.96,-17.83
27.23,-17.4
27.5,-16.96
27.77,-16.49
28.05,-16.06
28.33,-15.62
28.62,-15.25
28.9,-14.81
29.19,-14.42
29.48,-14.02
29.78,-13.72
30.08,-13.4
30.38,-13.08
30.68,-12.76
30.99,-12.46
31.3,-12.16
31.61,-11.86
31.93,-11.56
32.24,-11.23
32.57,-10.94
32.89,-10.61
33.22,-10.3
33.55,-9.98
33.89,-9.67
34.23,-9.34
34.57,-9
34.92,-8.67
35.27,-8.27
35.62,-7.84
35.97,-7.37
36.33,-6.94
36.7,-6.52
37.06,-6.04
37.43,-5.6
37.81,-5.22
38.19,-4.95
38.57,-4.69
38.95,-4.4
39.34,-4.13
39.74,-3.88
40.14,-3.65
40.54,-3.42
40.94,-3.19
41.35,-2.96
41.76,-2.7
42.18,-2.47
42.6,-2.24
43.03,-2.03
43.46,-1.8
43.9,-1.57
44.33,-1.32
44.78,-1.11
45.23,-0.94
45.68,-0.76
46.13,-0.58
46.6,-0.43
47.06,-0.26
47.53,-0.1
48.01,0.07
48.49,0.25
48.97,0.41
49.46,0.56
49.96,0.69
50.46,0.8
50.96,0.93
51.47,1.04
51.99,1.17
52.51,1.29
53.03,1.41
53.56,1.53
54.1,1.64
54.64,1.71
55.18,1.77
55.74,1.83
56.29,1.9
56.86,1.97
57.42,2.04
58,2.1
58.58,2.16
59.16,2.23
59.76,2.3
60.35,2.33
60.96,2.36
61.57,2.39
62.18,2.42
62.8,2.44
63.43,2.47
64.07,2.5
64.71,2.53
65.35,2.55
66.01,2.58
66.67,2.61
67.33,2.62
68.01,2.65
68.69,2.67
69.37,2.7
70.07,2.73
70.77,2.75
71.48,2.78
72.19,2.8
72.91,2.83
73.64,2.85
74.38,2.85
75.12,2.84
75.87,2.85
76.63,2.86
77.4,2.87
78.17,2.87
78.95,2.87
79.74,2.88
80.54,2.89
81.35,2.9
82.16,2.86
82.98,2.83
83.81,2.8
84.65,2.77
85.5,2.73
86.35,2.69
87.22,2.66
88.09,2.63
88.97,2.59
89.86,2.56
90.76,2.5
91.66,2.44
92.58,2.39
93.51,2.32
94.44,2.27
95.39,2.21
96.34,2.15
97.3,2.1
98.28,2.03
99.26,1.98
100.25,1.9
101.25,1.82
102.27,1.73
103.29,1.65
104.32,1.58
105.37,1.5
106.42,1.42
107.48,1.34
108.56,1.27
109.64,1.19
110.74,1.11
111.85,0.98
112.97,0.86
114.1,0.75
115.24,0.62
116.39,0.5
117.55,0.38
118.73,0.25
119.92,0.13
121.12,0.01
122.33,-0.09
123.55,-0.18
124.79,-0.27
126.03,-0.37
127.29,-0.46
128.57,-0.55
129.85,-0.65
131.15,-0.74
132.46,-0.83
