frequency,raw
20.00,8.21
20.20,8.23
20.40,8.25
20.61,8.27
20.81,8.30
21.02,8.32
21.23,8.34
21.44,8.36
21.66,8.39
21.87,8.41
22.09,8.43
22.31,8.45
22.54,8.48
22.76,8.50
22.99,8.52
23.22,8.54
23.45,8.56
23.69,8.57
23.92,8.59
24.16,8.61
24.40,8.63
24.65,8.65
24.89,8.66
25.14,8.68
25.39,8.70
25.65,8.71
25.91,8.73
26.16,8.75
26.43,8.76
26.69,8.78
26.96,8.79
27.23,8.81
27.50,8.83
27.77,8.84
28.05,8.85
28.33,8.87
28.62,8.88
28.90,8.89
29.19,8.91
29.48,8.92
29.78,8.93
30.08,8.95
30.38,8.96
30.68,8.97
30.99,8.98
31.30,8.99
31.61,9.01
31.93,9.02
32.24,9.03
32.57,9.05
32.89,9.06
33.22,9.08
33.55,9.09
33.89,9.09
34.23,9.10
34.57,9.10
34.92,9.11
35.27,9.12
35.62,9.12
35.97,9.12
36.33,9.12
36.70,9.12
37.06,9.12
37.43,9.12
37.81,9.12
38.19,9.12
38.57,9.12
38.95,9.12
39.34,9.12
39.74,9.12
40.14,9.12
40.54,9.12
40.94,9.12
41.35,9.12
41.76,9.12
42.18,9.12
42.60,9.12
43.03,9.12
43.46,9.12
43.90,9.11
44.33,9.10
44.78,9.09
45.23,9.08
45.68,9.07
46.13,9.05
46.60,9.04
47.06,9.03
47.53,9.02
48.01,9.01
48.49,8.99
48.97,8.98
49.46,8.97
49.96,8.96
50.46,8.95
50.96,8.95
51.47,8.94
51.99,8.94
52.51,8.93
53.03,8.92
53.56,8.91
54.10,8.89
54.64,8.88
55.18,8.86
55.74,8.84
56.29,8.83
56.86,8.81
57.42,8.80
58.00,8.78
58.58,8.76
59.16,8.75
59.76,8.73
60.35,8.72
60.96,8.71
61.57,8.70
62.18,8.69
62.80,8.68
63.43,8.67
64.07,8.65
64.71,8.64
65.35,8.63
66.01,8.61
66.67,8.59
67.33,8.57
68.01,8.55
68.69,8.54
69.37,8.52
70.07,8.50
70.77,8.48
71.48,8.46
72.19,8.45
72.91,8.43
73.64,8.41
74.38,8.39
75.12,8.36
75.87,8.33
76.63,8.31
77.40,8.28
78.17,8.26
78.95,8.23
79.74,8.21
80.54,8.18
81.35,8.15
82.16,8.13
82.98,8.10
83.81,8.08
84.65,8.05
85.50,8.02
86.35,7.99
87.22,7.96
88.09,7.93
88.97,7.90
89.86,7.87
90.76,7.84
91.66,7.81
92.58,7.78
93.51,7.75
94.44,7.72
95.39,7.69
96.34,7.66
97.30,7.63
98.28,7.60
99.26,7.57
100.25,7.54
101.25,7.51
102.27,7.48
103.29,7.45
104.32,7.41
105.37,7.38
106.42,7.35
107.48,7.31
108.56,7.28
109.64,7.25
110.74,7.21
111.85,7.18
112.97,7.14
114.10,7.11
115.24,7.07
116.39,7.04
117.55,7.00
118.73,6.97
119.92,6.93
121.12,6.90
122.33,6.86
123.55,6.82
124.79,6.79
126.03,6.75
127.29,6.71
128.57,6.67
129.85,6.64
131.15,6.60
132.46,6.56
133.79,6.52
135.12,6.48
136.48,6.44
137.84,6.41
139.22,6.37
140.61,6.33
142.02,6.29
143.44,6.25
144.87,6.21
146.32,6.16
147.78,6.12
149.26,6.08
150.75,6.04
152.26,5.99
153.78,5.95
155.32,5.90
156.88,5.86
158.44,5.81
160.03,5.77
161.63,5.72
163.24,5.68
164.88,5.63
166.53,5.58
168.19,5.54
169.87,5.49
171.57,5.44
173.29,5.40
175.02,5.35
176.77,5.30
178.54,5.25
180.32,5.20
182.13,5.15
183.95,5.10
185.79,5.05
187.65,5.00
189.52,4.95
191.42,4.90
193.33,4.85
195.27,4.80
197.22,4.75
199.19,4.70
201.18,4.66
203.19,4.61
205.23,4.56
207.28,4.52
209.35,4.47
211.44,4.42
213.56,4.38
215.69,4.33
217.85,4.28
220.03,4.24
222.23,4.19
224.45,4.14
226.70,4.10
228.96,4.04
231.25,3.99
233.57,3.94
235.90,3.89
238.26,3.84
240.64,3.79
243.05,3.74
245.48,3.68
247.93,3.63
250.41,3.58
252.92,3.53
255.45,3.47
258.00,3.42
260.58,3.37
263.19,3.31
265.82,3.26
268.48,3.20
271.16,3.15
273.87,3.09
276.61,3.04
279.38,2.99
282.17,2.94
284.99,2.89
287.84,2.84
290.72,2.78
293.63,2.73
296.57,2.68
299.53,2.63
302.53,2.57
305.55,2.52
308.61,2.46
311.69,2.41
314.81,2.35
317.96,2.30
321.14,2.25
324.35,2.20
327.59,2.15
330.87,2.10
334.18,2.05
337.52,2.00
340.90,1.94
344.30,1.89
347.75,1.84
351.23,1.79
354.74,1.74
358.28,1.69
361.87,1.64
365.49,1.59
369.14,1.53
372.83,1.48
376.56,1.43
380.33,1.38
384.13,1.33
387.97,1.28
391.85,1.24
395.77,1.19
399.73,1.14
403.72,1.09
407.76,1.05
411.84,1.00
415.96,0.96
420.12,0.91
424.32,0.87
428.56,0.82
432.85,0.78
437.18,0.73
441.55,0.69
445.96,0.64
450.42,0.60
454.93,0.55
459.48,0.51
464.07,0.47
468.71,0.42
473.40,0.38
478.13,0.33
482.91,0.29
487.74,0.24
492.62,0.20
497.55,0.15
502.52,0.11
507.55,0.07
512.62,0.02
517.75,-0.02
522.93,-0.06
528.16,-0.10
533.44,-0.15
538.77,-0.18
544.16,-0.22
549.60,-0.26
555.10,-0.30
560.65,-0.33
566.25,-0.37
571.92,-0.41
577.64,-0.44
583.41,-0.47
589.25,-0.50
595.14,-0.54
601.09,-0.57
607.10,-0.60
613.17,-0.63
619.30,-0.67
625.50,-0.70
631.75,-0.74
638.07,-0.77
644.45,-0.81
650.89,-0.84
657.40,-0.87
663.98,-0.90
