frequency,raw
20.00,1.34
20.20,1.39
20.40,1.44
20.61,1.49
20.81,1.54
21.02,1.60
21.23,1.65
21.44,1.70
21.66,1.75
21.87,1.80
22.09,1.85
22.31,1.90
22.54,1.95
22.76,2.00
22.99,2.04
23.22,2.09
23.45,2.14
23.69,2.19
23.92,2.24
24.16,2.29
24.40,2.35
24.65,2.40
24.89,2.45
25.14,2.50
25.39,2.55
25.65,2.58
25.91,2.61
26.16,2.64
26.43,2.67
26.69,2.70
26.96,2.73
27.23,2.76
27.50,2.79
27.77,2.82
28.05,2.85
28.33,2.88
28.62,2.91
28.90,2.94
29.19,2.98
29.48,3.01
29.78,3.05
30.08,3.08
30.38,3.12
30.68,3.15
30.99,3.19
31.30,3.22
31.61,3.24
31.93,3.27
32.24,3.29
32.57,3.32
32.89,3.34
33.22,3.37
33.55,3.38
33.89,3.40
34.23,3.42
34.57,3.43
34.92,3.45
35.27,3.46
35.62,3.48
35.97,3.49
36.33,3.51
36.70,3.52
37.06,3.53
37.43,3.55
37.81,3.56
38.19,3.57
38.57,3.57
38.95,3.57
39.34,3.57
39.74,3.57
40.14,3.57
40.54,3.57
40.94,3.57
41.35,3.57
41.76,3.57
42.18,3.56
42.60,3.56
43.03,3.56
43.46,3.55
43.90,3.55
44.33,3.56
44.78,3.56
45.23,3.56
45.68,3.56
46.13,3.57
46.60,3.57
47.06,3.57
47.53,3.58
48.01,3.58
48.49,3.58
48.97,3.59
49.46,3.59
49.96,3.59
50.46,3.59
50.96,3.58
51.47,3.57
51.99,3.57
52.51,3.56
53.03,3.55
53.56,3.54
54.10,3.53
54.64,3.53
55.18,3.52
55.74,3.51
56.29,3.50
56.86,3.49
57.42,3.48
58.00,3.48
58.58,3.48
59.16,3.47
59.76,3.47
60.35,3.47
60.96,3.46
61.57,3.46
62.18,3.47
62.80,3.47
63.43,3.48
64.07,3.48
64.71,3.48
65.35,3.49
66.01,3.49
66.67,3.48
67.33,3.47
68.01,3.46
68.69,3.45
69.37,3.44
70.07,3.43
70.77,3.41
71.48,3.39
72.19,3.36
72.91,3.34
73.64,3.32
74.38,3.29
75.12,3.27
75.87,3.24
76.63,3.21
77.40,3.17
78.17,3.14
78.95,3.10
79.74,3.06
80.54,3.03
81.35,3.01
82.16,2.98
82.98,2.96
83.81,2.94
84.65,2.92
85.50,2.90
86.35,2.88
87.22,2.86
88.09,2.84
88.97,2.81
89.86,2.79
90.76,2.77
91.66,2.75
92.58,2.73
93.51,2.70
94.44,2.68
95.39,2.66
96.34,2.63
97.30,2.61
98.28,2.58
99.26,2.55
100.25,2.50
101.25,2.46
102.27,2.41
103.29,2.36
104.32,2.32
105.37,2.27
106.42,2.23
107.48,2.19
108.56,2.16
109.64,2.12
110.74,2.09
111.85,2.05
112.97,2.02
114.10,1.98
115.24,1.95
116.39,1.92
117.55,1.88
118.73,1.85
119.92,1.82
121.12,1.78
122.33,1.74
123.55,1.69
124.79,1.64
126.03,1.59
127.29,1.54
128.57,1.49
129.85,1.44
131.15,1.38
132.46,1.31
133.79,1.24
135.12,1.18
136.48,1.11
137.84,1.05
139.22,0.98
140.61,0.94
142.02,0.91
143.44,0.87
144.87,0.83
146.32,0.79
147.78,0.75
149.26,0.72
150.75,0.72
152.26,0.72
153.78,0.72
155.32,0.72
156.88,0.71
158.44,0.71
160.03,0.71
161.63,0.71
163.24,0.70
164.88,0.70
166.53,0.69
168.19,0.69
169.87,0.68
171.57,0.67
173.29,0.63
175.02,0.60
176.77,0.56
178.54,0.53
180.32,0.49
182.13,0.45
183.95,0.41
