frequency,raw
20.00,5.49
20.20,5.54
20.40,5.59
20.61,5.65
20.81,5.70
21.02,5.75
21.23,5.80
21.44,5.85
21.66,5.91
21.87,5.96
22.09,6.01
22.31,6.06
22.54,6.11
22.76,6.15
22.99,6.20
23.22,6.25
23.45,6.29
23.69,6.34
23.92,6.39
24.16,6.44
24.40,6.49
24.65,6.55
24.89,6.61
25.14,6.66
25.39,6.72
25.65,6.77
25.91,6.83
26.16,6.85
26.43,6.87
26.69,6.89
26.96,6.90
27.23,6.92
27.50,6.94
27.77,6.96
28.05,6.99
28.33,7.03
28.62,7.07
28.90,7.10
29.19,7.14
29.48,7.18
29.78,7.22
30.08,7.26
30.38,7.29
30.68,7.32
30.99,7.36
31.30,7.39
31.61,7.42
31.93,7.46
32.24,7.49
32.57,7.52
32.89,7.53
33.22,7.55
33.55,7.56
33.89,7.58
34.23,7.60
34.57,7.61
34.92,7.63
35.27,7.64
35.62,7.66
35.97,7.68
36.33,7.70
36.70,7.71
37.06,7.73
37.43,7.75
37.81,7.76
38.19,7.76
38.57,7.76
38.95,7.76
39.34,7.75
39.74,7.75
40.14,7.75
40.54,7.75
40.94,7.75
41.35,7.75
41.76,7.75
42.18,7.74
42.60,7.74
43.03,7.74
43.46,7.74
43.90,7.74
44.33,7.74
44.78,7.75
45.23,7.75
45.68,7.76
46.13,7.76
46.60,7.76
47.06,7.77
47.53,7.77
48.01,7.78
48.49,7.78
48.97,7.78
49.46,7.79
49.96,7.79
50.46,7.80
50.96,7.80
51.47,7.78
51.99,7.77
52.51,7.76
53.03,7.75
53.56,7.74
54.10,7.72
54.64,7.71
55.18,7.71
55.74,7.70
56.29,7.70
56.86,7.69
57.42,7.68
58.00,7.68
58.58,7.67
59.16,7.67
59.76,7.67
60.35,7.67
60.96,7.67
61.57,7.67
62.18,7.67
62.80,7.67
63.43,7.67
64.07,7.67
64.71,7.67
65.35,7.68
66.01,7.68
66.67,7.68
67.33,7.68
68.01,7.69
68.69,7.69
69.37,7.66
70.07,7.64
70.77,7.62
71.48,7.60
72.19,7.58
72.91,7.56
73.64,7.54
74.38,7.51
75.12,7.48
75.87,7.45
76.63,7.42
77.40,7.39
78.17,7.36
78.95,7.34
79.74,7.30
80.54,7.26
81.35,7.21
82.16,7.17
82.98,7.12
83.81,7.08
84.65,7.03
85.50,6.99
86.35,6.97
87.22,6.97
88.09,6.96
88.97,6.96
89.86,6.96
90.76,6.95
91.66,6.95
92.58,6.95
93.51,6.93
94.44,6.90
95.39,6.88
96.34,6.86
97.30,6.83
98.28,6.81
99.26,6.79
100.25,6.75
101.25,6.70
102.27,6.65
103.29,6.60
104.32,6.54
105.37,6.49
106.42,6.44
107.48,6.39
108.56,6.36
109.64,6.33
110.74,6.29
111.85,6.26
112.97,6.23
114.10,6.20
115.24,6.17
116.39,6.13
117.55,6.10
118.73,6.07
119.92,6.03
121.12,6.00
122.33,5.97
123.55,5.93
124.79,5.90
126.03,5.84
127.29,5.78
128.57,5.73
129.85,5.67
131.15,5.61
132.46,5.55
133.79,5.49
135.12,5.43
136.48,5.36
137.84,5.29
139.22,5.22
140.61,5.15
142.02,5.08
143.44,5.02
144.87,4.95
146.32,4.93
147.78,4.92
149.26,4.91
150.75,4.91
152.26,4.90
153.78,4.90
155.32,4.89
156.88,4.89
158.44,4.90
160.03,4.91
161.63,4.92
163.24,4.92
164.88,4.93
166.53,4.94
168.19,4.95
169.87,4.92
171.57,4.89
173.29,4.85
175.02,4.82
176.77,4.79
178.54,4.75
180.32,4.72
182.13,4.68
183.95,4.64
185.79,4.59
187.65,4.54
189.52,4.50
191.42,4.45
193.33,4.40
195.27,4.36
197.22,4.31
199.19,4.26
201.18,4.21
203.19,4.17
205.23,4.12
207.28,4.07
209.35,4.02
211.44,3.98
213.56,3.94
215.69,3.90
217.85,3.87
220.03,3.83
222.23,3.79
224.45,3.75
226.70,3.72
228.96,3.67
231.25,3.62
233.57,3.57
235.90,3.51
238.26,3.46
240.64,3.41
243.05,3.36
245.48,3.31
247.93,3.27
250.41,3.24
252.92,3.20
255.45,3.16
258.00,3.12
260.58,3.09
263.19,3.05
265.82,3.00
268.48,2.94
271.16,2.89
273.87,2.84
276.61,2.78
279.38,2.73
282.17,2.67
284.99,2.62
287.84,2.56
290.72,2.51
293.63,2.45
296.57,2.40
299.53,2.35
302.53,2.29
305.55,2.24
308.61,2.20
311.69,2.17
314.81,2.13
317.96,2.10
321.14,2.07
324.35,2.04
327.59,2.01
330.87,1.97
334.18,1.93
337.52,1.88
340.90,1.84
344.30,1.80
347.75,1.75
351.23,1.71
354.74,1.67
358.28,1.63
361.87,1.59
365.49,1.55
369.14,1.51
372.83,1.48
376.56,1.44
380.33,1.40
384.13,1.36
387.97,1.32
391.85,1.28
395.77,1.24
399.73,1.19
403.72,1.15
407.76,1.11
411.84,1.07
415.96,1.02
420.12,0.98
424.32,0.94
428.56,0.89
432.85,0.85
437.18,0.80
441.55,0.76
445.96,0.72
450.42,0.69
454.93,0.66
459.48,0.63
464.07,0.60
468.71,0.56
473.40,0.53
478.13,0.50
482.91,0.47
487.74,0.44
492.62,0.41
497.55,0.38
502.52,0.34
507.55,0.31
512.62,0.28
517.75,0.25
522.93,0.22
528.16,0.19
533.44,0.16
538.77,0.13
544.16,0.10
549.60,0.07
555.10,0.04
560.65,0.02
566.25,-0.01
571.92,-0.03
577.64,-0.06
583.41,-0.08
589.25,-0.11
595.14,-0.13
601.09,-0.16
607.10,-0.18
613.17,-0.20
619.30,-0.22
625.50,-0.24
631.75,-0.26
638.07,-0.28
644.45,-0.30
650.89,-0.32
657.40,-0.33
663.98,-0.35
670.62,-0.36
677.32,-0.38
684.10,-0.39
690.94,-0.40
697.85,-0.42
704.83,-0.43
711.87,-0.44
718.99,-0.45
726.18,-0.46
733.44,-0.47
740.78,-0.48
748.19,-0.49
755.67,-0.50
763.23,-0.51
770.86,-0.51
778.57,-0.51
786.35,-0.52
794.22,-0.52
802.16,-0.53
810.18,-0.53
818.28,-0.52
826.46,-0.51
834.73,-0.49
843.08,-0.48
851.51,-0.47
860.02,-0.45
868.62,-0.44
877.31,-0.42
886.08,-0.41
894.94,-0.39
903.89,-0.38
912.93,-0.36
922.06,-0.34
931.28,-0.33
940.59,-0.31
950.00,-0.27
959.50,-0.22
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.12
1028.71,0.24
1039.00,0.36
1049.39,0.48
1059.88,0.61
1070.48,0.73
1081.19,0.85
1092.00,0.97
1102.92,1.11
1113.95,1.26
1125.09,1.41
1136.34,1.55
1147.70,1.70
1159.18,1.84
1170.77,1.99
1182.48,2.15
1194.30,2.31
1206.25,2.47
1218.31,2.63
1230.49,2.79
1242.80,2.96
1255.22,3.12
1267.78,3.27
1280.45,3.43
1293.26,3.58
1306.19,3.73
1319.25,3.88
1332.45,4.04
1345.77,4.19
1359.23,4.34
1372.82,4.48
1386.55,4.62
1400.41,4.76
1414.42,4.90
1428.56,5.05
1442.85,5.19
1457.28,5.33
1471.85,5.47
1486.57,5.62
1501.43,5.76
1516.45,5.90
1531.61,6.05
1546.93,6.19
1562.40,6.34
1578.02,6.49
1593.80,6.65
1609.74,6.80
1625.84,6.96
1642.10,7.11
1658.52,7.27
1675.10,7.42
1691.85,7.59
1708.77,7.77
1725.86,7.96
1743.12,8.14
1760.55,8.32
1778.15,8.50
1795.94,8.68
1813.90,8.87
1832.03,9.07
1850.36,9.26
1868.86,9.46
1887.55,9.65
1906.42,9.85
1925.49,10.07
1944.74,10.28
1964.19,10.50
1983.83,10.71
2003.67,10.92
2023.71,11.13
2043.94,11.33
2064.38,11.53
2085.03,11.73
2105.88,11.93
2126.94,12.13
2148.20,12.28
2169.69,12.40
2191.38,12.51
2213.30,12.63
2235.43,12.75
2257.78,12.86
2280.36,12.98
2303.17,13.01
2326.20,12.94
2349.46,12.87
2372.95,12.80
2396.68,12.73
2420.65,12.66
2444.86,12.59
2469.31,12.52
2494.00,12.32
2518.94,12.12
2544.13,11.91
2569.57,11.71
2595.27,11.50
2621.22,11.30
2647.43,11.09
2673.90,10.87
2700.64,10.66
2727.65,10.44
2754.93,10.22
2782.48,10.01
2810.30,9.82
2838.40,9.64
2866.79,9.46
2895.46,9.28
2924.41,9.10
2953.65,8.92
2983.19,8.75
3013.02,8.65
3043.15,8.54
3073.58,8.43
3104.32,8.32
3135.36,8.22
3166.72,8.11
3198.38,8.00
3230.37,7.92
3262.67,7.87
3295.30,7.81
3328.25,7.75
3361.53,7.70
3395.15,7.64
3429.10,7.58
3463.39,7.53
3498.03,7.57
3533.01,7.61
3568.34,7.64
3604.02,7.68
3640.06,7.71
3676.46,7.75
3713.22,7.79
3750.36,7.88
3787.86,8.09
3825.74,8.31
3864.00,8.52
3902.64,8.74
3941.66,8.96
3981.08,9.24
4020.89,9.53
4061.10,9.81
4101.71,10.10
4142.73,10.39
4184.15,10.68
4226.00,10.97
4268.26,11.26
4310.94,11.56
4354.05,11.85
4397.59,12.15
4441.56,12.44
4485.98,12.64
4530.84,12.80
4576.15,12.96
4621.91,13.12
4668.13,13.28
4714.81,13.42
4761.96,13.21
4809.58,13.01
4857.67,12.80
4906.25,12.60
4955.31,12.40
5004.87,12.09
5054.91,11.57
5105.46,11.03
5156.52,10.25
5208.08,8.83
5260.16,7.41
5312.77,6.37
5365.89,5.33
5419.55,4.69
5473.75,5.40
5528.49,6.10
5583.77,6.80
5639.61,7.51
5696.00,7.31
5752.96,6.88
5810.49,6.45
5868.60,6.03
5927.28,5.60
5986.56,5.17
6046.42,4.76
6106.89,4.42
6167.96,4.08
6229.64,3.74
6291.93,3.44
6354.85,3.22
6418.40,2.99
6482.58,2.77
6547.41,2.54
6612.88,2.32
6679.01,2.13
6745.80,1.95
6813.26,1.77
6881.39,1.59
6950.21,1.41
7019.71,1.23
7089.91,1.06
7160.81,0.96
7232.41,0.90
7304.74,0.85
7377.79,0.79
7451.56,0.73
7526.08,0.67
7601.34,0.62
7677.35,0.58
7754.13,0.67
7831.67,0.76
7909.98,0.85
7989.08,0.94
8068.98,1.03
8149.67,1.12
8231.16,1.20
8313.47,1.38
8396.61,1.65
8480.57,1.92
8565.38,2.19
8651.03,2.46
8737.54,3.01
8824.92,3.77
8913.17,4.28
9002.30,4.62
9092.32,4.95
9183.25,5.36
9275.08,6.07
9367.83,6.79
9461.51,8.19
9556.12,9.23
9651.68,10.14
9748.20,11.06
9845.68,11.15
9944.14,10.57
10043.58,9.99
10144.02,9.41
10245.46,7.26
10347.91,5.20
10451.39,3.50
10555.91,2.34
10661.46,1.08
10768.08,-0.81
10875.76,-1.84
10984.52,-3.57
11094.36,-4.24
11205.31,-4.84
11317.36,-5.40
11430.53,-5.89
11544.84,-6.38
11660.29,-6.80
11776.89,-6.89
11894.66,-6.99
12013.60,-6.64
12133.74,-6.18
12255.08,-5.72
12377.63,-5.12
12501.41,-3.94
12626.42,-2.08
12752.68,-0.83
12880.21,0.03
13009.01,0.87
13139.10,0.24
13270.49,-0.38
13403.20,-1.00
13537.23,-1.63
13672.60,-2.25
13809.33,-2.87
13947.42,-3.04
14086.90,-2.62
14227.77,-2.21
14370.04,-1.40
14513.74,-0.31
14658.88,1.12
14805.47,1.93
14953.52,1.33
15103.06,0.73
15254.09,-0.15
15406.63,-3.03
15560.70,-5.27
15716.30,-7.18
15873.47,-8.86
16032.20,-10.38
16192.52,-11.73
16354.45,-12.66
16517.99,-13.38
16683.17,-13.94
16850.01,-14.62
17018.51,-17.10
17188.69,-19.07
17360.58,-20.00
17534.18,-20.94
17709.53,-20.26
17886.62,-17.99
18065.49,-16.28
18246.14,-14.91
18428.60,-15.37
18612.89,-15.90
18799.02,-16.61
18987.01,-17.52
19176.88,-18.91
19368.65,-20.00
19562.33,-21.50
19757.96,-23.28
19955.54,-25.07
