frequency,raw
20.00,8.53
20.20,8.56
20.40,8.60
20.61,8.63
20.81,8.67
21.02,8.70
21.23,8.74
21.44,8.77
21.66,8.82
21.87,8.86
22.09,8.90
22.31,8.94
22.54,8.98
22.76,9.01
22.99,9.04
23.22,9.07
23.45,9.10
23.69,9.13
23.92,9.16
24.16,9.19
24.40,9.21
24.65,9.24
24.89,9.26
25.14,9.28
25.39,9.30
25.65,9.32
25.91,9.33
26.16,9.35
26.43,9.37
26.69,9.38
26.96,9.40
27.23,9.42
27.50,9.44
27.77,9.47
28.05,9.49
28.33,9.51
28.62,9.53
28.90,9.54
29.19,9.56
29.48,9.57
29.78,9.60
30.08,9.62
30.38,9.63
30.68,9.65
30.99,9.66
31.30,9.67
31.61,9.69
31.93,9.70
32.24,9.72
32.57,9.73
32.89,9.75
33.22,9.78
33.55,9.80
33.89,9.82
34.23,9.83
34.57,9.84
34.92,9.84
35.27,9.85
35.62,9.86
35.97,9.87
36.33,9.87
36.70,9.88
37.06,9.88
37.43,9.88
37.81,9.88
38.19,9.88
38.57,9.88
38.95,9.88
39.34,9.88
39.74,9.88
40.14,9.88
40.54,9.88
40.94,9.88
41.35,9.88
41.76,9.88
42.18,9.88
42.60,9.88
43.03,9.88
43.46,9.88
43.90,9.88
44.33,9.88
44.78,9.88
45.23,9.88
45.68,9.87
46.13,9.86
46.60,9.84
47.06,9.83
47.53,9.83
48.01,9.83
48.49,9.83
48.97,9.79
49.46,9.76
49.96,9.73
50.46,9.74
50.96,9.74
51.47,9.75
51.99,9.76
52.51,9.76
53.03,9.77
53.56,9.75
54.10,9.73
54.64,9.71
55.18,9.70
55.74,9.68
56.29,9.67
56.86,9.65
57.42,9.64
58.00,9.63
58.58,9.63
59.16,9.61
59.76,9.60
60.35,9.59
60.96,9.58
61.57,9.57
62.18,9.55
62.80,9.54
63.43,9.53
64.07,9.52
64.71,9.50
65.35,9.48
66.01,9.46
66.67,9.45
67.33,9.44
68.01,9.43
68.69,9.41
69.37,9.40
70.07,9.39
70.77,9.37
71.48,9.36
72.19,9.34
72.91,9.33
73.64,9.31
74.38,9.30
75.12,9.28
75.87,9.26
76.63,9.23
77.40,9.20
78.17,9.18
78.95,9.15
79.74,9.12
80.54,9.09
81.35,9.06
82.16,9.04
82.98,9.03
83.81,9.02
84.65,8.99
85.50,8.97
86.35,8.94
87.22,8.92
88.09,8.89
88.97,8.86
89.86,8.83
90.76,8.80
91.66,8.77
92.58,8.75
93.51,8.72
94.44,8.70
95.39,8.67
96.34,8.64
97.30,8.61
98.28,8.58
99.26,8.55
100.25,8.52
101.25,8.49
102.27,8.46
103.29,8.42
104.32,8.39
105.37,8.36
106.42,8.32
107.48,8.29
108.56,8.25
109.64,8.22
110.74,8.18
111.85,8.15
112.97,8.12
114.10,8.09
115.24,8.05
116.39,8.01
117.55,7.97
118.73,7.93
119.92,7.89
121.12,7.85
122.33,7.81
123.55,7.78
124.79,7.75
126.03,7.72
127.29,7.69
128.57,7.65
129.85,7.62
131.15,7.58
132.46,7.55
133.79,7.51
135.12,7.48
136.48,7.46
137.84,7.43
