frequency,raw
20.00,-43.18
20.20,-43.38
20.40,-43.59
20.61,-43.78
20.81,-43.96
21.02,-44.13
21.23,-44.31
21.44,-44.49
21.66,-44.64
21.87,-44.82
22.09,-44.95
22.31,-45.08
22.54,-45.19
22.76,-45.30
22.99,-45.42
23.22,-45.52
23.45,-45.58
23.69,-45.63
23.92,-45.67
24.16,-45.72
24.40,-45.76
24.65,-45.79
24.89,-45.79
25.14,-45.79
25.39,-45.78
25.65,-45.78
25.91,-45.76
26.16,-45.74
26.43,-45.70
26.69,-45.67
26.96,-45.64
27.23,-45.60
27.50,-45.54
27.77,-45.50
28.05,-45.45
28.33,-45.40
28.62,-45.35
28.90,-45.29
29.19,-45.23
29.48,-45.16
29.78,-45.10
30.08,-45.04
30.38,-44.98
30.68,-44.91
30.99,-44.84
31.30,-44.76
31.61,-44.69
31.93,-44.60
32.24,-44.52
32.57,-44.43
32.89,-44.32
33.22,-44.21
33.55,-44.09
33.89,-43.97
34.23,-43.83
34.57,-43.67
34.92,-43.54
35.27,-43.40
35.62,-43.18
35.97,-42.91
36.33,-42.73
36.70,-42.55
37.06,-42.17
37.43,-41.96
37.81,-41.63
38.19,-41.28
38.57,-40.97
38.95,-40.55
39.34,-40.20
39.74,-39.84
40.14,-39.48
40.54,-39.11
40.94,-38.72
41.35,-38.43
41.76,-38.16
42.18,-37.77
42.60,-37.34
43.03,-36.89
43.46,-36.53
43.90,-36.24
44.33,-35.84
44.78,-35.50
45.23,-35.20
45.68,-34.87
46.13,-34.57
46.60,-34.30
47.06,-34.00
47.53,-33.74
48.01,-33.51
48.49,-33.29
48.97,-33.06
49.46,-32.87
49.96,-32.70
50.46,-32.54
50.96,-32.41
51.47,-32.32
51.99,-32.24
52.51,-32.16
53.03,-32.15
53.56,-32.15
54.10,-32.16
54.64,-32.20
55.18,-32.30
55.74,-32.39
56.29,-32.52
56.86,-32.68
57.42,-32.86
58.00,-33.05
58.58,-33.29
59.16,-33.56
59.76,-33.82
60.35,-34.12
60.96,-34.44
61.57,-34.79
62.18,-35.14
62.80,-35.56
63.43,-35.95
64.07,-36.38
64.71,-36.81
65.35,-37.31
66.01,-37.75
66.67,-38.24
67.33,-38.77
68.01,-39.33
68.69,-39.78
69.37,-40.42
70.07,-40.90
70.77,-41.47
71.48,-42.00
72.19,-42.55
72.91,-43.13
73.64,-43.62
74.38,-44.09
75.12,-44.43
75.87,-44.74
76.63,-44.87
77.40,-44.90
78.17,-44.92
78.95,-44.66
79.74,-44.35
80.54,-43.93
81.35,-43.42
82.16,-42.84
82.98,-42.25
83.81,-41.64
84.65,-41.03
85.50,-40.45
86.35,-39.81
87.22,-39.23
88.09,-38.62
88.97,-38.05
89.86,-37.50
90.76,-36.97
91.66,-36.42
92.58,-35.94
93.51,-35.47
94.44,-35.02
95.39,-34.60
96.34,-34.21
97.30,-33.85
98.28,-33.54
99.26,-33.25
100.25,-33.02
101.25,-32.82
102.27,-32.64
103.29,-32.55
104.32,-32.47
105.37,-32.44
106.42,-32.48
107.48,-32.52
108.56,-32.64
109.64,-32.79
110.74,-32.95
111.85,-33.17
112.97,-33.40
114.10,-33.63
115.24,-33.87
116.39,-34.12
117.55,-34.31
118.73,-34.46
119.92,-34.59
121.12,-34.60
122.33,-34.53
123.55,-34.46
124.79,-34.22
126.03,-33.95
127.29,-33.61
128.57,-33.20
129.85,-32.76
131.15,-32.30
132.46,-31.82
133.79,-31.37
135.12,-30.93
136.48,-30.48
137.84,-30.06
139.22,-29.67
140.61,-29.31
142.02,-28.97
143.44,-28.67
144.87,-28.38
146.32,-28.13
147.78,-27.89
149.26,-27.65
150.75,-27.42
152.26,-27.19
153.78,-26.95
155.32,-26.68
156.88,-26.39
158.44,-26.05
160.03,-25.70
161.63,-25.30
163.24,-24.90
164.88,-24.50
166.53,-24.04
168.19,-23.53
169.87,-23.11
171.57,-22.73
173.29,-22.36
175.02,-22.01
176.77,-21.70
178.54,-21.40
180.32,-21.17
182.13,-20.96
183.95,-20.75
185.79,-20.63
187.65,-20.50
189.52,-20.38
191.42,-20.26
193.33,-20.15
195.27,-19.98
197.22,-19.81
199.19,-19.62
201.18,-19.44
203.19,-19.22
205.23,-19.00
207.28,-18.79
209.35,-18.63
211.44,-18.50
213.56,-18.38
215.69,-18.34
217.85,-18.33
220.03,-18.32
222.23,-18.34
224.45,-18.35
226.70,-18.33
228.96,-18.23
231.25,-18.12
233.57,-17.95
235.90,-17.65
238.26,-17.34
240.64,-16.93
243.05,-16.49
245.48,-16.00
247.93,-15.51
250.41,-15.02
252.92,-14.54
255.45,-14.08
258.00,-13.65
260.58,-13.27
263.19,-12.91
265.82,-12.62
268.48,-12.33
271.16,-12.07
273.87,-11.84
276.61,-11.62
279.38,-11.41
282.17,-11.21
284.99,-11.00
287.84,-10.88
290.72,-10.79
293.63,-10.71
296.57,-10.66
299.53,-10.63
302.53,-10.61
305.55,-10.59
308.61,-10.59
311.69,-10.58
314.81,-10.56
317.96,-10.54
321.14,-10.50
324.35,-10.42
327.59,-10.34
330.87,-10.21
334.18,-10.04
337.52,-9.88
340.90,-9.69
344.30,-9.50
347.75,-9.29
351.23,-9.05
354.74,-8.80
358.28,-8.50
361.87,-8.15
365.49,-7.75
369.14,-7.31
372.83,-6.76
