frequency,raw
20.00,-57.04
20.20,-56.80
20.40,-56.57
20.61,-56.33
20.81,-56.10
21.02,-55.90
21.23,-55.74
21.44,-55.58
21.66,-55.42
21.87,-55.26
22.09,-55.14
22.31,-55.12
22.54,-55.11
22.76,-55.09
22.99,-55.08
23.22,-55.06
23.45,-55.05
23.69,-55.03
23.92,-55.02
24.16,-55.00
24.40,-54.99
24.65,-54.97
24.89,-55.04
25.14,-55.14
25.39,-55.24
25.65,-55.34
25.91,-55.44
26.16,-55.53
26.43,-55.63
26.69,-55.73
26.96,-55.83
27.23,-55.93
27.50,-56.03
27.77,-56.13
28.05,-56.13
28.33,-56.03
28.62,-55.93
28.90,-55.83
29.19,-55.73
29.48,-55.63
29.78,-55.53
30.08,-55.43
30.38,-55.25
30.68,-54.94
30.99,-54.63
31.30,-54.31
31.61,-54.00
31.93,-53.66
32.24,-53.24
32.57,-52.89
32.89,-52.52
33.22,-52.12
33.55,-51.69
33.89,-51.26
34.23,-50.83
34.57,-50.61
34.92,-50.43
35.27,-50.24
35.62,-50.06
35.97,-49.88
36.33,-49.69
36.70,-49.51
37.06,-49.39
37.43,-49.29
37.81,-49.19
38.19,-49.08
38.57,-48.98
38.95,-48.87
39.34,-48.77
39.74,-48.66
40.14,-48.53
40.54,-48.19
40.94,-47.85
41.35,-47.51
41.76,-47.17
42.18,-46.83
42.60,-46.24
43.03,-45.77
43.46,-45.24
43.90,-44.76
44.33,-44.18
44.78,-43.68
45.23,-43.19
45.68,-42.69
46.13,-42.10
46.60,-41.60
47.06,-41.04
47.53,-40.32
48.01,-39.59
48.49,-38.84
48.97,-38.06
49.46,-37.39
49.96,-36.74
50.46,-36.28
50.96,-36.05
51.47,-35.82
51.99,-35.59
52.51,-35.36
53.03,-35.13
53.56,-34.90
54.10,-34.80
54.64,-34.72
55.18,-34.64
55.74,-34.56
56.29,-34.48
56.86,-34.40
57.42,-34.32
58.00,-34.02
58.58,-33.56
59.16,-33.09
59.76,-32.62
60.35,-32.02
