frequency,raw
20.00,-43.81
20.20,-44.03
20.40,-44.26
20.61,-44.46
20.81,-44.70
21.02,-44.89
21.23,-45.11
21.44,-45.34
21.66,-45.54
21.87,-45.78
22.09,-45.91
22.31,-45.96
22.54,-46.00
22.76,-46.05
22.99,-46.09
23.22,-46.14
23.45,-46.18
23.69,-46.16
23.92,-46.11
24.16,-46.07
24.40,-46.02
24.65,-45.98
24.89,-45.93
25.14,-45.88
25.39,-45.79
25.65,-45.70
25.91,-45.62
26.16,-45.53
26.43,-45.44
26.69,-45.35
26.96,-45.24
27.23,-45.12
27.50,-44.99
27.77,-44.86
28.05,-44.74
28.33,-44.61
28.62,-44.50
28.90,-44.26
29.19,-44.01
29.48,-43.77
29.78,-43.55
30.08,-43.30
30.38,-43.06
30.68,-42.71
30.99,-42.33
31.30,-41.92
31.61,-41.50
31.93,-41.11
32.24,-40.69
32.57,-40.28
32.89,-39.83
33.22,-39.40
33.55,-38.97
33.89,-38.54
34.23,-38.12
34.57,-37.67
34.92,-37.25
35.27,-36.82
35.62,-36.40
35.97,-36.03
36.33,-35.69
36.70,-35.37
37.06,-35.00
37.43,-34.66
37.81,-34.33
38.19,-34.12
38.57,-33.91
38.95,-33.71
39.34,-33.50
39.74,-33.29
40.14,-33.10
40.54,-32.96
40.94,-32.93
41.35,-32.91
41.76,-32.88
42.18,-32.85
42.60,-32.82
43.03,-32.80
43.46,-32.93
43.90,-33.09
44.33,-33.25
44.78,-33.42
45.23,-33.58
45.68,-33.74
46.13,-33.96
46.60,-34.26
47.06,-34.58
47.53,-34.90
48.01,-35.22
48.49,-35.54
48.97,-35.91
49.46,-36.34
49.96,-36.76
50.46,-37.20
50.96,-37.64
51.47,-38.08
51.99,-38.58
52.51,-39.09
53.03,-39.59
53.56,-40.09
54.10,-40.60
54.64,-41.12
55.18,-41.66
55.74,-42.16
56.29,-42.66
56.86,-43.12
57.42,-43.62
58.00,-44.07
58.58,-44.52
59.16,-44.64
59.76,-44.76
60.35,-44.89
60.96,-45.01
61.57,-45.14
62.18,-45.23
62.80,-44.88
63.43,-44.53
64.07,-44.19
64.71,-43.84
65.35,-43.49
66.01,-43.03
66.67,-42.50
67.33,-41.97
68.01,-41.45
68.69,-40.93
69.37,-40.43
70.07,-39.93
70.77,-39.44
71.48,-38.97
72.19,-38.50
72.91,-38.05
73.64,-37.61
74.38,-37.16
75.12,-36.75
75.87,-36.39
76.63,-36.03
77.40,-35.67
78.17,-35.31
78.95,-34.95
79.74,-34.64
80.54,-34.43
81.35,-34.22
82.16,-34.01
82.98,-33.80
83.81,-33.59
84.65,-33.38
85.50,-33.30
86.35,-33.29
87.22,-33.28
88.09,-33.27
88.97,-33.26
89.86,-33.24
90.76,-33.24
91.66,-33.40
92.58,-33.56
93.51,-33.72
94.44,-33.88
95.39,-34.04
96.34,-34.20
97.30,-34.35
98.28,-34.48
99.26,-34.62
100.25,-34.75
101.25,-34.88
102.27,-35.02
103.29,-35.15
104.32,-35.04
105.37,-34.87
106.42,-34.70
107.48,-34.53
108.56,-34.37
109.64,-34.20
110.74,-33.93
111.85,-33.55
112.97,-33.17
114.10,-32.79
115.24,-32.41
116.39,-32.03
117.55,-31.67
118.73,-31.33
119.92,-30.98
121.12,-30.63
122.33,-30.29
123.55,-29.94
124.79,-29.66
126.03,-29.42
127.29,-29.17
128.57,-28.92
129.85,-28.67
131.15,-28.43
132.46,-28.18
133.79,-27.93
135.12,-27.68
136.48,-27.42
137.84,-27.17
139.22,-26.92
140.61,-26.67
142.02,-26.36
143.44,-26.00
144.87,-25.63
146.32,-25.27
147.78,-24.90
149.26,-24.53
150.75,-24.18
152.26,-23.86
153.78,-23.53
155.32,-23.20
156.88,-22.88
158.44,-22.55
160.03,-22.28
161.63,-22.10
163.24,-21.92
164.88,-21.74
166.53,-21.56
168.19,-21.38
169.87,-21.20
171.57,-21.06
173.29,-20.92
175.02,-20.78
176.77,-20.64
178.54,-20.50
180.32,-20.36
182.13,-20.22
183.95,-20.06
185.79,-19.90
187.65,-19.74
189.52,-19.58
191.42,-19.42
193.33,-19.26
195.27,-19.17
197.22,-19.15
199.19,-19.12
201.18,-19.10
203.19,-19.07
205.23,-19.05
207.28,-19.03
209.35,-18.87
211.44,-18.70
213.56,-18.52
215.69,-18.35
217.85,-18.17
220.03,-17.99
222.23,-17.70
224.45,-17.30
226.70,-16.91
228.96,-16.51
231.25,-16.12
233.57,-15.72
235.90,-15.34
238.26,-14.96
240.64,-14.58
243.05,-14.20
245.48,-13.82
247.93,-13.49
250.41,-13.26
252.92,-13.03
255.45,-12.80
258.00,-12.57
260.58,-12.33
263.19,-12.10
265.82,-11.95
268.48,-11.83
271.16,-11.70
273.87,-11.58
276.61,-11.46
279.38,-11.33
282.17,-11.22
284.99,-11.21
287.84,-11.19
290.72,-11.18
293.63,-11.16
296.57,-11.15
299.53,-11.13
302.53,-11.10
305.55,-11.04
308.61,-10.98
311.69,-10.92
314.81,-10.87
317.96,-10.81
321.14,-10.75
324.35,-10.60
327.59,-10.44
330.87,-10.27
334.18,-10.11
337.52,-9.95
340.90,-9.78
344.30,-9.59
347.75,-9.30
351.23,-9.01
354.74,-8.72
358.28,-8.43
361.87,-8.14
365.49,-7.82
369.14,-7.38
372.83,-6.94
376.56,-6.51
380.33,-6.07
384.13,-5.63
387.97,-5.30
391.85,-4.97
395.77,-4.63
399.73,-4.30
403.72,-3.97
407.76,-3.73
411.84,-3.68
415.96,-3.63
420.12,-3.59
424.32,-3.54
428.56,-3.49
432.85,-3.45
437.18,-3.50
441.55,-3.60
445.96,-3.69
450.42,-3.79
454.93,-3.89
459.48,-3.98
464.07,-4.07
468.71,-4.03
473.40,-3.98
478.13,-3.94
482.91,-3.89
487.74,-3.85
492.62,-3.81
497.55,-3.75
502.52,-3.68
507.55,-3.61
512.62,-3.53
517.75,-3.46
522.93,-3.39
528.16,-3.32
533.44,-3.22
538.77,-3.13
544.16,-3.03
549.60,-2.93
555.10,-2.83
560.65,-2.73
566.25,-2.64
571.92,-2.58
577.64,-2.51
583.41,-2.45
589.25,-2.38
595.14,-2.32
601.09,-2.25
607.10,-2.22
613.17,-2.21
619.30,-2.20
625.50,-2.19
631.75,-2.18
638.07,-2.17
644.45,-2.16
650.89,-2.07
657.40,-1.97
663.98,-1.87
670.62,-1.77
677.32,-1.67
684.10,-1.57
690.94,-1.46
697.85,-1.35
