frequency,raw
20.00,-38.30
20.20,-38.64
20.40,-38.99
20.61,-39.22
20.81,-39.68
21.02,-40.03
21.23,-40.38
21.44,-40.72
21.66,-40.99
21.87,-41.42
22.09,-41.76
22.31,-42.11
22.54,-42.34
22.76,-42.80
22.99,-43.15
23.22,-43.50
23.45,-43.84
23.69,-44.07
23.92,-44.54
24.16,-44.88
24.40,-45.23
24.65,-45.58
24.89,-45.89
25.14,-46.11
25.39,-46.32
25.65,-46.53
25.91,-46.72
26.16,-46.96
26.43,-47.17
26.69,-47.39
26.96,-47.60
27.23,-47.81
27.50,-48.03
27.77,-48.24
28.05,-48.45
28.33,-48.66
28.62,-48.88
28.90,-49.09
29.19,-49.30
29.48,-49.52
29.78,-49.73
30.08,-49.94
30.38,-50.16
30.68,-50.37
30.99,-50.58
31.30,-50.80
31.61,-50.99
31.93,-50.82
32.24,-50.64
32.57,-50.47
32.89,-50.30
33.22,-50.13
33.55,-49.96
33.89,-49.79
34.23,-49.62
34.57,-49.45
34.92,-49.28
35.27,-49.10
35.62,-48.93
35.97,-48.76
36.33,-48.59
36.70,-48.42
37.06,-48.25
37.43,-48.08
37.81,-47.91
38.19,-47.74
38.57,-47.56
38.95,-47.39
39.34,-47.22
39.74,-46.92
40.14,-46.50
40.54,-46.08
40.94,-45.65
41.35,-45.23
41.76,-44.68
42.18,-44.38
42.60,-43.88
43.03,-43.53
43.46,-43.11
43.90,-42.68
44.33,-42.20
44.78,-41.83
45.23,-41.41
45.68,-40.98
46.13,-40.50
46.60,-40.13
47.06,-39.71
47.53,-39.29
48.01,-38.86
48.49,-38.44
48.97,-38.01
49.46,-37.59
49.96,-37.80
50.46,-38.07
50.96,-38.34
51.47,-38.61
51.99,-38.87
52.51,-39.14
53.03,-39.41
53.56,-39.67
54.10,-39.94
54.64,-40.21
55.18,-40.48
55.74,-40.74
56.29,-41.01
56.86,-41.28
57.42,-41.54
58.00,-41.81
58.58,-42.08
59.16,-42.35
59.76,-42.61
60.35,-42.88
60.96,-43.15
61.57,-43.41
62.18,-43.68
62.80,-43.95
63.43,-44.17
64.07,-44.39
64.71,-44.60
65.35,-44.81
66.01,-45.02
66.67,-45.24
67.33,-45.45
68.01,-45.66
68.69,-45.88
69.37,-46.09
70.07,-46.30
70.77,-46.51
71.48,-46.73
72.19,-46.94
72.91,-47.15
73.64,-47.37
74.38,-47.58
75.12,-47.79
75.87,-48.01
76.63,-48.22
77.40,-48.43
78.17,-48.64
78.95,-48.86
79.74,-48.98
80.54,-49.00
81.35,-49.01
82.16,-49.03
82.98,-49.05
83.81,-49.06
84.65,-49.08
85.50,-49.09
86.35,-49.11
87.22,-49.12
88.09,-49.14
88.97,-49.15
89.86,-49.17
90.76,-49.18
91.66,-49.20
92.58,-49.21
93.51,-49.23
94.44,-49.25
95.39,-49.26
96.34,-49.28
97.30,-49.29
98.28,-49.31
99.26,-49.32
100.25,-49.30
101.25,-48.81
102.27,-48.32
103.29,-47.83
104.32,-47.34
105.37,-46.85
106.42,-46.36
107.48,-45.87
108.56,-45.38
109.64,-44.90
110.74,-44.41
111.85,-43.92
112.97,-43.43
114.10,-42.94
115.24,-42.45
116.39,-41.96
117.55,-41.47
118.73,-40.98
119.92,-40.49
121.12,-40.01
122.33,-39.52
123.55,-39.03
124.79,-38.54
126.03,-37.93
127.29,-37.20
128.57,-36.48
129.85,-35.75
131.15,-35.03
132.46,-34.30
133.79,-33.58
135.12,-32.85
136.48,-32.13
137.84,-31.40
139.22,-30.68
140.61,-29.95
142.02,-29.23
143.44,-28.50
144.87,-27.78
146.32,-27.05
147.78,-26.33
149.26,-25.60
150.75,-24.88
152.26,-24.15
153.78,-23.43
155.32,-22.70
156.88,-21.98
158.44,-21.37
160.03,-21.38
161.63,-21.40
163.24,-21.41
164.88,-21.43
166.53,-21.44
168.19,-21.46
169.87,-21.47
171.57,-21.49
173.29,-21.50
175.02,-21.52
176.77,-21.53
178.54,-21.55
180.32,-21.56
182.13,-21.58
183.95,-21.59
185.79,-21.61
187.65,-21.62
189.52,-21.64
191.42,-21.65
193.33,-21.67
195.27,-21.68
197.22,-21.70
199.19,-21.71
201.18,-21.73
203.19,-21.65
205.23,-21.31
207.28,-20.97
209.35,-20.63
211.44,-20.28
213.56,-19.94
215.69,-19.60
217.85,-19.26
220.03,-18.91
222.23,-18.57
224.45,-18.23
226.70,-17.89
228.96,-17.54
231.25,-17.20
233.57,-16.86
235.90,-16.52
238.26,-16.17
240.64,-15.83
243.05,-15.49
245.48,-15.15
247.93,-14.80
250.41,-14.46
252.92,-14.12
255.45,-13.95
258.00,-13.87
260.58,-13.79
263.19,-13.71
265.82,-13.63
268.48,-13.54
271.16,-13.46
273.87,-13.38
276.61,-13.30
279.38,-13.22
282.17,-13.14
284.99,-13.06
287.84,-12.97
290.72,-12.89
293.63,-12.81
296.57,-12.73
299.53,-12.65
302.53,-12.57
305.55,-12.49
308.61,-12.40
311.69,-12.32
314.81,-12.24
317.96,-12.15
321.14,-11.99
324.35,-11.82
327.59,-11.65
330.87,-11.49
334.18,-11.32
337.52,-11.16
340.90,-10.99
344.30,-10.83
347.75,-10.66
351.23,-10.49
354.74,-10.33
358.28,-10.16
361.87,-10.00
365.49,-9.83
369.14,-9.67
372.83,-9.50
376.56,-9.33
380.33,-9.17
384.13,-9.00
387.97,-8.84
391.85,-8.67
395.77,-8.51
399.73,-8.34
403.72,-8.16
407.76,-7.98
411.84,-7.80
415.96,-7.62
420.12,-7.44
424.32,-7.26
428.56,-7.08
432.85,-6.89
437.18,-6.71
441.55,-6.53
445.96,-6.35
450.42,-6.17
454.93,-5.99
459.48,-5.81
464.07,-5.63
468.71,-5.45
473.40,-5.26
478.13,-5.08
482.91,-4.90
487.74,-4.72
492.62,-4.54
497.55,-4.36
502.52,-4.18
507.55,-4.10
512.62,-4.18
517.75,-4.25
522.93,-4.33
528.16,-4.41
533.44,-4.49
538.77,-4.57
544.16,-4.65
549.60,-4.73
555.10,-4.81
560.65,-4.89
566.25,-4.96
571.92,-5.04
577.64,-5.12
583.41,-5.20
589.25,-5.28
595.14,-5.36
601.09,-5.44
607.10,-5.52
613.17,-5.59
619.30,-5.67
625.50,-5.75
631.75,-5.83
638.07,-5.90
644.45,-5.76
650.89,-5.61
657.40,-5.47
663.98,-5.32
670.62,-5.18
677.32,-5.03
684.10,-4.89
690.94,-4.74
697.85,-4.60
704.83,-4.45
711.87,-4.31
718.99,-4.16
726.18,-4.02
733.44,-3.87
740.78,-3.73
748.19,-3.58
755.67,-3.44
763.23,-3.29
770.86,-3.15
778.57,-3.00
786.35,-2.86
794.22,-2.71
802.16,-2.57
810.18,-2.42
818.28,-2.30
826.46,-2.19
834.73,-2.07
843.08,-1.96
851.51,-1.85
860.02,-1.73
868.62,-1.62
877.31,-1.50
886.08,-1.39
894.94,-1.27
903.89,-1.16
912.93,-1.05
922.06,-0.93
931.28,-0.82
940.59,-0.70
950.00,-0.59
959.50,-0.47
969.09,-0.36
978.78,-0.25
988.57,-0.13
998.46,-0.02
1008.44,0.10
1018.53,0.20
1028.71,0.28
1039.00,0.36
1049.39,0.44
1059.88,0.53
1070.48,0.61
1081.19,0.69
1092.00,0.77
1102.92,0.85
1113.95,0.93
1125.09,1.02
1136.34,1.10
1147.70,1.18
1159.18,1.26
1170.77,1.34
1182.48,1.42
1194.30,1.50
1206.25,1.59
1218.31,1.67
1230.49,1.75
1242.80,1.83
1255.22,1.91
1267.78,1.99
1280.45,2.02
1293.26,2.03
1306.19,2.04
1319.25,2.04
1332.45,2.05
1345.77,2.06
1359.23,2.07
1372.82,2.08
1386.55,2.08
1400.41,2.09
1414.42,2.10
1428.56,2.11
1442.85,2.11
1457.28,2.12
1471.85,2.13
1486.57,2.14
1501.43,2.15
1516.45,2.15
1531.61,2.16
1546.93,2.17
1562.40,2.18
1578.02,2.19
1593.80,2.20
1609.74,2.25
1625.84,2.30
1642.10,2.34
1658.52,2.39
1675.10,2.44
1691.85,2.48
1708.77,2.53
1725.86,2.58
1743.12,2.63
1760.55,2.67
1778.15,2.72
1795.94,2.77
1813.90,2.81
1832.03,2.86
1850.36,2.91
1868.86,2.96
1887.55,3.00
1906.42,3.05
1925.49,3.10
1944.74,3.14
1964.19,3.19
1983.83,3.24
2003.67,3.29
2023.71,3.34
2043.94,3.39
2064.38,3.44
2085.03,3.49
2105.88,3.54
2126.94,3.59
2148.20,3.64
2169.69,3.69
2191.38,3.74
2213.30,3.79
2235.43,3.84
2257.78,3.90
2280.36,3.95
2303.17,4.00
2326.20,4.05
2349.46,4.10
2372.95,4.15
2396.68,4.20
2420.65,4.25
2444.86,4.30
2469.31,4.35
2494.00,4.40
2518.94,4.45
2544.13,4.49
2569.57,4.53
2595.27,4.57
2621.22,4.61
2647.43,4.65
2673.90,4.70
2700.64,4.74
2727.65,4.78
2754.93,4.82
2782.48,4.86
2810.30,4.90
2838.40,4.94
2866.79,4.99
2895.46,5.03
2924.41,5.07
2953.65,5.11
2983.19,5.15
3013.02,5.19
3043.15,5.24
3073.58,5.28
3104.32,5.32
3135.36,5.36
3166.72,5.40
3198.38,5.44
3230.37,5.49
3262.67,5.55
3295.30,5.65
3328.25,5.74
3361.53,5.83
3395.15,5.92
3429.10,6.01
3463.39,6.10
3498.03,6.19
3533.01,6.28
3568.34,6.37
3604.02,6.46
3640.06,6.55
3676.46,6.65
3713.22,6.74
3750.36,6.83
3787.86,6.92
3825.74,7.01
3864.00,7.10
3902.64,7.19
3941.66,7.28
3981.08,7.31
4020.89,7.19
4061.10,7.07
4101.71,6.95
4142.73,6.83
4184.15,6.72
4226.00,6.60
4268.26,6.48
4310.94,6.36
4354.05,6.24
4397.59,6.13
4441.56,6.01
4485.98,5.89
4530.84,5.77
4576.15,5.65
4621.91,5.53
4668.13,5.42
4714.81,5.30
4761.96,5.18
4809.58,5.06
4857.67,4.94
4906.25,4.83
4955.31,4.71
5004.87,4.59
5054.91,4.47
5105.46,4.36
5156.52,4.27
5208.08,4.18
5260.16,4.08
5312.77,3.99
5365.89,3.89
5419.55,3.80
5473.75,3.70
5528.49,3.61
5583.77,3.51
5639.61,3.42
5696.00,3.32
5752.96,3.23
5810.49,3.13
5868.60,3.04
5927.28,2.94
5986.56,2.85
6046.42,2.76
6106.89,2.66
6167.96,2.57
6229.64,2.47
6291.93,2.38
6354.85,2.28
6418.40,2.18
6482.58,2.03
6547.41,1.87
6612.88,1.71
6679.01,1.55
6745.80,1.40
6813.26,1.24
6881.39,1.08
6950.21,0.92
7019.71,0.77
7089.91,0.61
7160.81,0.45
7232.41,0.29
7304.74,0.14
7377.79,-0.02
7451.56,-0.18
7526.08,-0.34
7601.34,-0.49
7677.35,-0.65
7754.13,-0.81
7831.67,-0.97
7909.98,-1.13
7989.08,-1.28
8068.98,-1.44
8149.67,-1.64
8231.16,-1.86
8313.47,-2.08
8396.61,-2.30
8480.57,-2.52
8565.38,-2.74
8651.03,-2.96
8737.54,-3.18
8824.92,-3.40
8913.17,-3.62
9002.30,-3.84
9092.32,-4.06
9183.25,-4.28
9275.08,-4.50
9367.83,-4.72
9461.51,-4.94
9556.12,-5.16
9651.68,-5.38
9748.20,-5.60
9845.68,-5.82
9944.14,-6.04
10043.58,-6.26
10144.02,-6.50
10245.46,-6.74
10347.91,-6.99
10451.39,-7.23
10555.91,-7.47
10661.46,-7.72
10768.08,-7.96
10875.76,-8.20
10984.52,-8.45
11094.36,-8.69
11205.31,-8.93
11317.36,-9.18
11430.53,-9.42
11544.84,-9.67
11660.29,-9.91
11776.89,-10.15
11894.66,-10.40
12013.60,-10.64
12133.74,-10.88
12255.08,-11.13
12377.63,-11.37
12501.41,-11.62
12626.42,-11.86
12752.68,-12.10
12880.21,-12.35
13009.01,-12.59
13139.10,-12.84
13270.49,-13.08
13403.20,-13.33
13537.23,-13.57
13672.60,-13.82
13809.33,-14.06
13947.42,-14.31
14086.90,-14.55
14227.77,-14.80
14370.04,-15.04
14513.74,-15.29
14658.88,-15.53
14805.47,-15.78
14953.52,-16.02
15103.06,-16.27
15254.09,-16.51
15406.63,-16.76
15560.70,-17.00
15716.30,-17.25
15873.47,-17.49
16032.20,-17.74
16192.52,-17.98
16354.45,-18.23
16517.99,-18.47
16683.17,-18.72
16850.01,-18.96
17018.51,-19.21
17188.69,-19.45
17360.58,-19.70
17534.18,-19.94
17709.53,-20.19
17886.62,-20.43
18065.49,-20.68
18246.14,-20.92
18428.60,-21.17
18612.89,-21.41
18799.02,-21.66
18987.01,-21.90
19176.88,-22.15
19368.65,-22.39
19562.33,-22.64
19757.96,-22.88
19955.54,-23.13
