frequency,raw
20.00,-42.89
20.20,-43.20
20.40,-43.52
20.61,-43.79
20.81,-44.06
21.02,-44.31
21.23,-44.55
21.44,-44.77
21.66,-44.93
21.87,-45.10
22.09,-45.25
22.31,-45.32
22.54,-45.39
22.76,-45.46
22.99,-45.50
23.22,-45.50
23.45,-45.49
23.69,-45.49
23.92,-45.46
24.16,-45.41
24.40,-45.37
24.65,-45.32
24.89,-45.25
25.14,-45.19
25.39,-45.12
25.65,-45.05
25.91,-44.97
26.16,-44.89
26.43,-44.81
26.69,-44.73
26.96,-44.64
27.23,-44.55
27.50,-44.46
27.77,-44.36
28.05,-44.25
28.33,-44.15
28.62,-44.01
28.90,-43.87
29.19,-43.72
29.48,-43.56
29.78,-43.36
30.08,-43.21
30.38,-43.03
30.68,-42.68
30.99,-42.46
31.30,-42.25
31.61,-41.79
31.93,-41.62
32.24,-41.08
32.57,-40.80
32.89,-40.31
33.22,-39.91
33.55,-39.49
33.89,-39.07
34.23,-38.65
34.57,-38.24
34.92,-38.00
35.27,-37.61
35.62,-37.14
35.97,-36.63
36.33,-36.24
36.70,-35.89
37.06,-35.48
37.43,-35.13
37.81,-34.79
38.19,-34.46
38.57,-34.14
38.95,-33.85
39.34,-33.56
39.74,-33.31
40.14,-33.09
40.54,-32.83
40.94,-32.64
41.35,-32.47
41.76,-32.29
42.18,-32.15
42.60,-32.06
43.03,-31.97
43.46,-31.88
43.90,-31.86
44.33,-31.86
44.78,-31.86
45.23,-31.88
45.68,-31.97
46.13,-32.06
46.60,-32.16
47.06,-32.30
47.53,-32.47
48.01,-32.64
48.49,-32.83
48.97,-33.07
49.46,-33.31
49.96,-33.57
50.46,-33.86
50.96,-34.15
51.47,-34.47
51.99,-34.79
52.51,-35.14
53.03,-35.51
53.56,-35.89
54.10,-36.27
54.64,-36.67
55.18,-37.10
55.74,-37.50
56.29,-37.93
56.86,-38.37
57.42,-38.92
58.00,-39.27
58.58,-39.73
59.16,-40.32
59.76,-40.68
60.35,-41.18
60.96,-41.63
61.57,-42.10
62.18,-42.56
62.80,-43.04
63.43,-43.43
64.07,-43.82
64.71,-44.10
65.35,-44.38
66.01,-44.56
66.67,-44.59
67.33,-44.61
68.01,-44.64
68.69,-44.44
69.37,-44.20
70.07,-43.95
70.77,-43.56
71.48,-43.16
72.19,-42.71
72.91,-42.24
73.64,-41.77
74.38,-41.29
75.12,-40.82
75.87,-40.35
76.63,-39.87
77.40,-39.40
78.17,-38.94
78.95,-38.48
79.74,-38.04
80.54,-37.61
81.35,-37.19
82.16,-36.77
82.98,-36.35
83.81,-35.98
84.65,-35.61
85.50,-35.26
86.35,-34.91
87.22,-34.59
88.09,-34.27
88.97,-33.98
89.86,-33.70
90.76,-33.45
91.66,-33.22
92.58,-33.00
93.51,-32.81
94.44,-32.66
95.39,-32.51
96.34,-32.36
97.30,-32.30
98.28,-32.23
99.26,-32.17
100.25,-32.14
101.25,-32.17
102.27,-32.20
103.29,-32.23
104.32,-32.33
105.37,-32.45
106.42,-32.56
107.48,-32.69
108.56,-32.86
109.64,-33.04
110.74,-33.21
111.85,-33.39
112.97,-33.58
114.10,-33.77
115.24,-33.95
116.39,-34.07
117.55,-34.18
118.73,-34.29
119.92,-34.33
121.12,-34.28
122.33,-34.23
123.55,-34.18
124.79,-34.00
126.03,-33.79
127.29,-33.58
128.57,-33.28
129.85,-32.96
131.15,-32.62
132.46,-32.27
133.79,-31.89
135.12,-31.52
136.48,-31.16
137.84,-30.81
139.22,-30.46
140.61,-30.11
142.02,-29.78
143.44,-29.46
144.87,-29.17
146.32,-28.89
147.78,-28.63
149.26,-28.39
150.75,-28.15
152.26,-27.94
153.78,-27.75
155.32,-27.56
156.88,-27.37
158.44,-27.18
160.03,-27.00
161.63,-26.82
163.24,-26.61
164.88,-26.39
166.53,-26.17
168.19,-25.90
169.87,-25.62
171.57,-25.33
173.29,-25.00
175.02,-24.68
176.77,-24.36
178.54,-24.03
180.32,-23.62
182.13,-23.20
183.95,-22.87
185.79,-22.55
187.65,-22.25
189.52,-21.95
191.42,-21.68
193.33,-21.43
195.27,-21.17
197.22,-20.97
199.19,-20.80
201.18,-20.62
203.19,-20.46
205.23,-20.36
207.28,-20.25
209.35,-20.15
211.44,-20.05
213.56,-19.96
215.69,-19.87
217.85,-19.74
220.03,-19.60
222.23,-19.45
224.45,-19.30
226.70,-19.15
228.96,-18.97
231.25,-18.79
233.57,-18.61
235.90,-18.44
238.26,-18.33
240.64,-18.22
243.05,-18.11
245.48,-18.06
247.93,-18.05
250.41,-18.04
252.92,-18.03
255.45,-18.05
258.00,-18.06
260.58,-18.07
263.19,-18.03
265.82,-17.93
268.48,-17.84
271.16,-17.74
273.87,-17.50
276.61,-17.25
279.38,-16.99
282.17,-16.64
284.99,-16.29
287.84,-15.89
290.72,-15.49
293.63,-15.09
296.57,-14.69
299.53,-14.30
302.53,-13.92
305.55,-13.56
308.61,-13.23
311.69,-12.93
314.81,-12.64
317.96,-12.40
321.14,-12.17
324.35,-11.93
327.59,-11.74
330.87,-11.55
334.18,-11.37
337.52,-11.20
340.90,-11.04
344.30,-10.87
347.75,-10.70
351.23,-10.61
354.74,-10.53
358.28,-10.46
361.87,-10.40
365.49,-10.37
369.14,-10.35
372.83,-10.32
376.56,-10.31
380.33,-10.30
384.13,-10.30
387.97,-10.29
391.85,-10.28
395.77,-10.26
399.73,-10.25
403.72,-10.21
407.76,-10.15
411.84,-10.08
415.96,-10.02
420.12,-9.90
424.32,-9.77
428.56,-9.65
432.85,-9.51
437.18,-9.36
441.55,-9.21
445.96,-9.05
450.42,-8.87
454.93,-8.68
459.48,-8.49
464.07,-8.26
468.71,-7.99
473.40,-7.73
478.13,-7.40
482.91,-7.07
487.74,-6.66
492.62,-6.24
497.55,-5.82
502.52,-5.40
507.55,-4.98
512.62,-4.57
517.75,-4.18
522.93,-3.82
528.16,-3.49
533.44,-3.21
538.77,-2.93
544.16,-2.76
549.60,-2.62
555.10,-2.48
560.65,-2.42
566.25,-2.43
571.92,-2.45
577.64,-2.46
583.41,-2.58
589.25,-2.70
595.14,-2.83
601.09,-2.95
607.10,-3.06
613.17,-3.18
619.30,-3.30
625.50,-3.32
631.75,-3.32
638.07,-3.32
644.45,-3.30
650.89,-3.21
657.40,-3.12
663.98,-3.03
670.62,-2.94
677.32,-2.86
684.10,-2.79
690.94,-2.71
697.85,-2.66
704.83,-2.61
711.87,-2.57
718.99,-2.50
726.18,-2.42
733.44,-2.33
740.78,-2.24
748.19,-2.13
755.67,-2.01
763.23,-1.90
770.86,-1.79
778.57,-1.70
786.35,-1.61
794.22,-1.53
802.16,-1.48
810.18,-1.44
818.28,-1.40
826.46,-1.37
834.73,-1.38
843.08,-1.38
851.51,-1.39
860.02,-1.39
868.62,-1.40
877.31,-1.41
886.08,-1.41
894.94,-1.35
903.89,-1.28
912.93,-1.21
922.06,-1.12
931.28,-0.96
940.59,-0.81
950.00,-0.66
959.50,-0.51
969.09,-0.37
978.78,-0.23
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.21
1039.00,0.26
1049.39,0.30
1059.88,0.34
1070.48,0.35
1081.19,0.37
1092.00,0.38
1102.92,0.39
1113.95,0.39
1125.09,0.39
1136.34,0.39
1147.70,0.39
1159.18,0.39
1170.77,0.40
1182.48,0.41
1194.30,0.45
1206.25,0.49
1218.31,0.53
1230.49,0.58
1242.80,0.64
1255.22,0.69
1267.78,0.74
1280.45,0.74
1293.26,0.75
1306.19,0.76
1319.25,0.74
1332.45,0.71
1345.77,0.68
1359.23,0.65
1372.82,0.67
1386.55,0.70
1400.41,0.72
1414.42,0.77
1428.56,0.89
1442.85,1.00
1457.28,1.11
1471.85,1.26
1486.57,1.43
1501.43,1.60
1516.45,1.76
1531.61,1.90
1546.93,2.04
1562.40,2.19
1578.02,2.27
1593.80,2.31
1609.74,2.36
1625.84,2.40
1642.10,2.32
1658.52,2.24
1675.10,2.17
1691.85,2.06
1708.77,1.91
1725.86,1.77
1743.12,1.62
1760.55,1.46
1778.15,1.30
1795.94,1.14
1813.90,0.99
1832.03,0.85
1850.36,0.70
1868.86,0.56
1887.55,0.46
1906.42,0.39
1925.49,0.31
1944.74,0.24
1964.19,0.28
1983.83,0.31
2003.67,0.35
2023.71,0.40
2043.94,0.45
2064.38,0.51
2085.03,0.57
2105.88,0.54
2126.94,0.51
2148.20,0.47
2169.69,0.40
2191.38,0.26
2213.30,0.12
2235.43,-0.01
2257.78,-0.15
2280.36,-0.29
