frequency,raw
20.00,1.55
20.20,1.55
20.40,1.55
20.61,1.55
20.81,1.55
21.02,1.55
21.23,1.55
21.44,1.55
21.66,1.55
21.87,1.55
22.09,1.55
22.31,1.55
22.54,1.55
22.76,1.55
22.99,1.55
23.22,1.55
23.45,1.55
23.69,1.55
23.92,1.55
24.16,1.55
24.40,1.55
24.65,1.55
24.89,1.55
25.14,1.55
25.39,1.55
25.65,1.55
25.91,1.55
26.16,1.55
26.43,1.55
26.69,1.55
26.96,1.55
27.23,1.55
27.50,1.55
27.77,1.55
28.05,1.55
28.33,1.55
28.62,1.55
28.90,1.55
29.19,1.55
29.48,1.55
29.78,1.55
30.08,1.55
30.38,1.55
30.68,1.55
30.99,1.55
31.30,1.55
31.61,1.55
31.93,1.55
32.24,1.55
32.57,1.55
32.89,1.55
33.22,1.55
33.55,1.54
33.89,1.53
34.23,1.52
34.57,1.51
34.92,1.50
35.27,1.49
35.62,1.48
35.97,1.47
36.33,1.46
36.70,1.45
37.06,1.44
37.43,1.44
37.81,1.44
38.19,1.44
38.57,1.44
38.95,1.44
39.34,1.43
39.74,1.43
40.14,1.43
40.54,1.43
40.94,1.43
41.35,1.43
41.76,1.43
42.18,1.43
42.60,1.43
43.03,1.43
43.46,1.43
43.90,1.43
44.33,1.43
44.78,1.43
45.23,1.43
45.68,1.42
46.13,1.42
46.60,1.41
47.06,1.40
47.53,1.40
48.01,1.39
48.49,1.38
48.97,1.38
49.46,1.37
49.96,1.36
50.46,1.36
50.96,1.35
51.47,1.35
51.99,1.34
52.51,1.33
53.03,1.33
53.56,1.32
54.10,1.32
54.64,1.31
55.18,1.30
55.74,1.30
56.29,1.29
56.86,1.28
57.42,1.27
58.00,1.27
58.58,1.26
59.16,1.25
59.76,1.24
60.35,1.24
60.96,1.23
61.57,1.22
62.18,1.21
62.80,1.21
63.43,1.20
64.07,1.19
64.71,1.18
65.35,1.18
66.01,1.17
66.67,1.16
67.33,1.16
68.01,1.15
68.69,1.14
69.37,1.13
70.07,1.12
70.77,1.11
71.48,1.10
72.19,1.09
72.91,1.08
73.64,1.07
74.38,1.06
75.12,1.06
75.87,1.04
76.63,1.03
77.40,1.01
78.17,1.00
78.95,0.99
79.74,0.97
80.54,0.96
81.35,0.94
82.16,0.93
82.98,0.91
83.81,0.90
84.65,0.88
85.50,0.87
86.35,0.86
87.22,0.84
88.09,0.83
88.97,0.82
89.86,0.80
90.76,0.79
91.66,0.78
92.58,0.76
93.51,0.75
94.44,0.73
95.39,0.72
96.34,0.70
97.30,0.68
98.28,0.67
99.26,0.65
100.25,0.64
101.25,0.62
102.27,0.61
103.29,0.59
104.32,0.56
105.37,0.54
106.42,0.52
107.48,0.50
108.56,0.47
109.64,0.45
110.74,0.43
111.85,0.41
112.97,0.39
114.10,0.36
115.24,0.34
116.39,0.32
117.55,0.30
118.73,0.28
119.92,0.26
121.12,0.24
122.33,0.22
123.55,0.20
124.79,0.18
126.03,0.16
127.29,0.14
128.57,0.12
129.85,0.10
131.15,0.08
132.46,0.06
133.79,0.04
135.12,0.02
136.48,0.00
137.84,-0.02
139.22,-0.04
140.61,-0.07
142.02,-0.10
143.44,-0.13
144.87,-0.15
146.32,-0.18
147.78,-0.21
149.26,-0.24
150.75,-0.26
152.26,-0.29
153.78,-0.32
155.32,-0.35
