frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-285.02,-271.06,-285.01,-271.06,6.00,2.70,-279.02,-279.01,-13.96
20.20,-283.53,-269.57,-283.53,-269.57,6.00,2.78,-277.53,-277.53,-13.96
20.40,-281.98,-268.03,-282.04,-268.08,6.00,2.85,-275.98,-276.04,-13.96
20.61,-280.63,-266.68,-280.55,-266.59,6.00,2.93,-274.63,-274.55,-13.96
20.81,-279.00,-265.05,-279.06,-265.10,6.00,3.02,-273.00,-273.06,-13.96
21.02,-277.57,-263.61,-277.55,-263.59,6.00,3.10,-271.57,-271.55,-13.96
21.23,-276.07,-262.11,-276.05,-262.10,6.00,3.19,-270.07,-270.05,-13.96
21.44,-274.52,-260.56,-274.57,-260.62,6.00,3.28,-268.52,-268.57,-13.96
21.66,-273.15,-259.19,-273.06,-259.11,6.00,3.38,-267.15,-267.06,-13.96
21.87,-271.51,-257.56,-271.55,-257.59,6.00,3.47,-265.51,-265.55,-13.96
22.09,-270.05,-256.09,-270.07,-256.12,6.00,3.57,-264.05,-264.07,-13.96
22.31,-268.56,-254.60,-268.57,-254.62,6.00,3.67,-262.56,-262.57,-13.96
22.54,-267.18,-253.22,-267.12,-253.16,6.00,3.78,-261.18,-261.12,-13.96
22.76,-265.60,-251.64,-265.64,-251.68,6.00,3.88,-259.60,-259.64,-13.96
22.99,-264.14,-250.18,-264.13,-250.18,6.00,3.99,-258.14,-258.13,-13.96
23.22,-262.65,-248.70,-262.65,-248.69,6.00,4.10,-256.65,-256.65,-13.96
23.45,-261.13,-247.17,-261.17,-247.21,6.00,4.22,-255.13,-255.17,-13.96
23.69,-259.73,-245.77,-259.66,-245.71,6.00,4.33,-253.73,-253.66,-13.96
23.92,-258.12,-244.16,-258.14,-244.18,6.00,4.45,-252.12,-252.14,-13.96
24.16,-256.62,-242.67,-256.65,-242.70,6.00,4.57,-250.62,-250.65,-13.96
24.40,-255.13,-241.17,-255.14,-241.18,6.00,4.70,-249.13,-249.14,-13.96
24.65,-253.73,-239.77,-253.66,-239.71,6.00,4.82,-247.73,-247.66,-13.96
24.89,-252.12,-238.17,-252.15,-238.20,6.00,4.95,-246.12,-246.15,-13.96
25.14,-250.66,-236.70,-250.65,-236.70,6.00,5.08,-244.66,-244.65,-13.96
25.39,-249.14,-235.19,-249.19,-235.23,6.00,5.21,-243.14,-243.19,-13.96
25.65,-247.76,-233.80,-247.72,-233.77,6.00,5.34,-241.76,-241.72,-13.96
25.91,-246.33,-232.37,-246.26,-232.30,6.00,5.47,-240.33,-240.26,-13.96
26.16,-244.68,-230.72,-244.77,-230.82,6.00,5.60,-238.68,-238.77,-13.96
26.43,-243.32,-229.36,-243.27,-229.31,6.00,5.73,-237.32,-237.27,-13.96
26.69,-241.77,-227.81,-241.78,-227.83,6.00,5.86,-235.77,-235.78,-13.96
26.96,-240.31,-226.36,-240.33,-226.37,6.00,5.99,-234.31,-234.33,-13.96
27.23,-238.84,-224.88,-238.80,-224.84,6.00,6.12,-232.84,-232.80,-13.96
