frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-46.85,-44.86,-46.85,-44.86,6.00,2.74,-40.85,-40.85,-1.99
20.20,-46.71,-44.72,-46.71,-44.72,6.00,2.82,-40.71,-40.71,-1.99
20.40,-46.57,-44.58,-46.57,-44.58,6.00,2.89,-40.57,-40.57,-1.99
20.61,-46.43,-44.44,-46.43,-44.44,6.00,2.98,-40.43,-40.43,-1.99
20.81,-46.29,-44.30,-46.29,-44.30,6.00,3.06,-40.29,-40.29,-1.99
21.02,-46.15,-44.16,-46.15,-44.16,6.00,3.15,-40.15,-40.15,-1.99
21.23,-46.01,-44.02,-46.01,-44.02,6.00,3.24,-40.01,-40.01,-1.99
21.44,-45.87,-43.88,-45.87,-43.88,6.00,3.33,-39.87,-39.87,-1.99
21.66,-45.73,-43.74,-45.73,-43.73,6.00,3.43,-39.73,-39.73,-1.99
21.87,-45.59,-43.59,-45.59,-43.60,6.00,3.52,-39.59,-39.59,-1.99
22.09,-45.45,-43.46,-45.45,-43.46,6.00,3.62,-39.45,-39.45,-1.99
22.31,-45.31,-43.32,-45.31,-43.32,6.00,3.73,-39.31,-39.31,-1.99
22.54,-45.18,-43.19,-45.18,-43.19,6.00,3.83,-39.18,-39.18,-1.99
22.76,-45.05,-43.05,-45.05,-43.05,6.00,3.94,-39.05,-39.05,-1.99
22.99,-44.91,-42.92,-44.91,-42.92,6.00,4.05,-38.91,-38.91,-1.99
23.22,-44.78,-42.79,-44.78,-42.79,6.00,4.17,-38.78,-38.78,-1.99
23.45,-44.64,-42.65,-44.65,-42.65,6.00,4.28,-38.64,-38.65,-1.99
23.69,-44.52,-42.52,-44.52,-42.52,6.00,4.40,-38.52,-38.52,-1.99
23.92,-44.39,-42.40,-44.39,-42.40,6.00,4.52,-38.39,-38.39,-1.99
24.16,-44.26,-42.27,-44.26,-42.27,6.00,4.65,-38.26,-38.26,-1.99
24.40,-44.13,-42.14,-44.13,-42.14,6.00,4.77,-38.13,-38.13,-1.99
24.65,-44.01,-42.01,-44.01,-42.02,6.00,4.90,-38.01,-38.01,-1.99
24.89,-43.88,-41.89,-43.88,-41.89,6.00,5.03,-37.88,-37.88,-1.99
25.14,-43.75,-41.76,-43.75,-41.76,6.00,5.16,-37.75,-37.75,-1.99
25.39,-43.61,-41.62,-43.61,-41.62,6.00,5.29,-37.61,-37.61,-1.99
25.65,-43.48,-41.49,-43.48,-41.49,6.00,5.43,-37.48,-37.48,-1.99
25.91,-43.34,-41.35,-43.34,-41.35,6.00,5.56,-37.34,-37.34,-1.99
26.16,-43.21,-41.21,-43.21,-41.21,6.00,5.70,-37.21,-37.21,-1.99
26.43,-43.07,-41.08,-43.07,-41.08,6.00,5.83,-37.07,-37.07,-1.99
26.69,-42.93,-40.94,-42.94,-40.94,6.00,5.96,-36.93,-36.94,-1.99
