frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-27.23,-19.84,-27.23,-19.85,6.00,0.57,-21.23,-21.23,-7.39
20.20,-27.27,-19.88,-27.27,-19.88,6.00,0.58,-21.27,-21.27,-7.39
20.40,-27.30,-19.91,-27.30,-19.92,6.00,0.59,-21.30,-21.30,-7.39
20.61,-27.34,-19.95,-27.34,-19.95,6.00,0.61,-21.34,-21.34,-7.39
20.81,-27.38,-19.99,-27.38,-19.99,6.00,0.62,-21.38,-21.38,-7.39
21.02,-27.41,-20.02,-27.41,-20.03,6.00,0.64,-21.41,-21.41,-7.39
21.23,-27.45,-20.06,-27.45,-20.06,6.00,0.65,-21.45,-21.45,-7.39
21.44,-27.48,-20.09,-27.48,-20.10,6.00,0.67,-21.48,-21.48,-7.39
21.66,-27.52,-20.13,-27.52,-20.13,6.00,0.68,-21.52,-21.52,-7.39
21.87,-27.56,-20.17,-27.56,-20.17,6.00,0.70,-21.56,-21.56,-7.39
22.09,-27.59,-20.20,-27.59,-20.21,6.00,0.71,-21.59,-21.59,-7.39
22.31,-27.63,-20.25,-27.63,-20.24,6.00,0.73,-21.63,-21.63,-7.39
22.54,-27.67,-20.28,-27.67,-20.28,6.00,0.75,-21.67,-21.67,-7.39
22.76,-27.70,-20.31,-27.70,-20.32,6.00,0.76,-21.70,-21.70,-7.39
22.99,-27.74,-20.35,-27.74,-20.35,6.00,0.78,-21.74,-21.74,-7.39
23.22,-27.77,-20.38,-27.77,-20.39,6.00,0.80,-21.77,-21.77,-7.39
23.45,-27.81,-20.42,-27.81,-20.42,6.00,0.82,-21.81,-21.81,-7.39
23.69,-27.85,-20.46,-27.85,-20.46,6.00,0.84,-21.85,-21.85,-7.39
23.92,-27.88,-20.49,-27.88,-20.50,6.00,0.86,-21.88,-21.88,-7.39
24.16,-27.92,-20.53,-27.92,-20.53,6.00,0.88,-21.92,-21.92,-7.39
24.40,-27.96,-20.57,-27.95,-20.56,6.00,0.90,-21.96,-21.95,-7.39
24.65,-27.99,-20.60,-28.00,-20.61,6.00,0.92,-21.99,-22.00,-7.39
24.89,-28.05,-20.67,-28.07,-20.69,6.00,0.94,-22.05,-22.07,-7.39
25.14,-28.18,-20.80,-28.18,-20.79,6.00,0.96,-22.18,-22.18,-7.39
25.39,-28.32,-20.94,-28.31,-20.93,6.00,0.99,-22.32,-22.31,-7.39
25.65,-28.45,-21.06,-28.45,-21.07,6.00,1.01,-22.45,-22.45,-7.39
25.91,-28.59,-21.20,-28.59,-21.20,6.00,1.03,-22.59,-22.59,-7.39
26.16,-28.72,-21.34,-28.72,-21.34,6.00,1.06,-22.72,-22.72,-7.39
26.43,-28.86,-21.47,-28.86,-21.47,6.00,1.08,-22.86,-22.86,-7.39
26.69,-28.99,-21.60,-28.99,-21.61,6.00,1.11,-22.99,-22.99,-7.39
26.96,-29.13,-21.74,-29.13,-21.74,6.00,1.14,-23.13,-23.13,-7.39
27.23,-29.26,-21.87,-29.26,-21.88,6.00,1.17,-23.26,-23.26,-7.39
27.50,-29.40,-22.01,-29.40,-22.01,6.00,1.19,-23.40,-23.40,-7.39
27.77,-29.53,-22.15,-29.53,-22.15,6.00,1.22,-23.53,-23.53,-7.39
28.05,-29.67,-22.29,-29.67,-22.28,6.00,1.25,-23.67,-23.67,-7.39
28.33,-29.80,-22.42,-29.80,-22.42,6.00,1.28,-23.80,-23.80,-7.39
28.62,-29.94,-22.55,-29.94,-22.55,6.00,1.32,-23.94,-23.94,-7.39
28.90,-30.07,-22.69,-30.07,-22.69,6.00,1.35,-24.07,-24.07,-7.39
29.19,-30.21,-22.82,-30.21,-22.82,6.00,1.38,-24.21,-24.21,-7.39
29.48,-30.34,-22.96,-30.34,-22.95,6.00,1.42,-24.34,-24.34,-7.39
29.78,-30.47,-23.08,-30.47,-23.09,6.00,1.45,-24.47,-24.47,-7.39
30.08,-30.61,-23.22,-30.61,-23.22,6.00,1.49,-24.61,-24.61,-7.39
30.38,-30.74,-23.35,-30.74,-23.35,6.00,1.53,-24.74,-24.74,-7.39
30.68,-30.88,-23.49,-30.89,-23.51,6.00,1.56,-24.88,-24.89,-7.39
30.99,-31.01,-23.62,-31.02,-23.64,6.00,1.60,-25.01,-25.02,-7.39
31.30,-31.15,-23.76,-31.10,-23.72,6.00,1.65,-25.15,-25.10,-7.39
31.61,-31.12,-23.73,-31.11,-23.72,6.00,1.69,-25.12,-25.11,-7.39
31.93,-31.03,-23.65,-31.05,-23.67,6.00,1.73,-25.03,-25.05,-7.39
32.24,-30.95,-23.56,-30.95,-23.57,6.00,1.78,-24.95,-24.95,-7.39
32.57,-30.86,-23.48,-30.86,-23.48,6.00,1.82,-24.86,-24.86,-7.39
32.89,-30.78,-23.39,-30.78,-23.39,6.00,1.87,-24.78,-24.78,-7.39
33.22,-30.70,-23.31,-30.70,-23.31,6.00,1.92,-24.70,-24.70,-7.39
33.55,-30.61,-23.22,-30.61,-23.23,6.00,1.97,-24.61,-24.61,-7.39
