frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-33.31,-31.85,-33.31,-31.85,6.00,0.89,-27.31,-27.31,-1.46
20.20,-33.22,-31.76,-33.22,-31.77,6.00,0.91,-27.22,-27.22,-1.46
20.40,-33.14,-31.68,-33.14,-31.68,6.00,0.93,-27.14,-27.14,-1.46
20.61,-33.05,-31.59,-33.05,-31.59,6.00,0.95,-27.05,-27.05,-1.46
20.81,-32.96,-31.50,-32.96,-31.50,6.00,0.97,-26.96,-26.96,-1.46
21.02,-32.87,-31.41,-32.87,-31.42,6.00,0.99,-26.87,-26.87,-1.46
21.23,-32.79,-31.33,-32.79,-31.33,6.00,1.01,-26.79,-26.79,-1.46
21.44,-32.70,-31.24,-32.70,-31.24,6.00,1.03,-26.70,-26.70,-1.46
21.66,-32.61,-31.15,-32.61,-31.15,6.00,1.06,-26.61,-26.61,-1.46
21.87,-32.52,-31.06,-32.52,-31.06,6.00,1.08,-26.52,-26.52,-1.46
22.09,-32.43,-30.97,-32.43,-30.98,6.00,1.10,-26.43,-26.43,-1.46
22.31,-32.35,-30.89,-32.35,-30.89,6.00,1.13,-26.35,-26.35,-1.46
22.54,-32.26,-30.80,-32.26,-30.80,6.00,1.15,-26.26,-26.26,-1.46
22.76,-32.17,-30.71,-32.17,-30.71,6.00,1.18,-26.17,-26.17,-1.46
22.99,-32.08,-30.62,-32.08,-30.62,6.00,1.21,-26.08,-26.08,-1.46
23.22,-31.99,-30.53,-31.99,-30.54,6.00,1.23,-25.99,-25.99,-1.46
23.45,-31.91,-30.45,-31.91,-30.45,6.00,1.26,-25.91,-25.91,-1.46
23.69,-31.82,-30.36,-31.82,-30.36,6.00,1.29,-25.82,-25.82,-1.46
23.92,-31.73,-30.27,-31.73,-30.27,6.00,1.32,-25.73,-25.73,-1.46
24.16,-31.64,-30.18,-31.64,-30.18,6.00,1.35,-25.64,-25.64,-1.46
24.40,-31.55,-30.09,-31.55,-30.10,6.00,1.38,-25.55,-25.55,-1.46
24.65,-31.47,-30.01,-31.47,-30.01,6.00,1.41,-25.47,-25.47,-1.46
24.89,-31.38,-29.92,-31.38,-29.92,6.00,1.44,-25.38,-25.38,-1.46
25.14,-31.29,-29.83,-31.29,-29.83,6.00,1.47,-25.29,-25.29,-1.46
25.39,-31.20,-29.74,-31.20,-29.74,6.00,1.50,-25.20,-25.20,-1.46
25.65,-31.11,-29.65,-31.11,-29.66,6.00,1.54,-25.11,-25.11,-1.46
