frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-33.31,-31.86,-33.31,-31.86,6.00,2.75,-27.31,-27.31,-1.46
20.20,-33.22,-31.77,-33.22,-31.77,6.00,2.83,-27.22,-27.22,-1.46
20.40,-33.14,-31.68,-33.14,-31.68,6.00,2.91,-27.14,-27.14,-1.46
20.61,-33.05,-31.59,-33.05,-31.59,6.00,2.99,-27.05,-27.05,-1.46
20.81,-32.96,-31.50,-32.96,-31.50,6.00,3.08,-26.96,-26.96,-1.46
21.02,-32.87,-31.42,-32.87,-31.42,6.00,3.17,-26.87,-26.87,-1.46
21.23,-32.79,-31.33,-32.79,-31.33,6.00,3.25,-26.79,-26.79,-1.46
21.44,-32.70,-31.24,-32.70,-31.24,6.00,3.35,-26.70,-26.70,-1.46
21.66,-32.61,-31.15,-32.61,-31.15,6.00,3.44,-26.61,-26.61,-1.46
21.87,-32.52,-31.06,-32.52,-31.06,6.00,3.54,-26.52,-26.52,-1.46
22.09,-32.43,-30.98,-32.43,-30.98,6.00,3.64,-26.43,-26.43,-1.46
22.31,-32.35,-30.89,-32.35,-30.89,6.00,3.74,-26.35,-26.35,-1.46
22.54,-32.26,-30.80,-32.26,-30.80,6.00,3.85,-26.26,-26.26,-1.46
22.76,-32.17,-30.71,-32.17,-30.71,6.00,3.96,-26.17,-26.17,-1.46
22.99,-32.08,-30.62,-32.08,-30.62,6.00,4.07,-26.08,-26.08,-1.46
23.22,-31.99,-30.54,-31.99,-30.54,6.00,4.18,-25.99,-25.99,-1.46
23.45,-31.91,-30.45,-31.91,-30.45,6.00,4.29,-25.91,-25.91,-1.46
23.69,-31.82,-30.36,-31.82,-30.36,6.00,4.41,-25.82,-25.82,-1.46
23.92,-31.73,-30.27,-31.73,-30.27,6.00,4.53,-25.73,-25.73,-1.46
24.16,-31.64,-30.19,-31.64,-30.19,6.00,4.66,-25.64,-25.64,-1.46
24.40,-31.55,-30.10,-31.55,-30.10,6.00,4.78,-25.55,-25.55,-1.46
24.65,-31.47,-30.01,-31.47,-30.01,6.00,4.91,-25.47,-25.47,-1.46
24.89,-31.38,-29.92,-31.38,-29.92,6.00,5.04,-25.38,-25.38,-1.46
25.14,-31.29,-29.83,-31.29,-29.83,6.00,5.17,-25.29,-25.29,-1.46
25.39,-31.20,-29.75,-31.20,-29.75,6.00,5.30,-25.20,-25.20,-1.46
25.65,-31.11,-29.66,-31.11,-29.66,6.00,5.43,-25.11,-25.11,-1.46
25.91,-31.03,-29.57,-31.03,-29.57,6.00,5.56,-25.03,-25.03,-1.46
26.16,-30.94,-29.48,-30.94,-29.48,6.00,5.69,-24.94,-24.94,-1.46
26.43,-30.85,-29.39,-30.85,-29.39,6.00,5.82,-24.85,-24.85,-1.46
26.69,-30.76,-29.31,-30.76,-29.31,6.00,5.95,-24.76,-24.76,-1.46
26.96,-30.67,-29.22,-30.67,-29.22,6.00,6.08,-24.67,-24.67,-1.46
27.23,-30.59,-29.13,-30.59,-29.13,6.00,6.21,-24.59,-24.59,-1.46
27.50,-30.50,-29.04,-30.50,-29.04,6.00,6.34,-24.50,-24.50,-1.46
27.77,-30.41,-28.95,-30.41,-28.95,6.00,6.46,-24.41,-24.41,-1.46
28.05,-30.32,-28.87,-30.32,-28.87,6.00,6.57,-24.32,-24.32,-1.46
28.33,-30.23,-28.78,-30.23,-28.78,6.00,6.68,-24.23,-24.23,-1.46
28.62,-30.15,-28.69,-30.15,-28.69,6.00,6.79,-24.15,-24.15,-1.46
28.90,-30.06,-28.60,-30.06,-28.60,6.00,6.89,-24.06,-24.06,-1.46
29.19,-29.97,-28.51,-29.97,-28.51,6.00,6.98,-23.97,-23.97,-1.46
29.48,-29.88,-28.43,-29.88,-28.43,6.00,7.07,-23.88,-23.88,-1.46
29.78,-29.79,-28.34,-29.79,-28.34,6.00,7.14,-23.79,-23.79,-1.46
30.08,-29.71,-28.25,-29.71,-28.25,6.00,7.21,-23.71,-23.71,-1.46
30.38,-29.62,-28.16,-29.62,-28.16,6.00,7.27,-23.62,-23.62,-1.46
30.68,-29.53,-28.07,-29.53,-28.07,6.00,7.32,-23.53,-23.53,-1.46
30.99,-29.44,-27.99,-29.44,-27.99,6.00,7.35,-23.44,-23.44,-1.46
31.30,-29.35,-27.90,-29.35,-27.90,6.00,7.38,-23.35,-23.35,-1.46
31.61,-29.27,-27.81,-29.27,-27.81,6.00,7.40,-23.27,-23.27,-1.46
31.93,-29.18,-27.72,-29.18,-27.72,6.00,7.41,-23.18,-23.18,-1.46
32.24,-29.09,-27.63,-29.09,-27.63,6.00,7.40,-23.09,-23.09,-1.46
32.57,-29.00,-27.55,-29.00,-27.55,6.00,7.39,-23.00,-23.00,-1.46
32.89,-28.92,-27.46,-28.92,-27.46,6.00,7.37,-22.92,-22.92,-1.46
33.22,-28.83,-27.37,-28.83,-27.37,6.00,7.34,-22.83,-22.83,-1.46
33.55,-28.74,-27.28,-28.74,-27.28,6.00,7.30,-22.74,-22.74,-1.46
33.89,-28.65,-27.19,-28.65,-27.19,6.00,7.26,-22.65,-22.65,-1.46
34.23,-28.56,-27.11,-28.56,-27.11,6.00,7.21,-22.56,-22.56,-1.46
34.57,-28.48,-27.02,-28.48,-27.02,6.00,7.15,-22.48,-22.48,-1.46
34.92,-28.39,-26.93,-28.39,-26.93,6.00,7.09,-22.39,-22.39,-1.46
35.27,-28.30,-26.84,-28.30,-26.84,6.00,7.02,-22.30,-22.30,-1.46
35.62,-28.21,-26.75,-28.21,-26.75,6.00,6.95,-22.21,-22.21,-1.46
35.97,-28.12,-26.67,-28.12,-26.67,6.00,6.88,-22.12,-22.12,-1.46
36.33,-28.04,-26.58,-28.04,-26.58,6.00,6.81,-22.04,-22.04,-1.46
36.70,-27.95,-26.49,-27.95,-26.49,6.00,6.74,-21.95,-21.95,-1.46
37.06,-27.86,-26.40,-27.86,-26.40,6.00,6.66,-21.86,-21.86,-1.46
37.43,-27.77,-26.32,-27.77,-26.32,6.00,6.59,-21.77,-21.77,-1.46
37.81,-27.68,-26.23,-27.68,-26.23,6.00,6.51,-21.68,-21.68,-1.46
38.19,-27.60,-26.14,-27.60,-26.14,6.00,6.44,-21.60,-21.60,-1.46
38.57,-27.51,-26.05,-27.51,-26.05,6.00,6.37,-21.51,-21.51,-1.46
