frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-102.38,-91.27,-102.38,-91.27,6.00,0.57,-96.38,-96.38,-11.11
20.20,-102.09,-90.98,-102.10,-90.99,6.00,0.58,-96.09,-96.10,-11.11
20.40,-101.81,-90.70,-101.82,-90.71,6.00,0.59,-95.81,-95.82,-11.11
20.61,-101.57,-90.46,-101.54,-90.43,6.00,0.61,-95.57,-95.54,-11.11
20.81,-101.25,-90.14,-101.26,-90.16,6.00,0.62,-95.25,-95.26,-11.11
21.02,-100.97,-89.86,-100.97,-89.86,6.00,0.63,-94.97,-94.97,-11.11
21.23,-100.69,-89.58,-100.68,-89.57,6.00,0.65,-94.69,-94.68,-11.11
21.44,-100.38,-89.27,-100.39,-89.29,6.00,0.66,-94.38,-94.39,-11.11
21.66,-100.12,-89.02,-100.11,-89.00,6.00,0.68,-94.12,-94.11,-11.11
21.87,-99.82,-88.71,-99.82,-88.72,6.00,0.69,-93.82,-93.82,-11.11
22.09,-99.56,-88.45,-99.56,-88.45,6.00,0.71,-93.56,-93.56,-11.11
22.31,-99.26,-88.15,-99.28,-88.17,6.00,0.73,-93.26,-93.28,-11.11
22.54,-99.03,-87.93,-99.00,-87.90,6.00,0.74,-93.03,-93.00,-11.11
22.76,-98.71,-87.60,-98.72,-87.61,6.00,0.76,-92.71,-92.72,-11.11
22.99,-98.43,-87.33,-98.44,-87.33,6.00,0.78,-92.43,-92.44,-11.11
23.22,-98.15,-87.05,-98.15,-87.05,6.00,0.80,-92.15,-92.15,-11.11
23.45,-97.87,-86.76,-97.88,-86.77,6.00,0.81,-91.87,-91.88,-11.11
23.69,-97.63,-86.52,-97.60,-86.49,6.00,0.83,-91.63,-91.60,-11.11
23.92,-97.29,-86.18,-97.31,-86.20,6.00,0.85,-91.29,-91.31,-11.11
24.16,-97.02,-85.91,-97.02,-85.91,6.00,0.87,-91.02,-91.02,-11.11
24.40,-96.72,-85.61,-96.73,-85.62,6.00,0.89,-90.72,-90.73,-11.11
24.65,-96.46,-85.36,-96.45,-85.34,6.00,0.92,-90.46,-90.45,-11.11
24.89,-96.16,-85.05,-96.16,-85.05,6.00,0.94,-90.16,-90.16,-11.11
25.14,-95.88,-84.77,-95.88,-84.77,6.00,0.96,-89.88,-89.88,-11.11
25.39,-95.59,-84.48,-95.60,-84.50,6.00,0.98,-89.59,-89.60,-11.11
