frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-48.08,-45.74,-48.08,-45.74,6.00,0.58,-42.08,-42.08,-2.34
20.20,-47.93,-45.59,-47.94,-45.60,6.00,0.59,-41.93,-41.94,-2.34
20.40,-47.79,-45.45,-47.79,-45.45,6.00,0.61,-41.79,-41.79,-2.34
20.61,-47.65,-45.31,-47.65,-45.31,6.00,0.62,-41.65,-41.65,-2.34
20.81,-47.50,-45.16,-47.50,-45.16,6.00,0.63,-41.50,-41.50,-2.34
21.02,-47.35,-45.01,-47.36,-45.01,6.00,0.65,-41.35,-41.36,-2.34
21.23,-47.21,-44.87,-47.21,-44.87,6.00,0.66,-41.21,-41.21,-2.34
21.44,-47.06,-44.72,-47.06,-44.72,6.00,0.68,-41.06,-41.06,-2.34
21.66,-46.92,-44.58,-46.92,-44.58,6.00,0.69,-40.92,-40.92,-2.34
21.87,-46.77,-44.43,-46.77,-44.43,6.00,0.71,-40.77,-40.77,-2.34
22.09,-46.63,-44.29,-46.63,-44.29,6.00,0.72,-40.63,-40.63,-2.34
22.31,-46.48,-44.14,-46.48,-44.14,6.00,0.74,-40.48,-40.48,-2.34
22.54,-46.33,-43.99,-46.34,-43.99,6.00,0.76,-40.33,-40.34,-2.34
22.76,-46.19,-43.85,-46.19,-43.85,6.00,0.78,-40.19,-40.19,-2.34
22.99,-46.04,-43.70,-46.04,-43.70,6.00,0.79,-40.04,-40.04,-2.34
23.22,-45.90,-43.56,-45.90,-43.56,6.00,0.81,-39.90,-39.90,-2.34
23.45,-45.75,-43.41,-45.75,-43.41,6.00,0.83,-39.75,-39.75,-2.34
23.69,-45.61,-43.27,-45.61,-43.27,6.00,0.85,-39.61,-39.61,-2.34
23.92,-45.46,-43.12,-45.46,-43.12,6.00,0.87,-39.46,-39.46,-2.34
24.16,-45.32,-42.98,-45.32,-42.98,6.00,0.89,-39.32,-39.32,-2.34
24.40,-45.17,-42.83,-45.17,-42.83,6.00,0.91,-39.17,-39.17,-2.34
24.65,-45.03,-42.69,-45.03,-42.69,6.00,0.93,-39.03,-39.03,-2.34
24.89,-44.88,-42.54,-44.88,-42.54,6.00,0.95,-38.88,-38.88,-2.34
25.14,-44.74,-42.40,-44.74,-42.40,6.00,0.98,-38.74,-38.74,-2.34
25.39,-44.59,-42.25,-44.59,-42.25,6.00,1.00,-38.59,-38.59,-2.34
25.65,-44.45,-42.11,-44.45,-42.11,6.00,1.02,-38.45,-38.45,-2.34
25.91,-44.31,-41.97,-44.31,-41.97,6.00,1.05,-38.31,-38.31,-2.34
26.16,-44.16,-41.82,-44.16,-41.82,6.00,1.07,-38.16,-38.16,-2.34
26.43,-44.01,-41.67,-44.02,-41.67,6.00,1.10,-38.01,-38.02,-2.34
26.69,-43.87,-41.53,-43.87,-41.53,6.00,1.12,-37.87,-37.87,-2.34
26.96,-43.72,-41.38,-43.73,-41.38,6.00,1.15,-37.72,-37.73,-2.34
27.23,-43.58,-41.24,-43.58,-41.24,6.00,1.18,-37.58,-37.58,-2.34
27.50,-43.43,-41.09,-43.43,-41.09,6.00,1.21,-37.43,-37.43,-2.34
27.77,-43.29,-40.95,-43.29,-40.95,6.00,1.24,-37.29,-37.29,-2.34
28.05,-43.14,-40.80,-43.14,-40.80,6.00,1.27,-37.14,-37.14,-2.34
28.33,-43.00,-40.66,-43.00,-40.66,6.00,1.30,-37.00,-37.00,-2.34
