frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.12,-13.58,-9.12,-13.58,6.00,-0.92,-3.12,-3.12,4.46
20.20,-9.13,-13.59,-9.13,-13.59,6.00,-0.94,-3.13,-3.13,4.46
20.40,-9.13,-13.59,-9.13,-13.59,6.00,-0.96,-3.13,-3.13,4.46
20.61,-9.14,-13.60,-9.14,-13.60,6.00,-0.98,-3.14,-3.14,4.46
20.81,-9.14,-13.60,-9.14,-13.60,6.00,-1.00,-3.14,-3.14,4.46
21.02,-9.15,-13.61,-9.15,-13.61,6.00,-1.03,-3.15,-3.15,4.46
21.23,-9.15,-13.61,-9.15,-13.61,6.00,-1.05,-3.15,-3.15,4.46
21.44,-9.16,-13.62,-9.16,-13.62,6.00,-1.07,-3.16,-3.16,4.46
21.66,-9.16,-13.62,-9.16,-13.61,6.00,-1.10,-3.16,-3.16,4.46
21.87,-9.17,-13.63,-9.16,-13.62,6.00,-1.12,-3.17,-3.16,4.46
22.09,-9.17,-13.63,-9.20,-13.66,6.00,-1.14,-3.17,-3.20,4.46
22.31,-9.26,-13.72,-9.26,-13.72,6.00,-1.17,-3.26,-3.26,4.46
22.54,-9.37,-13.83,-9.36,-13.82,6.00,-1.20,-3.37,-3.36,4.46
22.76,-9.47,-13.93,-9.47,-13.93,6.00,-1.22,-3.47,-3.47,4.46
22.99,-9.57,-14.03,-9.57,-14.03,6.00,-1.25,-3.57,-3.57,4.46
23.22,-9.67,-14.13,-9.67,-14.13,6.02,-1.28,-3.65,-3.65,4.46
23.45,-9.78,-14.24,-9.76,-14.22,6.04,-1.31,-3.74,-3.72,4.46
23.69,-9.88,-14.34,-9.87,-14.33,6.05,-1.34,-3.83,-3.83,4.46
23.92,-9.99,-14.45,-10.04,-14.50,6.03,-1.37,-3.96,-4.01,4.46
24.16,-10.26,-14.72,-10.26,-14.72,5.99,-1.40,-4.28,-4.27,4.46
24.40,-10.56,-15.01,-10.53,-14.99,5.91,-1.43,-4.65,-4.62,4.46
24.65,-10.81,-15.27,-10.82,-15.28,5.79,-1.46,-5.02,-5.03,4.46
24.89,-11.11,-15.57,-11.10,-15.56,5.63,-1.50,-5.48,-5.47,4.46
25.14,-11.38,-15.83,-11.38,-15.84,5.43,-1.53,-5.94,-5.94,4.46
25.39,-11.67,-16.13,-11.67,-16.13,5.21,-1.57,-6.46,-6.46,4.46
25.65,-11.96,-16.42,-11.96,-16.42,4.95,-1.60,-7.01,-7.01,4.46
25.91,-12.27,-16.72,-12.26,-16.72,4.68,-1.64,-7.59,-7.58,4.46
26.16,-12.59,-17.05,-12.57,-17.03,4.40,-1.68,-8.19,-8.17,4.46
26.43,-12.88,-17.34,-12.91,-17.37,4.13,-1.72,-8.75,-8.78,4.46
26.69,-13.29,-17.75,-13.29,-17.75,3.87,-1.76,-9.42,-9.42,4.46
26.96,-13.72,-18.18,-13.71,-18.17,3.61,-1.80,-10.11,-10.10,4.46
27.23,-14.15,-18.60,-14.15,-18.61,3.35,-1.84,-10.79,-10.80,4.46
27.50,-14.57,-19.03,-14.55,-19.01,3.09,-1.88,-11.48,-11.46,4.46
27.77,-14.93,-19.38,-14.92,-19.38,2.84,-1.93,-12.09,-12.09,4.46
28.05,-15.25,-19.71,-15.26,-19.72,2.58,-1.97,-12.68,-12.69,4.46
28.33,-15.59,-20.05,-15.61,-20.07,2.32,-2.02,-13.28,-13.29,4.46
28.62,-15.93,-20.38,-15.95,-20.40,2.06,-2.07,-13.87,-13.88,4.46
28.90,-16.28,-20.74,-16.22,-20.68,1.80,-2.11,-14.48,-14.42,4.46
29.19,-16.42,-20.88,-16.42,-20.88,1.54,-2.16,-14.88,-14.88,4.46
29.48,-16.53,-20.99,-16.55,-21.01,1.29,-2.22,-15.25,-15.27,4.46
29.78,-16.63,-21.09,-16.65,-21.11,1.03,-2.27,-15.60,-15.63,4.46
30.08,-16.74,-21.20,-16.76,-21.22,0.77,-2.32,-15.97,-15.99,4.46
30.38,-16.85,-21.31,-16.81,-21.26,0.51,-2.38,-16.34,-16.30,4.46
30.68,-16.78,-21.24,-16.75,-21.21,0.25,-2.44,-16.53,-16.50,4.46
30.99,-16.58,-21.04,-16.60,-21.06,-0.01,-2.50,-16.59,-16.61,4.46
