frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-46.95,-46.30,-46.95,-46.30,6.00,0.55,-40.95,-40.95,-0.65
20.20,-46.55,-45.90,-46.54,-45.89,6.00,0.56,-40.55,-40.54,-0.65
20.40,-46.13,-45.48,-46.14,-45.49,6.00,0.57,-40.13,-40.14,-0.65
20.61,-45.75,-45.10,-45.74,-45.09,6.00,0.59,-39.75,-39.74,-0.65
20.81,-45.33,-44.68,-45.34,-44.69,6.00,0.60,-39.33,-39.34,-0.65
21.02,-44.95,-44.30,-44.95,-44.29,6.00,0.61,-38.95,-38.95,-0.65
21.23,-44.56,-43.91,-44.56,-43.90,6.00,0.63,-38.56,-38.56,-0.65
21.44,-44.16,-43.51,-44.17,-43.52,6.00,0.64,-38.16,-38.17,-0.65
21.66,-43.80,-43.15,-43.78,-43.13,6.00,0.66,-37.80,-37.78,-0.65
21.87,-43.39,-42.74,-43.40,-42.75,6.00,0.67,-37.39,-37.40,-0.65
22.09,-43.02,-42.37,-43.03,-42.38,6.00,0.69,-37.02,-37.03,-0.65
22.31,-42.67,-42.02,-42.68,-42.03,6.00,0.70,-36.67,-36.68,-0.65
22.54,-42.36,-41.71,-42.34,-41.69,6.00,0.72,-36.36,-36.34,-0.65
22.76,-42.01,-41.36,-42.01,-41.36,6.00,0.73,-36.01,-36.01,-0.65
22.99,-41.69,-41.04,-41.69,-41.04,6.00,0.75,-35.69,-35.69,-0.65
23.22,-41.39,-40.74,-41.40,-40.74,6.00,0.77,-35.39,-35.40,-0.65
23.45,-41.16,-40.51,-41.16,-40.51,6.00,0.79,-35.16,-35.16,-0.65
23.69,-40.99,-40.34,-41.00,-40.35,6.00,0.80,-34.99,-35.00,-0.65
23.92,-40.89,-40.24,-40.88,-40.23,6.00,0.82,-34.89,-34.88,-0.65
24.16,-40.80,-40.15,-40.78,-40.13,6.00,0.84,-34.80,-34.78,-0.65
24.40,-40.69,-40.03,-40.69,-40.04,6.00,0.86,-34.69,-34.69,-0.65
24.65,-40.59,-39.94,-40.59,-39.94,6.00,0.88,-34.59,-34.59,-0.65
24.89,-40.49,-39.83,-40.48,-39.83,6.00,0.90,-34.49,-34.48,-0.65
25.14,-40.38,-39.72,-40.37,-39.72,6.00,0.93,-34.38,-34.37,-0.65
25.39,-40.23,-39.58,-40.24,-39.59,6.00,0.95,-34.23,-34.24,-0.65
25.65,-40.09,-39.44,-40.08,-39.43,6.00,0.97,-34.09,-34.08,-0.65
25.91,-39.90,-39.25,-39.89,-39.24,6.00,0.99,-33.90,-33.89,-0.65
26.16,-39.67,-39.02,-39.69,-39.04,6.00,1.02,-33.67,-33.69,-0.65
26.43,-39.48,-38.83,-39.49,-38.84,6.00,1.04,-33.48,-33.49,-0.65
26.69,-39.29,-38.64,-39.29,-38.64,6.00,1.07,-33.29,-33.29,-0.65
26.96,-39.09,-38.44,-39.08,-38.43,6.00,1.09,-33.09,-33.08,-0.65
27.23,-38.84,-38.19,-38.83,-38.18,6.00,1.12,-32.84,-32.83,-0.65
27.50,-38.54,-37.89,-38.53,-37.88,6.00,1.14,-32.54,-32.53,-0.65
27.77,-38.17,-37.52,-38.19,-37.53,6.00,1.17,-32.17,-32.19,-0.65
28.05,-37.84,-37.18,-37.84,-37.19,6.00,1.20,-31.84,-31.84,-0.65
28.33,-37.48,-36.83,-37.49,-36.84,6.00,1.23,-31.48,-31.49,-0.65
28.62,-37.17,-36.52,-37.16,-36.51,6.00,1.26,-31.17,-31.16,-0.65
28.90,-36.84,-36.18,-36.83,-36.18,6.00,1.29,-30.84,-30.83,-0.65
29.19,-36.52,-35.87,-36.51,-35.86,6.00,1.32,-30.52,-30.51,-0.65
29.48,-36.20,-35.54,-36.21,-35.56,6.00,1.35,-30.20,-30.21,-0.65
29.78,-35.93,-35.28,-35.93,-35.28,6.00,1.39,-29.93,-29.93,-0.65
30.08,-35.67,-35.02,-35.67,-35.02,6.00,1.42,-29.67,-29.67,-0.65
30.38,-35.41,-34.76,-35.43,-34.77,6.00,1.46,-29.41,-29.43,-0.65
30.68,-35.18,-34.53,-35.18,-34.52,6.00,1.49,-29.18,-29.18,-0.65
30.99,-34.90,-34.25,-34.89,-34.24,6.00,1.53,-28.90,-28.89,-0.65
31.30,-34.57,-33.92,-34.57,-33.92,6.00,1.57,-28.57,-28.57,-0.65
31.61,-34.15,-33.50,-34.18,-33.53,6.00,1.60,-28.15,-28.18,-0.65
31.93,-33.72,-33.07,-33.71,-33.06,6.00,1.64,-27.72,-27.71,-0.65
32.24,-33.07,-32.41,-33.07,-32.42,6.00,1.68,-27.07,-27.07,-0.65
32.57,-32.25,-31.60,-32.21,-31.55,6.00,1.73,-26.25,-26.21,-0.65
32.89,-31.10,-30.45,-31.06,-30.41,6.00,1.77,-25.10,-25.06,-0.65
33.22,-29.75,-29.10,-29.75,-29.10,6.00,1.81,-23.75,-23.75,-0.65
33.55,-28.28,-27.63,-28.35,-27.70,6.00,1.86,-22.28,-22.35,-0.65
33.89,-26.97,-26.32,-26.96,-26.31,6.00,1.90,-20.97,-20.96,-0.65
34.23,-25.62,-24.97,-25.61,-24.96,6.00,1.95,-19.62,-19.61,-0.65
34.57,-24.31,-23.65,-24.32,-23.67,6.00,2.00,-18.31,-18.32,-0.65
34.92,-23.05,-22.40,-23.05,-22.40,6.00,2.05,-17.05,-17.05,-0.65
