frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.71,-22.23,-16.71,-22.23,6.00,1.15,-10.71,-10.71,5.53
20.20,-16.80,-22.33,-16.80,-22.33,6.00,1.19,-10.80,-10.80,5.53
20.40,-16.90,-22.42,-16.90,-22.42,6.00,1.23,-10.90,-10.90,5.53
20.61,-16.99,-22.52,-16.99,-22.52,6.00,1.28,-10.99,-10.99,5.53
20.81,-17.09,-22.62,-17.09,-22.62,6.00,1.32,-11.09,-11.09,5.53
21.02,-17.19,-22.71,-17.19,-22.71,6.00,1.37,-11.19,-11.19,5.53
21.23,-17.28,-22.81,-17.28,-22.81,6.00,1.42,-11.28,-11.28,5.53
21.44,-17.38,-22.90,-17.38,-22.90,6.00,1.47,-11.38,-11.38,5.53
21.66,-17.48,-23.00,-17.48,-23.00,6.00,1.52,-11.48,-11.48,5.53
21.87,-17.57,-23.10,-17.57,-23.10,6.00,1.57,-11.57,-11.57,5.53
22.09,-17.67,-23.19,-17.67,-23.19,6.00,1.63,-11.67,-11.67,5.53
22.31,-17.76,-23.29,-17.76,-23.29,6.00,1.68,-11.76,-11.76,5.53
22.54,-17.86,-23.39,-17.86,-23.39,6.00,1.74,-11.86,-11.86,5.53
22.76,-17.96,-23.48,-17.96,-23.48,6.00,1.80,-11.96,-11.96,5.53
22.99,-18.05,-23.58,-18.06,-23.58,6.00,1.86,-12.05,-12.06,5.53
23.22,-18.15,-23.67,-18.14,-23.67,6.00,1.92,-12.15,-12.14,5.53
23.45,-18.22,-23.74,-18.21,-23.74,6.00,1.98,-12.22,-12.21,5.53
23.69,-18.26,-23.78,-18.26,-23.79,6.00,2.05,-12.26,-12.26,5.53
23.92,-18.30,-23.82,-18.30,-23.83,6.00,2.11,-12.30,-12.30,5.53
24.16,-18.34,-23.86,-18.34,-23.86,6.00,2.18,-12.34,-12.34,5.53
24.40,-18.38,-23.90,-18.38,-23.90,6.00,2.24,-12.38,-12.38,5.53
24.65,-18.42,-23.95,-18.42,-23.95,6.00,2.31,-12.42,-12.42,5.53
24.89,-18.46,-23.99,-18.46,-23.99,6.00,2.37,-12.46,-12.46,5.53
25.14,-18.50,-24.03,-18.51,-24.03,6.00,2.44,-12.50,-12.51,5.53
25.39,-18.54,-24.07,-18.56,-24.09,6.01,2.51,-12.53,-12.55,5.53
25.65,-18.58,-24.11,-18.58,-24.10,6.03,2.57,-12.55,-12.55,5.53
25.91,-18.58,-24.10,-18.53,-24.06,6.05,2.64,-12.53,-12.48,5.53
26.16,-18.40,-23.93,-18.42,-23.94,6.05,2.70,-12.36,-12.37,5.53
26.43,-18.23,-23.76,-18.25,-23.77,6.02,2.76,-12.21,-12.23,5.53
26.69,-18.06,-23.58,-18.06,-23.58,5.96,2.82,-12.10,-12.10,5.53
26.96,-17.88,-23.41,-17.88,-23.41,5.86,2.88,-12.02,-12.02,5.53
27.23,-17.71,-23.24,-17.71,-23.24,5.72,2.93,-11.99,-11.99,5.53
27.50,-17.54,-23.06,-17.55,-23.07,5.55,2.98,-11.99,-12.00,5.53
27.77,-17.36,-22.89,-17.36,-22.88,5.34,3.02,-12.02,-12.02,5.53
28.05,-17.16,-22.69,-17.14,-22.66,5.10,3.06,-12.06,-12.03,5.53
28.33,-16.87,-22.39,-16.87,-22.40,4.84,3.09,-12.03,-12.03,5.53
28.62,-16.57,-22.10,-16.59,-22.12,4.56,3.11,-12.01,-12.03,5.53
28.90,-16.28,-21.80,-16.30,-21.82,4.28,3.13,-11.99,-12.01,5.53
29.19,-15.99,-21.51,-15.95,-21.47,4.02,3.14,-11.97,-11.93,5.53
29.48,-15.55,-21.07,-15.52,-21.05,3.76,3.14,-11.78,-11.76,5.53
29.78,-15.01,-20.53,-15.03,-20.55,3.50,3.14,-11.50,-11.52,5.53
30.08,-14.46,-19.99,-14.47,-20.00,3.24,3.12,-11.22,-11.23,5.53
30.38,-13.91,-19.44,-13.91,-19.43,2.99,3.09,-10.93,-10.92,5.53
30.68,-13.34,-18.86,-13.34,-18.87,2.73,3.06,-10.61,-10.61,5.53
30.99,-12.76,-18.29,-12.76,-18.29,2.47,3.01,-10.29,-10.29,5.53
31.30,-12.17,-17.70,-12.17,-17.69,2.21,2.95,-9.96,-9.95,5.53
31.61,-11.57,-17.10,-11.57,-17.10,1.95,2.88,-9.62,-9.62,5.53
31.93,-10.97,-16.50,-10.99,-16.51,1.69,2.80,-9.28,-9.29,5.53
32.24,-10.42,-15.94,-10.42,-15.94,1.44,2.71,-8.98,-8.98,5.53
32.57,-9.88,-15.40,-9.87,-15.40,1.18,2.61,-8.70,-8.69,5.53
32.89,-9.34,-14.87,-9.35,-14.87,0.92,2.50,-8.42,-8.43,5.53
33.22,-8.83,-14.36,-8.83,-14.36,0.66,2.37,-8.17,-8.17,5.53
33.55,-8.33,-13.85,-8.32,-13.85,0.40,2.24,-7.92,-7.92,5.53
33.89,-7.82,-13.34,-7.81,-13.33,0.14,2.11,-7.67,-7.66,5.53
34.23,-7.27,-12.80,-7.28,-12.80,-0.11,1.96,-7.39,-7.39,5.53
34.57,-6.73,-12.26,-6.74,-12.26,-0.37,1.80,-7.10,-7.11,5.53
34.92,-6.19,-11.72,-6.19,-11.72,-0.63,1.64,-6.82,-6.83,5.53
35.27,-5.66,-11.19,-5.66,-11.19,-0.89,1.47,-6.55,-6.55,5.53
35.62,-5.14,-10.66,-5.14,-10.66,-1.15,1.29,-6.28,-6.29,5.53
35.97,-4.62,-10.15,-4.63,-10.15,-1.41,1.11,-6.03,-6.03,5.53
36.33,-4.13,-9.65,-4.13,-9.65,-1.66,0.93,-5.79,-5.79,5.53
36.70,-3.63,-9.15,-3.62,-9.15,-1.92,0.74,-5.55,-5.54,5.53
37.06,-3.11,-8.63,-3.12,-8.64,-2.18,0.54,-5.29,-5.30,5.53
37.43,-2.58,-8.10,-2.59,-8.11,-2.44,0.34,-5.02,-5.03,5.53
37.81,-2.05,-7.57,-2.02,-7.55,-2.70,0.14,-4.74,-4.72,5.53
38.19,-1.42,-6.94,-1.42,-6.95,-2.96,-0.07,-4.38,-4.38,5.53
38.57,-0.78,-6.30,-0.79,-6.31,-3.22,-0.28,-3.99,-4.00,5.53
38.95,-0.13,-5.66,-0.13,-5.66,-3.47,-0.49,-3.61,-3.61,5.53
39.34,0.52,-5.01,0.51,-5.01,-3.73,-0.70,-3.22,-3.22,5.53
39.74,1.17,-4.36,1.17,-4.36,-3.99,-0.92,-2.82,-2.82,5.53
40.14,1.83,-3.70,1.83,-3.69,-4.25,-1.13,-2.42,-2.42,5.53
40.54,2.51,-3.01,2.51,-3.02,-4.51,-1.36,-1.99,-2.00,5.53
40.94,3.20,-2.33,3.20,-2.33,-4.77,-1.58,-1.57,-1.57,5.53
41.35,3.89,-1.64,3.89,-1.64,-5.02,-1.80,-1.13,-1.13,5.53
41.76,4.59,-0.94,4.58,-0.94,-5.28,-2.03,-0.70,-0.70,5.53
42.18,5.28,-0.24,5.28,-0.24,-5.54,-2.26,-0.26,-0.26,5.53
42.60,5.99,0.46,5.99,0.47,-5.80,-2.49,0.19,0.19,5.53
