frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-45.39,-49.16,-45.38,-49.16,6.00,0.10,-39.39,-39.38,3.78
20.20,-44.59,-48.36,-44.59,-48.36,6.00,0.10,-38.59,-38.59,3.78
20.40,-43.78,-47.55,-43.80,-47.57,6.00,0.10,-37.78,-37.80,3.78
20.61,-43.03,-46.81,-43.00,-46.78,6.00,0.11,-37.03,-37.00,3.78
20.81,-42.20,-45.97,-42.22,-45.99,6.00,0.11,-36.20,-36.22,3.78
21.02,-41.42,-45.20,-41.42,-45.19,6.00,0.11,-35.42,-35.42,3.78
21.23,-40.62,-44.40,-40.62,-44.40,6.00,0.11,-34.62,-34.62,3.78
21.44,-39.82,-43.59,-39.83,-43.61,6.00,0.12,-33.82,-33.83,3.78
21.66,-39.07,-42.84,-39.04,-42.81,6.00,0.12,-33.07,-33.04,3.78
21.87,-38.22,-42.00,-38.24,-42.01,6.00,0.12,-32.22,-32.24,3.78
22.09,-37.45,-41.22,-37.45,-41.23,6.00,0.13,-31.45,-31.45,3.78
22.31,-36.64,-40.42,-36.66,-40.43,6.00,0.13,-30.64,-30.66,3.78
22.54,-35.91,-39.68,-35.88,-39.65,6.00,0.13,-29.91,-29.88,3.78
22.76,-35.08,-38.85,-35.09,-38.87,6.00,0.14,-29.08,-29.09,3.78
22.99,-34.30,-38.07,-34.30,-38.07,6.00,0.14,-28.30,-28.30,3.78
23.22,-33.51,-37.28,-33.50,-37.28,6.00,0.14,-27.51,-27.50,3.78
23.45,-32.70,-36.48,-32.72,-36.49,6.00,0.15,-26.70,-26.72,3.78
23.69,-31.95,-35.72,-31.92,-35.70,6.00,0.15,-25.95,-25.92,3.78
23.92,-31.12,-34.89,-31.12,-34.90,6.00,0.15,-25.12,-25.12,3.78
24.16,-30.33,-34.10,-30.33,-34.11,6.00,0.16,-24.33,-24.33,3.78
24.40,-29.51,-33.29,-29.53,-33.30,6.00,0.16,-23.51,-23.53,3.78
24.65,-28.76,-32.54,-28.74,-32.51,6.00,0.17,-22.76,-22.74,3.78
24.89,-27.93,-31.71,-27.94,-31.72,6.00,0.17,-21.93,-21.94,3.78
25.14,-27.16,-30.93,-27.15,-30.93,6.00,0.18,-21.16,-21.15,3.78
25.39,-26.35,-30.13,-26.37,-30.14,6.00,0.18,-20.35,-20.37,3.78
25.65,-25.59,-29.36,-25.57,-29.35,6.00,0.18,-19.59,-19.57,3.78
25.91,-24.79,-28.57,-24.77,-28.55,6.00,0.19,-18.79,-18.77,3.78
26.16,-23.91,-27.69,-23.95,-27.72,6.00,0.20,-17.91,-17.95,3.78
26.43,-23.13,-26.90,-23.11,-26.88,6.00,0.20,-17.13,-17.11,3.78
26.69,-22.26,-26.03,-22.27,-26.04,6.00,0.21,-16.26,-16.27,3.78
26.96,-21.43,-25.20,-21.44,-25.21,6.00,0.21,-15.43,-15.44,3.78
27.23,-20.58,-24.35,-20.57,-24.34,6.00,0.22,-14.58,-14.57,3.78
27.50,-19.71,-23.48,-19.68,-23.45,6.00,0.22,-13.71,-13.68,3.78
27.77,-18.74,-22.52,-18.76,-22.53,6.00,0.23,-12.74,-12.76,3.78
28.05,-17.84,-21.62,-17.86,-21.64,6.00,0.24,-11.84,-11.86,3.78
28.33,-16.97,-20.74,-16.93,-20.70,6.00,0.24,-10.97,-10.93,3.78
28.62,-16.17,-19.94,-16.11,-19.89,6.00,0.25,-10.17,-10.11,3.78
28.90,-15.29,-19.07,-15.46,-19.23,6.00,0.26,-9.29,-9.46,3.78
29.19,-15.02,-18.79,-15.00,-18.77,6.00,0.27,-9.02,-9.00,3.78
29.48,-14.74,-18.52,-14.61,-18.39,6.00,0.27,-8.74,-8.61,3.78
29.78,-14.49,-18.26,-14.41,-18.19,6.00,0.28,-8.49,-8.41,3.78
30.08,-14.23,-18.01,-14.45,-18.23,6.00,0.29,-8.23,-8.45,3.78
30.38,-14.81,-18.58,-14.45,-18.23,6.00,0.30,-8.81,-8.45,3.78
30.68,-15.75,-19.53,-15.76,-19.54,6.00,0.31,-9.75,-9.76,3.78
30.99,-16.67,-20.45,-18.15,-21.92,6.00,0.32,-10.67,-12.15,3.78
31.30,-22.01,-25.79,-20.88,-24.65,6.00,0.33,-16.01,-14.88,3.78
31.61,-23.97,-27.75,-23.52,-27.30,6.00,0.34,-17.97,-17.52,3.78
31.93,-25.03,-28.81,-25.52,-29.29,6.00,0.35,-19.03,-19.52,3.78
32.24,-26.14,-29.92,-26.04,-29.81,6.00,0.36,-20.14,-20.04,3.78
32.57,-26.48,-30.26,-26.30,-30.07,6.00,0.37,-20.48,-20.30,3.78
32.89,-26.07,-29.85,-26.18,-29.96,6.00,0.38,-20.07,-20.18,3.78
33.22,-25.67,-29.45,-25.78,-29.56,6.00,0.39,-19.67,-19.78,3.78
33.55,-25.27,-29.05,-25.30,-29.07,6.00,0.41,-19.27,-19.30,3.78
33.89,-24.89,-28.66,-24.76,-28.53,6.00,0.42,-18.89,-18.76,3.78
34.23,-24.07,-27.85,-24.07,-27.85,6.00,0.43,-18.07,-18.07,3.78
34.57,-23.21,-26.99,-23.29,-27.06,6.00,0.45,-17.21,-17.29,3.78
34.92,-22.45,-26.23,-22.46,-26.23,6.00,0.46,-16.45,-16.46,3.78
35.27,-21.72,-25.49,-21.70,-25.47,6.00,0.47,-15.72,-15.70,3.78
35.62,-20.96,-24.74,-20.96,-24.74,6.00,0.49,-14.96,-14.96,3.78
35.97,-20.22,-23.99,-20.23,-24.00,6.00,0.51,-14.22,-14.23,3.78
36.33,-19.49,-23.26,-19.49,-23.26,6.00,0.52,-13.49,-13.49,3.78
36.70,-18.76,-22.54,-18.74,-22.51,6.00,0.54,-12.76,-12.74,3.78
37.06,-17.97,-21.74,-17.97,-21.75,6.00,0.56,-11.97,-11.97,3.78
37.43,-17.19,-20.96,-17.20,-20.97,6.00,0.58,-11.19,-11.20,3.78
37.81,-16.44,-20.21,-16.42,-20.20,6.00,0.60,-10.44,-10.42,3.78
38.19,-15.66,-19.44,-15.66,-19.44,6.00,0.62,-9.66,-9.66,3.78
38.57,-14.92,-18.69,-14.91,-18.69,6.00,0.64,-8.92,-8.91,3.78
38.95,-14.21,-17.98,-14.18,-17.96,6.00,0.66,-8.21,-8.18,3.78
39.34,-13.52,-17.29,-13.54,-17.32,6.00,0.68,-7.52,-7.54,3.78
39.74,-12.96,-16.73,-13.02,-16.79,6.00,0.70,-6.96,-7.02,3.78
40.14,-12.63,-16.40,-12.61,-16.38,6.00,0.73,-6.63,-6.61,3.78
40.54,-12.30,-16.07,-12.27,-16.05,6.00,0.75,-6.30,-6.27,3.78
40.94,-11.95,-15.73,-11.95,-15.73,6.00,0.78,-5.95,-5.95,3.78
41.35,-11.62,-15.40,-11.62,-15.40,6.00,0.80,-5.62,-5.62,3.78
41.76,-11.30,-15.08,-11.32,-15.10,6.00,0.83,-5.30,-5.32,3.78
42.18,-11.05,-14.83,-11.05,-14.82,6.00,0.86,-5.05,-5.05,3.78
42.60,-10.80,-14.58,-10.80,-14.58,6.00,0.89,-4.80,-4.80,3.78
43.03,-10.57,-14.34,-10.57,-14.35,6.00,0.92,-4.57,-4.57,3.78
43.46,-10.32,-14.09,-10.33,-14.10,6.00,0.95,-4.32,-4.33,3.78
43.90,-10.06,-13.83,-10.03,-13.80,6.00,0.98,-4.06,-4.03,3.78
44.33,-9.67,-13.45,-9.65,-13.42,6.00,1.01,-3.67,-3.65,3.78
44.78,-9.17,-12.94,-9.19,-12.96,6.00,1.04,-3.17,-3.19,3.78
45.23,-8.65,-12.43,-8.66,-12.44,6.00,1.08,-2.65,-2.66,3.78
45.68,-8.13,-11.90,-8.12,-11.89,6.00,1.11,-2.13,-2.12,3.78
46.13,-7.55,-11.33,-7.56,-11.33,6.00,1.15,-1.55,-1.56,3.78
46.60,-6.98,-10.76,-6.97,-10.74,6.00,1.19,-0.98,-0.97,3.78
47.06,-6.36,-10.14,-6.37,-10.15,6.00,1.22,-0.36,-0.37,3.78
47.53,-5.77,-9.55,-5.79,-9.56,6.02,1.26,0.24,0.23,3.78
48.01,-5.21,-8.98,-5.20,-8.97,6.06,1.30,0.85,0.86,3.78
48.49,-4.64,-8.41,-4.62,-8.40,6.09,1.34,1.45,1.47,3.78
48.97,-4.04,-7.82,-4.06,-7.84,6.09,1.38,2.05,2.03,3.78
49.46,-3.50,-7.28,-3.52,-7.29,6.05,1.42,2.54,2.53,3.78
49.96,-3.01,-6.78,-2.99,-6.77,5.94,1.46,2.93,2.95,3.78
50.46,-2.49,-6.26,-2.48,-6.26,5.76,1.50,3.27,3.28,3.78
50.96,-1.96,-5.74,-1.98,-5.75,5.51,1.54,3.55,3.53,3.78
51.47,-1.48,-5.25,-1.47,-5.25,5.19,1.58,3.71,3.72,3.78
51.99,-0.98,-4.76,-0.97,-4.75,4.81,1.62,3.83,3.83,3.78
