frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-45.39,-49.16,-45.39,-49.16,6.00,3.16,-39.39,-39.39,3.77
20.20,-44.59,-48.36,-44.59,-48.36,6.00,3.25,-38.59,-38.59,3.77
20.40,-43.80,-47.57,-43.80,-47.57,6.00,3.34,-37.80,-37.80,3.77
20.61,-43.01,-46.78,-43.01,-46.78,6.00,3.44,-37.01,-37.01,3.77
20.81,-42.22,-45.99,-42.22,-45.99,6.00,3.53,-36.22,-36.22,3.77
21.02,-41.43,-45.20,-41.43,-45.20,6.00,3.63,-35.43,-35.43,3.77
21.23,-40.64,-44.41,-40.64,-44.41,6.00,3.73,-34.64,-34.64,3.77
21.44,-39.84,-43.62,-39.84,-43.62,6.00,3.84,-33.84,-33.84,3.77
21.66,-39.05,-42.82,-39.05,-42.82,6.00,3.95,-33.05,-33.05,3.77
21.87,-38.26,-42.03,-38.26,-42.03,6.00,4.06,-32.26,-32.26,3.77
22.09,-37.47,-41.24,-37.47,-41.24,6.00,4.17,-31.47,-31.47,3.77
22.31,-36.68,-40.45,-36.68,-40.45,6.00,4.29,-30.68,-30.68,3.77
22.54,-35.89,-39.66,-35.89,-39.66,6.00,4.41,-29.89,-29.89,3.77
22.76,-35.10,-38.87,-35.10,-38.87,6.00,4.53,-29.10,-29.10,3.77
22.99,-34.30,-38.07,-34.30,-38.07,6.00,4.65,-28.30,-28.30,3.77
23.22,-33.51,-37.28,-33.51,-37.28,6.00,4.78,-27.51,-27.51,3.77
23.45,-32.72,-36.49,-32.72,-36.49,6.00,4.91,-26.72,-26.72,3.77
23.69,-31.93,-35.70,-31.93,-35.70,6.00,5.05,-25.93,-25.93,3.77
23.92,-31.14,-34.91,-31.14,-34.91,6.00,5.18,-25.14,-25.14,3.77
24.16,-30.35,-34.12,-30.35,-34.12,6.00,5.32,-24.35,-24.35,3.77
24.40,-29.55,-33.33,-29.55,-33.33,6.00,5.46,-23.55,-23.55,3.77
24.65,-28.76,-32.53,-28.76,-32.53,6.00,5.61,-22.76,-22.76,3.77
24.89,-27.97,-31.74,-27.97,-31.74,6.00,5.75,-21.97,-21.97,3.77
25.14,-27.18,-30.95,-27.18,-30.95,6.00,5.90,-21.18,-21.18,3.77
25.39,-26.39,-30.16,-26.39,-30.16,6.00,6.05,-20.39,-20.39,3.77
