frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-25.68,-32.87,-25.66,-32.85,6.00,0.01,-19.68,-19.66,7.19
20.20,-24.43,-31.62,-24.42,-31.62,6.00,0.01,-18.43,-18.42,7.19
20.40,-22.99,-30.18,-23.18,-30.37,6.00,0.01,-16.99,-17.18,7.19
20.61,-22.22,-29.42,-21.92,-29.11,6.00,0.01,-16.22,-15.92,7.19
20.81,-20.48,-27.67,-20.70,-27.89,6.00,0.01,-14.48,-14.70,7.19
21.02,-19.41,-26.60,-19.37,-26.56,6.00,0.01,-13.41,-13.37,7.19
21.23,-18.09,-25.29,-17.99,-25.19,6.00,0.01,-12.09,-11.99,7.19
21.44,-16.44,-23.64,-16.57,-23.76,6.00,0.01,-10.44,-10.57,7.19
21.66,-15.29,-22.49,-15.04,-22.24,6.00,0.01,-9.29,-9.04,7.19
21.87,-13.41,-20.61,-13.62,-20.81,6.00,0.01,-7.41,-7.62,7.19
22.09,-12.48,-19.67,-12.50,-19.70,6.00,0.01,-6.48,-6.50,7.19
22.31,-11.60,-18.80,-11.63,-18.83,6.00,0.01,-5.60,-5.63,7.19
22.54,-11.24,-18.44,-11.16,-18.36,6.00,0.02,-5.24,-5.16,7.19
22.76,-10.80,-17.99,-10.82,-18.01,6.00,0.02,-4.80,-4.82,7.19
22.99,-10.67,-17.86,-10.69,-17.89,6.00,0.02,-4.67,-4.69,7.19
23.22,-10.67,-17.86,-10.64,-17.83,6.00,0.02,-4.67,-4.64,7.19
23.45,-10.88,-18.07,-10.84,-18.03,6.00,0.02,-4.88,-4.84,7.19
23.69,-11.06,-18.25,-11.20,-18.39,6.00,0.02,-5.06,-5.20,7.19
23.92,-11.84,-19.03,-11.77,-18.97,6.00,0.02,-5.84,-5.77,7.19
24.16,-12.41,-19.60,-12.29,-19.49,6.00,0.02,-6.41,-6.29,7.19
24.40,-13.18,-20.37,-13.10,-20.30,6.00,0.02,-7.18,-7.10,7.19
24.65,-13.62,-20.82,-14.05,-21.25,6.00,0.02,-7.62,-8.05,7.19
24.89,-15.52,-22.71,-15.28,-22.48,6.00,0.02,-9.52,-9.28,7.19
25.14,-16.58,-23.78,-16.55,-23.74,6.00,0.02,-10.58,-10.55,7.19
25.39,-17.87,-25.07,-17.67,-24.86,6.00,0.02,-11.87,-11.67,7.19
25.65,-18.65,-25.85,-18.87,-26.06,6.00,0.02,-12.65,-12.87,7.19
25.91,-19.72,-26.91,-20.13,-27.32,6.00,0.03,-13.72,-14.13,7.19
26.16,-22.01,-29.21,-21.39,-28.59,6.00,0.03,-16.01,-15.39,7.19
26.43,-22.33,-29.53,-22.53,-29.73,6.00,0.03,-16.33,-16.53,7.19
26.69,-23.38,-30.57,-23.36,-30.55,6.00,0.03,-17.38,-17.36,7.19
26.96,-23.76,-30.96,-23.83,-31.03,6.00,0.03,-17.76,-17.83,7.19
27.23,-24.32,-31.52,-24.34,-31.54,6.00,0.03,-18.32,-18.34,7.19
27.50,-24.65,-31.84,-24.54,-31.73,6.00,0.03,-18.65,-18.54,7.19
27.77,-24.50,-31.70,-24.52,-31.71,6.00,0.03,-18.50,-18.52,7.19
28.05,-24.26,-31.45,-24.31,-31.50,6.00,0.04,-18.26,-18.31,7.19
28.33,-23.72,-30.91,-23.78,-30.98,6.00,0.04,-17.72,-17.78,7.19
28.62,-23.30,-30.50,-23.07,-30.27,6.00,0.04,-17.30,-17.07,7.19
28.90,-21.95,-29.15,-22.07,-29.26,6.00,0.04,-15.95,-16.07,7.19
29.19,-21.02,-28.21,-20.98,-28.17,6.00,0.04,-15.02,-14.98,7.19
29.48,-19.72,-26.92,-19.88,-27.08,6.00,0.04,-13.72,-13.88,7.19
29.78,-19.00,-26.20,-18.95,-26.14,6.00,0.05,-13.00,-12.95,7.19
30.08,-18.04,-25.24,-17.95,-25.14,6.00,0.05,-12.04,-11.95,7.19
30.38,-17.02,-24.22,-17.04,-24.24,6.00,0.05,-11.02,-11.04,7.19
30.68,-15.98,-23.17,-16.12,-23.31,6.00,0.05,-9.98,-10.12,7.19
30.99,-15.31,-22.50,-15.21,-22.41,6.00,0.06,-9.31,-9.21,7.19
31.30,-14.44,-21.63,-14.38,-21.58,6.00,0.06,-8.44,-8.38,7.19
31.61,-13.37,-20.57,-13.47,-20.66,6.00,0.06,-7.37,-7.47,7.19
31.93,-12.66,-19.85,-12.52,-19.71,6.00,0.06,-6.66,-6.52,7.19
32.24,-11.46,-18.65,-11.59,-18.79,6.00,0.07,-5.46,-5.59,7.19
32.57,-10.85,-18.05,-10.78,-17.97,6.00,0.07,-4.85,-4.78,7.19
32.89,-9.98,-17.18,-10.04,-17.24,6.00,0.07,-3.98,-4.04,7.19
33.22,-9.54,-16.73,-9.52,-16.72,6.00,0.08,-3.54,-3.52,7.19
33.55,-9.08,-16.27,-9.09,-16.28,6.00,0.08,-3.08,-3.09,7.19
33.89,-8.81,-16.00,-8.81,-16.00,6.00,0.08,-2.81,-2.81,7.19
34.23,-8.61,-15.80,-8.59,-15.79,6.00,0.09,-2.61,-2.59,7.19
34.57,-8.44,-15.63,-8.45,-15.65,6.00,0.09,-2.44,-2.45,7.19
34.92,-8.35,-15.54,-8.35,-15.54,6.00,0.10,-2.35,-2.35,7.19
35.27,-8.26,-15.45,-8.27,-15.46,6.00,0.10,-2.26,-2.27,7.19
35.62,-8.20,-15.39,-8.19,-15.38,6.00,0.10,-2.20,-2.19,7.19
35.97,-8.08,-15.27,-8.08,-15.28,6.00,0.11,-2.08,-2.08,7.19
36.33,-7.89,-15.08,-7.88,-15.08,6.00,0.11,-1.89,-1.88,7.19
36.70,-7.65,-14.84,-7.57,-14.77,6.00,0.12,-1.65,-1.57,7.19
37.06,-7.18,-14.38,-7.24,-14.44,6.00,0.13,-1.18,-1.24,7.19
37.43,-6.80,-14.00,-6.88,-14.07,6.00,0.13,-0.80,-0.88,7.19
37.81,-6.57,-13.76,-6.51,-13.71,6.00,0.14,-0.57,-0.51,7.19
38.19,-6.08,-13.28,-6.07,-13.26,6.00,0.14,-0.08,-0.07,7.19
38.57,-5.57,-12.76,-5.48,-12.68,6.00,0.15,0.43,0.52,7.19
38.95,-4.76,-11.95,-4.83,-12.03,6.00,0.16,1.24,1.17,7.19
39.34,-4.13,-11.33,-4.21,-11.41,6.00,0.16,1.87,1.79,7.19
39.74,-3.68,-10.87,-3.61,-10.81,6.00,0.17,2.32,2.39,7.19
