frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-25.68,-38.60,-25.68,-38.60,6.00,6.04,2.84,-19.68,-19.68,12.92
20.20,-24.43,-37.35,-24.43,-37.35,6.00,6.05,2.92,-18.43,-18.43,12.92
20.40,-23.14,-36.06,-23.17,-36.10,6.00,6.05,3.00,-17.14,-17.17,12.92
20.61,-21.98,-34.90,-21.92,-34.84,6.00,6.05,3.09,-15.98,-15.92,12.92
20.81,-20.63,-33.55,-20.68,-33.60,6.00,6.06,3.18,-14.63,-14.68,12.92
21.02,-19.41,-32.33,-19.44,-32.36,6.00,6.06,3.27,-13.41,-13.44,12.92
21.23,-18.15,-31.07,-18.07,-30.99,6.00,6.06,3.36,-12.15,-12.07,12.92
21.44,-16.74,-29.66,-16.62,-29.54,6.00,6.06,3.46,-10.74,-10.62,12.92
21.66,-15.04,-27.96,-15.14,-28.06,6.00,6.06,3.55,-9.04,-9.14,12.92
21.87,-13.71,-26.63,-13.75,-26.67,6.00,6.07,3.66,-7.71,-7.75,12.92
22.09,-12.63,-25.55,-12.61,-25.53,6.00,6.07,3.76,-6.63,-6.61,12.92
22.31,-11.75,-24.67,-11.77,-24.69,6.00,6.07,3.87,-5.75,-5.77,12.92
22.54,-11.18,-24.10,-11.17,-24.09,6.00,6.07,3.98,-5.18,-5.17,12.92
22.76,-10.80,-23.71,-10.80,-23.72,6.00,6.07,4.09,-4.80,-4.80,12.92
22.99,-10.67,-23.59,-10.66,-23.58,6.00,6.07,4.20,-4.67,-4.66,12.92
23.22,-10.67,-23.58,-10.67,-23.58,6.00,6.07,4.32,-4.67,-4.67,12.92
23.45,-10.88,-23.80,-10.86,-23.77,6.00,6.07,4.44,-4.88,-4.86,12.92
23.69,-11.13,-24.05,-11.18,-24.09,6.00,6.07,4.57,-5.13,-5.18,12.92
23.92,-11.69,-24.61,-11.67,-24.58,6.00,6.07,4.69,-5.69,-5.67,12.91
24.16,-12.26,-25.17,-12.22,-25.14,6.00,6.07,4.82,-6.26,-6.22,12.91
24.40,-13.03,-25.94,-13.01,-25.92,6.00,6.07,4.95,-7.03,-7.01,12.91
24.65,-13.77,-26.68,-13.95,-26.86,6.00,6.07,5.08,-7.77,-7.95,12.91
24.89,-15.22,-28.13,-15.10,-28.01,6.00,6.07,5.22,-9.22,-9.10,12.91
25.14,-16.34,-29.25,-16.34,-29.25,6.00,6.07,5.36,-10.34,-10.34,12.91
25.39,-17.64,-30.55,-17.55,-30.46,6.00,6.06,5.49,-11.64,-11.55,12.91
25.65,-18.80,-31.71,-18.91,-31.82,6.00,6.06,5.63,-12.80,-12.91,12.91
25.91,-20.02,-32.92,-20.27,-33.18,6.00,6.06,5.77,-14.02,-14.27,12.91
26.16,-21.97,-34.87,-21.53,-34.44,6.00,6.06,5.91,-15.97,-15.53,12.91
26.43,-22.48,-35.39,-22.60,-35.51,6.00,6.05,6.05,-16.48,-16.60,12.91
26.69,-23.38,-36.28,-23.43,-36.33,6.00,6.05,6.19,-17.38,-17.43,12.91
26.96,-23.91,-36.82,-23.93,-36.84,6.00,6.05,6.32,-17.91,-17.93,12.90
27.23,-24.47,-37.37,-24.44,-37.34,6.00,6.04,6.46,-18.47,-18.44,12.90
27.50,-24.65,-37.55,-24.64,-37.54,6.00,6.04,6.59,-18.65,-18.64,12.90
27.77,-24.65,-37.55,-24.62,-37.52,6.00,6.04,6.71,-18.65,-18.62,12.90
28.05,-24.31,-37.21,-24.36,-37.26,6.00,6.03,6.83,-18.31,-18.36,12.90
28.33,-23.84,-36.74,-23.85,-36.75,6.00,6.03,6.95,-17.84,-17.85,12.90
28.62,-23.19,-36.09,-23.09,-35.99,6.00,6.02,7.06,-17.19,-17.09,12.90
28.90,-22.10,-35.00,-22.13,-35.02,6.00,6.02,7.16,-16.10,-16.13,12.90
29.19,-21.02,-33.91,-21.03,-33.93,6.00,6.01,7.25,-15.02,-15.03,12.89
29.48,-19.87,-32.76,-19.93,-32.82,6.00,6.01,7.34,-13.87,-13.93,12.89
29.78,-18.90,-31.79,-18.87,-31.77,6.00,6.00,7.41,-12.90,-12.87,12.89
30.08,-17.89,-30.78,-17.86,-30.75,6.00,6.00,7.47,-11.89,-11.86,12.89
30.38,-16.87,-29.76,-16.91,-29.80,6.00,5.99,7.52,-10.87,-10.91,12.89
30.68,-15.98,-28.87,-16.00,-28.89,6.00,5.98,7.56,-9.98,-10.00,12.89
30.99,-15.16,-28.04,-15.13,-28.01,6.00,5.98,7.59,-9.16,-9.13,12.89
31.30,-14.29,-27.17,-14.27,-27.15,6.00,5.97,7.60,-8.29,-8.27,12.88
31.61,-13.37,-26.25,-13.38,-26.26,6.00,5.96,7.60,-7.37,-7.38,12.88
31.93,-12.51,-25.39,-12.49,-25.37,6.00,5.96,7.59,-6.51,-6.49,12.88
32.24,-11.61,-24.48,-11.63,-24.51,6.00,5.95,7.57,-5.61,-5.63,12.88
32.57,-10.84,-23.71,-10.83,-23.70,6.00,5.94,7.54,-4.84,-4.83,12.87
32.89,-10.13,-23.01,-10.13,-23.00,6.00,5.93,7.49,-4.13,-4.13,12.87
33.22,-9.54,-22.41,-9.56,-22.43,6.00,5.92,7.43,-3.54,-3.56,12.87
33.55,-9.13,-22.00,-9.13,-22.00,6.00,5.91,7.37,-3.13,-3.13,12.87
33.89,-8.81,-21.67,-8.81,-21.68,6.00,5.90,7.29,-2.81,-2.81,12.87
34.23,-8.61,-21.47,-8.60,-21.46,6.00,5.89,7.21,-2.61,-2.60,12.86
34.57,-8.44,-21.30,-8.45,-21.30,6.00,5.88,7.12,-2.44,-2.45,12.86
34.92,-8.35,-21.21,-8.35,-21.20,6.00,5.87,7.03,-2.35,-2.35,12.86
35.27,-8.26,-21.11,-8.27,-21.12,6.00,5.86,6.92,-2.26,-2.27,12.85
35.62,-8.20,-21.05,-8.19,-21.04,6.00,5.85,6.82,-2.20,-2.19,12.85
35.97,-8.08,-20.92,-8.07,-20.91,6.00,5.84,6.71,-2.08,-2.07,12.85
