frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-49.47,-45.24,-49.47,-45.24,6.00,0.56,-43.47,-43.47,-4.23
20.20,-49.34,-45.11,-49.34,-45.11,6.00,0.58,-43.34,-43.34,-4.23
20.40,-49.20,-44.97,-49.20,-44.97,6.00,0.59,-43.20,-43.20,-4.23
20.61,-49.07,-44.84,-49.07,-44.84,6.00,0.60,-43.07,-43.07,-4.23
20.81,-48.93,-44.70,-48.93,-44.71,6.00,0.62,-42.93,-42.93,-4.23
21.02,-48.80,-44.57,-48.80,-44.57,6.00,0.63,-42.80,-42.80,-4.23
21.23,-48.67,-44.44,-48.67,-44.44,6.00,0.65,-42.67,-42.67,-4.23
21.44,-48.53,-44.30,-48.53,-44.30,6.00,0.66,-42.53,-42.53,-4.23
21.66,-48.40,-44.17,-48.40,-44.17,6.00,0.68,-42.40,-42.40,-4.23
21.87,-48.26,-44.03,-48.26,-44.03,6.00,0.69,-42.26,-42.26,-4.23
22.09,-48.13,-43.90,-48.13,-43.90,6.00,0.71,-42.13,-42.13,-4.23
22.31,-48.00,-43.77,-47.99,-43.77,6.00,0.72,-42.00,-41.99,-4.23
22.54,-47.86,-43.63,-47.86,-43.63,6.00,0.74,-41.86,-41.86,-4.23
22.76,-47.73,-43.50,-47.73,-43.50,6.00,0.76,-41.73,-41.73,-4.23
22.99,-47.59,-43.36,-47.59,-43.36,6.00,0.77,-41.59,-41.59,-4.23
23.22,-47.46,-43.23,-47.46,-43.23,6.00,0.79,-41.46,-41.46,-4.23
23.45,-47.32,-43.09,-47.32,-43.10,6.00,0.81,-41.32,-41.32,-4.23
23.69,-47.19,-42.96,-47.19,-42.96,6.00,0.83,-41.19,-41.19,-4.23
23.92,-47.06,-42.83,-47.05,-42.83,6.00,0.85,-41.06,-41.05,-4.23
24.16,-46.92,-42.69,-46.92,-42.69,6.00,0.87,-40.92,-40.92,-4.23
24.40,-46.79,-42.56,-46.78,-42.56,6.00,0.89,-40.79,-40.78,-4.23
24.65,-46.65,-42.42,-46.65,-42.42,6.00,0.91,-40.65,-40.65,-4.23
24.89,-46.52,-42.29,-46.52,-42.29,6.00,0.93,-40.52,-40.52,-4.23
25.14,-46.39,-42.16,-46.38,-42.16,6.00,0.95,-40.39,-40.38,-4.23
25.39,-46.25,-42.02,-46.25,-42.02,6.00,0.98,-40.25,-40.25,-4.23
25.65,-46.12,-41.89,-46.12,-41.89,6.00,1.00,-40.12,-40.12,-4.23
25.91,-45.98,-41.75,-45.98,-41.75,6.00,1.02,-39.98,-39.98,-4.23
26.16,-45.85,-41.62,-45.85,-41.62,6.00,1.05,-39.85,-39.85,-4.23
26.43,-45.71,-41.48,-45.71,-41.49,6.00,1.07,-39.71,-39.71,-4.23
26.69,-45.58,-41.35,-45.58,-41.35,6.00,1.10,-39.58,-39.58,-4.23
26.96,-45.45,-41.22,-45.45,-41.22,6.00,1.13,-39.45,-39.45,-4.23
27.23,-45.31,-41.08,-45.31,-41.09,6.00,1.15,-39.31,-39.31,-4.23
27.50,-45.18,-40.95,-45.18,-40.95,6.00,1.18,-39.18,-39.18,-4.23
27.77,-45.04,-40.81,-45.04,-40.81,6.00,1.21,-39.04,-39.04,-4.23
28.05,-44.91,-40.68,-44.91,-40.68,6.00,1.24,-38.91,-38.91,-4.23
28.33,-44.78,-40.55,-44.78,-40.55,6.00,1.27,-38.78,-38.78,-4.23
28.62,-44.64,-40.41,-44.64,-40.42,6.00,1.30,-38.64,-38.64,-4.23
28.90,-44.51,-40.28,-44.51,-40.28,6.00,1.33,-38.51,-38.51,-4.23
29.19,-44.37,-40.14,-44.37,-40.15,6.00,1.37,-38.37,-38.37,-4.23
29.48,-44.24,-40.01,-44.24,-40.01,6.00,1.40,-38.24,-38.24,-4.23
29.78,-44.11,-39.88,-44.11,-39.88,6.00,1.44,-38.11,-38.11,-4.23
30.08,-43.97,-39.74,-43.97,-39.75,6.00,1.47,-37.97,-37.97,-4.23
30.38,-43.84,-39.61,-43.84,-39.61,6.00,1.51,-37.84,-37.84,-4.23
30.68,-43.70,-39.47,-43.70,-39.48,6.00,1.55,-37.70,-37.70,-4.23
30.99,-43.57,-39.34,-43.57,-39.34,6.00,1.59,-37.57,-37.57,-4.23
31.30,-43.43,-39.20,-43.43,-39.21,6.00,1.63,-37.43,-37.43,-4.23
31.61,-43.30,-39.07,-43.30,-39.07,6.00,1.67,-37.30,-37.30,-4.23
31.93,-43.17,-38.94,-43.17,-38.94,6.00,1.71,-37.17,-37.17,-4.23
32.24,-43.03,-38.80,-43.03,-38.81,6.00,1.76,-37.03,-37.03,-4.23
32.57,-42.90,-38.67,-42.90,-38.67,6.00,1.80,-36.90,-36.90,-4.23
32.89,-42.76,-38.53,-42.76,-38.53,6.00,1.85,-36.76,-36.76,-4.23
33.22,-42.63,-38.40,-42.63,-38.40,6.00,1.90,-36.63,-36.63,-4.23
33.55,-42.50,-38.27,-42.50,-38.27,6.00,1.95,-36.50,-36.50,-4.23
33.89,-42.36,-38.13,-42.36,-38.13,6.00,2.00,-36.36,-36.36,-4.23
34.23,-42.23,-38.00,-42.23,-38.00,6.00,2.05,-36.23,-36.23,-4.23
34.57,-42.09,-37.86,-42.09,-37.87,6.00,2.10,-36.09,-36.09,-4.23
34.92,-41.96,-37.73,-41.96,-37.73,6.00,2.16,-35.96,-35.96,-4.23
35.27,-41.82,-37.59,-41.82,-37.60,6.00,2.22,-35.82,-35.82,-4.23
35.62,-41.69,-37.46,-41.69,-37.46,6.00,2.28,-35.69,-35.69,-4.23
35.97,-41.56,-37.33,-41.56,-37.33,6.00,2.34,-35.56,-35.56,-4.23
36.33,-41.42,-37.19,-41.42,-37.19,6.00,2.40,-35.42,-35.42,-4.23
36.70,-41.29,-37.06,-41.29,-37.06,6.00,2.46,-35.29,-35.29,-4.23
37.06,-41.15,-36.92,-41.15,-36.92,6.00,2.53,-35.15,-35.15,-4.23
37.43,-41.02,-36.79,-41.02,-36.79,6.00,2.60,-35.02,-35.02,-4.23
37.81,-40.89,-36.66,-40.89,-36.66,6.00,2.67,-34.89,-34.89,-4.23
38.19,-40.75,-36.52,-40.75,-36.53,6.00,2.74,-34.75,-34.75,-4.23
38.57,-40.62,-36.39,-40.62,-36.39,6.00,2.82,-34.62,-34.62,-4.23
38.95,-40.48,-36.25,-40.48,-36.25,6.00,2.90,-34.48,-34.48,-4.23
39.34,-40.35,-36.12,-40.35,-36.12,6.00,2.97,-34.35,-34.35,-4.23
39.74,-40.21,-35.98,-40.21,-35.99,6.00,3.06,-34.21,-34.21,-4.23
40.14,-40.08,-35.85,-40.08,-35.85,6.00,3.14,-34.08,-34.08,-4.23
