frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-61.06,-59.63,-61.06,-59.63,6.00,6.07,2.67,-55.06,-55.06,-1.43
20.20,-60.90,-59.47,-60.89,-59.47,6.00,6.07,2.74,-54.90,-54.89,-1.43
20.40,-60.72,-59.30,-60.73,-59.30,6.00,6.07,2.82,-54.72,-54.73,-1.43
20.61,-60.58,-59.15,-60.57,-59.14,6.00,6.07,2.90,-54.58,-54.57,-1.43
20.81,-60.40,-58.98,-60.41,-58.98,6.00,6.07,2.98,-54.40,-54.41,-1.43
21.02,-60.26,-58.83,-60.25,-58.82,6.00,6.07,3.07,-54.26,-54.25,-1.43
21.23,-60.10,-58.67,-60.09,-58.66,6.00,6.07,3.15,-54.10,-54.09,-1.43
21.44,-59.92,-58.50,-59.93,-58.50,6.00,6.07,3.24,-53.92,-53.93,-1.43
21.66,-59.78,-58.35,-59.77,-58.34,6.00,6.07,3.34,-53.78,-53.77,-1.43
21.87,-59.60,-58.17,-59.60,-58.18,6.00,6.07,3.43,-53.60,-53.60,-1.43
22.09,-59.44,-58.01,-59.45,-58.02,6.00,6.07,3.53,-53.44,-53.45,-1.43
22.31,-59.28,-57.85,-59.29,-57.85,6.00,6.07,3.63,-53.28,-53.29,-1.43
22.54,-59.14,-57.71,-59.13,-57.70,6.00,6.07,3.73,-53.14,-53.13,-1.43
22.76,-58.96,-57.53,-58.97,-57.54,6.00,6.07,3.84,-52.96,-52.97,-1.43
22.99,-58.82,-57.38,-58.81,-57.38,6.00,6.07,3.94,-52.82,-52.81,-1.43
23.22,-58.66,-57.22,-58.65,-57.22,6.00,6.07,4.05,-52.66,-52.65,-1.43
23.45,-58.48,-57.05,-58.49,-57.06,6.00,6.07,4.17,-52.48,-52.49,-1.43
23.69,-58.34,-56.90,-58.33,-56.90,6.00,6.07,4.28,-52.34,-52.33,-1.43
23.92,-58.16,-56.73,-58.17,-56.73,6.00,6.07,4.40,-52.16,-52.17,-1.43
24.16,-58.00,-56.57,-58.01,-56.57,6.00,6.07,4.52,-52.00,-52.01,-1.43
24.40,-57.84,-56.41,-57.85,-56.41,6.00,6.07,4.64,-51.84,-51.85,-1.44
24.65,-57.70,-56.26,-57.69,-56.25,6.00,6.06,4.76,-51.70,-51.69,-1.44
24.89,-57.52,-56.09,-57.53,-56.09,6.00,6.06,4.89,-51.52,-51.53,-1.44
25.14,-57.36,-55.93,-57.37,-55.93,6.00,6.06,5.02,-51.36,-51.37,-1.44
25.39,-57.20,-55.76,-57.21,-55.77,6.00,6.06,5.14,-51.20,-51.21,-1.44
25.65,-57.06,-55.62,-57.05,-55.61,6.00,6.06,5.27,-51.06,-51.05,-1.44
25.91,-56.90,-55.46,-56.89,-55.45,6.00,6.06,5.40,-50.90,-50.89,-1.44
