frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-6.38,-10.53,-6.38,5.99,-0.14,-4.54,-4.54,-4.15
20.20,-10.44,-6.32,-10.44,-6.32,6.01,-0.14,-4.43,-4.44,-4.12
20.40,-10.36,-6.27,-10.36,-6.26,6.02,-0.14,-4.34,-4.34,-4.09
20.61,-10.27,-6.20,-10.27,-6.21,6.02,-0.15,-4.25,-4.26,-4.07
20.81,-10.19,-6.15,-10.19,-6.15,6.01,-0.15,-4.18,-4.18,-4.04
21.02,-10.11,-6.10,-10.11,-6.09,5.99,-0.15,-4.12,-4.11,-4.01
21.23,-10.03,-6.03,-10.03,-6.04,5.97,-0.16,-4.06,-4.06,-4.00
21.44,-9.95,-5.96,-9.95,-5.97,5.94,-0.16,-4.01,-4.02,-3.98
21.66,-9.88,-5.91,-9.88,-5.90,5.89,-0.17,-3.99,-3.98,-3.97
21.87,-9.80,-5.83,-9.80,-5.83,5.84,-0.17,-3.96,-3.96,-3.97
22.09,-9.73,-5.77,-9.73,-5.77,5.78,-0.17,-3.95,-3.95,-3.96
22.31,-9.66,-5.70,-9.66,-5.70,5.71,-0.18,-3.95,-3.95,-3.96
22.54,-9.59,-5.63,-9.59,-5.63,5.64,-0.18,-3.95,-3.95,-3.96
22.76,-9.52,-5.56,-9.52,-5.56,5.56,-0.19,-3.95,-3.96,-3.96
22.99,-9.46,-5.50,-9.46,-5.49,5.50,-0.19,-3.96,-3.96,-3.96
23.22,-9.39,-5.43,-9.39,-5.43,5.43,-0.20,-3.95,-3.96,-3.96
23.45,-9.33,-5.37,-9.33,-5.37,5.37,-0.20,-3.96,-3.96,-3.96
23.69,-9.27,-5.31,-9.27,-5.31,5.31,-0.20,-3.96,-3.95,-3.96
23.92,-9.21,-5.25,-9.21,-5.26,5.26,-0.21,-3.95,-3.95,-3.96
24.16,-9.15,-5.20,-9.15,-5.20,5.20,-0.21,-3.95,-3.95,-3.94
24.40,-9.10,-5.16,-9.10,-5.15,5.15,-0.22,-3.95,-3.95,-3.94
24.65,-9.04,-5.09,-9.04,-5.10,5.09,-0.22,-3.95,-3.95,-3.95
24.89,-8.99,-5.04,-8.99,-5.04,5.04,-0.23,-3.95,-3.95,-3.95
25.14,-8.93,-4.98,-8.93,-4.99,4.98,-0.24,-3.94,-3.95,-3.95
25.39,-8.88,-4.94,-8.88,-4.93,4.93,-0.24,-3.95,-3.95,-3.94
25.65,-8.82,-4.88,-8.82,-4.87,4.87,-0.25,-3.95,-3.94,-3.94
25.91,-8.76,-4.81,-8.76,-4.82,4.82,-0.25,-3.94,-3.94,-3.95
26.16,-8.70,-4.75,-8.70,-4.76,4.76,-0.26,-3.94,-3.94,-3.94
26.43,-8.65,-4.71,-8.65,-4.70,4.71,-0.27,-3.94,-3.94,-3.94
26.69,-8.59,-4.65,-8.59,-4.65,4.65,-0.27,-3.94,-3.94,-3.94
26.96,-8.53,-4.59,-8.53,-4.60,4.60,-0.28,-3.93,-3.94,-3.94
27.23,-8.47,-4.54,-8.47,-4.54,4.54,-0.29,-3.93,-3.94,-3.93
