frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-9.55,-10.53,-9.55,6.00,2.66,-4.53,-4.53,-0.98
20.20,-10.44,-9.49,-10.44,-9.50,6.00,2.74,-4.44,-4.44,-0.95
20.40,-10.36,-9.44,-10.36,-9.44,6.00,2.81,-4.36,-4.36,-0.92
20.61,-10.27,-9.37,-10.27,-9.38,6.00,2.90,-4.27,-4.27,-0.90
20.81,-10.19,-9.32,-10.19,-9.33,6.00,2.98,-4.19,-4.19,-0.87
21.02,-10.11,-9.27,-10.11,-9.26,6.00,3.07,-4.11,-4.11,-0.84
21.23,-10.03,-9.20,-10.03,-9.21,6.00,3.15,-4.03,-4.03,-0.83
21.44,-9.95,-9.13,-9.95,-9.14,6.00,3.25,-3.95,-3.95,-0.82
21.66,-9.88,-9.07,-9.88,-9.07,6.00,3.34,-3.88,-3.88,-0.81
21.87,-9.80,-8.99,-9.80,-9.00,6.00,3.44,-3.80,-3.80,-0.81
22.09,-9.73,-8.93,-9.73,-8.93,6.00,3.53,-3.73,-3.73,-0.80
22.31,-9.66,-8.86,-9.66,-8.86,6.00,3.64,-3.66,-3.66,-0.80
22.54,-9.59,-8.79,-9.59,-8.79,6.00,3.74,-3.59,-3.59,-0.80
22.76,-9.52,-8.72,-9.52,-8.72,6.00,3.85,-3.52,-3.52,-0.80
22.99,-9.46,-8.65,-9.46,-8.65,6.00,3.96,-3.46,-3.46,-0.81
23.22,-9.39,-8.58,-9.39,-8.59,6.00,4.07,-3.39,-3.39,-0.81
23.45,-9.33,-8.52,-9.33,-8.52,6.00,4.18,-3.33,-3.33,-0.81
23.69,-9.27,-8.46,-9.27,-8.46,6.00,4.30,-3.27,-3.27,-0.81
23.92,-9.21,-8.40,-9.21,-8.41,6.00,4.42,-3.21,-3.21,-0.81
24.16,-9.15,-8.35,-9.15,-8.35,6.00,4.54,-3.15,-3.15,-0.80
24.40,-9.10,-8.30,-9.10,-8.30,6.00,4.67,-3.10,-3.10,-0.80
24.65,-9.04,-8.23,-9.04,-8.24,6.00,4.79,-3.04,-3.04,-0.81
24.89,-8.99,-8.18,-8.99,-8.18,6.00,4.92,-2.99,-2.99,-0.81
25.14,-8.93,-8.12,-8.93,-8.13,6.00,5.05,-2.93,-2.93,-0.81
25.39,-8.88,-8.07,-8.88,-8.07,6.00,5.18,-2.88,-2.88,-0.81
25.65,-8.82,-8.01,-8.82,-8.01,6.00,5.31,-2.82,-2.82,-0.81
25.91,-8.76,-7.94,-8.76,-7.95,6.00,5.44,-2.76,-2.76,-0.82
26.16,-8.70,-7.88,-8.70,-7.89,6.00,5.57,-2.70,-2.70,-0.82
26.43,-8.65,-7.83,-8.65,-7.83,6.00,5.70,-2.65,-2.65,-0.82
26.69,-8.59,-7.77,-8.59,-7.77,6.00,5.82,-2.59,-2.59,-0.82
26.96,-8.53,-7.71,-8.53,-7.72,6.00,5.95,-2.53,-2.53,-0.82
27.23,-8.47,-7.65,-8.47,-7.66,6.00,6.07,-2.47,-2.47,-0.82
27.50,-8.42,-7.60,-8.42,-7.60,6.00,6.19,-2.42,-2.42,-0.82
27.77,-8.36,-7.53,-8.36,-7.53,6.00,6.30,-2.36,-2.36,-0.83
28.05,-8.29,-7.46,-8.29,-7.46,6.00,6.41,-2.29,-2.29,-0.83
28.33,-8.22,-7.38,-8.22,-7.39,6.00,6.51,-2.22,-2.22,-0.84
28.62,-8.15,-7.31,-8.15,-7.31,6.00,6.61,-2.15,-2.15,-0.84
28.90,-8.08,-7.24,-8.08,-7.24,6.00,6.69,-2.08,-2.08,-0.84
29.19,-8.00,-7.15,-8.00,-7.16,6.00,6.77,-2.00,-2.00,-0.85
29.48,-7.92,-7.08,-7.92,-7.08,6.00,6.83,-1.92,-1.92,-0.84
29.78,-7.83,-6.98,-7.83,-6.99,6.00,6.89,-1.83,-1.83,-0.85
30.08,-7.74,-6.89,-7.74,-6.90,6.00,6.93,-1.74,-1.74,-0.85
30.38,-7.65,-6.79,-7.65,-6.79,6.00,6.96,-1.65,-1.65,-0.86
30.68,-7.55,-6.69,-7.55,-6.69,6.01,6.98,-1.54,-1.54,-0.86
30.99,-7.44,-6.57,-7.44,-6.58,6.02,6.98,-1.42,-1.42,-0.87
31.30,-7.33,-6.46,-7.33,-6.47,6.02,6.97,-1.31,-1.31,-0.87
31.61,-7.22,-6.35,-7.22,-6.35,6.01,6.95,-1.20,-1.20,-0.87
31.93,-7.10,-6.23,-7.10,-6.22,5.99,6.91,-1.11,-1.11,-0.88
32.24,-6.98,-6.09,-6.98,-6.10,5.95,6.86,-1.02,-1.02,-0.89
32.57,-6.85,-5.96,-6.85,-5.97,5.90,6.79,-0.95,-0.96,-0.89
32.89,-6.73,-5.84,-6.73,-5.84,5.82,6.72,-0.91,-0.91,-0.89
