frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-3.09,-10.53,-3.09,3.09,-0.46,-7.44,-7.44,-7.44
20.20,-10.44,-3.03,-10.44,-3.03,3.03,-0.47,-7.41,-7.41,-7.41
20.40,-10.36,-2.98,-10.36,-2.98,2.98,-0.48,-7.38,-7.38,-7.38
20.61,-10.27,-2.92,-10.27,-2.92,2.93,-0.49,-7.35,-7.35,-7.35
20.81,-10.19,-2.87,-10.19,-2.87,2.87,-0.50,-7.32,-7.32,-7.32
21.02,-10.11,-2.82,-10.11,-2.82,2.81,-0.51,-7.30,-7.29,-7.28
21.23,-10.03,-2.76,-10.03,-2.76,2.75,-0.52,-7.28,-7.28,-7.27
21.44,-9.95,-2.69,-9.95,-2.70,2.69,-0.54,-7.25,-7.26,-7.26
21.66,-9.88,-2.64,-9.88,-2.63,2.63,-0.55,-7.25,-7.24,-7.24
21.87,-9.80,-2.56,-9.80,-2.57,2.57,-0.56,-7.23,-7.23,-7.24
22.09,-9.73,-2.51,-9.73,-2.50,2.50,-0.57,-7.22,-7.22,-7.22
22.31,-9.66,-2.44,-9.66,-2.44,2.44,-0.59,-7.22,-7.22,-7.22
22.54,-9.59,-2.38,-9.59,-2.38,2.37,-0.60,-7.22,-7.22,-7.21
22.76,-9.52,-2.31,-9.52,-2.31,2.31,-0.61,-7.21,-7.21,-7.21
22.99,-9.46,-2.25,-9.46,-2.25,2.25,-0.63,-7.21,-7.21,-7.21
23.22,-9.39,-2.18,-9.39,-2.19,2.19,-0.64,-7.20,-7.20,-7.21
23.45,-9.33,-2.13,-9.33,-2.13,2.13,-0.66,-7.20,-7.20,-7.20
23.69,-9.27,-2.08,-9.27,-2.07,2.08,-0.67,-7.19,-7.19,-7.19
23.92,-9.21,-2.02,-9.21,-2.03,2.02,-0.69,-7.18,-7.18,-7.19
24.16,-9.15,-1.98,-9.15,-1.98,1.97,-0.71,-7.17,-7.18,-7.17
24.40,-9.10,-1.93,-9.10,-1.93,1.92,-0.72,-7.17,-7.17,-7.16
24.65,-9.04,-1.87,-9.04,-1.88,1.88,-0.74,-7.16,-7.16,-7.17
24.89,-8.99,-1.83,-8.99,-1.83,1.83,-0.76,-7.16,-7.16,-7.16
25.14,-8.93,-1.78,-8.93,-1.78,1.78,-0.77,-7.15,-7.15,-7.15
25.39,-8.88,-1.73,-8.88,-1.73,1.73,-0.79,-7.15,-7.15,-7.15
25.65,-8.82,-1.68,-8.82,-1.68,1.68,-0.81,-7.14,-7.14,-7.14
25.91,-8.76,-1.62,-8.76,-1.63,1.63,-0.83,-7.13,-7.13,-7.14
26.16,-8.70,-1.57,-8.70,-1.57,1.58,-0.85,-7.12,-7.12,-7.13
26.43,-8.65,-1.53,-8.65,-1.52,1.53,-0.87,-7.12,-7.12,-7.12
26.69,-8.59,-1.48,-8.59,-1.48,1.48,-0.89,-7.11,-7.11,-7.11
26.96,-8.53,-1.43,-8.53,-1.43,1.43,-0.91,-7.10,-7.10,-7.10
27.23,-8.47,-1.38,-8.47,-1.38,1.38,-0.93,-7.09,-7.09,-7.09
27.50,-8.42,-1.34,-8.42,-1.33,1.33,-0.95,-7.09,-7.09,-7.08
27.77,-8.36,-1.28,-8.36,-1.28,1.27,-0.98,-7.08,-7.08,-7.08
28.05,-8.29,-1.22,-8.29,-1.22,1.22,-1.00,-7.07,-7.07,-7.07
28.33,-8.22,-1.15,-8.22,-1.16,1.16,-1.03,-7.06,-7.06,-7.07
28.62,-8.15,-1.09,-8.15,-1.09,1.10,-1.05,-7.05,-7.05,-7.06
28.90,-8.08,-1.03,-8.08,-1.03,1.03,-1.08,-7.05,-7.04,-7.04
29.19,-8.00,-0.96,-8.00,-0.97,0.96,-1.10,-7.03,-7.04,-7.04
29.48,-7.92,-0.90,-7.92,-0.89,0.89,-1.13,-7.03,-7.02,-7.02
29.78,-7.83,-0.82,-7.83,-0.82,0.82,-1.16,-7.01,-7.01,-7.01
30.08,-7.74,-0.74,-7.74,-0.74,0.74,-1.18,-7.00,-7.00,-7.00
30.38,-7.65,-0.65,-7.65,-0.65,0.65,-1.21,-7.00,-6.99,-7.00
30.68,-7.55,-0.57,-7.55,-0.56,0.56,-1.24,-6.99,-6.98,-6.98
30.99,-7.44,-0.47,-7.44,-0.47,0.47,-1.27,-6.97,-6.97,-6.97
31.30,-7.33,-0.37,-7.33,-0.37,0.37,-1.30,-6.96,-6.96,-6.96
31.61,-7.22,-0.28,-7.22,-0.27,0.27,-1.34,-6.95,-6.95,-6.94
31.93,-7.10,-0.17,-7.10,-0.16,0.16,-1.37,-6.94,-6.94,-6.94
32.24,-6.98,-0.05,-6.98,-0.05,0.06,-1.40,-6.92,-6.92,-6.93
32.57,-6.85,0.06,-6.85,0.06,-0.05,-1.44,-6.90,-6.90,-6.91
32.89,-6.73,0.16,-6.73,0.17,-0.16,-1.47,-6.88,-6.88,-6.89
33.22,-6.61,0.27,-6.61,0.27,-0.26,-1.51,-6.87,-6.87,-6.88
33.55,-6.49,0.37,-6.49,0.37,-0.36,-1.55,-6.85,-6.86,-6.86
33.89,-6.38,0.47,-6.38,0.47,-0.47,-1.58,-6.85,-6.85,-6.85
34.23,-6.26,0.57,-6.26,0.57,-0.58,-1.62,-6.84,-6.84,-6.83
34.57,-6.14,0.68,-6.14,0.68,-0.69,-1.66,-6.83,-6.83,-6.82
34.92,-6.01,0.79,-6.01,0.79,-0.81,-1.70,-6.82,-6.82,-6.80
35.27,-5.87,0.91,-5.87,0.92,-0.93,-1.75,-6.80,-6.80,-6.78
35.62,-5.72,1.05,-5.72,1.05,-1.05,-1.79,-6.77,-6.77,-6.77
35.97,-5.56,1.20,-5.56,1.18,-1.17,-1.83,-6.73,-6.74,-6.75
36.33,-5.42,1.31,-5.42,1.31,-1.29,-1.88,-6.71,-6.71,-6.73
36.70,-5.28,1.43,-5.28,1.43,-1.41,-1.92,-6.69,-6.69,-6.71
37.06,-5.16,1.54,-5.16,1.53,-1.53,-1.97,-6.69,-6.69,-6.69
37.43,-5.04,1.63,-5.04,1.63,-1.64,-2.02,-6.68,-6.68,-6.67
37.81,-4.92,1.73,-4.92,1.73,-1.75,-2.07,-6.66,-6.66,-6.65
38.19,-4.79,1.84,-4.79,1.84,-1.85,-2.12,-6.64,-6.64,-6.63
38.57,-4.66,1.94,-4.66,1.94,-1.94,-2.17,-6.60,-6.61,-6.60
