frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-6.38,-10.53,-6.38,5.99,6.38,1.83,-4.54,-4.54,-4.15
20.20,-10.44,-6.32,-10.44,-6.32,6.01,6.32,1.89,-4.43,-4.44,-4.12
20.40,-10.36,-6.27,-10.36,-6.26,6.02,6.26,1.94,-4.34,-4.34,-4.09
20.61,-10.27,-6.20,-10.27,-6.21,6.02,6.20,2.00,-4.25,-4.26,-4.07
20.81,-10.19,-6.15,-10.19,-6.15,6.01,6.14,2.06,-4.18,-4.18,-4.04
21.02,-10.11,-6.10,-10.11,-6.09,5.99,6.08,2.13,-4.12,-4.11,-4.01
21.23,-10.03,-6.03,-10.03,-6.04,5.97,6.02,2.19,-4.06,-4.06,-4.00
21.44,-9.95,-5.96,-9.95,-5.97,5.94,5.95,2.26,-4.01,-4.02,-3.98
21.66,-9.88,-5.91,-9.88,-5.90,5.89,5.89,2.32,-3.99,-3.98,-3.97
21.87,-9.80,-5.83,-9.80,-5.83,5.84,5.83,2.40,-3.96,-3.96,-3.97
22.09,-9.73,-5.77,-9.73,-5.77,5.78,5.76,2.47,-3.95,-3.95,-3.96
22.31,-9.66,-5.70,-9.66,-5.70,5.71,5.70,2.54,-3.95,-3.95,-3.96
22.54,-9.59,-5.63,-9.59,-5.63,5.64,5.63,2.62,-3.95,-3.95,-3.96
22.76,-9.52,-5.56,-9.52,-5.56,5.56,5.57,2.70,-3.95,-3.96,-3.96
22.99,-9.46,-5.50,-9.46,-5.49,5.50,5.50,2.78,-3.96,-3.96,-3.96
23.22,-9.39,-5.43,-9.39,-5.43,5.43,5.43,2.86,-3.95,-3.96,-3.96
23.45,-9.33,-5.37,-9.33,-5.37,5.37,5.36,2.94,-3.96,-3.96,-3.96
23.69,-9.27,-5.31,-9.27,-5.31,5.31,5.30,3.03,-3.96,-3.95,-3.96
23.92,-9.21,-5.25,-9.21,-5.26,5.26,5.23,3.11,-3.95,-3.95,-3.96
24.16,-9.15,-5.20,-9.15,-5.20,5.20,5.16,3.20,-3.95,-3.95,-3.94
24.40,-9.10,-5.16,-9.10,-5.15,5.15,5.09,3.29,-3.95,-3.95,-3.94
24.65,-9.04,-5.09,-9.04,-5.10,5.09,5.01,3.38,-3.95,-3.95,-3.95
24.89,-8.99,-5.04,-8.99,-5.04,5.04,4.94,3.47,-3.95,-3.95,-3.95
25.14,-8.93,-4.98,-8.93,-4.99,4.98,4.87,3.56,-3.94,-3.95,-3.95
25.39,-8.88,-4.94,-8.88,-4.93,4.93,4.80,3.66,-3.95,-3.95,-3.94
25.65,-8.82,-4.88,-8.82,-4.87,4.87,4.72,3.75,-3.95,-3.94,-3.94
25.91,-8.76,-4.81,-8.76,-4.82,4.82,4.65,3.84,-3.94,-3.94,-3.95
26.16,-8.70,-4.75,-8.70,-4.76,4.76,4.57,3.93,-3.94,-3.94,-3.94
26.43,-8.65,-4.71,-8.65,-4.70,4.71,4.50,4.02,-3.94,-3.94,-3.94
26.69,-8.59,-4.65,-8.59,-4.65,4.65,4.42,4.11,-3.94,-3.94,-3.94
26.96,-8.53,-4.59,-8.53,-4.60,4.60,4.34,4.19,-3.93,-3.94,-3.94
27.23,-8.47,-4.54,-8.47,-4.54,4.54,4.26,4.28,-3.93,-3.94,-3.93
27.50,-8.42,-4.49,-8.42,-4.48,4.48,4.19,4.36,-3.94,-3.94,-3.93
27.77,-8.36,-4.42,-8.36,-4.42,4.42,4.11,4.43,-3.94,-3.94,-3.94
28.05,-8.29,-4.36,-8.29,-4.36,4.35,4.03,4.50,-3.93,-3.94,-3.93
28.33,-8.22,-4.28,-8.22,-4.29,4.29,3.95,4.57,-3.93,-3.93,-3.94
28.62,-8.15,-4.22,-8.15,-4.21,4.22,3.87,4.63,-3.93,-3.93,-3.93
28.90,-8.08,-4.15,-8.08,-4.14,4.15,3.78,4.68,-3.93,-3.93,-3.93
29.19,-8.00,-4.06,-8.00,-4.07,4.07,3.70,4.72,-3.93,-3.93,-3.94
29.48,-7.92,-4.00,-7.92,-3.99,3.99,3.62,4.76,-3.93,-3.93,-3.92
29.78,-7.83,-3.90,-7.83,-3.90,3.90,3.53,4.79,-3.93,-3.93,-3.93
30.08,-7.74,-3.82,-7.74,-3.82,3.81,3.45,4.80,-3.93,-3.93,-3.92
30.38,-7.65,-3.72,-7.65,-3.72,3.72,3.37,4.82,-3.93,-3.93,-3.93
30.68,-7.55,-3.62,-7.55,-3.62,3.62,3.28,4.81,-3.93,-3.93,-3.92
30.99,-7.44,-3.51,-7.44,-3.52,3.51,3.19,4.80,-3.93,-3.93,-3.93
31.30,-7.33,-3.41,-7.33,-3.41,3.40,3.11,4.78,-3.93,-3.93,-3.92
31.61,-7.22,-3.30,-7.22,-3.29,3.29,3.02,4.75,-3.93,-3.93,-3.92
31.93,-7.10,-3.18,-7.10,-3.18,3.17,2.93,4.70,-3.93,-3.93,-3.92
32.24,-6.98,-3.05,-6.98,-3.05,3.06,2.84,4.65,-3.92,-3.92,-3.93
32.57,-6.85,-2.93,-6.85,-2.93,2.94,2.75,4.59,-3.91,-3.92,-3.92
32.89,-6.73,-2.81,-6.73,-2.81,2.82,2.66,4.52,-3.91,-3.91,-3.92
33.22,-6.61,-2.69,-6.61,-2.69,2.70,2.57,4.43,-3.91,-3.91,-3.92
33.55,-6.49,-2.57,-6.49,-2.58,2.58,2.48,4.34,-3.90,-3.91,-3.91
33.89,-6.38,-2.46,-6.38,-2.46,2.46,2.39,4.24,-3.92,-3.91,-3.92
34.23,-6.26,-2.35,-6.26,-2.35,2.34,2.30,4.14,-3.92,-3.92,-3.91
34.57,-6.14,-2.23,-6.14,-2.23,2.21,2.20,4.02,-3.93,-3.93,-3.91
34.92,-6.01,-2.10,-6.01,-2.10,2.08,2.11,3.90,-3.93,-3.93,-3.91
35.27,-5.87,-1.96,-5.87,-1.96,1.94,2.01,3.77,-3.93,-3.92,-3.91
35.62,-5.72,-1.81,-5.72,-1.81,1.81,1.92,3.64,-3.91,-3.91,-3.91
35.97,-5.56,-1.65,-5.56,-1.66,1.67,1.82,3.50,-3.89,-3.90,-3.91
36.33,-5.42,-1.51,-5.42,-1.51,1.53,1.73,3.36,-3.89,-3.89,-3.90
