frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-10.00,-10.53,-10.00,6.00,0.10,-4.53,-4.53,-0.53
20.20,-10.44,-9.91,-10.44,-9.91,6.00,0.10,-4.44,-4.44,-0.53
20.40,-10.36,-9.83,-10.36,-9.83,6.00,0.10,-4.36,-4.36,-0.53
20.61,-10.27,-9.75,-10.27,-9.75,6.00,0.10,-4.27,-4.27,-0.53
20.81,-10.19,-9.68,-10.19,-9.68,6.00,0.11,-4.19,-4.19,-0.51
21.02,-10.11,-9.61,-10.11,-9.61,6.00,0.11,-4.11,-4.11,-0.50
21.23,-10.03,-9.55,-10.03,-9.55,6.00,0.11,-4.03,-4.03,-0.48
21.44,-9.95,-9.48,-9.95,-9.49,6.00,0.11,-3.95,-3.95,-0.47
21.66,-9.88,-9.43,-9.88,-9.43,6.00,0.12,-3.88,-3.88,-0.45
21.87,-9.80,-9.36,-9.80,-9.37,6.00,0.12,-3.80,-3.80,-0.43
22.09,-9.73,-9.31,-9.73,-9.31,6.00,0.12,-3.73,-3.73,-0.42
22.31,-9.66,-9.25,-9.66,-9.25,6.00,0.13,-3.66,-3.66,-0.41
22.54,-9.59,-9.19,-9.59,-9.20,6.00,0.13,-3.59,-3.59,-0.40
22.76,-9.52,-9.13,-9.52,-9.14,6.00,0.13,-3.52,-3.52,-0.39
22.99,-9.46,-9.08,-9.46,-9.08,6.00,0.13,-3.46,-3.46,-0.38
23.22,-9.39,-9.02,-9.39,-9.03,6.00,0.14,-3.39,-3.39,-0.37
23.45,-9.33,-8.97,-9.33,-8.98,6.00,0.14,-3.33,-3.33,-0.36
23.69,-9.27,-8.92,-9.27,-8.92,6.00,0.14,-3.27,-3.27,-0.35
23.92,-9.21,-8.87,-9.21,-8.87,6.00,0.15,-3.21,-3.21,-0.34
24.16,-9.15,-8.81,-9.15,-8.82,6.00,0.15,-3.15,-3.15,-0.34
24.40,-9.10,-8.78,-9.10,-8.78,6.00,0.16,-3.10,-3.10,-0.32
24.65,-9.04,-8.73,-9.04,-8.73,6.00,0.16,-3.04,-3.04,-0.31
24.89,-8.99,-8.69,-8.99,-8.69,6.00,0.16,-2.99,-2.99,-0.30
25.14,-8.93,-8.64,-8.93,-8.65,6.00,0.17,-2.93,-2.93,-0.29
25.39,-8.88,-8.60,-8.88,-8.60,6.00,0.17,-2.88,-2.88,-0.27
25.65,-8.82,-8.56,-8.82,-8.56,6.00,0.18,-2.82,-2.82,-0.26
25.91,-8.76,-8.51,-8.76,-8.52,6.00,0.18,-2.76,-2.76,-0.25
26.16,-8.70,-8.46,-8.70,-8.47,6.00,0.18,-2.70,-2.70,-0.24
26.43,-8.65,-8.43,-8.65,-8.42,6.00,0.19,-2.65,-2.65,-0.22
26.69,-8.59,-8.37,-8.59,-8.38,6.00,0.19,-2.59,-2.59,-0.22
26.96,-8.53,-8.32,-8.53,-8.33,6.00,0.20,-2.53,-2.53,-0.21
27.23,-8.47,-8.27,-8.47,-8.28,6.00,0.20,-2.47,-2.47,-0.20
27.50,-8.42,-8.22,-8.42,-8.22,6.00,0.21,-2.42,-2.42,-0.20
27.77,-8.36,-8.17,-8.36,-8.17,6.00,0.21,-2.36,-2.36,-0.19
28.05,-8.29,-8.10,-8.29,-8.11,6.00,0.22,-2.29,-2.29,-0.19
28.33,-8.22,-8.04,-8.22,-8.04,6.00,0.23,-2.22,-2.22,-0.18
28.62,-8.15,-7.97,-8.15,-7.98,6.00,0.23,-2.15,-2.15,-0.18
28.90,-8.08,-7.91,-8.08,-7.91,6.00,0.24,-2.08,-2.08,-0.17
29.19,-8.00,-7.83,-8.00,-7.84,6.00,0.24,-2.00,-2.00,-0.17
