frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.53,-10.48,-10.53,-10.48,6.00,0.13,-4.53,-4.53,-0.05
20.20,-10.44,-10.39,-10.44,-10.39,6.00,0.13,-4.44,-4.44,-0.05
20.40,-10.36,-10.31,-10.36,-10.31,6.00,0.13,-4.36,-4.36,-0.05
20.61,-10.27,-10.22,-10.27,-10.22,6.00,0.14,-4.27,-4.27,-0.05
20.81,-10.19,-10.14,-10.19,-10.14,6.00,0.14,-4.19,-4.19,-0.05
21.02,-10.11,-10.06,-10.11,-10.06,6.00,0.14,-4.11,-4.11,-0.05
21.23,-10.03,-9.98,-10.03,-9.98,6.00,0.15,-4.03,-4.03,-0.05
21.44,-9.95,-9.90,-9.95,-9.90,6.00,0.15,-3.95,-3.95,-0.05
21.66,-9.88,-9.83,-9.88,-9.83,6.00,0.15,-3.88,-3.88,-0.05
21.87,-9.80,-9.75,-9.80,-9.75,6.00,0.16,-3.80,-3.80,-0.05
22.09,-9.73,-9.68,-9.73,-9.68,6.00,0.16,-3.73,-3.73,-0.05
22.31,-9.66,-9.61,-9.66,-9.61,6.00,0.17,-3.66,-3.66,-0.05
22.54,-9.59,-9.54,-9.59,-9.54,6.00,0.17,-3.59,-3.59,-0.05
22.76,-9.52,-9.47,-9.52,-9.47,6.00,0.17,-3.52,-3.52,-0.05
22.99,-9.46,-9.41,-9.46,-9.41,6.00,0.18,-3.46,-3.46,-0.05
23.22,-9.39,-9.34,-9.39,-9.34,6.00,0.18,-3.39,-3.39,-0.05
23.45,-9.33,-9.28,-9.33,-9.28,6.00,0.19,-3.33,-3.33,-0.05
23.69,-9.27,-9.22,-9.27,-9.22,6.00,0.19,-3.27,-3.27,-0.05
23.92,-9.21,-9.16,-9.21,-9.16,6.00,0.20,-3.21,-3.21,-0.05
24.16,-9.15,-9.10,-9.15,-9.10,6.00,0.20,-3.15,-3.15,-0.05
24.40,-9.10,-9.05,-9.10,-9.05,6.00,0.21,-3.10,-3.10,-0.05
24.65,-9.04,-8.99,-9.04,-8.99,6.00,0.21,-3.04,-3.04,-0.05
24.89,-8.99,-8.94,-8.99,-8.94,6.00,0.22,-2.99,-2.99,-0.05
25.14,-8.93,-8.88,-8.93,-8.88,6.00,0.22,-2.93,-2.93,-0.05
25.39,-8.88,-8.83,-8.88,-8.83,6.00,0.23,-2.88,-2.88,-0.05
25.65,-8.82,-8.77,-8.82,-8.77,6.00,0.23,-2.82,-2.82,-0.05
25.91,-8.76,-8.71,-8.76,-8.71,6.00,0.24,-2.76,-2.76,-0.05
26.16,-8.70,-8.65,-8.70,-8.65,6.00,0.24,-2.70,-2.70,-0.05
26.43,-8.65,-8.60,-8.65,-8.60,6.00,0.25,-2.65,-2.65,-0.05
26.69,-8.59,-8.54,-8.59,-8.54,6.00,0.26,-2.59,-2.59,-0.05
26.96,-8.53,-8.48,-8.53,-8.48,6.00,0.26,-2.53,-2.53,-0.05
27.23,-8.47,-8.42,-8.47,-8.43,6.00,0.27,-2.47,-2.47,-0.05
27.50,-8.42,-8.37,-8.42,-8.37,6.00,0.28,-2.42,-2.42,-0.05
27.77,-8.36,-8.31,-8.36,-8.31,6.00,0.28,-2.36,-2.36,-0.05
28.05,-8.29,-8.24,-8.29,-8.24,6.00,0.29,-2.29,-2.29,-0.05
28.33,-8.22,-8.17,-8.22,-8.17,6.00,0.30,-2.22,-2.22,-0.05
28.62,-8.15,-8.10,-8.15,-8.10,6.00,0.31,-2.15,-2.15,-0.05
28.90,-8.08,-8.03,-8.08,-8.03,6.00,0.31,-2.08,-2.08,-0.05
29.19,-8.00,-7.95,-8.00,-7.95,6.00,0.32,-2.00,-2.00,-0.05
29.48,-7.92,-7.87,-7.92,-7.87,6.00,0.33,-1.92,-1.92,-0.05
29.78,-7.83,-7.78,-7.83,-7.78,6.00,0.34,-1.83,-1.83,-0.05
30.08,-7.74,-7.69,-7.74,-7.69,6.00,0.35,-1.74,-1.74,-0.05
30.38,-7.65,-7.60,-7.65,-7.60,6.00,0.36,-1.65,-1.65,-0.05
30.68,-7.55,-7.50,-7.55,-7.50,6.00,0.37,-1.55,-1.55,-0.05
30.99,-7.44,-7.39,-7.44,-7.39,6.00,0.38,-1.44,-1.44,-0.05
31.30,-7.33,-7.28,-7.33,-7.28,6.00,0.39,-1.33,-1.33,-0.05
31.61,-7.22,-7.17,-7.22,-7.17,6.00,0.40,-1.22,-1.22,-0.05
31.93,-7.10,-7.05,-7.10,-7.05,6.00,0.41,-1.10,-1.10,-0.05
32.24,-6.98,-6.93,-6.98,-6.93,6.00,0.42,-0.98,-0.98,-0.05
32.57,-6.85,-6.80,-6.85,-6.80,6.00,0.43,-0.85,-0.85,-0.05
32.89,-6.73,-6.68,-6.73,-6.68,6.01,0.44,-0.71,-0.71,-0.05
33.22,-6.61,-6.56,-6.61,-6.56,6.02,0.46,-0.58,-0.58,-0.05
33.55,-6.49,-6.44,-6.49,-6.44,6.03,0.47,-0.46,-0.46,-0.05
33.89,-6.38,-6.33,-6.38,-6.33,6.02,0.48,-0.36,-0.36,-0.05
34.23,-6.26,-6.21,-6.26,-6.21,5.99,0.50,-0.27,-0.27,-0.05
34.57,-6.14,-6.09,-6.14,-6.09,5.94,0.51,-0.20,-0.20,-0.05
34.92,-6.01,-5.96,-6.01,-5.96,5.87,0.52,-0.14,-0.14,-0.05
35.27,-5.87,-5.82,-5.87,-5.82,5.78,0.54,-0.09,-0.09,-0.05
35.62,-5.72,-5.67,-5.72,-5.67,5.67,0.55,-0.05,-0.04,-0.05
35.97,-5.56,-5.51,-5.56,-5.52,5.55,0.57,-0.01,-0.02,-0.05
36.33,-5.42,-5.37,-5.42,-5.37,5.41,0.59,-0.01,-0.01,-0.05
36.70,-5.28,-5.23,-5.28,-5.23,5.27,0.60,-0.01,-0.02,-0.05
37.06,-5.16,-5.11,-5.16,-5.11,5.12,0.62,-0.04,-0.04,-0.05
37.43,-5.04,-4.99,-5.04,-4.99,4.98,0.64,-0.06,-0.05,-0.05
37.81,-4.92,-4.87,-4.92,-4.87,4.85,0.66,-0.06,-0.06,-0.05
38.19,-4.79,-4.74,-4.79,-4.74,4.73,0.68,-0.06,-0.06,-0.05
38.57,-4.66,-4.61,-4.66,-4.61,4.61,0.70,-0.05,-0.05,-0.05
38.95,-4.54,-4.49,-4.54,-4.49,4.49,0.72,-0.04,-0.04,-0.05
39.34,-4.42,-4.37,-4.42,-4.37,4.38,0.74,-0.04,-0.04,-0.05
39.74,-4.31,-4.26,-4.31,-4.26,4.27,0.76,-0.04,-0.04,-0.05
40.14,-4.20,-4.15,-4.20,-4.15,4.16,0.78,-0.04,-0.04,-0.05
40.54,-4.10,-4.05,-4.10,-4.05,4.05,0.81,-0.05,-0.05,-0.05
40.94,-4.01,-3.96,-4.00,-3.96,3.96,0.83,-0.05,-0.05,-0.05
41.35,-3.91,-3.86,-3.91,-3.86,3.86,0.86,-0.05,-0.05,-0.05
41.76,-3.82,-3.77,-3.82,-3.77,3.77,0.88,-0.05,-0.05,-0.05
42.18,-3.73,-3.68,-3.73,-3.68,3.68,0.91,-0.05,-0.05,-0.05
42.60,-3.64,-3.59,-3.64,-3.59,3.59,0.94,-0.05,-0.05,-0.05
43.03,-3.55,-3.50,-3.55,-3.50,3.50,0.96,-0.05,-0.05,-0.05
43.46,-3.46,-3.41,-3.46,-3.41,3.41,0.99,-0.05,-0.05,-0.05
43.90,-3.37,-3.32,-3.37,-3.32,3.32,1.02,-0.05,-0.05,-0.05
44.33,-3.28,-3.23,-3.28,-3.23,3.24,1.05,-0.04,-0.05,-0.05
44.78,-3.20,-3.15,-3.20,-3.15,3.15,1.09,-0.05,-0.05,-0.05
45.23,-3.11,-3.06,-3.11,-3.06,3.06,1.12,-0.05,-0.05,-0.05
45.68,-3.02,-2.97,-3.02,-2.98,2.97,1.15,-0.05,-0.05,-0.05
46.13,-2.94,-2.89,-2.94,-2.89,2.89,1.18,-0.05,-0.05,-0.05
46.60,-2.85,-2.80,-2.85,-2.80,2.80,1.22,-0.05,-0.05,-0.05
47.06,-2.76,-2.71,-2.76,-2.71,2.71,1.25,-0.05,-0.05,-0.05
47.53,-2.67,-2.62,-2.67,-2.62,2.62,1.29,-0.04,-0.04,-0.05
48.01,-2.58,-2.53,-2.58,-2.53,2.54,1.33,-0.04,-0.05,-0.05
48.49,-2.50,-2.45,-2.50,-2.45,2.45,1.36,-0.05,-0.05,-0.05
48.97,-2.42,-2.37,-2.41,-2.37,2.36,1.40,-0.05,-0.05,-0.05
49.46,-2.33,-2.28,-2.33,-2.28,2.28,1.44,-0.05,-0.05,-0.05
49.96,-2.24,-2.19,-2.24,-2.19,2.19,1.48,-0.05,-0.05,-0.05
50.46,-2.16,-2.11,-2.16,-2.11,2.11,1.52,-0.05,-0.05,-0.05
50.96,-2.07,-2.02,-2.07,-2.02,2.02,1.56,-0.04,-0.05,-0.05
51.47,-1.99,-1.94,-1.99,-1.94,1.94,1.60,-0.05,-0.05,-0.05
51.99,-1.91,-1.86,-1.91,-1.86,1.86,1.64,-0.05,-0.05,-0.05
52.51,-1.82,-1.77,-1.82,-1.77,1.77,1.68,-0.05,-0.05,-0.05
53.03,-1.74,-1.69,-1.74,-1.69,1.69,1.71,-0.05,-0.05,-0.05
53.56,-1.66,-1.61,-1.66,-1.61,1.61,1.75,-0.05,-0.05,-0.05
54.10,-1.58,-1.53,-1.58,-1.53,1.53,1.79,-0.05,-0.05,-0.05
54.64,-1.50,-1.45,-1.50,-1.45,1.45,1.83,-0.05,-0.05,-0.05
55.18,-1.43,-1.38,-1.43,-1.38,1.38,1.86,-0.05,-0.05,-0.05
55.74,-1.35,-1.30,-1.35,-1.30,1.30,1.90,-0.05,-0.05,-0.05
56.29,-1.28,-1.23,-1.28,-1.23,1.23,1.93,-0.05,-0.05,-0.05
56.86,-1.21,-1.16,-1.21,-1.16,1.16,1.96,-0.05,-0.05,-0.05
57.42,-1.15,-1.10,-1.15,-1.10,1.10,1.99,-0.05,-0.05,-0.05
58.00,-1.08,-1.03,-1.08,-1.03,1.03,2.02,-0.05,-0.05,-0.05
58.58,-1.02,-0.97,-1.02,-0.97,0.97,2.04,-0.05,-0.05,-0.05
59.16,-0.95,-0.90,-0.95,-0.90,0.90,2.06,-0.05,-0.05,-0.05
59.76,-0.89,-0.84,-0.89,-0.84,0.84,2.08,-0.05,-0.05,-0.05
60.35,-0.83,-0.78,-0.83,-0.78,0.78,2.10,-0.04,-0.04,-0.05
60.96,-0.77,-0.72,-0.77,-0.72,0.73,2.11,-0.04,-0.05,-0.05
